NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CHP2	calcineurin like EF-hand protein 2 [Source:HGNC Symbol;Acc:HGNC:24927]	37	0.47617480158805847	0.024990145	Yes	
row_1	PTGER1	prostaglandin E receptor 1 [Source:HGNC Symbol;Acc:HGNC:9593]	65	0.4341115653514862	0.048144966	Yes	
row_2	ADRB3	adrenoceptor beta 3 [Source:HGNC Symbol;Acc:HGNC:288]	91	0.41133084893226624	0.070116945	Yes	
row_3	GRIN2C	glutamate ionotropic receptor NMDA type subunit 2C [Source:HGNC Symbol;Acc:HGNC:4587]	343	0.3081122040748596	0.073732585	Yes	
row_4	CAMK2A	calcium/calmodulin dependent protein kinase II alpha [Source:HGNC Symbol;Acc:HGNC:1460]	488	0.2822674512863159	0.08179701	Yes	
row_5	SLC25A31	solute carrier family 25 member 31 [Source:HGNC Symbol;Acc:HGNC:25319]	543	0.2738451361656189	0.09435947	Yes	
row_6	PRKACG	protein kinase cAMP-activated catalytic subunit gamma [Source:HGNC Symbol;Acc:HGNC:9382]	564	0.2718237638473511	0.108687066	Yes	
row_7	SPHK1	sphingosine kinase 1 [Source:HGNC Symbol;Acc:HGNC:11240]	618	0.26528385281562805	0.12081873	Yes	
row_8	P2RX6	purinergic receptor P2X 6 [Source:HGNC Symbol;Acc:HGNC:8538]	845	0.23781825602054596	0.12182555	Yes	
row_9	LTB4R2	leukotriene B4 receptor 2 [Source:HGNC Symbol;Acc:HGNC:19260]	905	0.23140683770179749	0.13170202	Yes	
row_10	NOS2	nitric oxide synthase 2 [Source:HGNC Symbol;Acc:HGNC:7873]	1157	0.2122505158185959	0.1298749	Yes	
row_11	MYLK3	myosin light chain kinase 3 [Source:HGNC Symbol;Acc:HGNC:29826]	1181	0.21100574731826782	0.14058353	Yes	
row_12	PDE1B	phosphodiesterase 1B [Source:HGNC Symbol;Acc:HGNC:8775]	1197	0.2098769098520279	0.15167041	Yes	
row_13	RYR1	ryanodine receptor 1 [Source:HGNC Symbol;Acc:HGNC:10483]	1336	0.2002108097076416	0.15540764	Yes	
row_14	CACNA1S	calcium voltage-gated channel subunit alpha1 S [Source:HGNC Symbol;Acc:HGNC:1397]	1342	0.19983652234077454	0.16647735	Yes	
