NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	UQCRC1	ubiquinol-cytochrome c reductase core protein 1 [Source:HGNC Symbol;Acc:HGNC:12585]	108	0.4002196192741394	0.03477607	Yes	
row_1	COX5B	cytochrome c oxidase subunit 5B [Source:HGNC Symbol;Acc:HGNC:2269]	274	0.323100209236145	0.058571957	Yes	
row_2	CACNG5	calcium voltage-gated channel auxiliary subunit gamma 5 [Source:HGNC Symbol;Acc:HGNC:1409]	293	0.3209478557109833	0.09023291	Yes	
row_3	COX4I2	cytochrome c oxidase subunit 4I2 [Source:HGNC Symbol;Acc:HGNC:16232]	526	0.2761649489402771	0.1055694	Yes	
row_4	MYL2	myosin light chain 2 [Source:HGNC Symbol;Acc:HGNC:7583]	706	0.2535440921783447	0.12151927	Yes	
row_5	COX6A2	cytochrome c oxidase subunit 6A2 [Source:HGNC Symbol;Acc:HGNC:2279]	759	0.24854235351085663	0.14394444	Yes	
row_6	CACNG3	calcium voltage-gated channel auxiliary subunit gamma 3 [Source:HGNC Symbol;Acc:HGNC:1407]	796	0.24284148216247559	0.16666956	Yes	
row_7	ATP1A2	ATPase Na+/K+ transporting subunit alpha 2 [Source:HGNC Symbol;Acc:HGNC:800]	804	0.24185049533843994	0.19088867	Yes	
row_8	MYH7	myosin heavy chain 7 [Source:HGNC Symbol;Acc:HGNC:7577]	844	0.23791775107383728	0.2129479	Yes	
row_9	MYL3	myosin light chain 3 [Source:HGNC Symbol;Acc:HGNC:7584]	864	0.23557068407535553	0.23586823	Yes	
row_10	ACTC1	actin alpha cardiac muscle 1 [Source:HGNC Symbol;Acc:HGNC:143]	878	0.2340671569108963	0.25896555	Yes	
row_11	CACNG4	calcium voltage-gated channel auxiliary subunit gamma 4 [Source:HGNC Symbol;Acc:HGNC:1408]	983	0.22446653246879578	0.2760818	Yes	
row_12	CYC1	cytochrome c1 [Source:HGNC Symbol;Acc:HGNC:2579]	1280	0.20389246940612793	0.28054625	Yes	
row_13	UQCRQ	ubiquinol-cytochrome c reductase complex III subunit VII [Source:HGNC Symbol;Acc:HGNC:29594]	1309	0.2019367516040802	0.29954997	Yes	
row_14	CACNG1	calcium voltage-gated channel auxiliary subunit gamma 1 [Source:HGNC Symbol;Acc:HGNC:1405]	1313	0.2016354501247406	0.31989786	Yes	
row_15	CACNA1S	calcium voltage-gated channel subunit alpha1 S [Source:HGNC Symbol;Acc:HGNC:1397]	1342	0.19983652234077454	0.33868793	Yes	
row_16	UQCR11	ubiquinol-cytochrome c reductase, complex III subunit XI [Source:HGNC Symbol;Acc:HGNC:30862]	1394	0.19695115089416504	0.3559196	Yes	
row_17	TPM2	tropomyosin 2 [Source:HGNC Symbol;Acc:HGNC:12011]	1595	0.18512587249279022	0.36375424	Yes	
row_18	COX6B1	cytochrome c oxidase subunit 6B1 [Source:HGNC Symbol;Acc:HGNC:2280]	1637	0.18262624740600586	0.38007855	Yes	
row_19	CACNA2D2	calcium voltage-gated channel auxiliary subunit alpha2delta 2 [Source:HGNC Symbol;Acc:HGNC:1400]	1706	0.1788666695356369	0.39453557	Yes	
row_20	TNNT2	troponin T2, cardiac type [Source:HGNC Symbol;Acc:HGNC:11949]	1787	0.17440423369407654	0.40787867	Yes	
row_21	CACNB3	calcium voltage-gated channel auxiliary subunit beta 3 [Source:HGNC Symbol;Acc:HGNC:1403]	1828	0.17198531329631805	0.42317542	Yes	
row_22	ATP1A3	ATPase Na+/K+ transporting subunit alpha 3 [Source:HGNC Symbol;Acc:HGNC:801]	1848	0.17130926251411438	0.43955827	Yes	
row_23	TNNC1	troponin C1, slow skeletal and cardiac type [Source:HGNC Symbol;Acc:HGNC:11943]	1857	0.17098785936832428	0.45651338	Yes	
row_24	CACNG2	calcium voltage-gated channel auxiliary subunit gamma 2 [Source:HGNC Symbol;Acc:HGNC:1406]	1899	0.16954277455806732	0.47150666	Yes	
row_25	CACNA2D3	calcium voltage-gated channel auxiliary subunit alpha2delta 3 [Source:HGNC Symbol;Acc:HGNC:15460]	2063	0.1619216799736023	0.47901544	Yes	
row_26	CACNB1	calcium voltage-gated channel auxiliary subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:1401]	2065	0.16183626651763916	0.49542445	Yes	
row_27	MYH6	myosin heavy chain 6 [Source:HGNC Symbol;Acc:HGNC:7576]	2308	0.15215027332305908	0.49759468	Yes	
row_28	CACNB2	calcium voltage-gated channel auxiliary subunit beta 2 [Source:HGNC Symbol;Acc:HGNC:1402]	2990	0.1267322450876236	0.47303697	Yes	
