NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CLDN3	claudin 3 [Source:HGNC Symbol;Acc:HGNC:2045]	39	0.4707266092300415	0.036834642	Yes	
row_1	SPN	sialophorin [Source:HGNC Symbol;Acc:HGNC:11249]	341	0.30872905254364014	0.04580056	Yes	
row_2	HLA-DPB1	major histocompatibility complex, class II, DP beta 1 [Source:HGNC Symbol;Acc:HGNC:4940]	379	0.29877525568008423	0.06850439	Yes	
row_3	HLA-DMB	major histocompatibility complex, class II, DM beta [Source:HGNC Symbol;Acc:HGNC:4935]	605	0.2669297158718109	0.07820064	Yes	
row_4	SDC4	syndecan 4 [Source:HGNC Symbol;Acc:HGNC:10661]	815	0.24084708094596863	0.086619265	Yes	
row_5	CLDN6	claudin 6 [Source:HGNC Symbol;Acc:HGNC:2048]	1042	0.22100713849067688	0.09245701	Yes	
row_6	CLDN19	claudin 19 [Source:HGNC Symbol;Acc:HGNC:2040]	1066	0.21941840648651123	0.1093607	Yes	
row_7	HLA-B	major histocompatibility complex, class I, B [Source:HGNC Symbol;Acc:HGNC:4932]	1082	0.21821480989456177	0.126606	Yes	
row_8	PTPRF	protein tyrosine phosphatase receptor type F [Source:HGNC Symbol;Acc:HGNC:9670]	1101	0.2166089117527008	0.14355281	Yes	
row_9	CLDN9	claudin 9 [Source:HGNC Symbol;Acc:HGNC:2051]	1117	0.2153506577014923	0.16056089	Yes	
row_10	NRXN2	neurexin 2 [Source:HGNC Symbol;Acc:HGNC:8009]	1303	0.20280909538269043	0.16715303	Yes	
row_11	MAG	myelin associated glycoprotein [Source:HGNC Symbol;Acc:HGNC:6783]	1368	0.19843235611915588	0.18005708	Yes	
row_12	CD34	CD34 molecule [Source:HGNC Symbol;Acc:HGNC:1662]	1501	0.19084425270557404	0.18858176	Yes	
row_13	SIGLEC1	sialic acid binding Ig like lectin 1 [Source:HGNC Symbol;Acc:HGNC:11127]	1600	0.1848403662443161	0.19848467	Yes	
row_14	ESAM	endothelial cell adhesion molecule [Source:HGNC Symbol;Acc:HGNC:17474]	1628	0.1833297312259674	0.21217883	Yes	
row_15	HLA-DQB1	major histocompatibility complex, class II, DQ beta 1 [Source:HGNC Symbol;Acc:HGNC:4944]	1675	0.18087773025035858	0.22462188	Yes	
row_16	CDH15	cadherin 15 [Source:HGNC Symbol;Acc:HGNC:1754]	1742	0.1769237220287323	0.23563424	Yes	
row_17	SDC1	syndecan 1 [Source:HGNC Symbol;Acc:HGNC:10658]	1772	0.17556045949459076	0.24857463	Yes	
row_18	HLA-DOA	major histocompatibility complex, class II, DO alpha [Source:HGNC Symbol;Acc:HGNC:4936]	1792	0.17422129213809967	0.2619557	Yes	
row_19	CLDN15	claudin 15 [Source:HGNC Symbol;Acc:HGNC:2036]	1802	0.1736457645893097	0.27584073	Yes	
row_20	CD8A	CD8a molecule [Source:HGNC Symbol;Acc:HGNC:1706]	1877	0.1703076809644699	0.28586388	Yes	
row_21	CLDN4	claudin 4 [Source:HGNC Symbol;Acc:HGNC:2046]	1936	0.16826051473617554	0.2966	Yes	
row_22	CD8B	CD8b molecule [Source:HGNC Symbol;Acc:HGNC:1707]	1952	0.16739530861377716	0.3096364	Yes	
row_23	CD2	CD2 molecule [Source:HGNC Symbol;Acc:HGNC:1639]	2019	0.16442149877548218	0.31961334	Yes	
row_24	CLDN5	claudin 5 [Source:HGNC Symbol;Acc:HGNC:2047]	2263	0.15390533208847046	0.31895593	Yes	
row_25	HLA-E	major histocompatibility complex, class I, E [Source:HGNC Symbol;Acc:HGNC:4962]	2413	0.14775200188159943	0.32297397	Yes	
row_26	CADM3	cell adhesion molecule 3 [Source:HGNC Symbol;Acc:HGNC:17601]	3160	0.12192653119564056	0.29192248	No	
row_27	SELPLG	selectin P ligand [Source:HGNC Symbol;Acc:HGNC:10722]	3172	0.121527299284935	0.3013807	No	
row_28	CD22	CD22 molecule [Source:HGNC Symbol;Acc:HGNC:1643]	3246	0.11971049010753632	0.3072685	No	
row_29	CD28	CD28 molecule [Source:HGNC Symbol;Acc:HGNC:1653]	3572	0.11102315038442612	0.29853642	No	
row_30	HLA-DQA1	major histocompatibility complex, class II, DQ alpha 1 [Source:HGNC Symbol;Acc:HGNC:4942]	4401	0.08955656737089157	0.26028088	No	
row_31	CD40	CD40 molecule [Source:HGNC Symbol;Acc:HGNC:11919]	4524	0.08631398528814316	0.26069993	No	
row_32	HLA-DRB5	major histocompatibility complex, class II, DR beta 5 [Source:HGNC Symbol;Acc:HGNC:4953]	4549	0.08571375906467438	0.26647493	No	
row_33	HLA-DOB	major histocompatibility complex, class II, DO beta [Source:HGNC Symbol;Acc:HGNC:4937]	4590	0.08509528636932373	0.27131617	No	
row_34	HLA-DQA2	major histocompatibility complex, class II, DQ alpha 2 [Source:HGNC Symbol;Acc:HGNC:4943]	4591	0.08508384972810745	0.27836287	No	
row_35	CLDN16	claudin 16 [Source:HGNC Symbol;Acc:HGNC:2037]	4856	0.07929545640945435	0.2703679	No	
row_36	NFASC	neurofascin [Source:HGNC Symbol;Acc:HGNC:29866]	4906	0.07803995907306671	0.27412835	No	
row_37	CNTN2	contactin 2 [Source:HGNC Symbol;Acc:HGNC:2172]	4946	0.07689081877470016	0.27834526	No	
row_38	NLGN2	neuroligin 2 [Source:HGNC Symbol;Acc:HGNC:14290]	5041	0.07473725825548172	0.27934998	No	
row_39	NRXN3	neurexin 3 [Source:HGNC Symbol;Acc:HGNC:8010]	5086	0.0737927258014679	0.28303447	No	
row_40	ITGA6	integrin subunit alpha 6 [Source:HGNC Symbol;Acc:HGNC:6142]	5179	0.07166310399770737	0.28389493	No	
row_41	CD4	CD4 molecule [Source:HGNC Symbol;Acc:HGNC:1678]	5306	0.06921108812093735	0.28267685	No	
row_42	HLA-C	major histocompatibility complex, class I, C [Source:HGNC Symbol;Acc:HGNC:4933]	5337	0.06849972903728485	0.28669524	No	
row_43	CD6	CD6 molecule [Source:HGNC Symbol;Acc:HGNC:1691]	5544	0.06363356858491898	0.2806024	No	
row_44	SDC3	syndecan 3 [Source:HGNC Symbol;Acc:HGNC:10660]	5718	0.05979103595018387	0.27601162	No	
row_45	PDCD1	programmed cell death 1 [Source:HGNC Symbol;Acc:HGNC:8760]	5830	0.0569891482591629	0.2746087	No	
row_46	NEGR1	neuronal growth regulator 1 [Source:HGNC Symbol;Acc:HGNC:17302]	5936	0.05471716821193695	0.2733486	No	
row_47	HLA-DRB1	major histocompatibility complex, class II, DR beta 1 [Source:HGNC Symbol;Acc:HGNC:4948]	6094	0.05132636800408363	0.26893932	No	
row_48	CD276	CD276 molecule [Source:HGNC Symbol;Acc:HGNC:19137]	6367	0.04556706175208092	0.25770962	No	
row_49	CDH4	cadherin 4 [Source:HGNC Symbol;Acc:HGNC:1763]	6481	0.043201424181461334	0.2550545	No	
row_50	CD226	CD226 molecule [Source:HGNC Symbol;Acc:HGNC:16961]	6930	0.033990055322647095	0.23315778	No	
row_51	CNTNAP1	contactin associated protein 1 [Source:HGNC Symbol;Acc:HGNC:8011]	7086	0.031068963930010796	0.2271811	No	
