NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CDK4	cyclin dependent kinase 4 [Source:HGNC Symbol;Acc:HGNC:1773]	1807	0.1733153909444809	-0.07101487	No	
row_1	AKT2	AKT serine/threonine kinase 2 [Source:HGNC Symbol;Acc:HGNC:392]	2741	0.13517756760120392	-0.10020282	No	
row_2	TP53	tumor protein p53 [Source:HGNC Symbol;Acc:HGNC:11998]	3522	0.11227568238973618	-0.124724545	No	
row_3	E2F1	E2F transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:3113]	3923	0.101551353931427	-0.13010189	No	
row_4	SHC2	SHC adaptor protein 2 [Source:HGNC Symbol;Acc:HGNC:29869]	4141	0.09556825459003448	-0.12639368	No	
row_5	CBLC	Cbl proto-oncogene C [Source:HGNC Symbol;Acc:HGNC:15961]	4824	0.07995934784412384	-0.15081516	No	
row_6	HRAS	HRas proto-oncogene, GTPase [Source:HGNC Symbol;Acc:HGNC:5173]	5073	0.07399147003889084	-0.15234372	No	
row_7	MAPK3	mitogen-activated protein kinase 3 [Source:HGNC Symbol;Acc:HGNC:6877]	5144	0.07262516766786575	-0.14430603	No	
row_8	PIK3R5	phosphoinositide-3-kinase regulatory subunit 5 [Source:HGNC Symbol;Acc:HGNC:30035]	5203	0.07130604237318039	-0.13582426	No	
row_9	CCND1	cyclin D1 [Source:HGNC Symbol;Acc:HGNC:1582]	5323	0.06874016672372818	-0.13111746	No	
row_10	CRKL	CRK like proto-oncogene, adaptor protein [Source:HGNC Symbol;Acc:HGNC:2363]	5480	0.06520040333271027	-0.12902506	No	
row_11	IKBKB	inhibitor of nuclear factor kappa B kinase subunit beta [Source:HGNC Symbol;Acc:HGNC:5960]	5536	0.06376149505376816	-0.12161322	No	
row_12	AKT1	AKT serine/threonine kinase 1 [Source:HGNC Symbol;Acc:HGNC:391]	5875	0.055935341864824295	-0.13104726	No	
row_13	RUNX1	RUNX family transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:10471]	5963	0.05414114147424698	-0.12697011	No	
row_14	SHC4	SHC adaptor protein 4 [Source:HGNC Symbol;Acc:HGNC:16743]	6013	0.053313642740249634	-0.12093844	No	
row_15	BCL2L1	BCL2 like 1 [Source:HGNC Symbol;Acc:HGNC:992]	6148	0.05014404281973839	-0.12010054	No	
row_16	TGFB1	transforming growth factor beta 1 [Source:HGNC Symbol;Acc:HGNC:11766]	6283	0.04720006510615349	-0.119744524	No	
row_17	E2F2	E2F transcription factor 2 [Source:HGNC Symbol;Acc:HGNC:3114]	6920	0.03422432765364647	-0.14912216	No	
row_18	BAD	BCL2 associated agonist of cell death [Source:HGNC Symbol;Acc:HGNC:936]	6991	0.032988518476486206	-0.1475724	No	
row_19	SHC3	SHC adaptor protein 3 [Source:HGNC Symbol;Acc:HGNC:18181]	7166	0.029569389298558235	-0.15230224	No	
row_20	CRK	CRK proto-oncogene, adaptor protein [Source:HGNC Symbol;Acc:HGNC:2362]	8188	0.009038861840963364	-0.20697714	No	
row_21	CHUK	component of inhibitor of nuclear factor kappa B kinase complex [Source:HGNC Symbol;Acc:HGNC:1974]	8247	0.007915333844721317	-0.2088715	No	
row_22	CTBP2	C-terminal binding protein 2 [Source:HGNC Symbol;Acc:HGNC:2495]	8334	0.006136181764304638	-0.21259704	No	
row_23	PIK3CB	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit beta [Source:HGNC Symbol;Acc:HGNC:8976]	8398	0.0051225475035607815	-0.21522354	No	
row_24	NFKBIA	NFKB inhibitor alpha [Source:HGNC Symbol;Acc:HGNC:7797]	8488	0.0034787452314049006	-0.21954906	No	
row_25	CDKN2A	cyclin dependent kinase inhibitor 2A [Source:HGNC Symbol;Acc:HGNC:1787]	8720	0.0	-0.23225394	No	
row_26	TGFB3	transforming growth factor beta 3 [Source:HGNC Symbol;Acc:HGNC:11769]	9127	0.0	-0.25458372	No	
row_27	PIK3R3	phosphoinositide-3-kinase regulatory subunit 3 [Source:HGNC Symbol;Acc:HGNC:8981]	9867	-2.3488476290367544E-4	-0.29518986	No	
row_28	STAT5A	signal transducer and activator of transcription 5A [Source:HGNC Symbol;Acc:HGNC:11366]	10320	-0.008795545436441898	-0.31860992	No	
row_29	SMAD3	SMAD family member 3 [Source:HGNC Symbol;Acc:HGNC:6769]	10454	-0.011790122836828232	-0.32399496	No	
row_30	CTBP1	C-terminal binding protein 1 [Source:HGNC Symbol;Acc:HGNC:2494]	10479	-0.012247118167579174	-0.3233103	No	
row_31	RB1	RB transcriptional corepressor 1 [Source:HGNC Symbol;Acc:HGNC:9884]	10496	-0.012689609080553055	-0.3221132	No	
row_32	E2F3	E2F transcription factor 3 [Source:HGNC Symbol;Acc:HGNC:3115]	10963	-0.022197041660547256	-0.3441096	No	
row_33	RELA	RELA proto-oncogene, NF-kB subunit [Source:HGNC Symbol;Acc:HGNC:9955]	10982	-0.022517742589116096	-0.34141377	No	
row_34	RAF1	Raf-1 proto-oncogene, serine/threonine kinase [Source:HGNC Symbol;Acc:HGNC:9829]	11195	-0.0265351589769125	-0.34873027	No	
row_35	TGFB2	transforming growth factor beta 2 [Source:HGNC Symbol;Acc:HGNC:11768]	11499	-0.032598815858364105	-0.36005914	No	
row_36	BCR	BCR activator of RhoGEF and GTPase [Source:HGNC Symbol;Acc:HGNC:1014]	11532	-0.03322789445519447	-0.35638022	No	
row_37	PTPN11	protein tyrosine phosphatase non-receptor type 11 [Source:HGNC Symbol;Acc:HGNC:9644]	11783	-0.03903071954846382	-0.36374134	No	
row_38	STAT5B	signal transducer and activator of transcription 5B [Source:HGNC Symbol;Acc:HGNC:11367]	11816	-0.03968014940619469	-0.3590063	No	
row_39	HDAC1	histone deacetylase 1 [Source:HGNC Symbol;Acc:HGNC:4852]	11903	-0.04123956337571144	-0.35698593	No	
row_40	SHC1	SHC adaptor protein 1 [Source:HGNC Symbol;Acc:HGNC:10840]	12301	-0.049149010330438614	-0.37077576	No	
row_41	CDKN1A	cyclin dependent kinase inhibitor 1A [Source:HGNC Symbol;Acc:HGNC:1784]	12850	-0.061162177473306656	-0.39090413	Yes	
row_42	HDAC2	histone deacetylase 2 [Source:HGNC Symbol;Acc:HGNC:4853]	12993	-0.06448423862457275	-0.38815895	Yes	
row_43	MDM2	MDM2 proto-oncogene [Source:HGNC Symbol;Acc:HGNC:6973]	13176	-0.0689159706234932	-0.38688833	Yes	
row_44	MAPK1	mitogen-activated protein kinase 1 [Source:HGNC Symbol;Acc:HGNC:6871]	13239	-0.07057186961174011	-0.37874675	Yes	
row_45	ABL1	ABL proto-oncogene 1, non-receptor tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:76]	13476	-0.07615405321121216	-0.3792613	Yes	
row_46	PIK3CG	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit gamma [Source:HGNC Symbol;Acc:HGNC:8978]	13677	-0.0810818299651146	-0.37698933	Yes	
row_47	MAP2K2	mitogen-activated protein kinase kinase 2 [Source:HGNC Symbol;Acc:HGNC:6842]	13691	-0.08140046149492264	-0.3643803	Yes	
row_48	CBL	Cbl proto-oncogene [Source:HGNC Symbol;Acc:HGNC:1541]	14402	-0.09965726733207703	-0.3871175	Yes	
row_49	TGFBR2	transforming growth factor beta receptor 2 [Source:HGNC Symbol;Acc:HGNC:11773]	14538	-0.10303916037082672	-0.37767646	Yes	
row_50	SMAD4	SMAD family member 4 [Source:HGNC Symbol;Acc:HGNC:6770]	14587	-0.10472143441438675	-0.3631751	Yes	
row_51	PIK3CD	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta [Source:HGNC Symbol;Acc:HGNC:8977]	14597	-0.10498639941215515	-0.3464854	Yes	
row_52	SOS1	SOS Ras/Rac guanine nucleotide exchange factor 1 [Source:HGNC Symbol;Acc:HGNC:11187]	14635	-0.10582908987998962	-0.33119774	Yes	
row_53	GRB2	growth factor receptor bound protein 2 [Source:HGNC Symbol;Acc:HGNC:4566]	14701	-0.10781078040599823	-0.3171257	Yes	
row_54	MAP2K1	mitogen-activated protein kinase kinase 1 [Source:HGNC Symbol;Acc:HGNC:6840]	14757	-0.10947640985250473	-0.302231	Yes	
row_55	AKT3	AKT serine/threonine kinase 3 [Source:HGNC Symbol;Acc:HGNC:393]	15093	-0.11922822892665863	-0.30113995	Yes	
row_56	MECOM	MDS1 and EVI1 complex locus [Source:HGNC Symbol;Acc:HGNC:3498]	16104	-0.15301431715488434	-0.33164325	Yes	
row_57	SOS2	SOS Ras/Rho guanine nucleotide exchange factor 2 [Source:HGNC Symbol;Acc:HGNC:11188]	16290	-0.16056343913078308	-0.31553632	Yes	
row_58	GAB2	GRB2 associated binding protein 2 [Source:HGNC Symbol;Acc:HGNC:14458]	16297	-0.16075600683689117	-0.28955296	Yes	
row_59	CDK6	cyclin dependent kinase 6 [Source:HGNC Symbol;Acc:HGNC:1777]	16322	-0.16166864335536957	-0.26441023	Yes	
row_60	CDKN1B	cyclin dependent kinase inhibitor 1B [Source:HGNC Symbol;Acc:HGNC:1785]	16324	-0.16171254217624664	-0.2379953	Yes	
row_61	PIK3R1	phosphoinositide-3-kinase regulatory subunit 1 [Source:HGNC Symbol;Acc:HGNC:8979]	16341	-0.16241487860679626	-0.2122904	Yes	
row_62	PIK3R2	phosphoinositide-3-kinase regulatory subunit 2 [Source:HGNC Symbol;Acc:HGNC:8980]	16417	-0.16582772135734558	-0.18927185	Yes	
row_63	BRAF	B-Raf proto-oncogene, serine/threonine kinase [Source:HGNC Symbol;Acc:HGNC:1097]	16700	-0.17879264056682587	-0.17551601	Yes	
row_64	MYC	MYC proto-oncogene, bHLH transcription factor [Source:HGNC Symbol;Acc:HGNC:7553]	16876	-0.18785156309604645	-0.15439244	Yes	
row_65	CBLB	Cbl proto-oncogene B [Source:HGNC Symbol;Acc:HGNC:1542]	17180	-0.20755207538604736	-0.1370841	Yes	
row_66	NRAS	NRAS proto-oncogene, GTPase [Source:HGNC Symbol;Acc:HGNC:7989]	17400	-0.22245755791664124	-0.11271601	Yes	
row_67	KRAS	KRAS proto-oncogene, GTPase [Source:HGNC Symbol;Acc:HGNC:6407]	17461	-0.22761115431785583	-0.07875944	Yes	
row_68	TGFBR1	transforming growth factor beta receptor 1 [Source:HGNC Symbol;Acc:HGNC:11772]	17517	-0.23428328335285187	-0.04343574	Yes	
row_69	PIK3CA	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha [Source:HGNC Symbol;Acc:HGNC:8975]	17631	-0.2476421445608139	-0.009115373	Yes	
row_70	NFKB1	nuclear factor kappa B subunit 1 [Source:HGNC Symbol;Acc:HGNC:7794]	17756	-0.2640119194984436	0.027279494	Yes	
