NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	BAX	BCL2 associated X, apoptosis regulator [Source:HGNC Symbol;Acc:HGNC:959]	932	0.22932890057563782	-0.012301481	No	
row_1	BIRC5	baculoviral IAP repeat containing 5 [Source:HGNC Symbol;Acc:HGNC:593]	1530	0.18905110657215118	-0.013025652	No	
row_2	JUN	Jun proto-oncogene, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:6204]	2210	0.15614649653434753	-0.023843033	No	
row_3	MSH6	mutS homolog 6 [Source:HGNC Symbol;Acc:HGNC:7329]	2712	0.13616709411144257	-0.028267507	No	
row_4	AKT2	AKT serine/threonine kinase 2 [Source:HGNC Symbol;Acc:HGNC:392]	2741	0.13517756760120392	-0.0068595167	No	
row_5	APC2	APC regulator of WNT signaling pathway 2 [Source:HGNC Symbol;Acc:HGNC:24036]	2921	0.12946105003356934	0.0052777105	No	
row_6	TP53	tumor protein p53 [Source:HGNC Symbol;Acc:HGNC:11998]	3522	0.11227568238973618	-0.008644412	No	
row_7	RALGDS	ral guanine nucleotide dissociation stimulator [Source:HGNC Symbol;Acc:HGNC:9842]	4247	0.09267757087945938	-0.032709602	No	
row_8	MAPK10	mitogen-activated protein kinase 10 [Source:HGNC Symbol;Acc:HGNC:6872]	4830	0.0798635333776474	-0.051144417	No	
row_9	RAC2	Rac family small GTPase 2 [Source:HGNC Symbol;Acc:HGNC:9802]	5078	0.07388431578874588	-0.052179553	No	
row_10	MAPK3	mitogen-activated protein kinase 3 [Source:HGNC Symbol;Acc:HGNC:6877]	5144	0.07262516766786575	-0.043424033	No	
row_11	PIK3R5	phosphoinositide-3-kinase regulatory subunit 5 [Source:HGNC Symbol;Acc:HGNC:30035]	5203	0.07130604237318039	-0.03450766	No	
row_12	AXIN2	axin 2 [Source:HGNC Symbol;Acc:HGNC:904]	5234	0.0705084428191185	-0.024187546	No	
row_13	CCND1	cyclin D1 [Source:HGNC Symbol;Acc:HGNC:1582]	5323	0.06874016672372818	-0.01735582	No	
row_14	RAC3	Rac family small GTPase 3 [Source:HGNC Symbol;Acc:HGNC:9803]	5349	0.06836666166782379	-0.0071244384	No	
row_15	AXIN1	axin 1 [Source:HGNC Symbol;Acc:HGNC:903]	5474	0.06530458480119705	-0.002854813	No	
row_16	AKT1	AKT serine/threonine kinase 1 [Source:HGNC Symbol;Acc:HGNC:391]	5875	0.055935341864824295	-0.015347171	No	
