NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CPEB1	cytoplasmic polyadenylation element binding protein 1 [Source:HGNC Symbol;Acc:HGNC:21744]	3528	0.11206614226102829	-0.13918246	No	
row_1	ETV7	ETS variant transcription factor 7 [Source:HGNC Symbol;Acc:HGNC:18160]	4597	0.08491182327270508	-0.15658577	No	
row_2	NOTCH1	notch receptor 1 [Source:HGNC Symbol;Acc:HGNC:7881]	4920	0.0775534063577652	-0.13663429	No	
row_3	MAPK3	mitogen-activated protein kinase 3 [Source:HGNC Symbol;Acc:HGNC:6877]	5144	0.07262516766786575	-0.11364226	No	
row_4	EGFR	epidermal growth factor receptor [Source:HGNC Symbol;Acc:HGNC:3236]	6193	0.04916392266750336	-0.14728716	No	
row_5	FMN2	formin 2 [Source:HGNC Symbol;Acc:HGNC:14074]	6587	0.040768448263406754	-0.14907235	No	
row_6	NOTCH3	notch receptor 3 [Source:HGNC Symbol;Acc:HGNC:7883]	7023	0.03239912539720535	-0.15722091	No	
row_7	SPIRE2	spire type actin nucleation factor 2 [Source:HGNC Symbol;Acc:HGNC:30623]	7409	0.024534959346055984	-0.16644095	No	
row_8	NOTCH4	notch receptor 4 [Source:HGNC Symbol;Acc:HGNC:7884]	7815	0.016308140009641647	-0.18074837	No	
row_9	NOTCH2	notch receptor 2 [Source:HGNC Symbol;Acc:HGNC:7882]	8422	0.004765354096889496	-0.21168077	No	
row_10	PIWIL2	piwi like RNA-mediated gene silencing 2 [Source:HGNC Symbol;Acc:HGNC:17644]	10438	-0.011426574550569057	-0.3166767	No	
row_11	ETV6	ETS variant transcription factor 6 [Source:HGNC Symbol;Acc:HGNC:3495]	10591	-0.0142616992816329	-0.31809774	No	
row_12	PIWIL3	piwi like RNA-mediated gene silencing 3 [Source:HGNC Symbol;Acc:HGNC:18443]	11476	-0.032308053225278854	-0.35092157	No	
row_13	SPIRE1	spire type actin nucleation factor 1 [Source:HGNC Symbol;Acc:HGNC:30622]	12105	-0.045393653213977814	-0.36335492	No	
row_14	MAPK1	mitogen-activated protein kinase 1 [Source:HGNC Symbol;Acc:HGNC:6871]	13239	-0.07057186961174011	-0.39127925	No	
row_15	SOS1	SOS Ras/Rac guanine nucleotide exchange factor 1 [Source:HGNC Symbol;Acc:HGNC:11187]	14635	-0.10582908987998962	-0.41647553	Yes	
row_16	GRB2	growth factor receptor bound protein 2 [Source:HGNC Symbol;Acc:HGNC:4566]	14701	-0.10781078040599823	-0.36774996	Yes	
row_17	ETS2	ETS proto-oncogene 2, transcription factor [Source:HGNC Symbol;Acc:HGNC:3489]	14714	-0.10817665606737137	-0.31593946	Yes	
row_18	MAP2K1	mitogen-activated protein kinase kinase 1 [Source:HGNC Symbol;Acc:HGNC:6840]	14757	-0.10947640985250473	-0.2651443	Yes	
row_19	PIWIL1	piwi like RNA-mediated gene silencing 1 [Source:HGNC Symbol;Acc:HGNC:9007]	15846	-0.14308138191699982	-0.25543082	Yes	
row_20	SOS2	SOS Ras/Rho guanine nucleotide exchange factor 2 [Source:HGNC Symbol;Acc:HGNC:11188]	16290	-0.16056343913078308	-0.20185488	Yes	
row_21	PIWIL4	piwi like RNA-mediated gene silencing 4 [Source:HGNC Symbol;Acc:HGNC:18444]	16885	-0.1885022222995758	-0.14301133	Yes	
row_22	ETS1	ETS proto-oncogene 1, transcription factor [Source:HGNC Symbol;Acc:HGNC:3488]	17389	-0.22162427008152008	-0.063110605	Yes	
row_23	KRAS	KRAS proto-oncogene, GTPase [Source:HGNC Symbol;Acc:HGNC:6407]	17461	-0.22761115431785583	0.04339245	Yes	
