NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CAMK2A	calcium/calmodulin dependent protein kinase II alpha [Source:HGNC Symbol;Acc:HGNC:1460]	488	0.2822674512863159	0.009311416	No	
row_1	PAK5	p21 (RAC1) activated kinase 5 [Source:HGNC Symbol;Acc:HGNC:15916]	780	0.2456112504005432	0.024768272	No	
row_2	SRC	SRC proto-oncogene, non-receptor tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:11283]	1880	0.17021891474723816	-0.013907158	No	
row_3	ERBB2	erb-b2 receptor tyrosine kinase 2 [Source:HGNC Symbol;Acc:HGNC:3430]	1914	0.16905832290649414	0.005940054	No	
row_4	JUN	Jun proto-oncogene, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:6204]	2210	0.15614649653434753	0.009712552	No	
row_5	AKT2	AKT serine/threonine kinase 2 [Source:HGNC Symbol;Acc:HGNC:392]	2741	0.13517756760120392	-0.0021360738	No	
row_6	MAP2K7	mitogen-activated protein kinase kinase 7 [Source:HGNC Symbol;Acc:HGNC:6847]	3112	0.12332378327846527	-0.006697459	No	
row_7	PRKCG	protein kinase C gamma [Source:HGNC Symbol;Acc:HGNC:9402]	3307	0.11811218410730362	-0.00223984	No	
row_8	PRKCB	protein kinase C beta [Source:HGNC Symbol;Acc:HGNC:9395]	3592	0.11055206507444382	-0.0037044836	No	
row_9	NRG2	neuregulin 2 [Source:HGNC Symbol;Acc:HGNC:7998]	3664	0.10856840014457703	0.0062999474	No	
row_10	CAMK2B	calcium/calmodulin dependent protein kinase II beta [Source:HGNC Symbol;Acc:HGNC:1461]	3694	0.10756872594356537	0.018487908	No	
row_11	SHC2	SHC adaptor protein 2 [Source:HGNC Symbol;Acc:HGNC:29869]	4141	0.09556825459003448	0.00618692	No	
row_12	CBLC	Cbl proto-oncogene C [Source:HGNC Symbol;Acc:HGNC:15961]	4824	0.07995934784412384	-0.021103382	No	
row_13	MAPK10	mitogen-activated protein kinase 10 [Source:HGNC Symbol;Acc:HGNC:6872]	4830	0.0798635333776474	-0.011144694	No	
row_14	PAK4	p21 (RAC1) activated kinase 4 [Source:HGNC Symbol;Acc:HGNC:16059]	4938	0.07712836563587189	-0.0071504535	No	
row_15	HRAS	HRas proto-oncogene, GTPase [Source:HGNC Symbol;Acc:HGNC:5173]	5073	0.07399147003889084	-0.0050442284	No	
row_16	MAPK3	mitogen-activated protein kinase 3 [Source:HGNC Symbol;Acc:HGNC:6877]	5144	0.07262516766786575	4.093985E-4	No	
row_17	ERBB3	erb-b2 receptor tyrosine kinase 3 [Source:HGNC Symbol;Acc:HGNC:3431]	5149	0.07249844074249268	0.009479348	No	
row_18	PIK3R5	phosphoinositide-3-kinase regulatory subunit 5 [Source:HGNC Symbol;Acc:HGNC:30035]	5203	0.07130604237318039	0.015699599	No	
row_19	CRKL	CRK like proto-oncogene, adaptor protein [Source:HGNC Symbol;Acc:HGNC:2363]	5480	0.06520040333271027	0.008863808	No	
row_20	PRKCA	protein kinase C alpha [Source:HGNC Symbol;Acc:HGNC:9393]	5644	0.06145095080137253	0.0077669383	No	
row_21	AKT1	AKT serine/threonine kinase 1 [Source:HGNC Symbol;Acc:HGNC:391]	5875	0.055935341864824295	0.0022756874	No	
row_22	SHC4	SHC adaptor protein 4 [Source:HGNC Symbol;Acc:HGNC:16743]	6013	0.053313642740249634	0.0015670952	No	
row_23	MTOR	mechanistic target of rapamycin kinase [Source:HGNC Symbol;Acc:HGNC:3942]	6192	0.04916423559188843	-0.001929802	No	
row_24	EGFR	epidermal growth factor receptor [Source:HGNC Symbol;Acc:HGNC:3236]	6193	0.04916392266750336	0.004370168	No	
row_25	EGF	epidermal growth factor [Source:HGNC Symbol;Acc:HGNC:3229]	6369	0.04554695636034012	5.748612E-4	No	
row_26	NRG3	neuregulin 3 [Source:HGNC Symbol;Acc:HGNC:7999]	6674	0.03893434628844261	-0.011167805	No	
row_27	NRG1	neuregulin 1 [Source:HGNC Symbol;Acc:HGNC:7997]	6935	0.03389624133706093	-0.021134358	No	
row_28	BAD	BCL2 associated agonist of cell death [Source:HGNC Symbol;Acc:HGNC:936]	6991	0.032988518476486206	-0.019934272	No	
row_29	NRG4	neuregulin 4 [Source:HGNC Symbol;Acc:HGNC:29862]	7032	0.03218219801783562	-0.01801193	No	
row_30	PLCG1	phospholipase C gamma 1 [Source:HGNC Symbol;Acc:HGNC:9065]	7163	0.029615264385938644	-0.021372011	No	
row_31	SHC3	SHC adaptor protein 3 [Source:HGNC Symbol;Acc:HGNC:18181]	7166	0.029569389298558235	-0.017693004	No	
row_32	EIF4EBP1	eukaryotic translation initiation factor 4E binding protein 1 [Source:HGNC Symbol;Acc:HGNC:3288]	7529	0.022174827754497528	-0.03477552	No	
row_33	CRK	CRK proto-oncogene, adaptor protein [Source:HGNC Symbol;Acc:HGNC:2362]	8188	0.009038861840963364	-0.069832794	No	
row_34	PIK3CB	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit beta [Source:HGNC Symbol;Acc:HGNC:8976]	8398	0.0051225475035607815	-0.08067949	No	
row_35	PAK6	p21 (RAC1) activated kinase 6 [Source:HGNC Symbol;Acc:HGNC:16061]	8617	6.799839902669191E-4	-0.09259082	No	
row_36	PIK3R3	phosphoinositide-3-kinase regulatory subunit 3 [Source:HGNC Symbol;Acc:HGNC:8981]	9867	-2.3488476290367544E-4	-0.16130418	No	
row_37	PLCG2	phospholipase C gamma 2 [Source:HGNC Symbol;Acc:HGNC:9066]	9980	-0.002177471062168479	-0.16718951	No	
row_38	BTC	betacellulin [Source:HGNC Symbol;Acc:HGNC:1121]	10094	-0.0040311310440301895	-0.17289233	No	
row_39	TGFA	transforming growth factor alpha [Source:HGNC Symbol;Acc:HGNC:11765]	10185	-0.0059038749895989895	-0.17708929	No	
row_40	STAT5A	signal transducer and activator of transcription 5A [Source:HGNC Symbol;Acc:HGNC:11366]	10320	-0.008795545436441898	-0.1833374	No	
row_41	RPS6KB2	ribosomal protein S6 kinase B2 [Source:HGNC Symbol;Acc:HGNC:10437]	10643	-0.01539431232959032	-0.19908725	No	
row_42	NCK2	NCK adaptor protein 2 [Source:HGNC Symbol;Acc:HGNC:7665]	11099	-0.024537811055779457	-0.22098556	No	
row_43	RAF1	Raf-1 proto-oncogene, serine/threonine kinase [Source:HGNC Symbol;Acc:HGNC:9829]	11195	-0.0265351589769125	-0.22281398	No	
row_44	ERBB4	erb-b2 receptor tyrosine kinase 4 [Source:HGNC Symbol;Acc:HGNC:3432]	11210	-0.026790553703904152	-0.22015153	No	
row_45	CAMK2G	calcium/calmodulin dependent protein kinase II gamma [Source:HGNC Symbol;Acc:HGNC:1463]	11379	-0.030388878658413887	-0.22550395	No	
row_46	ABL2	ABL proto-oncogene 2, non-receptor tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:77]	11510	-0.032871730625629425	-0.22844674	No	
