NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	FUT5	fucosyltransferase 5 [Source:HGNC Symbol;Acc:HGNC:4016]	211	0.34523525834083557	0.14032221	Yes	
row_1	FUT2	fucosyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:4013]	821	0.24048781394958496	0.21272135	Yes	
row_2	B3GNT4	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 4 [Source:HGNC Symbol;Acc:HGNC:15683]	1316	0.20151592791080475	0.27428275	Yes	
row_3	B3GNT3	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 3 [Source:HGNC Symbol;Acc:HGNC:13528]	2358	0.14982512593269348	0.28309053	Yes	
row_4	FUT7	fucosyltransferase 7 [Source:HGNC Symbol;Acc:HGNC:4018]	2556	0.14230228960514069	0.33489332	Yes	
row_5	B3GALT1	beta-1,3-galactosyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:916]	2728	0.13564182817935944	0.38519204	Yes	
row_6	FUT1	fucosyltransferase 1 (H blood group) [Source:HGNC Symbol;Acc:HGNC:4012]	3435	0.1144750714302063	0.39682564	Yes	
row_7	B4GAT1	beta-1,4-glucuronyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:15685]	4879	0.0788215920329094	0.35233772	Yes	
row_8	B4GALT2	beta-1,4-galactosyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:925]	4893	0.07833719253540039	0.3860917	Yes	
row_9	ST8SIA1	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:10869]	5098	0.07354505360126495	0.40725827	Yes	
row_10	FUT6	fucosyltransferase 6 [Source:HGNC Symbol;Acc:HGNC:4017]	5418	0.06662356853485107	0.41907015	Yes	
row_11	FUT9	fucosyltransferase 9 [Source:HGNC Symbol;Acc:HGNC:4020]	5884	0.05573704466223717	0.41808203	No	
row_12	B3GALT5	beta-1,3-galactosyltransferase 5 [Source:HGNC Symbol;Acc:HGNC:920]	6548	0.0416455939412117	0.40003088	No	
row_13	ST3GAL3	ST3 beta-galactoside alpha-2,3-sialyltransferase 3 [Source:HGNC Symbol;Acc:HGNC:10866]	7067	0.03138487786054611	0.38542038	No	
row_14	B3GALT2	beta-1,3-galactosyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:917]	8890	0.0	0.28545877	No	
row_15	B3GNT5	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 5 [Source:HGNC Symbol;Acc:HGNC:15684]	9119	0.0	0.27294987	No	
row_16	FUT4	fucosyltransferase 4 [Source:HGNC Symbol;Acc:HGNC:4015]	9242	0.0	0.2662565	No	
row_17	B4GALT3	beta-1,4-galactosyltransferase 3 [Source:HGNC Symbol;Acc:HGNC:926]	9851	0.0	0.2328994	No	
row_18	FUT3	fucosyltransferase 3 (Lewis blood group) [Source:HGNC Symbol;Acc:HGNC:4014]	11634	-0.035341791808605194	0.15068223	No	
row_19	B3GNT2	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:15629]	11929	-0.041749145835638046	0.15292132	No	
row_20	ABO	ABO, alpha 1-3-N-acetylgalactosaminyltransferase and alpha 1-3-galactosyltransferase [Source:HGNC Symbol;Acc:HGNC:79]	12266	-0.048377182334661484	0.15577237	No	
row_21	GCNT2	glucosaminyl (N-acetyl) transferase 2 (I blood group) [Source:HGNC Symbol;Acc:HGNC:4204]	12527	-0.05360039696097374	0.16509122	No	
row_22	B4GALT4	beta-1,4-galactosyltransferase 4 [Source:HGNC Symbol;Acc:HGNC:927]	13314	-0.072149857878685	0.15371326	No	
row_23	ST3GAL6	ST3 beta-galactoside alpha-2,3-sialyltransferase 6 [Source:HGNC Symbol;Acc:HGNC:18080]	13599	-0.07903948426246643	0.17290819	No	
row_24	B4GALT1	beta-1,4-galactosyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:924]	13699	-0.08161485940217972	0.20338602	No	
row_25	ST3GAL4	ST3 beta-galactoside alpha-2,3-sialyltransferase 4 [Source:HGNC Symbol;Acc:HGNC:10864]	14612	-0.1053522378206253	0.1997038	No	
