NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	WNT8A	Wnt family member 8A [Source:HGNC Symbol;Acc:HGNC:12788]	141	0.3755798935890198	0.049392395	Yes	
row_1	WNT6	Wnt family member 6 [Source:HGNC Symbol;Acc:HGNC:12785]	150	0.3695290982723236	0.10517272	Yes	
row_2	PRKACG	protein kinase cAMP-activated catalytic subunit gamma [Source:HGNC Symbol;Acc:HGNC:9382]	564	0.2718237638473511	0.12383302	Yes	
row_3	WNT16	Wnt family member 16 [Source:HGNC Symbol;Acc:HGNC:16267]	620	0.265008807182312	0.161129	Yes	
row_4	BMP7	bone morphogenetic protein 7 [Source:HGNC Symbol;Acc:HGNC:1074]	643	0.261907696723938	0.19976655	Yes	
row_5	WNT1	Wnt family member 1 [Source:HGNC Symbol;Acc:HGNC:12774]	1090	0.21768204867839813	0.20837638	Yes	
row_6	WNT9A	Wnt family member 9A [Source:HGNC Symbol;Acc:HGNC:12778]	1158	0.21221177279949188	0.23698042	Yes	
row_7	IHH	Indian hedgehog signaling molecule [Source:HGNC Symbol;Acc:HGNC:5956]	1405	0.19615872204303741	0.2533059	Yes	
row_8	BMP8B	bone morphogenetic protein 8b [Source:HGNC Symbol;Acc:HGNC:1075]	1643	0.1824139803647995	0.26803488	Yes	
row_9	BMP8A	bone morphogenetic protein 8a [Source:HGNC Symbol;Acc:HGNC:21650]	1934	0.16834589838981628	0.2777111	Yes	
row_10	WNT7B	Wnt family member 7B [Source:HGNC Symbol;Acc:HGNC:12787]	2020	0.1644010841846466	0.29805213	Yes	
row_11	WNT3	Wnt family member 3 [Source:HGNC Symbol;Acc:HGNC:12782]	2313	0.1519598513841629	0.3051255	Yes	
row_12	GLI2	GLI family zinc finger 2 [Source:HGNC Symbol;Acc:HGNC:4318]	2637	0.13892312347888947	0.30851197	Yes	
row_13	LRP2	LDL receptor related protein 2 [Source:HGNC Symbol;Acc:HGNC:6694]	2748	0.1349957436323166	0.32300553	Yes	
row_14	CSNK1G1	casein kinase 1 gamma 1 [Source:HGNC Symbol;Acc:HGNC:2454]	3031	0.12529413402080536	0.3265715	Yes	
row_15	WNT11	Wnt family member 11 [Source:HGNC Symbol;Acc:HGNC:12776]	3053	0.12477770447731018	0.34440112	Yes	
row_16	SMO	smoothened, frizzled class receptor [Source:HGNC Symbol;Acc:HGNC:11119]	3599	0.11038443446159363	0.33124658	Yes	
row_17	WNT10B	Wnt family member 10B [Source:HGNC Symbol;Acc:HGNC:12775]	3852	0.10337412357330322	0.3331262	Yes	
row_18	DHH	desert hedgehog signaling molecule [Source:HGNC Symbol;Acc:HGNC:2865]	3883	0.10263679176568985	0.34709278	Yes	
row_19	WNT10A	Wnt family member 10A [Source:HGNC Symbol;Acc:HGNC:13829]	4835	0.07979006320238113	0.3069735	No	
row_20	STK36	serine/threonine kinase 36 [Source:HGNC Symbol;Acc:HGNC:17209]	4868	0.0789981260895729	0.31723377	No	
row_21	WNT3A	Wnt family member 3A [Source:HGNC Symbol;Acc:HGNC:15983]	5056	0.07431488484144211	0.31826416	No	
row_22	ZIC2	Zic family member 2 [Source:HGNC Symbol;Acc:HGNC:12873]	5505	0.06458845734596252	0.3034725	No	
row_23	SUFU	SUFU negative regulator of hedgehog signaling [Source:HGNC Symbol;Acc:HGNC:16466]	5545	0.06359735131263733	0.3110051	No	
row_24	GLI1	GLI family zinc finger 1 [Source:HGNC Symbol;Acc:HGNC:4317]	5628	0.06182029843330383	0.31590438	No	
row_25	WNT5A	Wnt family member 5A [Source:HGNC Symbol;Acc:HGNC:12784]	5725	0.059431008994579315	0.3196709	No	
row_26	WNT2B	Wnt family member 2B [Source:HGNC Symbol;Acc:HGNC:12781]	5951	0.05439044162631035	0.3155818	No	
row_27	GAS1	growth arrest specific 1 [Source:HGNC Symbol;Acc:HGNC:4165]	6617	0.04001832753419876	0.2851277	No	
row_28	GLI3	GLI family zinc finger 3 [Source:HGNC Symbol;Acc:HGNC:4319]	6963	0.03342280164361	0.27125448	No	
row_29	SHH	sonic hedgehog signaling molecule [Source:HGNC Symbol;Acc:HGNC:10848]	6973	0.03325977176427841	0.27582005	No	
row_30	CSNK1G2	casein kinase 1 gamma 2 [Source:HGNC Symbol;Acc:HGNC:2455]	7567	0.021477026864886284	0.24650156	No	
row_31	WNT9B	Wnt family member 9B [Source:HGNC Symbol;Acc:HGNC:12779]	7618	0.020474933087825775	0.24686904	No	
row_32	WNT2	Wnt family member 2 [Source:HGNC Symbol;Acc:HGNC:12780]	7675	0.01921333745121956	0.24671489	No	
row_33	WNT7A	Wnt family member 7A [Source:HGNC Symbol;Acc:HGNC:12786]	8029	0.012027605436742306	0.22914703	No	
row_34	PTCH2	patched 2 [Source:HGNC Symbol;Acc:HGNC:9586]	9965	-0.0018892587395384908	0.12310409	No	
row_35	WNT8B	Wnt family member 8B [Source:HGNC Symbol;Acc:HGNC:12789]	9971	-0.0019940766505897045	0.12313271	No	
row_36	WNT4	Wnt family member 4 [Source:HGNC Symbol;Acc:HGNC:12783]	10460	-0.011895467527210712	0.098126344	No	
row_37	BMP4	bone morphogenetic protein 4 [Source:HGNC Symbol;Acc:HGNC:1071]	10822	-0.019068965688347816	0.08119015	No	
row_38	CSNK1E	casein kinase 1 epsilon [Source:HGNC Symbol;Acc:HGNC:2453]	11052	-0.023834194988012314	0.07223246	No	
row_39	BMP6	bone morphogenetic protein 6 [Source:HGNC Symbol;Acc:HGNC:1073]	11541	-0.03335285186767578	0.05049061	No	
row_40	CSNK1D	casein kinase 1 delta [Source:HGNC Symbol;Acc:HGNC:2452]	12025	-0.043550726026296616	0.030575013	No	
row_41	WNT5B	Wnt family member 5B [Source:HGNC Symbol;Acc:HGNC:16265]	12488	-0.05294373258948326	0.013242434	No	
row_42	PRKACB	protein kinase cAMP-activated catalytic subunit beta [Source:HGNC Symbol;Acc:HGNC:9381]	12784	-0.05936082452535629	0.0060629807	No	
row_43	PRKACA	protein kinase cAMP-activated catalytic subunit alpha [Source:HGNC Symbol;Acc:HGNC:9380]	12861	-0.061499979346990585	0.011243267	No	
row_44	CSNK1A1L	casein kinase 1 alpha 1 like [Source:HGNC Symbol;Acc:HGNC:20289]	13924	-0.08726967871189117	-0.03383764	No	
row_45	RAB23	RAB23, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:14263]	14864	-0.11246168613433838	-0.06832686	No	
row_46	HHIP	hedgehog interacting protein [Source:HGNC Symbol;Acc:HGNC:14866]	15174	-0.12131433188915253	-0.06685006	No	
row_47	BTRC	beta-transducin repeat containing E3 ubiquitin protein ligase [Source:HGNC Symbol;Acc:HGNC:1144]	15521	-0.13155610859394073	-0.065848276	No	
row_48	GSK3B	glycogen synthase kinase 3 beta [Source:HGNC Symbol;Acc:HGNC:4617]	15617	-0.1347706913948059	-0.050564695	No	
row_49	FBXW11	F-box and WD repeat domain containing 11 [Source:HGNC Symbol;Acc:HGNC:13607]	15789	-0.1411622166633606	-0.038484998	No	
row_50	CSNK1G3	casein kinase 1 gamma 3 [Source:HGNC Symbol;Acc:HGNC:2456]	15920	-0.1457236260175705	-0.023458336	No	
row_51	PTCH1	patched 1 [Source:HGNC Symbol;Acc:HGNC:9585]	16117	-0.15336300432682037	-0.010896196	No	
row_52	CSNK1A1	casein kinase 1 alpha 1 [Source:HGNC Symbol;Acc:HGNC:2451]	17213	-0.2100759744644165	-0.039106812	No	
row_53	BMP5	bone morphogenetic protein 5 [Source:HGNC Symbol;Acc:HGNC:1072]	17632	-0.2477208822965622	-0.024388263	No	
row_54	BMP2	bone morphogenetic protein 2 [Source:HGNC Symbol;Acc:HGNC:1069]	18169	-0.38387709856033325	0.0045607835	No	
