NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CACNG5	calcium voltage-gated channel auxiliary subunit gamma 5 [Source:HGNC Symbol;Acc:HGNC:1409]	293	0.3209478557109833	0.017518112	Yes	
row_1	IL6	interleukin 6 [Source:HGNC Symbol;Acc:HGNC:6018]	624	0.26449698209762573	0.027083201	Yes	
row_2	MYL2	myosin light chain 2 [Source:HGNC Symbol;Acc:HGNC:7583]	706	0.2535440921783447	0.04920188	Yes	
row_3	CACNG3	calcium voltage-gated channel auxiliary subunit gamma 3 [Source:HGNC Symbol;Acc:HGNC:1407]	796	0.24284148216247559	0.06975853	Yes	
row_4	MYH7	myosin heavy chain 7 [Source:HGNC Symbol;Acc:HGNC:7577]	844	0.23791775107383728	0.0921102	Yes	
row_5	MYL3	myosin light chain 3 [Source:HGNC Symbol;Acc:HGNC:7584]	864	0.23557068407535553	0.11575661	Yes	
row_6	ACTC1	actin alpha cardiac muscle 1 [Source:HGNC Symbol;Acc:HGNC:143]	878	0.2340671569108963	0.13957557	Yes	
row_7	CACNG4	calcium voltage-gated channel auxiliary subunit gamma 4 [Source:HGNC Symbol;Acc:HGNC:1408]	983	0.22446653246879578	0.1573808	Yes	
row_8	CACNG1	calcium voltage-gated channel auxiliary subunit gamma 1 [Source:HGNC Symbol;Acc:HGNC:1405]	1313	0.2016354501247406	0.16041194	Yes	
row_9	CACNA1S	calcium voltage-gated channel subunit alpha1 S [Source:HGNC Symbol;Acc:HGNC:1397]	1342	0.19983652234077454	0.17981754	Yes	
row_10	TPM2	tropomyosin 2 [Source:HGNC Symbol;Acc:HGNC:12011]	1595	0.18512587249279022	0.18535523	Yes	
row_11	CACNA2D2	calcium voltage-gated channel auxiliary subunit alpha2delta 2 [Source:HGNC Symbol;Acc:HGNC:1400]	1706	0.1788666695356369	0.19805065	Yes	
row_12	SGCA	sarcoglycan alpha [Source:HGNC Symbol;Acc:HGNC:10805]	1735	0.17716436088085175	0.21507981	Yes	
row_13	TNNT2	troponin T2, cardiac type [Source:HGNC Symbol;Acc:HGNC:11949]	1787	0.17440423369407654	0.23055406	Yes	
row_14	CACNB3	calcium voltage-gated channel auxiliary subunit beta 3 [Source:HGNC Symbol;Acc:HGNC:1403]	1828	0.17198531329631805	0.24638005	Yes	
row_15	TNNC1	troponin C1, slow skeletal and cardiac type [Source:HGNC Symbol;Acc:HGNC:11943]	1857	0.17098785936832428	0.2627618	Yes	
row_16	CACNG2	calcium voltage-gated channel auxiliary subunit gamma 2 [Source:HGNC Symbol;Acc:HGNC:1406]	1899	0.16954277455806732	0.27827674	Yes	
row_17	ACE	angiotensin I converting enzyme [Source:HGNC Symbol;Acc:HGNC:2707]	1933	0.16838006675243378	0.29411003	Yes	
row_18	CACNA2D3	calcium voltage-gated channel auxiliary subunit alpha2delta 3 [Source:HGNC Symbol;Acc:HGNC:15460]	2063	0.1619216799736023	0.3039838	Yes	
row_19	CACNB1	calcium voltage-gated channel auxiliary subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:1401]	2065	0.16183626651763916	0.32089204	Yes	
row_20	ITGA2B	integrin subunit alpha 2b [Source:HGNC Symbol;Acc:HGNC:6138]	2081	0.16150206327438354	0.3369949	Yes	
row_21	TNF	tumor necrosis factor [Source:HGNC Symbol;Acc:HGNC:11892]	2264	0.15385892987251282	0.34310713	Yes	
row_22	MYH6	myosin heavy chain 6 [Source:HGNC Symbol;Acc:HGNC:7576]	2308	0.15215027332305908	0.35668898	Yes	
row_23	ITGA11	integrin subunit alpha 11 [Source:HGNC Symbol;Acc:HGNC:6136]	2345	0.15043103694915771	0.3704758	Yes	
row_24	ACTB	actin beta [Source:HGNC Symbol;Acc:HGNC:132]	2459	0.14594264328479767	0.37955514	Yes	
row_25	CACNB2	calcium voltage-gated channel auxiliary subunit beta 2 [Source:HGNC Symbol;Acc:HGNC:1402]	2990	0.1267322450876236	0.36367473	Yes	
row_26	DAG1	dystroglycan 1 [Source:HGNC Symbol;Acc:HGNC:2666]	3042	0.12494150549173355	0.37396443	Yes	
row_27	CACNG7	calcium voltage-gated channel auxiliary subunit gamma 7 [Source:HGNC Symbol;Acc:HGNC:13626]	3359	0.11639633774757385	0.36877635	Yes	
row_28	CACNG6	calcium voltage-gated channel auxiliary subunit gamma 6 [Source:HGNC Symbol;Acc:HGNC:13625]	3558	0.11122442036867142	0.36953932	Yes	
row_29	LMNA	lamin A/C [Source:HGNC Symbol;Acc:HGNC:6636]	3686	0.10789206624031067	0.3738599	Yes	
row_30	PRKAB1	protein kinase AMP-activated non-catalytic subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:9378]	3697	0.10738348215818405	0.3845653	Yes	
row_31	ITGA7	integrin subunit alpha 7 [Source:HGNC Symbol;Acc:HGNC:6143]	3776	0.1052936464548111	0.39130983	Yes	
row_32	CACNA1D	calcium voltage-gated channel subunit alpha1 D [Source:HGNC Symbol;Acc:HGNC:1391]	3788	0.10505907982587814	0.40171656	Yes	
row_33	RYR2	ryanodine receptor 2 [Source:HGNC Symbol;Acc:HGNC:10484]	3882	0.1026478260755539	0.40735835	Yes	
row_34	CACNA2D4	calcium voltage-gated channel auxiliary subunit alpha2delta 4 [Source:HGNC Symbol;Acc:HGNC:20202]	4093	0.09673038125038147	0.40594178	Yes	
row_35	ITGA10	integrin subunit alpha 10 [Source:HGNC Symbol;Acc:HGNC:6135]	4196	0.09407074004411697	0.41018933	Yes	
row_36	CACNG8	calcium voltage-gated channel auxiliary subunit gamma 8 [Source:HGNC Symbol;Acc:HGNC:13628]	4866	0.07908132672309875	0.38166556	No	
row_37	ITGA2	integrin subunit alpha 2 [Source:HGNC Symbol;Acc:HGNC:6137]	5045	0.07465022802352905	0.37969545	No	
row_38	TPM1	tropomyosin 1 [Source:HGNC Symbol;Acc:HGNC:12010]	5059	0.0742928683757782	0.3867673	No	
row_39	ITGA6	integrin subunit alpha 6 [Source:HGNC Symbol;Acc:HGNC:6142]	5179	0.07166310399770737	0.38773066	No	
row_40	TPM4	tropomyosin 4 [Source:HGNC Symbol;Acc:HGNC:12013]	5475	0.0653003379702568	0.37834242	No	
row_41	ITGB4	integrin subunit beta 4 [Source:HGNC Symbol;Acc:HGNC:6158]	5921	0.055083099752664566	0.35962918	No	
row_42	ITGB5	integrin subunit beta 5 [Source:HGNC Symbol;Acc:HGNC:6160]	6211	0.04862864688038826	0.3488236	No	
row_43	TGFB1	transforming growth factor beta 1 [Source:HGNC Symbol;Acc:HGNC:11766]	6283	0.04720006510615349	0.3498641	No	
row_44	CACNA1C	calcium voltage-gated channel subunit alpha1 C [Source:HGNC Symbol;Acc:HGNC:1390]	6845	0.03556136414408684	0.3227216	No	
row_45	CACNB4	calcium voltage-gated channel auxiliary subunit beta 4 [Source:HGNC Symbol;Acc:HGNC:1404]	7095	0.03086516633629799	0.31225514	No	
row_46	ITGB6	integrin subunit beta 6 [Source:HGNC Symbol;Acc:HGNC:6161]	7268	0.027379337698221207	0.3056604	No	
row_47	DES	desmin [Source:HGNC Symbol;Acc:HGNC:2770]	7326	0.026298610493540764	0.30528042	No	
row_48	PRKAG2	protein kinase AMP-activated non-catalytic subunit gamma 2 [Source:HGNC Symbol;Acc:HGNC:9386]	7408	0.02453906461596489	0.3033954	No	
row_49	PRKAG3	protein kinase AMP-activated non-catalytic subunit gamma 3 [Source:HGNC Symbol;Acc:HGNC:9387]	7473	0.023212743923068047	0.30230677	No	
row_50	ACTG1	actin gamma 1 [Source:HGNC Symbol;Acc:HGNC:144]	7801	0.016607511788606644	0.2860538	No	
row_51	ITGA9	integrin subunit alpha 9 [Source:HGNC Symbol;Acc:HGNC:6145]	7885	0.01502186618745327	0.28306115	No	
row_52	ITGA3	integrin subunit alpha 3 [Source:HGNC Symbol;Acc:HGNC:6139]	8451	0.004285907372832298	0.2524203	No	
row_53	TGFB3	transforming growth factor beta 3 [Source:HGNC Symbol;Acc:HGNC:11769]	9127	0.0	0.21527728	No	
row_54	MYBPC3	myosin binding protein C3 [Source:HGNC Symbol;Acc:HGNC:7551]	10029	-0.003036909271031618	0.16601656	No	
row_55	TNNI3	troponin I3, cardiac type [Source:HGNC Symbol;Acc:HGNC:11947]	10281	-0.007880710996687412	0.1530309	No	
row_56	SGCG	sarcoglycan gamma [Source:HGNC Symbol;Acc:HGNC:10809]	10319	-0.008771047927439213	0.15191427	No	
row_57	ITGA5	integrin subunit alpha 5 [Source:HGNC Symbol;Acc:HGNC:6141]	10747	-0.017486518248915672	0.13025077	No	
row_58	TPM3	tropomyosin 3 [Source:HGNC Symbol;Acc:HGNC:12012]	11494	-0.03253292664885521	0.09261087	No	
row_59	TGFB2	transforming growth factor beta 2 [Source:HGNC Symbol;Acc:HGNC:11768]	11499	-0.032598815858364105	0.095807694	No	
row_60	IGF1	insulin like growth factor 1 [Source:HGNC Symbol;Acc:HGNC:5464]	11504	-0.032709695398807526	0.09901613	No	
row_61	PRKAB2	protein kinase AMP-activated non-catalytic subunit beta 2 [Source:HGNC Symbol;Acc:HGNC:9379]	11877	-0.040708575397729874	0.08281317	No	
row_62	ATP2A2	ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 2 [Source:HGNC Symbol;Acc:HGNC:812]	12114	-0.045624662190675735	0.07460913	No	
row_63	ITGB7	integrin subunit beta 7 [Source:HGNC Symbol;Acc:HGNC:6162]	12434	-0.051650501787662506	0.062469494	No	
row_64	SGCD	sarcoglycan delta [Source:HGNC Symbol;Acc:HGNC:10807]	12684	-0.05715209245681763	0.05475838	No	
row_65	ITGAV	integrin subunit alpha V [Source:HGNC Symbol;Acc:HGNC:6150]	13423	-0.07479961961507797	0.021988992	No	
row_66	ITGA4	integrin subunit alpha 4 [Source:HGNC Symbol;Acc:HGNC:6140]	13632	-0.07986792922019958	0.018914992	No	
row_67	ITGB1	integrin subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:6153]	13707	-0.08189335465431213	0.023426868	No	
row_68	ITGB3	integrin subunit beta 3 [Source:HGNC Symbol;Acc:HGNC:6156]	14078	-0.09104199707508087	0.012609782	No	
row_69	ITGB8	integrin subunit beta 8 [Source:HGNC Symbol;Acc:HGNC:6163]	14347	-0.0980759710073471	0.0081427	No	
row_70	SGCB	sarcoglycan beta [Source:HGNC Symbol;Acc:HGNC:10806]	15461	-0.1297074258327484	-0.039506406	No	
row_71	PRKAG1	protein kinase AMP-activated non-catalytic subunit gamma 1 [Source:HGNC Symbol;Acc:HGNC:9385]	16163	-0.15484479069709778	-0.06184968	No	
row_72	ITGA8	integrin subunit alpha 8 [Source:HGNC Symbol;Acc:HGNC:6144]	16462	-0.1673409789800644	-0.06070738	No	
row_73	ITGA1	integrin subunit alpha 1 [Source:HGNC Symbol;Acc:HGNC:6134]	16485	-0.16837890446186066	-0.04426892	No	
row_74	CACNA2D1	calcium voltage-gated channel auxiliary subunit alpha2delta 1 [Source:HGNC Symbol;Acc:HGNC:1399]	16518	-0.16981437802314758	-0.028230269	No	
row_75	PRKAA1	protein kinase AMP-activated catalytic subunit alpha 1 [Source:HGNC Symbol;Acc:HGNC:9376]	16651	-0.17602163553237915	-0.017043656	No	
row_76	PRKAA2	protein kinase AMP-activated catalytic subunit alpha 2 [Source:HGNC Symbol;Acc:HGNC:9377]	17247	-0.21241320669651031	-0.027519928	No	
row_77	LAMA2	laminin subunit alpha 2 [Source:HGNC Symbol;Acc:HGNC:6482]	17324	-0.21669436991214752	-0.008988609	No	
row_78	SLC8A1	solute carrier family 8 member A1 [Source:HGNC Symbol;Acc:HGNC:11068]	17727	-0.25894707441329956	-0.00396717	No	
row_79	TTN	titin [Source:HGNC Symbol;Acc:HGNC:12403]	18010	-0.3129366338253021	0.013316519	No	
