NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	POLD1	DNA polymerase delta 1, catalytic subunit [Source:HGNC Symbol;Acc:HGNC:9175]	2124	0.1600099802017212	-0.03516819	No	
row_1	MSH6	mutS homolog 6 [Source:HGNC Symbol;Acc:HGNC:7329]	2712	0.13616709411144257	0.0018506934	No	
row_2	LIG1	DNA ligase 1 [Source:HGNC Symbol;Acc:HGNC:6598]	4172	0.09453357756137848	-0.030124292	No	
row_3	PCNA	proliferating cell nuclear antigen [Source:HGNC Symbol;Acc:HGNC:8729]	4859	0.07925556600093842	-0.027465127	No	
row_4	RPA2	replication protein A2 [Source:HGNC Symbol;Acc:HGNC:10290]	5898	0.05549324303865433	-0.056192655	No	
row_5	MSH2	mutS homolog 2 [Source:HGNC Symbol;Acc:HGNC:7325]	6555	0.041475217789411545	-0.07109254	No	
row_6	RPA1	replication protein A1 [Source:HGNC Symbol;Acc:HGNC:10289]	7253	0.027622025460004807	-0.095283225	No	
row_7	MLH3	mutL homolog 3 [Source:HGNC Symbol;Acc:HGNC:7128]	8235	0.008165416307747364	-0.144942	No	
row_8	POLD4	DNA polymerase delta 4, accessory subunit [Source:HGNC Symbol;Acc:HGNC:14106]	9000	0.0	-0.18684866	No	
row_9	POLD3	DNA polymerase delta 3, accessory subunit [Source:HGNC Symbol;Acc:HGNC:20932]	10390	-0.010460488498210907	-0.25772026	No	
row_10	MLH1	mutL homolog 1 [Source:HGNC Symbol;Acc:HGNC:7127]	10859	-0.01978619024157524	-0.27333304	No	
row_11	RFC3	replication factor C subunit 3 [Source:HGNC Symbol;Acc:HGNC:9971]	11193	-0.026501398533582687	-0.2781274	No	
row_12	RFC2	replication factor C subunit 2 [Source:HGNC Symbol;Acc:HGNC:9970]	11661	-0.03599609434604645	-0.28544548	No	
row_13	POLD2	DNA polymerase delta 2, accessory subunit [Source:HGNC Symbol;Acc:HGNC:9176]	13210	-0.069815993309021	-0.33486676	No	
row_14	SSBP1	single stranded DNA binding protein 1 [Source:HGNC Symbol;Acc:HGNC:11317]	14180	-0.09351767599582672	-0.34048086	Yes	
row_15	EXO1	exonuclease 1 [Source:HGNC Symbol;Acc:HGNC:3511]	14388	-0.09919651597738266	-0.30141133	Yes	
row_16	RFC1	replication factor C subunit 1 [Source:HGNC Symbol;Acc:HGNC:9969]	15501	-0.13102757930755615	-0.2958021	Yes	
row_17	MSH3	mutS homolog 3 [Source:HGNC Symbol;Acc:HGNC:7326]	15579	-0.13371098041534424	-0.23205736	Yes	
row_18	PMS2	PMS1 homolog 2, mismatch repair system component [Source:HGNC Symbol;Acc:HGNC:9122]	15952	-0.146650031208992	-0.17791668	Yes	
row_19	RPA3	replication protein A3 [Source:HGNC Symbol;Acc:HGNC:10291]	16311	-0.16112612187862396	-0.115649536	Yes	
row_20	RFC5	replication factor C subunit 5 [Source:HGNC Symbol;Acc:HGNC:9973]	16401	-0.1652948260307312	-0.03650827	Yes	
row_21	RFC4	replication factor C subunit 4 [Source:HGNC Symbol;Acc:HGNC:9972]	17800	-0.27144935727119446	0.024792958	Yes	
