NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PGF	placental growth factor [Source:HGNC Symbol;Acc:HGNC:8893]	1109	0.21613404154777527	-0.0136923995	No	
row_1	INS	insulin [Source:HGNC Symbol;Acc:HGNC:6081]	2108	0.16046571731567383	-0.03345154	No	
row_2	ULK3	unc-51 like kinase 3 [Source:HGNC Symbol;Acc:HGNC:19703]	2503	0.14415901899337769	-0.02359439	No	
row_3	AKT2	AKT serine/threonine kinase 2 [Source:HGNC Symbol;Acc:HGNC:392]	2741	0.13517756760120392	-0.007075337	No	
row_4	VEGFA	vascular endothelial growth factor A [Source:HGNC Symbol;Acc:HGNC:12680]	3304	0.11813563108444214	-0.012133402	No	
row_5	TSC2	TSC complex subunit 2 [Source:HGNC Symbol;Acc:HGNC:12363]	4763	0.08150794357061386	-0.07441507	No	
row_6	MAPK3	mitogen-activated protein kinase 3 [Source:HGNC Symbol;Acc:HGNC:6877]	5144	0.07262516766786575	-0.07942001	No	
row_7	PIK3R5	phosphoinositide-3-kinase regulatory subunit 5 [Source:HGNC Symbol;Acc:HGNC:30035]	5203	0.07130604237318039	-0.06702476	No	
row_8	ULK2	unc-51 like autophagy activating kinase 2 [Source:HGNC Symbol;Acc:HGNC:13480]	5503	0.06461064517498016	-0.0693314	No	
row_9	AKT1	AKT serine/threonine kinase 1 [Source:HGNC Symbol;Acc:HGNC:391]	5875	0.055935341864824295	-0.07748889	No	
row_10	VEGFB	vascular endothelial growth factor B [Source:HGNC Symbol;Acc:HGNC:12681]	6072	0.05200178921222687	-0.07689265	No	
row_11	MTOR	mechanistic target of rapamycin kinase [Source:HGNC Symbol;Acc:HGNC:3942]	6192	0.04916423559188843	-0.072686605	No	
row_12	RPTOR	regulatory associated protein of MTOR complex 1 [Source:HGNC Symbol;Acc:HGNC:30287]	6249	0.047902267426252365	-0.06529555	No	
row_13	PDPK1	3-phosphoinositide dependent protein kinase 1 [Source:HGNC Symbol;Acc:HGNC:8816]	6550	0.041624899953603745	-0.072679825	No	
row_14	DDIT4	DNA damage inducible transcript 4 [Source:HGNC Symbol;Acc:HGNC:24944]	6751	0.03732459992170334	-0.07551048	No	
row_15	EIF4EBP1	eukaryotic translation initiation factor 4E binding protein 1 [Source:HGNC Symbol;Acc:HGNC:3288]	7529	0.022174827754497528	-0.113347895	No	
row_16	STRADA	STE20 related adaptor alpha [Source:HGNC Symbol;Acc:HGNC:30172]	7591	0.02096744067966938	-0.112117134	No	
row_17	ULK1	unc-51 like autophagy activating kinase 1 [Source:HGNC Symbol;Acc:HGNC:12558]	7953	0.013604329898953438	-0.12897521	No	
row_18	RPS6KA1	ribosomal protein S6 kinase A1 [Source:HGNC Symbol;Acc:HGNC:10430]	7954	0.013602198101580143	-0.12600294	No	
row_19	PIK3CB	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit beta [Source:HGNC Symbol;Acc:HGNC:8976]	8398	0.0051225475035607815	-0.1492189	No	
row_20	PIK3R3	phosphoinositide-3-kinase regulatory subunit 3 [Source:HGNC Symbol;Acc:HGNC:8981]	9867	-2.3488476290367544E-4	-0.2298092	No	
row_21	STK11	serine/threonine kinase 11 [Source:HGNC Symbol;Acc:HGNC:11389]	10358	-0.009535868652164936	-0.25464264	No	
row_22	EIF4E2	eukaryotic translation initiation factor 4E family member 2 [Source:HGNC Symbol;Acc:HGNC:3293]	10372	-0.009929709136486053	-0.25318697	No	
row_23	RPS6KB2	ribosomal protein S6 kinase B2 [Source:HGNC Symbol;Acc:HGNC:10437]	10643	-0.01539431232959032	-0.26465502	No	
row_24	TSC1	TSC complex subunit 1 [Source:HGNC Symbol;Acc:HGNC:12362]	10940	-0.021699208766222	-0.2761736	No	
row_25	EIF4E1B	eukaryotic translation initiation factor 4E family member 1B [Source:HGNC Symbol;Acc:HGNC:33179]	10995	-0.02273390255868435	-0.2741723	No	
row_26	IGF1	insulin like growth factor 1 [Source:HGNC Symbol;Acc:HGNC:5464]	11504	-0.032709695398807526	-0.29493076	No	
row_27	CAB39L	calcium binding protein 39 like [Source:HGNC Symbol;Acc:HGNC:20290]	11752	-0.038190439343452454	-0.30015406	No	
row_28	RHEB	Ras homolog, mTORC1 binding [Source:HGNC Symbol;Acc:HGNC:10011]	12067	-0.044539935886859894	-0.3076704	No	
row_29	MAPK1	mitogen-activated protein kinase 1 [Source:HGNC Symbol;Acc:HGNC:6871]	13239	-0.07057186961174011	-0.356576	No	
row_30	PIK3CG	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit gamma [Source:HGNC Symbol;Acc:HGNC:8978]	13677	-0.0810818299651146	-0.36286423	Yes	
row_31	RPS6	ribosomal protein S6 [Source:HGNC Symbol;Acc:HGNC:10429]	13803	-0.08417024463415146	-0.35133848	Yes	
row_32	EIF4B	eukaryotic translation initiation factor 4B [Source:HGNC Symbol;Acc:HGNC:3285]	13822	-0.08474849164485931	-0.33380857	Yes	
row_33	EIF4E	eukaryotic translation initiation factor 4E [Source:HGNC Symbol;Acc:HGNC:3287]	13942	-0.08758753538131714	-0.32120648	Yes	
row_34	PIK3CD	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta [Source:HGNC Symbol;Acc:HGNC:8977]	14597	-0.10498639941215515	-0.33419168	Yes	
row_35	RPS6KA2	ribosomal protein S6 kinase A2 [Source:HGNC Symbol;Acc:HGNC:10431]	15069	-0.11858676373958588	-0.33415228	Yes	
row_36	AKT3	AKT serine/threonine kinase 3 [Source:HGNC Symbol;Acc:HGNC:393]	15093	-0.11922822892665863	-0.3093627	Yes	
row_37	VEGFC	vascular endothelial growth factor C [Source:HGNC Symbol;Acc:HGNC:12682]	15429	-0.12873677909374237	-0.2996345	Yes	
row_38	RPS6KB1	ribosomal protein S6 kinase B1 [Source:HGNC Symbol;Acc:HGNC:10436]	16066	-0.15136848390102386	-0.30149576	Yes	
row_39	PIK3R1	phosphoinositide-3-kinase regulatory subunit 1 [Source:HGNC Symbol;Acc:HGNC:8979]	16341	-0.16241487860679626	-0.2810575	Yes	
row_40	PIK3R2	phosphoinositide-3-kinase regulatory subunit 2 [Source:HGNC Symbol;Acc:HGNC:8980]	16417	-0.16582772135734558	-0.24894182	Yes	
row_41	PRKAA1	protein kinase AMP-activated catalytic subunit alpha 1 [Source:HGNC Symbol;Acc:HGNC:9376]	16651	-0.17602163553237915	-0.22327805	Yes	
row_42	CAB39	calcium binding protein 39 [Source:HGNC Symbol;Acc:HGNC:20292]	16652	-0.17603380978107452	-0.18481222	Yes	
row_43	BRAF	B-Raf proto-oncogene, serine/threonine kinase [Source:HGNC Symbol;Acc:HGNC:1097]	16700	-0.17879264056682587	-0.1483254	Yes	
row_44	MLST8	MTOR associated protein, LST8 homolog [Source:HGNC Symbol;Acc:HGNC:24825]	16760	-0.1818457990884781	-0.11183062	Yes	
row_45	RICTOR	RPTOR independent companion of MTOR complex 2 [Source:HGNC Symbol;Acc:HGNC:28611]	16916	-0.19078288972377777	-0.07865653	Yes	
row_46	PRKAA2	protein kinase AMP-activated catalytic subunit alpha 2 [Source:HGNC Symbol;Acc:HGNC:9377]	17247	-0.21241320669651031	-0.050369196	Yes	
row_47	HIF1A	hypoxia inducible factor 1 subunit alpha [Source:HGNC Symbol;Acc:HGNC:4910]	17524	-0.2350134700536728	-0.014177005	Yes	
row_48	PIK3CA	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha [Source:HGNC Symbol;Acc:HGNC:8975]	17631	-0.2476421445608139	0.034113336	Yes	
