NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MCHR1	melanin concentrating hormone receptor 1 [Source:HGNC Symbol;Acc:HGNC:4479]	16	0.5541538596153259	0.017785223	Yes	
row_1	HTR1B	5-hydroxytryptamine receptor 1B [Source:HGNC Symbol;Acc:HGNC:5287]	21	0.5322986841201782	0.035500664	Yes	
row_2	S1PR5	sphingosine-1-phosphate receptor 5 [Source:HGNC Symbol;Acc:HGNC:14299]	25	0.5235583186149597	0.052977126	Yes	
row_3	PTGER1	prostaglandin E receptor 1 [Source:HGNC Symbol;Acc:HGNC:9593]	65	0.4341115653514862	0.065439254	Yes	
row_4	ADRB3	adrenoceptor beta 3 [Source:HGNC Symbol;Acc:HGNC:288]	91	0.41133084893226624	0.077911526	Yes	
row_5	DRD4	dopamine receptor D4 [Source:HGNC Symbol;Acc:HGNC:3025]	131	0.3844151496887207	0.08869896	Yes	
row_6	GRM2	glutamate metabotropic receptor 2 [Source:HGNC Symbol;Acc:HGNC:4594]	151	0.3692391514778137	0.10008616	Yes	
row_7	MC5R	melanocortin 5 receptor [Source:HGNC Symbol;Acc:HGNC:6933]	161	0.3653016686439514	0.111896254	Yes	
row_8	PTGIR	prostaglandin I2 receptor [Source:HGNC Symbol;Acc:HGNC:9602]	243	0.3333470821380615	0.11862931	Yes	
row_9	GRIN2C	glutamate ionotropic receptor NMDA type subunit 2C [Source:HGNC Symbol;Acc:HGNC:4587]	343	0.3081122040748596	0.123511925	Yes	
row_10	CHRNA4	cholinergic receptor nicotinic alpha 4 subunit [Source:HGNC Symbol;Acc:HGNC:1958]	549	0.2735033333301544	0.12133906	Yes	
row_11	LEP	leptin [Source:HGNC Symbol;Acc:HGNC:6553]	569	0.27135103940963745	0.12942757	Yes	
row_12	PRSS1	serine protease 1 [Source:HGNC Symbol;Acc:HGNC:9475]	574	0.2703601121902466	0.13831607	Yes	
row_13	PTH1R	parathyroid hormone 1 receptor [Source:HGNC Symbol;Acc:HGNC:9608]	654	0.2605963349342346	0.14270864	Yes	
row_14	GLP1R	glucagon like peptide 1 receptor [Source:HGNC Symbol;Acc:HGNC:4324]	665	0.25951772928237915	0.15089843	Yes	
row_15	OPRD1	opioid receptor delta 1 [Source:HGNC Symbol;Acc:HGNC:8153]	684	0.25647372007369995	0.15854116	Yes	
row_16	S1PR3	sphingosine-1-phosphate receptor 3 [Source:HGNC Symbol;Acc:HGNC:3167]	705	0.2536819279193878	0.16597869	Yes	
row_17	GRIK3	glutamate ionotropic receptor kainate type subunit 3 [Source:HGNC Symbol;Acc:HGNC:4581]	758	0.24854739010334015	0.17146531	Yes	
row_18	LHB	luteinizing hormone subunit beta [Source:HGNC Symbol;Acc:HGNC:6584]	761	0.2484096884727478	0.17972523	Yes	
row_19	GABRD	gamma-aminobutyric acid type A receptor subunit delta [Source:HGNC Symbol;Acc:HGNC:4084]	842	0.2381390780210495	0.18330547	Yes	
row_20	P2RX6	purinergic receptor P2X 6 [Source:HGNC Symbol;Acc:HGNC:8538]	845	0.23781825602054596	0.19120848	Yes	
row_21	LTB4R2	leukotriene B4 receptor 2 [Source:HGNC Symbol;Acc:HGNC:19260]	905	0.23140683770179749	0.19572859	Yes	
row_22	SSTR5	somatostatin receptor 5 [Source:HGNC Symbol;Acc:HGNC:11334]	957	0.2270652800798416	0.20054686	Yes	
row_23	NTSR2	neurotensin receptor 2 [Source:HGNC Symbol;Acc:HGNC:8040]	1074	0.21914394199848175	0.20148689	Yes	
row_24	MC2R	melanocortin 2 receptor [Source:HGNC Symbol;Acc:HGNC:6930]	1099	0.21672403812408447	0.20745675	Yes	
row_25	GABRB2	gamma-aminobutyric acid type A receptor subunit beta2 [Source:HGNC Symbol;Acc:HGNC:4082]	1169	0.21173858642578125	0.21075848	Yes	
row_26	CRHR2	corticotropin releasing hormone receptor 2 [Source:HGNC Symbol;Acc:HGNC:2358]	1219	0.20846331119537354	0.21506101	Yes	
row_27	GRM8	glutamate metabotropic receptor 8 [Source:HGNC Symbol;Acc:HGNC:4600]	1224	0.20804479718208313	0.22184958	Yes	
row_28	CHRND	cholinergic receptor nicotinic delta subunit [Source:HGNC Symbol;Acc:HGNC:1965]	1243	0.20652221143245697	0.22780901	Yes	
row_29	GRM4	glutamate metabotropic receptor 4 [Source:HGNC Symbol;Acc:HGNC:4596]	1289	0.2034367173910141	0.23216438	Yes	
row_30	TRPV1	transient receptor potential cation channel subfamily V member 1 [Source:HGNC Symbol;Acc:HGNC:12716]	1326	0.2007928192615509	0.2369307	Yes	
row_31	AVPR1A	arginine vasopressin receptor 1A [Source:HGNC Symbol;Acc:HGNC:895]	1358	0.19886019825935364	0.24190967	Yes	
row_32	DRD2	dopamine receptor D2 [Source:HGNC Symbol;Acc:HGNC:3023]	1390	0.19713100790977478	0.24683037	Yes	
row_33	F2RL1	F2R like trypsin receptor 1 [Source:HGNC Symbol;Acc:HGNC:3538]	1417	0.19521376490592957	0.25196427	Yes	
row_34	PRL	prolactin [Source:HGNC Symbol;Acc:HGNC:9445]	1485	0.19161878526210785	0.2546991	Yes	
row_35	GRIK4	glutamate ionotropic receptor kainate type subunit 4 [Source:HGNC Symbol;Acc:HGNC:4582]	1495	0.1912856251001358	0.26064512	Yes	
row_36	GLRB	glycine receptor beta [Source:HGNC Symbol;Acc:HGNC:4329]	1513	0.19019447267055511	0.26610988	Yes	
row_37	GCGR	glucagon receptor [Source:HGNC Symbol;Acc:HGNC:4192]	1582	0.18607068061828613	0.26860222	Yes	
row_38	GABBR2	gamma-aminobutyric acid type B receptor subunit 2 [Source:HGNC Symbol;Acc:HGNC:4507]	1609	0.18449941277503967	0.27337503	Yes	
row_39	VIPR1	vasoactive intestinal peptide receptor 1 [Source:HGNC Symbol;Acc:HGNC:12694]	1611	0.18447694182395935	0.2795361	Yes	
row_40	ADRB2	adrenoceptor beta 2 [Source:HGNC Symbol;Acc:HGNC:286]	1649	0.1818605661392212	0.28360885	Yes	
row_41	CHRNA10	cholinergic receptor nicotinic alpha 10 subunit [Source:HGNC Symbol;Acc:HGNC:13800]	1665	0.18121252954006195	0.28888205	Yes	
row_42	OPRL1	opioid related nociceptin receptor 1 [Source:HGNC Symbol;Acc:HGNC:8155]	1730	0.1774909496307373	0.29130748	Yes	
row_43	TAAR5	trace amine associated receptor 5 [Source:HGNC Symbol;Acc:HGNC:30236]	1850	0.1712733805179596	0.29046768	Yes	
row_44	MCHR2	melanin concentrating hormone receptor 2 [Source:HGNC Symbol;Acc:HGNC:20867]	1920	0.1687461882829666	0.2923206	Yes	
row_45	ADRA1D	adrenoceptor alpha 1D [Source:HGNC Symbol;Acc:HGNC:280]	1967	0.16664531826972961	0.29538062	Yes	
row_46	SSTR4	somatostatin receptor 4 [Source:HGNC Symbol;Acc:HGNC:11333]	1972	0.16631565988063812	0.30076298	Yes	
row_47	ADCYAP1R1	ADCYAP receptor type I [Source:HGNC Symbol;Acc:HGNC:242]	1999	0.165195494890213	0.3048853	Yes	
row_48	UTS2R	urotensin 2 receptor [Source:HGNC Symbol;Acc:HGNC:4468]	2010	0.1646765023469925	0.30987906	Yes	
row_49	GABRG1	gamma-aminobutyric acid type A receptor subunit gamma1 [Source:HGNC Symbol;Acc:HGNC:4086]	2053	0.1624039262533188	0.31301838	Yes	
row_50	GABRR2	gamma-aminobutyric acid type A receptor subunit rho2 [Source:HGNC Symbol;Acc:HGNC:4091]	2084	0.1614052653312683	0.31679073	Yes	
row_51	GZMA	granzyme A [Source:HGNC Symbol;Acc:HGNC:4708]	2119	0.16012154519557953	0.3202976	Yes	
row_52	P2RY2	purinergic receptor P2Y2 [Source:HGNC Symbol;Acc:HGNC:8541]	2157	0.15882256627082825	0.323594	Yes	
row_53	NPBWR2	neuropeptides B and W receptor 2 [Source:HGNC Symbol;Acc:HGNC:4530]	2161	0.15865446627140045	0.32877377	Yes	
row_54	MC1R	melanocortin 1 receptor [Source:HGNC Symbol;Acc:HGNC:6929]	2164	0.1584278643131256	0.33400142	Yes	
row_55	F2RL3	F2R like thrombin or trypsin receptor 3 [Source:HGNC Symbol;Acc:HGNC:3540]	2172	0.15798255801200867	0.3389363	Yes	
