NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RAD23A	RAD23 homolog A, nucleotide excision repair protein [Source:HGNC Symbol;Acc:HGNC:9812]	1156	0.21231688559055328	-0.0053028786	No	
row_1	POLD1	DNA polymerase delta 1, catalytic subunit [Source:HGNC Symbol;Acc:HGNC:9175]	2124	0.1600099802017212	-0.014559322	No	
row_2	POLE3	DNA polymerase epsilon 3, accessory subunit [Source:HGNC Symbol;Acc:HGNC:13546]	2462	0.14584432542324066	0.0068956288	No	
row_3	LIG1	DNA ligase 1 [Source:HGNC Symbol;Acc:HGNC:6598]	4172	0.09453357756137848	-0.061042767	No	
row_4	ERCC1	ERCC excision repair 1, endonuclease non-catalytic subunit [Source:HGNC Symbol;Acc:HGNC:3433]	4333	0.09090365469455719	-0.044921897	No	
row_5	DDB2	damage specific DNA binding protein 2 [Source:HGNC Symbol;Acc:HGNC:2718]	4363	0.09036051481962204	-0.021756781	No	
row_6	PCNA	proliferating cell nuclear antigen [Source:HGNC Symbol;Acc:HGNC:8729]	4859	0.07925556600093842	-0.027221784	No	
row_7	GTF2H5	general transcription factor IIH subunit 5 [Source:HGNC Symbol;Acc:HGNC:21157]	5097	0.07355391979217529	-0.020082474	No	
row_8	ERCC5	ERCC excision repair 5, endonuclease [Source:HGNC Symbol;Acc:HGNC:3437]	5382	0.0675700455904007	-0.017163374	No	
row_9	ERCC2	ERCC excision repair 2, TFIIH core complex helicase subunit [Source:HGNC Symbol;Acc:HGNC:3434]	5495	0.06490380316972733	-0.005530464	No	
row_10	RPA2	replication protein A2 [Source:HGNC Symbol;Acc:HGNC:10290]	5898	0.05549324303865433	-0.012399477	No	
row_11	ERCC8	ERCC excision repair 8, CSA ubiquitin ligase complex subunit [Source:HGNC Symbol;Acc:HGNC:3439]	6917	0.03431935980916023	-0.05889368	No	
row_12	RPA1	replication protein A1 [Source:HGNC Symbol;Acc:HGNC:10289]	7253	0.027622025460004807	-0.06972011	No	
row_13	ERCC3	ERCC excision repair 3, TFIIH core complex helicase subunit [Source:HGNC Symbol;Acc:HGNC:3435]	7356	0.02575262449681759	-0.06826497	No	
row_14	DDB1	damage specific DNA binding protein 1 [Source:HGNC Symbol;Acc:HGNC:2717]	7498	0.022707000374794006	-0.06978573	No	
row_15	CUL4A	cullin 4A [Source:HGNC Symbol;Acc:HGNC:2554]	8118	0.010248115286231041	-0.10096647	No	
row_16	GTF2H3	general transcription factor IIH subunit 3 [Source:HGNC Symbol;Acc:HGNC:4657]	8240	0.00801425613462925	-0.10541465	No	
row_17	POLD4	DNA polymerase delta 4, accessory subunit [Source:HGNC Symbol;Acc:HGNC:14106]	9000	0.0	-0.14709046	No	
row_18	POLD3	DNA polymerase delta 3, accessory subunit [Source:HGNC Symbol;Acc:HGNC:20932]	10390	-0.010460488498210907	-0.22049284	No	
row_19	CDK7	cyclin dependent kinase 7 [Source:HGNC Symbol;Acc:HGNC:1778]	10606	-0.014658915810286999	-0.22828192	No	
row_20	POLE2	DNA polymerase epsilon 2, accessory subunit [Source:HGNC Symbol;Acc:HGNC:9178]	10626	-0.015041888691484928	-0.22520392	No	
row_21	GTF2H1	general transcription factor IIH subunit 1 [Source:HGNC Symbol;Acc:HGNC:4655]	11026	-0.02335120551288128	-0.24071465	No	
row_22	RFC3	replication factor C subunit 3 [Source:HGNC Symbol;Acc:HGNC:9971]	11193	-0.026501398533582687	-0.24256852	No	
row_23	RBX1	ring-box 1 [Source:HGNC Symbol;Acc:HGNC:9928]	11324	-0.028963055461645126	-0.24177122	No	
row_24	POLE	DNA polymerase epsilon, catalytic subunit [Source:HGNC Symbol;Acc:HGNC:9177]	11622	-0.03498008847236633	-0.24849512	No	
row_25	RFC2	replication factor C subunit 2 [Source:HGNC Symbol;Acc:HGNC:9970]	11661	-0.03599609434604645	-0.24071924	No	
