NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	OR5A1	olfactory receptor family 5 subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:8319]	4	0.6060701012611389	0.012685415	Yes	
row_1	OR10A2	olfactory receptor family 10 subfamily A member 2 [Source:HGNC Symbol;Acc:HGNC:8161]	10	0.5768153667449951	0.024691852	Yes	
row_2	OR6N1	olfactory receptor family 6 subfamily N member 1 [Source:HGNC Symbol;Acc:HGNC:15034]	13	0.5626688599586487	0.036564592	Yes	
row_3	OR4K2	olfactory receptor family 4 subfamily K member 2 [Source:HGNC Symbol;Acc:HGNC:14728]	17	0.5523606538772583	0.048161905	Yes	
row_4	OR51E1	olfactory receptor family 51 subfamily E member 1 [Source:HGNC Symbol;Acc:HGNC:15194]	28	0.5048438310623169	0.05835603	Yes	
row_5	OR8D1	olfactory receptor family 8 subfamily D member 1 [Source:HGNC Symbol;Acc:HGNC:8481]	44	0.46516719460487366	0.06742571	Yes	
row_6	OR13C3	olfactory receptor family 13 subfamily C member 3 [Source:HGNC Symbol;Acc:HGNC:14704]	62	0.4364340305328369	0.07577165	Yes	
row_7	OR51E2	olfactory receptor family 51 subfamily E member 2 [Source:HGNC Symbol;Acc:HGNC:15195]	118	0.39323025941848755	0.08107423	Yes	
row_8	OR4D2	olfactory receptor family 4 subfamily D member 2 [Source:HGNC Symbol;Acc:HGNC:8294]	120	0.39225348830223083	0.089373104	Yes	
row_9	OR10R2	olfactory receptor family 10 subfamily R member 2 [Source:HGNC Symbol;Acc:HGNC:14820]	147	0.3706357479095459	0.095814735	Yes	
row_10	OR10G2	olfactory receptor family 10 subfamily G member 2 [Source:HGNC Symbol;Acc:HGNC:8170]	194	0.350119024515152	0.10070193	Yes	
row_11	OR4K5	olfactory receptor family 4 subfamily K member 5 [Source:HGNC Symbol;Acc:HGNC:14745]	197	0.34972718358039856	0.10803915	Yes	
row_12	OR14C36	olfactory receptor family 14 subfamily C member 36 [Source:HGNC Symbol;Acc:HGNC:15026]	222	0.3406055271625519	0.11395289	Yes	
row_13	OR56A3	olfactory receptor family 56 subfamily A member 3 [Source:HGNC Symbol;Acc:HGNC:14786]	246	0.3329572379589081	0.11975961	Yes	
row_14	OR13C9	olfactory receptor family 13 subfamily C member 9 [Source:HGNC Symbol;Acc:HGNC:15104]	247	0.3321986794471741	0.12683523	Yes	
row_15	OR5D16	olfactory receptor family 5 subfamily D member 16 [Source:HGNC Symbol;Acc:HGNC:15283]	257	0.32638242840766907	0.1332841	Yes	
row_16	OR2T12	olfactory receptor family 2 subfamily T member 12 [Source:HGNC Symbol;Acc:HGNC:19592]	262	0.32550325989723206	0.13999364	Yes	
row_17	OR6C75	olfactory receptor family 6 subfamily C member 75 [Source:HGNC Symbol;Acc:HGNC:31304]	264	0.3253132998943329	0.14686672	Yes	
row_18	OR52K1	olfactory receptor family 52 subfamily K member 1 [Source:HGNC Symbol;Acc:HGNC:15222]	267	0.3244352638721466	0.15366524	Yes	
row_19	OR5C1	olfactory receptor family 5 subfamily C member 1 [Source:HGNC Symbol;Acc:HGNC:8331]	269	0.3242653012275696	0.16051602	Yes	
row_20	OR2D3	olfactory receptor family 2 subfamily D member 3 [Source:HGNC Symbol;Acc:HGNC:15146]	277	0.32299941778182983	0.16700459	Yes	
row_21	OR56A4	olfactory receptor family 56 subfamily A member 4 [Source:HGNC Symbol;Acc:HGNC:14791]	312	0.3160747289657593	0.17183712	Yes	
row_22	OR10AG1	olfactory receptor family 10 subfamily AG member 1 [Source:HGNC Symbol;Acc:HGNC:19607]	319	0.3145917057991028	0.1782025	Yes	
row_23	OR5AS1	olfactory receptor family 5 subfamily AS member 1 [Source:HGNC Symbol;Acc:HGNC:15261]	389	0.29713159799575806	0.18067603	Yes	
row_24	OR5AU1	olfactory receptor family 5 subfamily AU member 1 [Source:HGNC Symbol;Acc:HGNC:15362]	439	0.29014337062835693	0.18411817	Yes	
row_25	OR6M1	olfactory receptor family 6 subfamily M member 1 [Source:HGNC Symbol;Acc:HGNC:14711]	443	0.28994879126548767	0.19012627	Yes	
row_26	OR4K13	olfactory receptor family 4 subfamily K member 13 [Source:HGNC Symbol;Acc:HGNC:15351]	466	0.2859181761741638	0.19498695	Yes	
row_27	CAMK2A	calcium/calmodulin dependent protein kinase II alpha [Source:HGNC Symbol;Acc:HGNC:1460]	488	0.2822674512863159	0.19982575	Yes	
row_28	OR10A7	olfactory receptor family 10 subfamily A member 7 [Source:HGNC Symbol;Acc:HGNC:15329]	493	0.28127846121788025	0.20559332	Yes	
row_29	OR5D14	olfactory receptor family 5 subfamily D member 14 [Source:HGNC Symbol;Acc:HGNC:15281]	499	0.28081342577934265	0.2112951	Yes	
row_30	OR10A3	olfactory receptor family 10 subfamily A member 3 [Source:HGNC Symbol;Acc:HGNC:8162]	509	0.278338223695755	0.21672067	Yes	
row_31	OR11L1	olfactory receptor family 11 subfamily L member 1 [Source:HGNC Symbol;Acc:HGNC:14998]	521	0.27697041630744934	0.22200537	Yes	
row_32	OR6F1	olfactory receptor family 6 subfamily F member 1 [Source:HGNC Symbol;Acc:HGNC:15027]	528	0.27612847089767456	0.2275515	Yes	
row_33	OR9A2	olfactory receptor family 9 subfamily A member 2 [Source:HGNC Symbol;Acc:HGNC:15093]	529	0.2759712338447571	0.2334295	Yes	
row_34	OR10A5	olfactory receptor family 10 subfamily A member 5 [Source:HGNC Symbol;Acc:HGNC:15131]	558	0.2729816138744354	0.23767942	Yes	
row_35	PRKACG	protein kinase cAMP-activated catalytic subunit gamma [Source:HGNC Symbol;Acc:HGNC:9382]	564	0.2718237638473511	0.24318974	Yes	
row_36	OR10H4	olfactory receptor family 10 subfamily H member 4 [Source:HGNC Symbol;Acc:HGNC:15388]	609	0.2666907012462616	0.2464117	Yes	
row_37	OR5B17	olfactory receptor family 5 subfamily B member 17 [Source:HGNC Symbol;Acc:HGNC:15267]	627	0.26422998309135437	0.2510898	Yes	
row_38	OR6T1	olfactory receptor family 6 subfamily T member 1 [Source:HGNC Symbol;Acc:HGNC:14848]	661	0.2598971724510193	0.25478166	Yes	
row_39	OR8B8	olfactory receptor family 8 subfamily B member 8 [Source:HGNC Symbol;Acc:HGNC:8477]	688	0.2560689151287079	0.2587831	Yes	
row_40	OR2T27	olfactory receptor family 2 subfamily T member 27 [Source:HGNC Symbol;Acc:HGNC:31252]	702	0.25389474630355835	0.26346454	Yes	
row_41	OR5D18	olfactory receptor family 5 subfamily D member 18 [Source:HGNC Symbol;Acc:HGNC:15285]	731	0.2508504390716553	0.2672431	Yes	
