NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	EGR1	early growth response 1 [Source:HGNC Symbol;Acc:HGNC:3238]	263	0.3254311978816986	0.0616192	Yes	
row_1	C1QC	complement C1q C chain [Source:HGNC Symbol;Acc:HGNC:1245]	283	0.32189837098121643	0.13580465	Yes	
row_2	PRKACG	protein kinase cAMP-activated catalytic subunit gamma [Source:HGNC Symbol;Acc:HGNC:9382]	564	0.2718237638473511	0.18396264	Yes	
row_3	HSPA1A	heat shock protein family A (Hsp70) member 1A [Source:HGNC Symbol;Acc:HGNC:5232]	598	0.2682502567768097	0.24484205	Yes	
row_4	IL6	interleukin 6 [Source:HGNC Symbol;Acc:HGNC:6018]	624	0.26449698209762573	0.30528337	Yes	
row_5	CCL5	C-C motif chemokine ligand 5 [Source:HGNC Symbol;Acc:HGNC:10632]	647	0.2614396810531616	0.36517486	Yes	
row_6	C1QA	complement C1q A chain [Source:HGNC Symbol;Acc:HGNC:1241]	664	0.25955429673194885	0.42495504	Yes	
row_7	BAX	BCL2 associated X, apoptosis regulator [Source:HGNC Symbol;Acc:HGNC:959]	932	0.22932890057563782	0.4638954	Yes	
row_8	HSPA5	heat shock protein family A (Hsp70) member 5 [Source:HGNC Symbol;Acc:HGNC:5238]	4066	0.0974695160984993	0.31472033	No	
row_9	IL1B	interleukin 1 beta [Source:HGNC Symbol;Acc:HGNC:5992]	4344	0.09076981991529465	0.32073033	No	
row_10	STIP1	stress induced phosphoprotein 1 [Source:HGNC Symbol;Acc:HGNC:11387]	4456	0.08809880167245865	0.33522698	No	
row_11	NOTCH1	notch receptor 1 [Source:HGNC Symbol;Acc:HGNC:7881]	4920	0.0775534063577652	0.32793972	No	
row_12	C8B	complement C8 beta chain [Source:HGNC Symbol;Acc:HGNC:1353]	5088	0.07375060766935349	0.33600962	No	
row_13	MAPK3	mitogen-activated protein kinase 3 [Source:HGNC Symbol;Acc:HGNC:6877]	5144	0.07262516766786575	0.3499636	No	
row_14	C9	complement C9 [Source:HGNC Symbol;Acc:HGNC:1358]	5879	0.05586598068475723	0.32273418	No	
row_15	PRNP	prion protein [Source:HGNC Symbol;Acc:HGNC:9449]	6310	0.04654209688305855	0.31001073	No	
row_16	FYN	FYN proto-oncogene, Src family tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:4037]	8467	0.00396299920976162	0.19260539	No	
row_17	C1QB	complement C1q B chain [Source:HGNC Symbol;Acc:HGNC:1242]	8526	0.0026678398717194796	0.19004555	No	
row_18	C8G	complement C8 gamma chain [Source:HGNC Symbol;Acc:HGNC:1354]	9025	0.0	0.16271295	No	
row_19	C6	complement C6 [Source:HGNC Symbol;Acc:HGNC:1339]	11640	-0.03548752889037132	0.027537733	No	
row_20	SOD1	superoxide dismutase 1 [Source:HGNC Symbol;Acc:HGNC:11179]	11702	-0.03699628263711929	0.032835867	No	
row_21	C8A	complement C8 alpha chain [Source:HGNC Symbol;Acc:HGNC:1352]	12042	-0.04393036291003227	0.024496548	No	
row_22	PRKACB	protein kinase cAMP-activated catalytic subunit beta [Source:HGNC Symbol;Acc:HGNC:9381]	12784	-0.05936082452535629	-0.0023003086	No	
row_23	PRKACA	protein kinase cAMP-activated catalytic subunit alpha [Source:HGNC Symbol;Acc:HGNC:9380]	12861	-0.061499979346990585	0.007901113	No	
row_24	MAPK1	mitogen-activated protein kinase 1 [Source:HGNC Symbol;Acc:HGNC:6871]	13239	-0.07057186961174011	0.0037023453	No	
row_25	MAP2K2	mitogen-activated protein kinase kinase 2 [Source:HGNC Symbol;Acc:HGNC:6842]	13691	-0.08140046149492264	-0.0020272306	No	
row_26	NCAM1	neural cell adhesion molecule 1 [Source:HGNC Symbol;Acc:HGNC:7656]	13941	-0.08757386356592178	0.0047726473	No	
row_27	MAP2K1	mitogen-activated protein kinase kinase 1 [Source:HGNC Symbol;Acc:HGNC:6840]	14757	-0.10947640985250473	-0.014373573	No	
row_28	NCAM2	neural cell adhesion molecule 2 [Source:HGNC Symbol;Acc:HGNC:7657]	14973	-0.11554720252752304	8.2980725E-4	No	
row_29	C5	complement C5 [Source:HGNC Symbol;Acc:HGNC:1331]	15152	-0.1206354945898056	0.019253068	No	
row_30	LAMC1	laminin subunit gamma 1 [Source:HGNC Symbol;Acc:HGNC:6492]	16456	-0.1671348214149475	-0.013202027	No	
row_31	C7	complement C7 [Source:HGNC Symbol;Acc:HGNC:1346]	16715	-0.17959028482437134	0.0146082975	No	
row_32	IL1A	interleukin 1 alpha [Source:HGNC Symbol;Acc:HGNC:5991]	17970	-0.2982202470302582	0.015477469	No	
