NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PAK5	p21 (RAC1) activated kinase 5 [Source:HGNC Symbol;Acc:HGNC:15916]	780	0.2456112504005432	-0.006191882	No	
row_1	PGF	placental growth factor [Source:HGNC Symbol;Acc:HGNC:8893]	1109	0.21613404154777527	0.008066153	No	
row_2	JUN	Jun proto-oncogene, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:6204]	2210	0.15614649653434753	-0.029089145	No	
row_3	AKT2	AKT serine/threonine kinase 2 [Source:HGNC Symbol;Acc:HGNC:392]	2741	0.13517756760120392	-0.03803475	No	
row_4	VEGFA	vascular endothelial growth factor A [Source:HGNC Symbol;Acc:HGNC:12680]	3304	0.11813563108444214	-0.051286284	No	
row_5	ARNT2	aryl hydrocarbon receptor nuclear translocator 2 [Source:HGNC Symbol;Acc:HGNC:16876]	4305	0.09155753254890442	-0.092593476	No	
row_6	PAK4	p21 (RAC1) activated kinase 4 [Source:HGNC Symbol;Acc:HGNC:16059]	4938	0.07712836563587189	-0.11582127	No	
row_7	HRAS	HRas proto-oncogene, GTPase [Source:HGNC Symbol;Acc:HGNC:5173]	5073	0.07399147003889084	-0.11213406	No	
row_8	MAPK3	mitogen-activated protein kinase 3 [Source:HGNC Symbol;Acc:HGNC:6877]	5144	0.07262516766786575	-0.10513181	No	
row_9	PIK3R5	phosphoinositide-3-kinase regulatory subunit 5 [Source:HGNC Symbol;Acc:HGNC:30035]	5203	0.07130604237318039	-0.097666815	No	
row_10	CRKL	CRK like proto-oncogene, adaptor protein [Source:HGNC Symbol;Acc:HGNC:2363]	5480	0.06520040333271027	-0.10310134	No	
row_11	AKT1	AKT serine/threonine kinase 1 [Source:HGNC Symbol;Acc:HGNC:391]	5875	0.055935341864824295	-0.11640872	No	
row_12	VEGFB	vascular endothelial growth factor B [Source:HGNC Symbol;Acc:HGNC:12681]	6072	0.05200178921222687	-0.11941634	No	
row_13	TGFB1	transforming growth factor beta 1 [Source:HGNC Symbol;Acc:HGNC:11766]	6283	0.04720006510615349	-0.12391124	No	
row_14	EGLN3	egl-9 family hypoxia inducible factor 3 [Source:HGNC Symbol;Acc:HGNC:14661]	6652	0.039282940328121185	-0.13827708	No	
row_15	SLC2A1	solute carrier family 2 member 1 [Source:HGNC Symbol;Acc:HGNC:11005]	7280	0.027066221460700035	-0.16871002	No	
row_16	CRK	CRK proto-oncogene, adaptor protein [Source:HGNC Symbol;Acc:HGNC:2362]	8188	0.009038861840963364	-0.217233	No	
row_17	PIK3CB	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit beta [Source:HGNC Symbol;Acc:HGNC:8976]	8398	0.0051225475035607815	-0.22795998	No	
row_18	PDGFB	platelet derived growth factor subunit B [Source:HGNC Symbol;Acc:HGNC:8800]	8550	0.0020127908792346716	-0.23596232	No	
row_19	CUL2	cullin 2 [Source:HGNC Symbol;Acc:HGNC:2552]	8554	0.0019462304189801216	-0.23583648	No	
row_20	PAK6	p21 (RAC1) activated kinase 6 [Source:HGNC Symbol;Acc:HGNC:16061]	8617	6.799839902669191E-4	-0.2391441	No	
row_21	EGLN2	egl-9 family hypoxia inducible factor 2 [Source:HGNC Symbol;Acc:HGNC:14660]	8684	0.0	-0.24277326	No	
row_22	TGFB3	transforming growth factor beta 3 [Source:HGNC Symbol;Acc:HGNC:11769]	9127	0.0	-0.26707768	No	
row_23	FLCN	folliculin [Source:HGNC Symbol;Acc:HGNC:27310]	9753	0.0	-0.30144477	No	
row_24	PIK3R3	phosphoinositide-3-kinase regulatory subunit 3 [Source:HGNC Symbol;Acc:HGNC:8981]	9867	-2.3488476290367544E-4	-0.30762324	No	
row_25	TGFA	transforming growth factor alpha [Source:HGNC Symbol;Acc:HGNC:11765]	10185	-0.0059038749895989895	-0.3241721	No	
row_26	EPAS1	endothelial PAS domain protein 1 [Source:HGNC Symbol;Acc:HGNC:3374]	10231	-0.006709558889269829	-0.32564402	No	
row_27	RAF1	Raf-1 proto-oncogene, serine/threonine kinase [Source:HGNC Symbol;Acc:HGNC:9829]	11195	-0.0265351589769125	-0.37463206	No	
row_28	RBX1	ring-box 1 [Source:HGNC Symbol;Acc:HGNC:9928]	11324	-0.028963055461645126	-0.37734288	No	
row_29	TGFB2	transforming growth factor beta 2 [Source:HGNC Symbol;Acc:HGNC:11768]	11499	-0.032598815858364105	-0.3820399	No	
row_30	PTPN11	protein tyrosine phosphatase non-receptor type 11 [Source:HGNC Symbol;Acc:HGNC:9644]	11783	-0.03903071954846382	-0.39176953	No	
row_31	ELOB	elongin B [Source:HGNC Symbol;Acc:HGNC:11619]	11799	-0.039317019283771515	-0.38671973	No	
row_32	VHL	von Hippel-Lindau tumor suppressor [Source:HGNC Symbol;Acc:HGNC:12687]	11842	-0.040158987045288086	-0.3830288	No	
row_33	MAPK1	mitogen-activated protein kinase 1 [Source:HGNC Symbol;Acc:HGNC:6871]	13239	-0.07057186961174011	-0.4492466	Yes	
row_34	RAP1A	RAP1A, member of RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9855]	13376	-0.07374293357133865	-0.4457065	Yes	
row_35	ELOC	elongin C [Source:HGNC Symbol;Acc:HGNC:11617]	13441	-0.07522451877593994	-0.43798593	Yes	
row_36	PIK3CG	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit gamma [Source:HGNC Symbol;Acc:HGNC:8978]	13677	-0.0810818299651146	-0.43879303	Yes	
row_37	MAP2K2	mitogen-activated protein kinase kinase 2 [Source:HGNC Symbol;Acc:HGNC:6842]	13691	-0.08140046149492264	-0.42734534	Yes	
row_38	RAC1	Rac family small GTPase 1 [Source:HGNC Symbol;Acc:HGNC:9801]	13989	-0.08883022516965866	-0.43040392	Yes	
row_39	CREBBP	CREB binding protein [Source:HGNC Symbol;Acc:HGNC:2348]	14218	-0.0945085808634758	-0.42881995	Yes	
row_40	ARNT	aryl hydrocarbon receptor nuclear translocator [Source:HGNC Symbol;Acc:HGNC:700]	14461	-0.10097811371088028	-0.42703915	Yes	
row_41	RAP1B	RAP1B, member of RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9857]	14487	-0.10166409611701965	-0.41322356	Yes	
row_42	PIK3CD	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta [Source:HGNC Symbol;Acc:HGNC:8977]	14597	-0.10498639941215515	-0.40353054	Yes	
row_43	SOS1	SOS Ras/Rac guanine nucleotide exchange factor 1 [Source:HGNC Symbol;Acc:HGNC:11187]	14635	-0.10582908987998962	-0.3897525	Yes	
row_44	GRB2	growth factor receptor bound protein 2 [Source:HGNC Symbol;Acc:HGNC:4566]	14701	-0.10781078040599823	-0.37721804	Yes	
row_45	MAP2K1	mitogen-activated protein kinase kinase 1 [Source:HGNC Symbol;Acc:HGNC:6840]	14757	-0.10947640985250473	-0.3638848	Yes	
row_46	RAPGEF1	Rap guanine nucleotide exchange factor 1 [Source:HGNC Symbol;Acc:HGNC:4568]	14857	-0.11229044944047928	-0.35255057	Yes	
row_47	PAK2	p21 (RAC1) activated kinase 2 [Source:HGNC Symbol;Acc:HGNC:8591]	14982	-0.11580421030521393	-0.342066	Yes	
row_48	EP300	E1A binding protein p300 [Source:HGNC Symbol;Acc:HGNC:3373]	15026	-0.11725028604269028	-0.3269114	Yes	
row_49	AKT3	AKT serine/threonine kinase 3 [Source:HGNC Symbol;Acc:HGNC:393]	15093	-0.11922822892665863	-0.31272596	Yes	
row_50	PAK1	p21 (RAC1) activated kinase 1 [Source:HGNC Symbol;Acc:HGNC:8590]	15398	-0.12782295048236847	-0.3103433	Yes	
row_51	VEGFC	vascular endothelial growth factor C [Source:HGNC Symbol;Acc:HGNC:12682]	15429	-0.12873677909374237	-0.2927576	Yes	
row_52	HGF	hepatocyte growth factor [Source:HGNC Symbol;Acc:HGNC:4893]	15547	-0.13259504735469818	-0.27937928	Yes	
row_53	GAB1	GRB2 associated binding protein 1 [Source:HGNC Symbol;Acc:HGNC:4066]	15826	-0.14245443046092987	-0.2733808	Yes	
row_54	CDC42	cell division cycle 42 [Source:HGNC Symbol;Acc:HGNC:1736]	15969	-0.14760228991508484	-0.25913486	Yes	
