NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TRADD	TNFRSF1A associated via death domain [Source:HGNC Symbol;Acc:HGNC:12030]	322	0.3140290677547455	0.026397644	No	
row_1	ISG15	ISG15 ubiquitin like modifier [Source:HGNC Symbol;Acc:HGNC:4053]	721	0.25163570046424866	0.03985346	No	
row_2	IFNB1	interferon beta 1 [Source:HGNC Symbol;Acc:HGNC:5434]	792	0.24323712289333344	0.0701656	No	
row_3	IL12A	interleukin 12A [Source:HGNC Symbol;Acc:HGNC:5969]	869	0.2350585013628006	0.098999165	No	
row_4	FADD	Fas associated via death domain [Source:HGNC Symbol;Acc:HGNC:3573]	2148	0.15914228558540344	0.051075947	No	
row_5	TNF	tumor necrosis factor [Source:HGNC Symbol;Acc:HGNC:11892]	2264	0.15385892987251282	0.066361	No	
row_6	TKFC	triokinase and FMN cyclase [Source:HGNC Symbol;Acc:HGNC:24552]	3208	0.12069330364465714	0.031458605	No	
row_7	IFNA4	interferon alpha 4 [Source:HGNC Symbol;Acc:HGNC:5425]	3460	0.11399728059768677	0.033667043	No	
row_8	MAPK12	mitogen-activated protein kinase 12 [Source:HGNC Symbol;Acc:HGNC:6874]	3463	0.11393031477928162	0.049557924	No	
row_9	IFNA8	interferon alpha 8 [Source:HGNC Symbol;Acc:HGNC:5429]	3564	0.11117082834243774	0.05967249	No	
row_10	IFNA5	interferon alpha 5 [Source:HGNC Symbol;Acc:HGNC:5426]	4125	0.0958872139453888	0.042346377	No	
row_11	PIN1	peptidylprolyl cis/trans isomerase, NIMA-interacting 1 [Source:HGNC Symbol;Acc:HGNC:8988]	4386	0.08977530151605606	0.04065809	No	
row_12	NLRX1	NLR family member X1 [Source:HGNC Symbol;Acc:HGNC:29890]	4481	0.08760789036750793	0.047793303	No	
row_13	IL12B	interleukin 12B [Source:HGNC Symbol;Acc:HGNC:5970]	4603	0.084832563996315	0.053054076	No	
row_14	IFNA13	interferon alpha 13 [Source:HGNC Symbol;Acc:HGNC:5419]	4702	0.08273425698280334	0.059284866	No	
row_15	MAPK10	mitogen-activated protein kinase 10 [Source:HGNC Symbol;Acc:HGNC:6872]	4830	0.0798635333776474	0.063517846	No	
row_16	IKBKB	inhibitor of nuclear factor kappa B kinase subunit beta [Source:HGNC Symbol;Acc:HGNC:5960]	5536	0.06376149505376816	0.033706695	No	
row_17	NFKBIB	NFKB inhibitor beta [Source:HGNC Symbol;Acc:HGNC:7798]	5742	0.0591067373752594	0.030735489	No	
row_18	TRIM25	tripartite motif containing 25 [Source:HGNC Symbol;Acc:HGNC:12932]	6411	0.04478178173303604	2.9328096E-4	No	
row_19	IKBKE	inhibitor of nuclear factor kappa B kinase subunit epsilon [Source:HGNC Symbol;Acc:HGNC:14552]	6419	0.044509224593639374	0.006159433	No	
row_20	RIPK1	receptor interacting serine/threonine kinase 1 [Source:HGNC Symbol;Acc:HGNC:10019]	7355	0.025754665955901146	-0.041636646	No	
row_21	MAVS	mitochondrial antiviral signaling protein [Source:HGNC Symbol;Acc:HGNC:29233]	7945	0.013820544816553593	-0.07208318	No	
row_22	MAPK11	mitogen-activated protein kinase 11 [Source:HGNC Symbol;Acc:HGNC:6873]	7995	0.012810762040317059	-0.07297836	No	
row_23	IFNA6	interferon alpha 6 [Source:HGNC Symbol;Acc:HGNC:5427]	8218	0.008573844097554684	-0.08398141	No	
row_24	CHUK	component of inhibitor of nuclear factor kappa B kinase complex [Source:HGNC Symbol;Acc:HGNC:1974]	8247	0.007915333844721317	-0.08440939	No	
row_25	TRAF3	TNF receptor associated factor 3 [Source:HGNC Symbol;Acc:HGNC:12033]	8315	0.006517693866044283	-0.08717817	No	
row_26	NFKBIA	NFKB inhibitor alpha [Source:HGNC Symbol;Acc:HGNC:7797]	8488	0.0034787452314049006	-0.096147425	No	
row_27	IRF7	interferon regulatory factor 7 [Source:HGNC Symbol;Acc:HGNC:6122]	8558	0.0018950561061501503	-0.0996754	No	
row_28	IFNK	interferon kappa [Source:HGNC Symbol;Acc:HGNC:21714]	8669	0.0	-0.105724014	No	
row_29	IFNA16	interferon alpha 16 [Source:HGNC Symbol;Acc:HGNC:5421]	9294	0.0	-0.14003612	No	
row_30	IFNA10	interferon alpha 10 [Source:HGNC Symbol;Acc:HGNC:5418]	9297	0.0	-0.14014609	No	
row_31	CXCL10	C-X-C motif chemokine ligand 10 [Source:HGNC Symbol;Acc:HGNC:10637]	9361	0.0	-0.1436103	No	
