NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	EXOSC6	exosome component 6 [Source:HGNC Symbol;Acc:HGNC:19055]	656	0.26042526960372925	-7.152872E-5	No	
row_1	ENO2	enolase 2 [Source:HGNC Symbol;Acc:HGNC:3353]	1871	0.17049925029277802	-0.043233316	No	
row_2	LSM2	LSM2 homolog, U6 small nuclear RNA and mRNA degradation associated [Source:HGNC Symbol;Acc:HGNC:13940]	2530	0.14317411184310913	-0.059614178	No	
row_3	EXOSC2	exosome component 2 [Source:HGNC Symbol;Acc:HGNC:17097]	3168	0.1216140165925026	-0.07781968	No	
row_4	SKIV2L	Ski2 like RNA helicase [Source:HGNC Symbol;Acc:HGNC:10898]	3239	0.1198735162615776	-0.06510496	No	
row_5	TENT4A	terminal nucleotidyltransferase 4A [Source:HGNC Symbol;Acc:HGNC:16705]	3995	0.09952733665704727	-0.0928469	No	
row_6	LSM1	LSM1 homolog, mRNA degradation associated [Source:HGNC Symbol;Acc:HGNC:20472]	3999	0.09937848895788193	-0.07928164	No	
row_7	LSM4	LSM4 homolog, U6 small nuclear RNA and mRNA degradation associated [Source:HGNC Symbol;Acc:HGNC:17259]	5036	0.07486694306135178	-0.12587363	No	
row_8	EDC4	enhancer of mRNA decapping 4 [Source:HGNC Symbol;Acc:HGNC:17157]	5571	0.06308872997760773	-0.14650439	No	
row_9	DCP1B	decapping mRNA 1B [Source:HGNC Symbol;Acc:HGNC:24451]	6077	0.05174984782934189	-0.16710798	No	
row_10	EXOSC1	exosome component 1 [Source:HGNC Symbol;Acc:HGNC:17286]	6342	0.046003736555576324	-0.1752608	No	
row_11	ENO3	enolase 3 [Source:HGNC Symbol;Acc:HGNC:3354]	6591	0.04069327190518379	-0.18326798	No	
row_12	ENO1	enolase 1 [Source:HGNC Symbol;Acc:HGNC:3350]	6761	0.037212833762168884	-0.18741441	No	
row_13	LSM7	LSM7 homolog, U6 small nuclear RNA and mRNA degradation associated [Source:HGNC Symbol;Acc:HGNC:20470]	8790	0.0	-0.2988675	No	
row_14	EXOSC5	exosome component 5 [Source:HGNC Symbol;Acc:HGNC:24662]	8902	0.0	-0.30496773	No	
row_15	EXOSC3	exosome component 3 [Source:HGNC Symbol;Acc:HGNC:17944]	8903	0.0	-0.30496773	No	
row_16	PAPOLB	poly(A) polymerase beta [Source:HGNC Symbol;Acc:HGNC:15970]	9474	0.0	-0.33629328	No	
row_17	HSPA9	heat shock protein family A (Hsp70) member 9 [Source:HGNC Symbol;Acc:HGNC:5244]	9978	-0.002160791540518403	-0.3636382	No	
row_18	PAPOLG	poly(A) polymerase gamma [Source:HGNC Symbol;Acc:HGNC:14982]	10330	-0.008934542536735535	-0.38169375	No	
row_19	CNOT3	CCR4-NOT transcription complex subunit 3 [Source:HGNC Symbol;Acc:HGNC:7879]	10912	-0.021258044987916946	-0.41068682	No	
row_20	DCPS	decapping enzyme, scavenger [Source:HGNC Symbol;Acc:HGNC:29812]	10966	-0.022243794053792953	-0.41052637	No	
row_21	CNOT9	CCR4-NOT transcription complex subunit 9 [Source:HGNC Symbol;Acc:HGNC:10445]	11187	-0.02639388106763363	-0.41897035	No	
row_22	PARN	poly(A)-specific ribonuclease [Source:HGNC Symbol;Acc:HGNC:8609]	11220	-0.02700730599462986	-0.41699764	No	
row_23	CNOT10	CCR4-NOT transcription complex subunit 10 [Source:HGNC Symbol;Acc:HGNC:23817]	11670	-0.03624405339360237	-0.43666592	No	
row_24	LSM6	LSM6 homolog, U6 small nuclear RNA and mRNA degradation associated [Source:HGNC Symbol;Acc:HGNC:17017]	12088	-0.045061882585287094	-0.4533573	No	
row_25	LSM3	LSM3 homolog, U6 small nuclear RNA and mRNA degradation associated [Source:HGNC Symbol;Acc:HGNC:17874]	12619	-0.05578194186091423	-0.47477776	No	
row_26	PNPT1	polyribonucleotide nucleotidyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:23166]	12898	-0.06233437731862068	-0.48144373	No	
row_27	EXOSC7	exosome component 7 [Source:HGNC Symbol;Acc:HGNC:28112]	12949	-0.06358158588409424	-0.47540715	No	
row_28	XRN2	5'-3' exoribonuclease 2 [Source:HGNC Symbol;Acc:HGNC:12836]	12989	-0.06445050984621048	-0.468646	No	
row_29	CNOT4	CCR4-NOT transcription complex subunit 4 [Source:HGNC Symbol;Acc:HGNC:7880]	13711	-0.08199315518140793	-0.49694192	No	
row_30	DCP1A	decapping mRNA 1A [Source:HGNC Symbol;Acc:HGNC:18714]	13946	-0.08770796656608582	-0.49768415	No	
row_31	C1D	C1D nuclear receptor corepressor [Source:HGNC Symbol;Acc:HGNC:29911]	14443	-0.10069874674081802	-0.5110304	Yes	
row_32	EXOSC10	exosome component 10 [Source:HGNC Symbol;Acc:HGNC:9138]	14634	-0.10580907762050629	-0.50685364	Yes	
row_33	CNOT8	CCR4-NOT transcription complex subunit 8 [Source:HGNC Symbol;Acc:HGNC:9207]	14643	-0.10599610209465027	-0.49264887	Yes	
row_34	ZCCHC7	zinc finger CCHC-type containing 7 [Source:HGNC Symbol;Acc:HGNC:26209]	14894	-0.11324001103639603	-0.49074292	Yes	
row_35	EDC3	enhancer of mRNA decapping 3 [Source:HGNC Symbol;Acc:HGNC:26114]	14960	-0.11522122472524643	-0.47839618	Yes	
row_36	TTC37	tetratricopeptide repeat domain 37 [Source:HGNC Symbol;Acc:HGNC:23639]	15406	-0.12815406918525696	-0.48514634	Yes	
row_37	CNOT1	CCR4-NOT transcription complex subunit 1 [Source:HGNC Symbol;Acc:HGNC:7877]	15415	-0.12834961712360382	-0.46785322	Yes	
row_38	CNOT6	CCR4-NOT transcription complex subunit 6 [Source:HGNC Symbol;Acc:HGNC:14099]	15449	-0.1294575333595276	-0.45178095	Yes	
row_39	DDX6	DEAD-box helicase 6 [Source:HGNC Symbol;Acc:HGNC:2747]	15504	-0.1311119943857193	-0.43663418	Yes	
row_40	WDR61	WD repeat domain 61 [Source:HGNC Symbol;Acc:HGNC:30300]	15950	-0.14650727808475494	-0.44084868	Yes	
row_41	MTREX	Mtr4 exosome RNA helicase [Source:HGNC Symbol;Acc:HGNC:18734]	16301	-0.16090749204158783	-0.4378527	Yes	
row_42	XRN1	5'-3' exoribonuclease 1 [Source:HGNC Symbol;Acc:HGNC:30654]	16352	-0.16298912465572357	-0.41808197	Yes	
row_43	PATL1	PAT1 homolog 1, processing body mRNA decay factor [Source:HGNC Symbol;Acc:HGNC:26721]	16594	-0.17327189445495605	-0.4073874	Yes	
row_44	PAPOLA	poly(A) polymerase alpha [Source:HGNC Symbol;Acc:HGNC:14981]	16595	-0.173306405544281	-0.38344342	Yes	
row_45	LSM8	LSM8 homolog, U6 small nuclear RNA associated [Source:HGNC Symbol;Acc:HGNC:20471]	17074	-0.1994490921497345	-0.38215703	Yes	
row_46	DIS3	DIS3 homolog, exosome endoribonuclease and 3'-5' exoribonuclease [Source:HGNC Symbol;Acc:HGNC:20604]	17181	-0.20766712725162506	-0.3592912	Yes	
row_47	CNOT2	CCR4-NOT transcription complex subunit 2 [Source:HGNC Symbol;Acc:HGNC:7878]	17265	-0.21353372931480408	-0.33435082	Yes	
row_48	MPHOSPH6	M-phase phosphoprotein 6 [Source:HGNC Symbol;Acc:HGNC:7214]	17480	-0.22924372553825378	-0.31443936	Yes	
row_49	CNOT6L	CCR4-NOT transcription complex subunit 6 like [Source:HGNC Symbol;Acc:HGNC:18042]	17678	-0.2524448037147522	-0.29038814	Yes	
row_50	EXOSC9	exosome component 9 [Source:HGNC Symbol;Acc:HGNC:9137]	17742	-0.2612284719944	-0.25775912	Yes	
row_51	EXOSC4	exosome component 4 [Source:HGNC Symbol;Acc:HGNC:18189]	17778	-0.26759859919548035	-0.22271119	Yes	
row_52	DCP2	decapping mRNA 2 [Source:HGNC Symbol;Acc:HGNC:24452]	17807	-0.2720811069011688	-0.18665928	Yes	
row_53	HSPD1	heat shock protein family D (Hsp60) member 1 [Source:HGNC Symbol;Acc:HGNC:5261]	17922	-0.2898242473602295	-0.15288228	Yes	
row_54	CNOT7	CCR4-NOT transcription complex subunit 7 [Source:HGNC Symbol;Acc:HGNC:14101]	17996	-0.30521994829177856	-0.114724964	Yes	
row_55	EXOSC8	exosome component 8 [Source:HGNC Symbol;Acc:HGNC:17035]	18153	-0.3747239112854004	-0.07152643	Yes	
row_56	LSM5	LSM5 homolog, U6 small nuclear RNA and mRNA degradation associated [Source:HGNC Symbol;Acc:HGNC:17162]	18246	-0.5566900968551636	3.2980432E-4	Yes	
