NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RXRB	retinoid X receptor beta [Source:HGNC Symbol;Acc:HGNC:10478]	683	0.2565455436706543	-0.0050600097	No	
row_1	LAMA5	laminin subunit alpha 5 [Source:HGNC Symbol;Acc:HGNC:6485]	1134	0.21365194022655487	-0.0027362201	No	
row_2	NOS2	nitric oxide synthase 2 [Source:HGNC Symbol;Acc:HGNC:7873]	1157	0.2122505158185959	0.022962611	No	
row_3	CDK4	cyclin dependent kinase 4 [Source:HGNC Symbol;Acc:HGNC:1773]	1807	0.1733153909444809	0.009221551	No	
row_4	PIAS3	protein inhibitor of activated STAT 3 [Source:HGNC Symbol;Acc:HGNC:16861]	1930	0.16841386258602142	0.023859724	No	
row_5	ITGA2B	integrin subunit alpha 2b [Source:HGNC Symbol;Acc:HGNC:6138]	2081	0.16150206327438354	0.036080778	No	
row_6	AKT2	AKT serine/threonine kinase 2 [Source:HGNC Symbol;Acc:HGNC:392]	2741	0.13517756760120392	0.016954241	No	
row_7	TRAF4	TNF receptor associated factor 4 [Source:HGNC Symbol;Acc:HGNC:12034]	3276	0.11896245926618576	0.0026506379	No	
row_8	TP53	tumor protein p53 [Source:HGNC Symbol;Acc:HGNC:11998]	3522	0.11227568238973618	0.0034028622	No	
row_9	E2F1	E2F transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:3113]	3923	0.101551353931427	-0.0057341685	No	
row_10	TRAF1	TNF receptor associated factor 1 [Source:HGNC Symbol;Acc:HGNC:12031]	4201	0.09390657395124435	-0.009071762	No	
row_11	COL4A4	collagen type IV alpha 4 chain [Source:HGNC Symbol;Acc:HGNC:2206]	4341	0.09080618619918823	-0.005208328	No	
row_12	PIAS4	protein inhibitor of activated STAT 4 [Source:HGNC Symbol;Acc:HGNC:17002]	4873	0.07890759408473969	-0.024425065	No	
row_13	ITGA2	integrin subunit alpha 2 [Source:HGNC Symbol;Acc:HGNC:6137]	5045	0.07465022802352905	-0.024370862	No	
row_14	PTGS2	prostaglandin-endoperoxide synthase 2 [Source:HGNC Symbol;Acc:HGNC:9605]	5165	0.0720820352435112	-0.021780714	No	
row_15	ITGA6	integrin subunit alpha 6 [Source:HGNC Symbol;Acc:HGNC:6142]	5179	0.07166310399770737	-0.013410529	No	
row_16	PIK3R5	phosphoinositide-3-kinase regulatory subunit 5 [Source:HGNC Symbol;Acc:HGNC:30035]	5203	0.07130604237318039	-0.00563591	No	
row_17	CCND1	cyclin D1 [Source:HGNC Symbol;Acc:HGNC:1582]	5323	0.06874016672372818	-0.00346945	No	
row_18	IKBKB	inhibitor of nuclear factor kappa B kinase subunit beta [Source:HGNC Symbol;Acc:HGNC:5960]	5536	0.06376149505376816	-0.0070519573	No	
row_19	FHIT	fragile histidine triad diadenosine triphosphatase [Source:HGNC Symbol;Acc:HGNC:3701]	5749	0.0588940866291523	-0.011251563	No	
row_20	AKT1	AKT serine/threonine kinase 1 [Source:HGNC Symbol;Acc:HGNC:391]	5875	0.055935341864824295	-0.011038698	No	
row_21	TRAF5	TNF receptor associated factor 5 [Source:HGNC Symbol;Acc:HGNC:12035]	5916	0.055217377841472626	-0.0062393327	No	
row_22	LAMC3	laminin subunit gamma 3 [Source:HGNC Symbol;Acc:HGNC:6494]	6074	0.051914479583501816	-0.008297191	No	
row_23	BCL2L1	BCL2 like 1 [Source:HGNC Symbol;Acc:HGNC:992]	6148	0.05014404281973839	-0.005957012	No	
row_24	COL4A2	collagen type IV alpha 2 chain [Source:HGNC Symbol;Acc:HGNC:2203]	6214	0.04856027290225029	-0.0033773887	No	
row_25	CASP9	caspase 9 [Source:HGNC Symbol;Acc:HGNC:1511]	6251	0.0478239580988884	7.047453E-4	No	
row_26	LAMB2	laminin subunit beta 2 [Source:HGNC Symbol;Acc:HGNC:6487]	6399	0.04490775242447853	-0.0016911406	No	
row_27	RXRA	retinoid X receptor alpha [Source:HGNC Symbol;Acc:HGNC:10477]	6547	0.04165642336010933	-0.0044992357	No	
row_28	CKS1B	CDC28 protein kinase regulatory subunit 1B [Source:HGNC Symbol;Acc:HGNC:19083]	6803	0.03639054298400879	-0.013918158	No	
row_29	E2F2	E2F transcription factor 2 [Source:HGNC Symbol;Acc:HGNC:3114]	6920	0.03422432765364647	-0.015962586	No	
row_30	LAMA1	laminin subunit alpha 1 [Source:HGNC Symbol;Acc:HGNC:6481]	7114	0.030593059957027435	-0.02270468	No	
row_31	CHUK	component of inhibitor of nuclear factor kappa B kinase complex [Source:HGNC Symbol;Acc:HGNC:1974]	8247	0.007915333844721317	-0.0839948	No	
row_32	TRAF3	TNF receptor associated factor 3 [Source:HGNC Symbol;Acc:HGNC:12033]	8315	0.006517693866044283	-0.08685546	No	
row_33	PIK3CB	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit beta [Source:HGNC Symbol;Acc:HGNC:8976]	8398	0.0051225475035607815	-0.090718456	No	
row_34	ITGA3	integrin subunit alpha 3 [Source:HGNC Symbol;Acc:HGNC:6139]	8451	0.004285907372832298	-0.09303663	No	
row_35	MAX	MYC associated factor X [Source:HGNC Symbol;Acc:HGNC:6913]	8462	0.0040751369670033455	-0.09307027	No	
row_36	NFKBIA	NFKB inhibitor alpha [Source:HGNC Symbol;Acc:HGNC:7797]	8488	0.0034787452314049006	-0.094004974	No	
row_37	CDKN2B	cyclin dependent kinase inhibitor 2B [Source:HGNC Symbol;Acc:HGNC:1788]	8719	0.0	-0.106661804	No	
