NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PCBP1	poly(rC) binding protein 1 [Source:HGNC Symbol;Acc:HGNC:8647]	110	0.39819109439849854	0.019608632	No	
row_1	SRSF8	serine and arginine rich splicing factor 8 [Source:HGNC Symbol;Acc:HGNC:16988]	229	0.3380523920059204	0.034898177	No	
row_2	ALYREF	Aly/REF export factor [Source:HGNC Symbol;Acc:HGNC:19071]	363	0.30214688181877136	0.047045127	No	
row_3	PRPF19	pre-mRNA processing factor 19 [Source:HGNC Symbol;Acc:HGNC:17896]	548	0.2735345661640167	0.054534096	No	
row_4	HSPA1A	heat shock protein family A (Hsp70) member 1A [Source:HGNC Symbol;Acc:HGNC:5232]	598	0.2682502567768097	0.06912855	No	
row_5	DHX38	DEAH-box helicase 38 [Source:HGNC Symbol;Acc:HGNC:17211]	1060	0.21996808052062988	0.05788493	No	
row_6	CWC15	CWC15 spliceosome associated protein homolog [Source:HGNC Symbol;Acc:HGNC:26939]	1203	0.20933406054973602	0.06355076	No	
row_7	SNRNP27	small nuclear ribonucleoprotein U4/U6.U5 subunit 27 [Source:HGNC Symbol;Acc:HGNC:30240]	1297	0.2031189650297165	0.07151854	No	
row_8	HNRNPA1L2	heterogeneous nuclear ribonucleoprotein A1 like 2 [Source:HGNC Symbol;Acc:HGNC:27067]	1424	0.19481778144836426	0.07713086	No	
row_9	PPIH	peptidylprolyl isomerase H [Source:HGNC Symbol;Acc:HGNC:14651]	1695	0.1795891374349594	0.07381858	No	
row_10	DHX16	DEAH-box helicase 16 [Source:HGNC Symbol;Acc:HGNC:2739]	2228	0.15539804100990295	0.054495234	No	
row_11	LSM2	LSM2 homolog, U6 small nuclear RNA and mRNA degradation associated [Source:HGNC Symbol;Acc:HGNC:13940]	2530	0.14317411184310913	0.047124986	No	
row_12	HNRNPA3	heterogeneous nuclear ribonucleoprotein A3 [Source:HGNC Symbol;Acc:HGNC:24941]	3656	0.10869355499744415	-0.007918146	No	
row_13	SNRNP70	small nuclear ribonucleoprotein U1 subunit 70 [Source:HGNC Symbol;Acc:HGNC:11150]	3771	0.10536426305770874	-0.007412031	No	
row_14	EFTUD2	elongation factor Tu GTP binding domain containing 2 [Source:HGNC Symbol;Acc:HGNC:30858]	3825	0.10420369356870651	-0.0036161612	No	
row_15	SNRPE	small nuclear ribonucleoprotein polypeptide E [Source:HGNC Symbol;Acc:HGNC:11161]	3963	0.10039789974689484	-0.0046988986	No	
row_16	PHF5A	PHD finger protein 5A [Source:HGNC Symbol;Acc:HGNC:18000]	4096	0.09669709205627441	-0.005744484	No	
row_17	HSPA6	heat shock protein family A (Hsp70) member 6 [Source:HGNC Symbol;Acc:HGNC:5239]	4131	0.09577976912260056	-0.0014438141	No	
row_18	RBM8A	RNA binding motif protein 8A [Source:HGNC Symbol;Acc:HGNC:9905]	4290	0.09183697402477264	-0.0042368737	No	
row_19	NCBP2	nuclear cap binding protein subunit 2 [Source:HGNC Symbol;Acc:HGNC:7659]	4369	0.09028932452201843	-0.002717152	No	
row_20	SF3A1	splicing factor 3a subunit 1 [Source:HGNC Symbol;Acc:HGNC:10765]	4497	0.08695634454488754	-0.0041150483	No	
row_21	SF3A2	splicing factor 3a subunit 2 [Source:HGNC Symbol;Acc:HGNC:10766]	4616	0.0845893919467926	-0.0051691546	No	
row_22	LSM4	LSM4 homolog, U6 small nuclear RNA and mRNA degradation associated [Source:HGNC Symbol;Acc:HGNC:17259]	5036	0.07486694306135178	-0.023452494	No	
row_23	U2AF2	U2 small nuclear RNA auxiliary factor 2 [Source:HGNC Symbol;Acc:HGNC:23156]	5107	0.0732986330986023	-0.022587098	No	
row_24	SNRPD2	small nuclear ribonucleoprotein D2 polypeptide [Source:HGNC Symbol;Acc:HGNC:11159]	5242	0.07040586322546005	-0.025438294	No	
row_25	SF3B6	splicing factor 3b subunit 6 [Source:HGNC Symbol;Acc:HGNC:30096]	5289	0.06951937079429626	-0.023492819	No	
row_26	CCDC12	coiled-coil domain containing 12 [Source:HGNC Symbol;Acc:HGNC:28332]	5345	0.06839169561862946	-0.022116471	No	
row_27	PRPF8	pre-mRNA processing factor 8 [Source:HGNC Symbol;Acc:HGNC:17340]	5350	0.06835588812828064	-0.017929416	No	
row_28	SART1	spliceosome associated factor 1, recruiter of U4/U6.U5 tri-snRNP [Source:HGNC Symbol;Acc:HGNC:10538]	6135	0.05042727664113045	-0.057921037	No	
row_29	HSPA1L	heat shock protein family A (Hsp70) member 1 like [Source:HGNC Symbol;Acc:HGNC:5234]	6220	0.0485030822455883	-0.059426695	No	
row_30	PRPF31	pre-mRNA processing factor 31 [Source:HGNC Symbol;Acc:HGNC:15446]	6313	0.046525005251169205	-0.061501157	No	
row_31	SNRNP40	small nuclear ribonucleoprotein U5 subunit 40 [Source:HGNC Symbol;Acc:HGNC:30857]	6352	0.04579281806945801	-0.060644347	No	
row_32	PUF60	poly(U) binding splicing factor 60 [Source:HGNC Symbol;Acc:HGNC:17042]	6434	0.04418289288878441	-0.062263105	No	
row_33	SYF2	SYF2 pre-mRNA splicing factor [Source:HGNC Symbol;Acc:HGNC:19824]	6600	0.04053783789277077	-0.068750106	No	
row_34	SNRPB	small nuclear ribonucleoprotein polypeptides B and B1 [Source:HGNC Symbol;Acc:HGNC:11153]	6985	0.0330435074865818	-0.08779977	No	
row_35	SRSF5	serine and arginine rich splicing factor 5 [Source:HGNC Symbol;Acc:HGNC:10787]	7181	0.029151763767004013	-0.09667569	No	
row_36	SF3B4	splicing factor 3b subunit 4 [Source:HGNC Symbol;Acc:HGNC:10771]	7519	0.02227407693862915	-0.11382739	No	
row_37	PPIL1	peptidylprolyl isomerase like 1 [Source:HGNC Symbol;Acc:HGNC:9260]	7602	0.020712293684482574	-0.11701473	No	
row_38	SRSF4	serine and arginine rich splicing factor 4 [Source:HGNC Symbol;Acc:HGNC:10786]	7673	0.019252069294452667	-0.11963433	No	
row_39	DHX8	DEAH-box helicase 8 [Source:HGNC Symbol;Acc:HGNC:2749]	7886	0.015010697767138481	-0.13035974	No	
row_40	DDX23	DEAD-box helicase 23 [Source:HGNC Symbol;Acc:HGNC:17347]	7898	0.014851120300590992	-0.13000885	No	
row_41	ACIN1	apoptotic chromatin condensation inducer 1 [Source:HGNC Symbol;Acc:HGNC:17066]	8271	0.007464369293302298	-0.15004602	No	
row_42	LSM7	LSM7 homolog, U6 small nuclear RNA and mRNA degradation associated [Source:HGNC Symbol;Acc:HGNC:20470]	8790	0.0	-0.17861745	No	
row_43	PRPF6	pre-mRNA processing factor 6 [Source:HGNC Symbol;Acc:HGNC:15860]	8878	0.0	-0.18341613	No	
row_44	U2AF1	U2 small nuclear RNA auxiliary factor 1 [Source:HGNC Symbol;Acc:HGNC:12453]	9018	0.0	-0.19108297	No	
row_45	SRSF2	serine and arginine rich splicing factor 2 [Source:HGNC Symbol;Acc:HGNC:10783]	9295	0.0	-0.20630635	No	
row_46	SNW1	SNW domain containing 1 [Source:HGNC Symbol;Acc:HGNC:16696]	9645	0.0	-0.22555622	No	
row_47	CHERP	calcium homeostasis endoplasmic reticulum protein [Source:HGNC Symbol;Acc:HGNC:16930]	9675	0.0	-0.22715577	No	
row_48	DDX39B	DExD-box helicase 39B [Source:HGNC Symbol;Acc:HGNC:13917]	9765	0.0	-0.23206477	No	
row_49	RBM22	RNA binding motif protein 22 [Source:HGNC Symbol;Acc:HGNC:25503]	10033	-0.0030626740772277117	-0.24659425	No	
row_50	PPIE	peptidylprolyl isomerase E [Source:HGNC Symbol;Acc:HGNC:9258]	10702	-0.016477344557642937	-0.2823768	No	
row_51	SNRNP200	small nuclear ribonucleoprotein U5 subunit 200 [Source:HGNC Symbol;Acc:HGNC:30859]	10715	-0.016699837520718575	-0.28196183	No	
row_52	ISY1	ISY1 splicing factor homolog [Source:HGNC Symbol;Acc:HGNC:29201]	10726	-0.01700345054268837	-0.281417	No	
row_53	XAB2	XPA binding protein 2 [Source:HGNC Symbol;Acc:HGNC:14089]	10886	-0.020507197827100754	-0.28886467	No	
