NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TAS2R41	taste 2 receptor member 41 [Source:HGNC Symbol;Acc:HGNC:18883]	6	0.5982213020324707	0.11780583	Yes	
row_1	TAS2R5	taste 2 receptor member 5 [Source:HGNC Symbol;Acc:HGNC:14912]	260	0.32563692331314087	0.1682131	Yes	
row_2	TAS1R2	taste 1 receptor member 2 [Source:HGNC Symbol;Acc:HGNC:14905]	441	0.2900545001029968	0.21560395	Yes	
row_3	PRKACG	protein kinase cAMP-activated catalytic subunit gamma [Source:HGNC Symbol;Acc:HGNC:9382]	564	0.2718237638473511	0.26258093	Yes	
row_4	TAS2R16	taste 2 receptor member 16 [Source:HGNC Symbol;Acc:HGNC:14921]	653	0.2607371211051941	0.30923635	Yes	
row_5	TAS2R9	taste 2 receptor member 9 [Source:HGNC Symbol;Acc:HGNC:14917]	1212	0.2086145132780075	0.3197788	Yes	
row_6	GRM4	glutamate metabotropic receptor 4 [Source:HGNC Symbol;Acc:HGNC:4596]	1289	0.2034367173910141	0.35577792	Yes	
row_7	TAS1R3	taste 1 receptor member 3 [Source:HGNC Symbol;Acc:HGNC:15661]	1536	0.1886887401342392	0.3795255	Yes	
row_8	ADCY6	adenylate cyclase 6 [Source:HGNC Symbol;Acc:HGNC:237]	1814	0.17272666096687317	0.39841792	Yes	
row_9	ITPR3	inositol 1,4,5-trisphosphate receptor type 3 [Source:HGNC Symbol;Acc:HGNC:6182]	1896	0.16969048976898193	0.42747822	Yes	
row_10	CACNA1B	calcium voltage-gated channel subunit alpha1 B [Source:HGNC Symbol;Acc:HGNC:1389]	2165	0.15830789506435394	0.44401765	Yes	
row_11	PLCB2	phospholipase C beta 2 [Source:HGNC Symbol;Acc:HGNC:9055]	2559	0.14216142892837524	0.45050153	Yes	
row_12	CACNA1A	calcium voltage-gated channel subunit alpha1 A [Source:HGNC Symbol;Acc:HGNC:1388]	2595	0.1407187432050705	0.47636762	Yes	
row_13	TAS2R7	taste 2 receptor member 7 [Source:HGNC Symbol;Acc:HGNC:14913]	2606	0.1403302550315857	0.5035304	Yes	
row_14	ASIC2	acid sensing ion channel subunit 2 [Source:HGNC Symbol;Acc:HGNC:99]	2718	0.1357988566160202	0.52424973	Yes	
row_15	TAS1R1	taste 1 receptor member 1 [Source:HGNC Symbol;Acc:HGNC:14448]	2766	0.13448384404182434	0.54822534	Yes	
row_16	ADCY8	adenylate cyclase 8 [Source:HGNC Symbol;Acc:HGNC:239]	2822	0.1326533854007721	0.5713999	Yes	
row_17	SCNN1G	sodium channel epithelial 1 subunit gamma [Source:HGNC Symbol;Acc:HGNC:10602]	2890	0.13053126633167267	0.59349626	Yes	
