NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RXRB	retinoid X receptor beta [Source:HGNC Symbol;Acc:HGNC:10478]	683	0.2565455436706543	0.037900113	No	
row_1	RET	ret proto-oncogene [Source:HGNC Symbol;Acc:HGNC:9967]	795	0.24287539720535278	0.10317084	No	
row_2	PAX8	paired box 8 [Source:HGNC Symbol;Acc:HGNC:8622]	1480	0.1919803023338318	0.12204554	No	
row_3	NTRK1	neurotrophic receptor tyrosine kinase 1 [Source:HGNC Symbol;Acc:HGNC:8031]	2482	0.14483420550823212	0.10967313	No	
row_4	TP53	tumor protein p53 [Source:HGNC Symbol;Acc:HGNC:11998]	3522	0.11227568238973618	0.085649215	No	
row_5	HRAS	HRas proto-oncogene, GTPase [Source:HGNC Symbol;Acc:HGNC:5173]	5073	0.07399147003889084	0.022336697	No	
row_6	MAPK3	mitogen-activated protein kinase 3 [Source:HGNC Symbol;Acc:HGNC:6877]	5144	0.07262516766786575	0.03983432	No	
row_7	CCND1	cyclin D1 [Source:HGNC Symbol;Acc:HGNC:1582]	5323	0.06874016672372818	0.050264206	No	
row_8	RXRA	retinoid X receptor alpha [Source:HGNC Symbol;Acc:HGNC:10477]	6547	0.04165642336010933	-0.004605621	No	
row_9	TCF7	transcription factor 7 [Source:HGNC Symbol;Acc:HGNC:11639]	8037	0.01191738247871399	-0.0828095	No	
row_10	LEF1	lymphoid enhancer binding factor 1 [Source:HGNC Symbol;Acc:HGNC:6551]	8638	3.271902387496084E-4	-0.11563699	No	
row_11	CCDC6	coiled-coil domain containing 6 [Source:HGNC Symbol;Acc:HGNC:18782]	10078	-0.003874758258461952	-0.19346032	No	
row_12	CDH1	cadherin 1 [Source:HGNC Symbol;Acc:HGNC:1748]	10290	-0.00802534632384777	-0.20268045	No	
row_13	TPM3	tropomyosin 3 [Source:HGNC Symbol;Acc:HGNC:12012]	11494	-0.03253292664885521	-0.2591335	No	
row_14	TCF7L2	transcription factor 7 like 2 [Source:HGNC Symbol;Acc:HGNC:11641]	12285	-0.04884203523397446	-0.28813216	No	
row_15	TCF7L1	transcription factor 7 like 1 [Source:HGNC Symbol;Acc:HGNC:11640]	12462	-0.052391909062862396	-0.28239596	No	
row_16	MAPK1	mitogen-activated protein kinase 1 [Source:HGNC Symbol;Acc:HGNC:6871]	13239	-0.07057186961174011	-0.30424178	No	
row_17	RXRG	retinoid X receptor gamma [Source:HGNC Symbol;Acc:HGNC:10479]	13249	-0.0706988126039505	-0.2839629	No	
row_18	MAP2K2	mitogen-activated protein kinase kinase 2 [Source:HGNC Symbol;Acc:HGNC:6842]	13691	-0.08140046149492264	-0.28424472	No	
row_19	NCOA4	nuclear receptor coactivator 4 [Source:HGNC Symbol;Acc:HGNC:7671]	14149	-0.09258211404085159	-0.28211907	No	
row_20	TFG	trafficking from ER to golgi regulator [Source:HGNC Symbol;Acc:HGNC:11758]	14458	-0.10094250738620758	-0.26936096	No	
row_21	MAP2K1	mitogen-activated protein kinase kinase 1 [Source:HGNC Symbol;Acc:HGNC:6840]	14757	-0.10947640985250473	-0.25354668	No	
row_22	BRAF	B-Raf proto-oncogene, serine/threonine kinase [Source:HGNC Symbol;Acc:HGNC:1097]	16700	-0.17879264056682587	-0.30757663	Yes	
row_23	MYC	MYC proto-oncogene, bHLH transcription factor [Source:HGNC Symbol;Acc:HGNC:7553]	16876	-0.18785156309604645	-0.26198483	Yes	
row_24	CTNNB1	catenin beta 1 [Source:HGNC Symbol;Acc:HGNC:2514]	17360	-0.2194153070449829	-0.2240198	Yes	
row_25	NRAS	NRAS proto-oncogene, GTPase [Source:HGNC Symbol;Acc:HGNC:7989]	17400	-0.22245755791664124	-0.16079739	Yes	
row_26	TPR	translocated promoter region, nuclear basket protein [Source:HGNC Symbol;Acc:HGNC:12017]	17447	-0.2256544679403305	-0.09701978	Yes	
row_27	KRAS	KRAS proto-oncogene, GTPase [Source:HGNC Symbol;Acc:HGNC:6407]	17461	-0.22761115431785583	-0.030856455	Yes	
row_28	PPARG	peroxisome proliferator activated receptor gamma [Source:HGNC Symbol;Acc:HGNC:9236]	17680	-0.2525555491447449	0.03138712	Yes	
