NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
KEGG_TASTE_TRANSDUCTION	KEGG_TASTE_TRANSDUCTION	Details ...	50	0.59349626	1.6308172	0.015564202	0.7733665	0.405	2890	tags=36%, list=16%, signal=43%	
KEGG_CARDIAC_MUSCLE_CONTRACTION	KEGG_CARDIAC_MUSCLE_CONTRACTION	Details ...	69	0.5013399	1.5297815	0.02739726	1.0	0.71	4093	tags=54%, list=22%, signal=69%	
KEGG_PRION_DISEASES	KEGG_PRION_DISEASES	Details ...	33	0.4638954	1.4740603	0.023809524	1.0	0.838	932	tags=24%, list=5%, signal=26%	
KEGG_ASTHMA	KEGG_ASTHMA	Details ...	27	0.61154085	1.4426607	0.049701788	1.0	0.906	4591	tags=63%, list=25%, signal=84%	
KEGG_ARACHIDONIC_ACID_METABOLISM	KEGG_ARACHIDONIC_ACID_METABOLISM	Details ...	58	0.47931445	1.4308053	0.043841336	0.98947835	0.921	3662	tags=38%, list=20%, signal=47%	
KEGG_OLFACTORY_TRANSDUCTION	KEGG_OLFACTORY_TRANSDUCTION	Details ...	355	0.46968502	1.4024749	0.018779343	1.0	0.951	2982	tags=36%, list=16%, signal=42%	
KEGG_DILATED_CARDIOMYOPATHY	KEGG_DILATED_CARDIOMYOPATHY	Details ...	86	0.43492046	1.396303	0.08067542	0.9195321	0.957	4196	tags=44%, list=23%, signal=57%	
KEGG_ONE_CARBON_POOL_BY_FOLATE	KEGG_ONE_CARBON_POOL_BY_FOLATE	Details ...	17	0.4766531	1.3672874	0.13069306	0.98337203	0.977	3505	tags=41%, list=19%, signal=51%	
KEGG_HYPERTROPHIC_CARDIOMYOPATHY_HCM	KEGG_HYPERTROPHIC_CARDIOMYOPATHY_HCM	Details ...	80	0.41018933	1.3671145	0.07364341	0.8747191	0.977	4196	tags=45%, list=23%, signal=58%	
KEGG_CALCIUM_SIGNALING_PATHWAY	KEGG_CALCIUM_SIGNALING_PATHWAY	Details ...	167	0.35830384	1.3302778	0.07597536	1.0	0.991	3905	tags=33%, list=21%, signal=42%	
