NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
KEGG_DORSO_VENTRAL_AXIS_FORMATION	KEGG_DORSO_VENTRAL_AXIS_FORMATION	Details ...	24	-0.46780568	-1.7377293	0.0036697248	0.18693367	0.184	3619	tags=38%, list=20%, signal=47%	
KEGG_RNA_DEGRADATION	KEGG_RNA_DEGRADATION	Details ...	57	-0.5249429	-1.6593115	0.009124087	0.22680774	0.342	3811	tags=46%, list=21%, signal=57%	
KEGG_SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT	KEGG_SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT	Details ...	36	-0.46231353	-1.6580087	0.009380863	0.15331607	0.347	5381	tags=47%, list=29%, signal=67%	
KEGG_ENDOMETRIAL_CANCER	KEGG_ENDOMETRIAL_CANCER	Details ...	50	-0.41955617	-1.5586977	0.02688172	0.33250535	0.668	3657	tags=36%, list=20%, signal=45%	
KEGG_RENAL_CELL_CARCINOMA	KEGG_RENAL_CELL_CARCINOMA	Details ...	67	-0.45979115	-1.5016049	0.09369025	0.46454492	0.814	5015	tags=51%, list=27%, signal=70%	
KEGG_UBIQUITIN_MEDIATED_PROTEOLYSIS	KEGG_UBIQUITIN_MEDIATED_PROTEOLYSIS	Details ...	126	-0.3612576	-1.4410357	0.103515625	0.6485886	0.926	4942	tags=42%, list=27%, signal=57%	
KEGG_SPLICEOSOME	KEGG_SPLICEOSOME	Details ...	123	-0.41592836	-1.4048871	0.069548875	0.73784953	0.961	3502	tags=37%, list=19%, signal=46%	
KEGG_ACUTE_MYELOID_LEUKEMIA	KEGG_ACUTE_MYELOID_LEUKEMIA	Details ...	54	-0.40718663	-1.3983915	0.1090573	0.6794673	0.965	3657	tags=35%, list=20%, signal=44%	
KEGG_CHRONIC_MYELOID_LEUKEMIA	KEGG_CHRONIC_MYELOID_LEUKEMIA	Details ...	71	-0.4034299	-1.3954326	0.11895911	0.61641806	0.967	3852	tags=32%, list=21%, signal=41%	
KEGG_MTOR_SIGNALING_PATHWAY	KEGG_MTOR_SIGNALING_PATHWAY	Details ...	49	-0.38058174	-1.3485444	0.084269665	0.77860886	0.992	4577	tags=39%, list=25%, signal=52%	
KEGG_REGULATION_OF_AUTOPHAGY	KEGG_REGULATION_OF_AUTOPHAGY	Details ...	34	-0.46787944	-1.2725474	0.17132217	1.0	1.0	1603	tags=29%, list=9%, signal=32%	
KEGG_THYROID_CANCER	KEGG_THYROID_CANCER	Details ...	29	-0.36010945	-1.2566581	0.17021276	1.0	1.0	1554	tags=24%, list=9%, signal=26%	
KEGG_COLORECTAL_CANCER	KEGG_COLORECTAL_CANCER	Details ...	61	-0.3487126	-1.2300267	0.19688109	1.0	1.0	3716	tags=33%, list=20%, signal=41%	
KEGG_NUCLEOTIDE_EXCISION_REPAIR	KEGG_NUCLEOTIDE_EXCISION_REPAIR	Details ...	41	-0.35952172	-1.228134	0.19245283	1.0	1.0	4079	tags=34%, list=22%, signal=44%	
KEGG_MISMATCH_REPAIR	KEGG_MISMATCH_REPAIR	Details ...	22	-0.38801798	-1.2060204	0.24094203	1.0	1.0	4074	tags=36%, list=22%, signal=47%	
KEGG_CELL_CYCLE	KEGG_CELL_CYCLE	Details ...	121	-0.32769266	-1.2052921	0.23193917	1.0	1.0	4806	tags=37%, list=26%, signal=50%	
KEGG_ERBB_SIGNALING_PATHWAY	KEGG_ERBB_SIGNALING_PATHWAY	Details ...	84	-0.29019535	-1.1934671	0.19056603	1.0	1.0	3852	tags=30%, list=21%, signal=38%	
KEGG_SMALL_CELL_LUNG_CANCER	KEGG_SMALL_CELL_LUNG_CANCER	Details ...	81	-0.32710615	-1.1895125	0.24409449	1.0	1.0	5005	tags=38%, list=27%, signal=52%	
KEGG_P53_SIGNALING_PATHWAY	KEGG_P53_SIGNALING_PATHWAY	Details ...	67	-0.2952986	-1.171589	0.18518518	1.0	1.0	5787	tags=48%, list=32%, signal=70%	
KEGG_RIG_I_LIKE_RECEPTOR_SIGNALING_PATHWAY	KEGG_RIG_I_LIKE_RECEPTOR_SIGNALING_PATHWAY	Details ...	67	-0.33345124	-1.1610113	0.21869159	1.0	1.0	5282	tags=45%, list=29%, signal=63%	
KEGG_APOPTOSIS	KEGG_APOPTOSIS		81	-0.3302153	-1.1262995	0.33397684	1.0	1.0	3657	tags=31%, list=20%, signal=38%	
KEGG_PANCREATIC_CANCER	KEGG_PANCREATIC_CANCER		66	-0.33747196	-1.1222615	0.35826772	1.0	1.0	5105	tags=41%, list=28%, signal=57%	
KEGG_RIBOFLAVIN_METABOLISM	KEGG_RIBOFLAVIN_METABOLISM		15	-0.47990116	-1.1062938	0.34375	1.0	1.0	2869	tags=27%, list=16%, signal=32%	
KEGG_LYSINE_DEGRADATION	KEGG_LYSINE_DEGRADATION		42	-0.41339037	-1.1037558	0.39539346	1.0	1.0	5025	tags=45%, list=28%, signal=62%	
KEGG_NON_SMALL_CELL_LUNG_CANCER	KEGG_NON_SMALL_CELL_LUNG_CANCER		53	-0.3032363	-1.0930659	0.3321033	1.0	1.0	5015	tags=40%, list=27%, signal=54%	
KEGG_TGF_BETA_SIGNALING_PATHWAY	KEGG_TGF_BETA_SIGNALING_PATHWAY		85	-0.2902534	-1.0917583	0.2977528	1.0	1.0	3716	tags=32%, list=20%, signal=40%	
KEGG_BASAL_TRANSCRIPTION_FACTORS	KEGG_BASAL_TRANSCRIPTION_FACTORS		32	-0.3169007	-1.0647634	0.34896812	1.0	1.0	4172	tags=34%, list=23%, signal=44%	
KEGG_STARCH_AND_SUCROSE_METABOLISM	KEGG_STARCH_AND_SUCROSE_METABOLISM		51	-0.3798679	-1.043255	0.4524237	1.0	1.0	3840	tags=31%, list=21%, signal=40%	
KEGG_INSULIN_SIGNALING_PATHWAY	KEGG_INSULIN_SIGNALING_PATHWAY		131	-0.24176249	-1.0388768	0.38973385	1.0	1.0	5181	tags=34%, list=28%, signal=48%	
KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM	KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM		42	-0.2807828	-1.0283382	0.40421456	1.0	1.0	2881	tags=19%, list=16%, signal=23%	
KEGG_PATHWAYS_IN_CANCER	KEGG_PATHWAYS_IN_CANCER		316	-0.2263996	-1.027869	0.37892792	1.0	1.0	4105	tags=27%, list=22%, signal=34%	
KEGG_OXIDATIVE_PHOSPHORYLATION	KEGG_OXIDATIVE_PHOSPHORYLATION		113	-0.2794373	-1.021497	0.4197292	1.0	1.0	1301	tags=17%, list=7%, signal=18%	
KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION	KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION		66	-0.26555866	-1.0211418	0.42105263	1.0	1.0	5118	tags=36%, list=28%, signal=50%	
KEGG_ADHERENS_JUNCTION	KEGG_ADHERENS_JUNCTION		72	-0.2675424	-0.999421	0.43713734	1.0	1.0	5969	tags=46%, list=33%, signal=68%	
KEGG_INOSITOL_PHOSPHATE_METABOLISM	KEGG_INOSITOL_PHOSPHATE_METABOLISM		53	-0.27606252	-0.9853512	0.506	1.0	1.0	3657	tags=25%, list=20%, signal=31%	
KEGG_PARKINSONS_DISEASE	KEGG_PARKINSONS_DISEASE		108	-0.26527768	-0.9836733	0.4905303	1.0	1.0	4360	tags=34%, list=24%, signal=45%	
KEGG_NEUROTROPHIN_SIGNALING_PATHWAY	KEGG_NEUROTROPHIN_SIGNALING_PATHWAY		120	-0.26624542	-0.98359394	0.50097466	1.0	1.0	5104	tags=41%, list=28%, signal=56%	
KEGG_ARGININE_AND_PROLINE_METABOLISM	KEGG_ARGININE_AND_PROLINE_METABOLISM		48	-0.345755	-0.9538367	0.5328467	1.0	1.0	3903	tags=27%, list=21%, signal=34%	
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM		31	-0.3086051	-0.9326586	0.5776515	1.0	1.0	982	tags=16%, list=5%, signal=17%	
KEGG_PROSTATE_CANCER	KEGG_PROSTATE_CANCER		86	-0.22654882	-0.9087178	0.6050269	1.0	1.0	4193	tags=29%, list=23%, signal=38%	
KEGG_PROTEIN_EXPORT	KEGG_PROTEIN_EXPORT		23	-0.33889598	-0.89727664	0.5949612	1.0	1.0	4293	tags=39%, list=24%, signal=51%	
KEGG_ALZHEIMERS_DISEASE	KEGG_ALZHEIMERS_DISEASE		153	-0.20720497	-0.8971244	0.7293666	1.0	1.0	4157	tags=29%, list=23%, signal=37%	
KEGG_PHOSPHATIDYLINOSITOL_SIGNALING_SYSTEM	KEGG_PHOSPHATIDYLINOSITOL_SIGNALING_SYSTEM		75	-0.25050935	-0.8897552	0.6287425	1.0	1.0	3933	tags=25%, list=22%, signal=32%	
KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY	KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY		59	-0.27825174	-0.88651913	0.59546316	1.0	1.0	1989	tags=17%, list=11%, signal=19%	
KEGG_N_GLYCAN_BIOSYNTHESIS	KEGG_N_GLYCAN_BIOSYNTHESIS		45	-0.23503032	-0.8858954	0.65940595	1.0	1.0	5200	tags=40%, list=28%, signal=56%	
KEGG_MELANOMA	KEGG_MELANOMA		68	-0.23936091	-0.8832899	0.69330853	1.0	1.0	3657	tags=26%, list=20%, signal=33%	
KEGG_ENDOCYTOSIS	KEGG_ENDOCYTOSIS		178	-0.21092649	-0.8791592	0.67315173	1.0	1.0	2373	tags=18%, list=13%, signal=20%	
KEGG_NICOTINATE_AND_NICOTINAMIDE_METABOLISM	KEGG_NICOTINATE_AND_NICOTINAMIDE_METABOLISM		24	-0.28879234	-0.87784857	0.6343693	1.0	1.0	6558	tags=63%, list=36%, signal=97%	
