NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	KLK5	kallikrein related peptidase 5 [Source:HGNC Symbol;Acc:HGNC:6366]	2	0.7800540328025818	0.051396485	Yes	
row_1	PGLYRP3	peptidoglycan recognition protein 3 [Source:HGNC Symbol;Acc:HGNC:30014]	3	0.7379563450813293	0.100123316	Yes	
row_2	KLK7	kallikrein related peptidase 7 [Source:HGNC Symbol;Acc:HGNC:6368]	40	0.5648561716079712	0.13543992	Yes	
row_3	REG3G	regenerating family member 3 gamma [Source:HGNC Symbol;Acc:HGNC:29595]	101	0.5014564990997314	0.16524993	Yes	
row_4	MUC7	mucin 7, secreted [Source:HGNC Symbol;Acc:HGNC:7518]	114	0.4903578460216522	0.1969678	Yes	
row_5	DEFB118	defensin beta 118 [Source:HGNC Symbol;Acc:HGNC:16196]	206	0.44192513823509216	0.22114153	Yes	
row_6	REG3A	regenerating family member 3 alpha [Source:HGNC Symbol;Acc:HGNC:8601]	256	0.4225291609764099	0.24634518	Yes	
row_7	H2BC8	H2B clustered histone 8 [Source:HGNC Symbol;Acc:HGNC:4746]	441	0.3746728301048279	0.26096192	Yes	
row_8	BPIFA1	BPI fold containing family A member 1 [Source:HGNC Symbol;Acc:HGNC:15749]	597	0.34839051961898804	0.2754387	Yes	
row_9	S100A7	S100 calcium binding protein A7 [Source:HGNC Symbol;Acc:HGNC:10497]	761	0.324375182390213	0.2878896	Yes	
row_10	S100A9	S100 calcium binding protein A9 [Source:HGNC Symbol;Acc:HGNC:10499]	782	0.32169675827026367	0.30803078	Yes	
row_11	PF4V1	platelet factor 4 variant 1 [Source:HGNC Symbol;Acc:HGNC:8862]	853	0.31297510862350464	0.3248453	Yes	
row_12	SPAG11B	sperm associated antigen 11B [Source:HGNC Symbol;Acc:HGNC:14534]	984	0.29681161046028137	0.33729172	Yes	
row_13	KLK3	kallikrein related peptidase 3 [Source:HGNC Symbol;Acc:HGNC:6364]	1076	0.2882644832134247	0.35131934	Yes	
row_14	SEMG1	semenogelin 1 [Source:HGNC Symbol;Acc:HGNC:10742]	1080	0.2879018783569336	0.37016428	Yes	
row_15	SPAG11A	sperm associated antigen 11A [Source:HGNC Symbol;Acc:HGNC:33342]	1238	0.2729506492614746	0.37954977	Yes	
row_16	PGC	progastricsin [Source:HGNC Symbol;Acc:HGNC:8890]	1244	0.2724316418170929	0.3972632	Yes	
row_17	KRT6A	keratin 6A [Source:HGNC Symbol;Acc:HGNC:6443]	1299	0.26803112030029297	0.41199034	Yes	
row_18	IL17A	interleukin 17A [Source:HGNC Symbol;Acc:HGNC:5981]	1363	0.26302841305732727	0.42589206	Yes	
row_19	CAMP	cathelicidin antimicrobial peptide [Source:HGNC Symbol;Acc:HGNC:1472]	1516	0.2526717782020569	0.4342136	Yes	
row_20	HRG	histidine rich glycoprotein [Source:HGNC Symbol;Acc:HGNC:5181]	1545	0.2505604922771454	0.44921756	Yes	
row_21	ELANE	elastase, neutrophil expressed [Source:HGNC Symbol;Acc:HGNC:3309]	1672	0.2425713986158371	0.45830256	Yes	
row_22	DEFA6	defensin alpha 6 [Source:HGNC Symbol;Acc:HGNC:2765]	1684	0.24131998419761658	0.47363162	Yes	
row_23	DEFB127	defensin beta 127 [Source:HGNC Symbol;Acc:HGNC:16206]	1686	0.24129502475261688	0.4895092	Yes	
row_24	CXCL14	C-X-C motif chemokine ligand 14 [Source:HGNC Symbol;Acc:HGNC:10640]	2082	0.21526217460632324	0.48199207	Yes	
row_25	DEFB1	defensin beta 1 [Source:HGNC Symbol;Acc:HGNC:2766]	2220	0.20749489963054657	0.48815584	Yes	
row_26	PGLYRP4	peptidoglycan recognition protein 4 [Source:HGNC Symbol;Acc:HGNC:30015]	2283	0.20474141836166382	0.4982639	Yes	
row_27	H2BC11	H2B clustered histone 11 [Source:HGNC Symbol;Acc:HGNC:4761]	2306	0.20317117869853973	0.51046884	Yes	
row_28	CCL13	C-C motif chemokine ligand 13 [Source:HGNC Symbol;Acc:HGNC:10611]	3019	0.16971682012081146	0.48250476	No	
row_29	S100A12	S100 calcium binding protein A12 [Source:HGNC Symbol;Acc:HGNC:10489]	3349	0.15596935153007507	0.47470355	No	
row_30	CXCL3	C-X-C motif chemokine ligand 3 [Source:HGNC Symbol;Acc:HGNC:4604]	3422	0.15279313921928406	0.48083133	No	
row_31	PPBP	pro-platelet basic protein [Source:HGNC Symbol;Acc:HGNC:9240]	3670	0.14473623037338257	0.47679958	No	
row_32	DEFB126	defensin beta 126 [Source:HGNC Symbol;Acc:HGNC:15900]	3734	0.14210708439350128	0.48271692	No	
row_33	DEFA5	defensin alpha 5 [Source:HGNC Symbol;Acc:HGNC:2764]	3775	0.14072559773921967	0.48980835	No	
row_34	CXCL13	C-X-C motif chemokine ligand 13 [Source:HGNC Symbol;Acc:HGNC:10639]	4039	0.13171835243701935	0.4840368	No	
