NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	KLK5	kallikrein related peptidase 5 [Source:HGNC Symbol;Acc:HGNC:6366]	2	0.7800540328025818	0.033254948	Yes	
row_1	PGLYRP3	peptidoglycan recognition protein 3 [Source:HGNC Symbol;Acc:HGNC:30014]	3	0.7379563450813293	0.06481961	Yes	
row_2	KLK7	kallikrein related peptidase 7 [Source:HGNC Symbol;Acc:HGNC:6368]	40	0.5648561716079712	0.08699361	Yes	
row_3	REG3G	regenerating family member 3 gamma [Source:HGNC Symbol;Acc:HGNC:29595]	101	0.5014564990997314	0.10513137	Yes	
row_4	MUC7	mucin 7, secreted [Source:HGNC Symbol;Acc:HGNC:7518]	114	0.4903578460216522	0.12544328	Yes	
row_5	BPIFB1	BPI fold containing family B member 1 [Source:HGNC Symbol;Acc:HGNC:16108]	154	0.46117982268333435	0.14301716	Yes	
row_6	DEFB118	defensin beta 118 [Source:HGNC Symbol;Acc:HGNC:16196]	206	0.44192513823509216	0.15910526	Yes	
row_7	REG3A	regenerating family member 3 alpha [Source:HGNC Symbol;Acc:HGNC:8601]	256	0.4225291609764099	0.17447408	Yes	
row_8	PLA2G2A	phospholipase A2 group IIA [Source:HGNC Symbol;Acc:HGNC:9031]	343	0.40005961060523987	0.18683998	Yes	
row_9	H2BC8	H2B clustered histone 8 [Source:HGNC Symbol;Acc:HGNC:4746]	441	0.3746728301048279	0.197513	Yes	
row_10	BPIFA1	BPI fold containing family A member 1 [Source:HGNC Symbol;Acc:HGNC:15749]	597	0.34839051961898804	0.20386112	Yes	
row_11	TF	transferrin [Source:HGNC Symbol;Acc:HGNC:11740]	613	0.34697118401527405	0.21787438	Yes	
row_12	WFDC12	WAP four-disulfide core domain 12 [Source:HGNC Symbol;Acc:HGNC:16115]	732	0.3291517198085785	0.22544143	Yes	
row_13	S100A7	S100 calcium binding protein A7 [Source:HGNC Symbol;Acc:HGNC:10497]	761	0.324375182390213	0.2377708	Yes	
row_14	S100A9	S100 calcium binding protein A9 [Source:HGNC Symbol;Acc:HGNC:10499]	782	0.32169675827026367	0.25042707	Yes	
row_15	PF4V1	platelet factor 4 variant 1 [Source:HGNC Symbol;Acc:HGNC:8862]	853	0.31297510862350464	0.25995106	Yes	
row_16	WFDC11	WAP four-disulfide core domain 11 [Source:HGNC Symbol;Acc:HGNC:20478]	970	0.297722727060318	0.26628417	Yes	
row_17	SPAG11B	sperm associated antigen 11B [Source:HGNC Symbol;Acc:HGNC:14534]	984	0.29681161046028137	0.27826232	Yes	
row_18	WFDC9	WAP four-disulfide core domain 9 [Source:HGNC Symbol;Acc:HGNC:20380]	1031	0.2923642694950104	0.28822914	Yes	
row_19	DMBT1	deleted in malignant brain tumors 1 [Source:HGNC Symbol;Acc:HGNC:2926]	1036	0.2920360565185547	0.30049968	Yes	
