NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PLA2G3	phospholipase A2 group III [Source:HGNC Symbol;Acc:HGNC:17934]	76	0.5238346457481384	0.053319864	Yes	
row_1	TEKT2	tektin 2 [Source:HGNC Symbol;Acc:HGNC:11725]	88	0.51018226146698	0.10871611	Yes	
row_2	CFAP65	cilia and flagella associated protein 65 [Source:HGNC Symbol;Acc:HGNC:25325]	181	0.4474959969520569	0.15277651	Yes	
row_3	ZMYND10	zinc finger MYND-type containing 10 [Source:HGNC Symbol;Acc:HGNC:19412]	626	0.3450799584388733	0.16623518	Yes	
row_4	DAW1	dynein assembly factor with WD repeats 1 [Source:HGNC Symbol;Acc:HGNC:26383]	835	0.3147675395011902	0.18934642	Yes	
row_5	CCDC39	coiled-coil domain containing 39 [Source:HGNC Symbol;Acc:HGNC:25244]	848	0.31346166133880615	0.22309421	Yes	
row_6	DNAH5	dynein axonemal heavy chain 5 [Source:HGNC Symbol;Acc:HGNC:2950]	955	0.2997506856918335	0.25016704	Yes	
row_7	DNAJB13	DnaJ heat shock protein family (Hsp40) member B13 [Source:HGNC Symbol;Acc:HGNC:30718]	1065	0.28929051756858826	0.27592668	Yes	
row_8	CCDC103	coiled-coil domain containing 103 [Source:HGNC Symbol;Acc:HGNC:32700]	1345	0.26480525732040405	0.28964874	Yes	
row_9	DNAAF3	dynein axonemal assembly factor 3 [Source:HGNC Symbol;Acc:HGNC:30492]	1462	0.25568222999572754	0.3113343	Yes	
row_10	CFAP100	cilia and flagella associated protein 100 [Source:HGNC Symbol;Acc:HGNC:26842]	1675	0.24206459522247314	0.32624516	Yes	
row_11	SPAG17	sperm associated antigen 17 [Source:HGNC Symbol;Acc:HGNC:26620]	1771	0.2344616800546646	0.3467564	Yes	
row_12	CFAP73	cilia and flagella associated protein 73 [Source:HGNC Symbol;Acc:HGNC:37100]	1783	0.23375298082828522	0.3718098	Yes	
row_13	SPAG16	sperm associated antigen 16 [Source:HGNC Symbol;Acc:HGNC:23225]	1902	0.22555606067180634	0.3900785	Yes	
row_14	HYDIN	HYDIN axonemal central pair apparatus protein [Source:HGNC Symbol;Acc:HGNC:19368]	2033	0.21779663860797882	0.4068355	Yes	
row_15	DNAH1	dynein axonemal heavy chain 1 [Source:HGNC Symbol;Acc:HGNC:2940]	2252	0.20598948001861572	0.41745648	Yes	
row_16	CCDC114	coiled-coil domain containing 114 [Source:HGNC Symbol;Acc:HGNC:26560]	2324	0.20256999135017395	0.43578705	Yes	
row_17	DNAI1	dynein axonemal intermediate chain 1 [Source:HGNC Symbol;Acc:HGNC:2954]	2928	0.1735389232635498	0.42167124	Yes	
row_18	DNAH7	dynein axonemal heavy chain 7 [Source:HGNC Symbol;Acc:HGNC:18661]	3380	0.15463979542255402	0.41384086	Yes	
row_19	CFAP44	cilia and flagella associated protein 44 [Source:HGNC Symbol;Acc:HGNC:25631]	3413	0.1531527042388916	0.42889202	Yes	
row_20	DNAAF4	dynein axonemal assembly factor 4 [Source:HGNC Symbol;Acc:HGNC:21493]	3456	0.15168163180351257	0.44323167	Yes	
row_21	CFAP206	cilia and flagella associated protein 206 [Source:HGNC Symbol;Acc:HGNC:21405]	3524	0.14917290210723877	0.455921	Yes	
row_22	SPEF1	sperm flagellar 1 [Source:HGNC Symbol;Acc:HGNC:15874]	4315	0.1227378100156784	0.425944	No	
row_23	MEIG1	meiosis/spermiogenesis associated 1 [Source:HGNC Symbol;Acc:HGNC:23429]	4616	0.11391687393188477	0.4219485	No	
row_24	TTC25	tetratricopeptide repeat domain 25 [Source:HGNC Symbol;Acc:HGNC:25280]	4952	0.10400140285491943	0.4149396	No	
row_25	CCDC40	coiled-coil domain containing 40 [Source:HGNC Symbol;Acc:HGNC:26090]	4976	0.10351556539535522	0.42503724	No	
row_26	CFAP46	cilia and flagella associated protein 46 [Source:HGNC Symbol;Acc:HGNC:25247]	5321	0.09298775345087051	0.41632444	No	
row_27	RSPH9	radial spoke head component 9 [Source:HGNC Symbol;Acc:HGNC:21057]	5325	0.09291094541549683	0.42635798	No	
row_28	NEURL1	neuralized E3 ubiquitin protein ligase 1 [Source:HGNC Symbol;Acc:HGNC:7761]	5576	0.08495260030031204	0.42193314	No	
row_29	TTC12	tetratricopeptide repeat domain 12 [Source:HGNC Symbol;Acc:HGNC:23700]	5639	0.08310133963823318	0.42764497	No	
row_30	RP1L1	RP1 like 1 [Source:HGNC Symbol;Acc:HGNC:15946]	5731	0.08093099296092987	0.43152356	No	
row_31	DNAH17	dynein axonemal heavy chain 17 [Source:HGNC Symbol;Acc:HGNC:2946]	5814	0.07829578220844269	0.4356079	No	
row_32	RSPH6A	radial spoke head 6 homolog A [Source:HGNC Symbol;Acc:HGNC:14241]	5888	0.07618988305330276	0.4399561	No	
row_33	DNAAF2	dynein axonemal assembly factor 2 [Source:HGNC Symbol;Acc:HGNC:20188]	5967	0.07411786913871765	0.44380185	No	
row_34	LRGUK	leucine rich repeats and guanylate kinase domain containing [Source:HGNC Symbol;Acc:HGNC:21964]	6108	0.07087242603302002	0.4438814	No	
row_35	DRC1	dynein regulatory complex subunit 1 [Source:HGNC Symbol;Acc:HGNC:24245]	6299	0.06595566123723984	0.44067127	No	
row_36	TTLL1	tubulin tyrosine ligase like 1 [Source:HGNC Symbol;Acc:HGNC:1312]	6495	0.061085429042577744	0.43665153	No	
row_37	DNAAF5	dynein axonemal assembly factor 5 [Source:HGNC Symbol;Acc:HGNC:26013]	6838	0.05252457037568092	0.4236072	No	
row_38	FSIP2	fibrous sheath interacting protein 2 [Source:HGNC Symbol;Acc:HGNC:21675]	7235	0.04287449270486832	0.40653363	No	
row_39	GAS8	growth arrest specific 8 [Source:HGNC Symbol;Acc:HGNC:4166]	7246	0.04242957755923271	0.410641	No	
row_40	CCDC151	coiled-coil domain containing 151 [Source:HGNC Symbol;Acc:HGNC:28303]	7258	0.04215999320149422	0.4146638	No	
row_41	CCDC63	coiled-coil domain containing 63 [Source:HGNC Symbol;Acc:HGNC:26669]	7562	0.03400884568691254	0.401732	No	
row_42	CFAP74	cilia and flagella associated protein 74 [Source:HGNC Symbol;Acc:HGNC:29368]	8602	0.009614615701138973	0.34564295	No	
row_43	FOXJ1	forkhead box J1 [Source:HGNC Symbol;Acc:HGNC:3816]	8796	0.005252155940979719	0.33560458	No	
row_44	TTLL3	tubulin tyrosine ligase like 3 [Source:HGNC Symbol;Acc:HGNC:24483]	8975	0.001054655178450048	0.32593045	No	
row_45	CFAP157	cilia and flagella associated protein 157 [Source:HGNC Symbol;Acc:HGNC:27843]	9121	0.0	0.31795552	No	
row_46	CCDC65	coiled-coil domain containing 65 [Source:HGNC Symbol;Acc:HGNC:29937]	9585	0.0	0.29249078	No	
row_47	TPGS1	tubulin polyglutamylase complex subunit 1 [Source:HGNC Symbol;Acc:HGNC:25058]	10897	-0.015791891142725945	0.22211991	No	
row_48	CEP131	centrosomal protein 131 [Source:HGNC Symbol;Acc:HGNC:29511]	10989	-0.018089745193719864	0.21910062	No	
row_49	DNAL1	dynein axonemal light chain 1 [Source:HGNC Symbol;Acc:HGNC:23247]	11008	-0.018400344997644424	0.22013038	No	
row_50	LRRC6	leucine rich repeat containing 6 [Source:HGNC Symbol;Acc:HGNC:16725]	11068	-0.019743194803595543	0.21905257	No	
row_51	SPAG1	sperm associated antigen 1 [Source:HGNC Symbol;Acc:HGNC:11212]	11127	-0.021088553592562675	0.21817744	No	
row_52	CFAP43	cilia and flagella associated protein 43 [Source:HGNC Symbol;Acc:HGNC:26684]	11288	-0.025064459070563316	0.21212877	No	
row_53	TOGARAM1	TOG array regulator of axonemal microtubules 1 [Source:HGNC Symbol;Acc:HGNC:19959]	11311	-0.0255570150911808	0.2137241	No	
row_54	IQCG	IQ motif containing G [Source:HGNC Symbol;Acc:HGNC:25251]	11363	-0.026763303205370903	0.21385686	No	
row_55	RP1	RP1 axonemal microtubule associated [Source:HGNC Symbol;Acc:HGNC:10263]	11827	-0.038400501012802124	0.19260724	No	
row_56	ARMC4	armadillo repeat containing 4 [Source:HGNC Symbol;Acc:HGNC:25583]	12605	-0.057849589735269547	0.15622264	No	
row_57	JHY	junctional cadherin complex regulator [Source:HGNC Symbol;Acc:HGNC:26288]	12674	-0.0599127821624279	0.15905914	No	
row_58	TTC26	tetratricopeptide repeat domain 26 [Source:HGNC Symbol;Acc:HGNC:21882]	12700	-0.06069694086909294	0.16434668	No	
row_59	DNAAF1	dynein axonemal assembly factor 1 [Source:HGNC Symbol;Acc:HGNC:30539]	12853	-0.06479531526565552	0.16309915	No	
row_60	LRRC49	leucine rich repeat containing 49 [Source:HGNC Symbol;Acc:HGNC:25965]	13473	-0.08190304785966873	0.13804476	No	
row_61	DNAI2	dynein axonemal intermediate chain 2 [Source:HGNC Symbol;Acc:HGNC:18744]	13546	-0.08379765599966049	0.14328302	No	
row_62	DNAH8	dynein axonemal heavy chain 8 [Source:HGNC Symbol;Acc:HGNC:2952]	13566	-0.08419966697692871	0.15148039	No	
row_63	BBS2	Bardet-Biedl syndrome 2 [Source:HGNC Symbol;Acc:HGNC:967]	13582	-0.08473362028598785	0.15995637	No	
row_64	SPEF2	sperm flagellar 2 [Source:HGNC Symbol;Acc:HGNC:26293]	13718	-0.08878085762262344	0.16227666	No	
row_65	CFAP69	cilia and flagella associated protein 69 [Source:HGNC Symbol;Acc:HGNC:26107]	13762	-0.08996900171041489	0.16978732	No	
row_66	ARMC2	armadillo repeat containing 2 [Source:HGNC Symbol;Acc:HGNC:23045]	13892	-0.09404760599136353	0.17301573	No	
row_67	RSPH4A	radial spoke head component 4A [Source:HGNC Symbol;Acc:HGNC:21558]	14996	-0.12836335599422455	0.1264414	No	
row_68	CFAP97D1	CFAP97 domain containing 1 [Source:HGNC Symbol;Acc:HGNC:37241]	15586	-0.15004241466522217	0.11051645	No	
row_69	RSPH1	radial spoke head component 1 [Source:HGNC Symbol;Acc:HGNC:12371]	15671	-0.15339621901512146	0.12273436	No	
row_70	UBE2B	ubiquitin conjugating enzyme E2 B [Source:HGNC Symbol;Acc:HGNC:12473]	16152	-0.17459028959274292	0.1154989	No	
