NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SPEM1	spermatid maturation 1 [Source:HGNC Symbol;Acc:HGNC:32429]	48	0.5518547892570496	0.026585413	Yes	
row_1	PLA2G3	phospholipase A2 group III [Source:HGNC Symbol;Acc:HGNC:17934]	76	0.5238346457481384	0.052846592	Yes	
row_2	TEKT2	tektin 2 [Source:HGNC Symbol;Acc:HGNC:11725]	88	0.51018226146698	0.07926849	Yes	
row_3	CFAP65	cilia and flagella associated protein 65 [Source:HGNC Symbol;Acc:HGNC:25325]	181	0.4474959969520569	0.09789386	Yes	
row_4	SMCP	sperm mitochondria associated cysteine rich protein [Source:HGNC Symbol;Acc:HGNC:6962]	319	0.40717315673828125	0.11189658	Yes	
row_5	ZMYND10	zinc finger MYND-type containing 10 [Source:HGNC Symbol;Acc:HGNC:19412]	626	0.3450799584388733	0.11327205	Yes	
row_6	CATSPERZ	catsper channel auxiliary subunit zeta [Source:HGNC Symbol;Acc:HGNC:19231]	723	0.33030927181243896	0.1254678	Yes	
row_7	CFAP298	cilia and flagella associated protein 298 [Source:HGNC Symbol;Acc:HGNC:1301]	724	0.33027932047843933	0.14296614	Yes	
row_8	DAW1	dynein assembly factor with WD repeats 1 [Source:HGNC Symbol;Acc:HGNC:26383]	835	0.3147675395011902	0.15356497	Yes	
row_9	CCDC39	coiled-coil domain containing 39 [Source:HGNC Symbol;Acc:HGNC:25244]	848	0.31346166133880615	0.16950928	Yes	
row_10	PRSS55	serine protease 55 [Source:HGNC Symbol;Acc:HGNC:30824]	918	0.3034740388393402	0.1817751	Yes	
row_11	DNAH5	dynein axonemal heavy chain 5 [Source:HGNC Symbol;Acc:HGNC:2950]	955	0.2997506856918335	0.19566695	Yes	
row_12	EPPIN	epididymal peptidase inhibitor [Source:HGNC Symbol;Acc:HGNC:15932]	1075	0.2883501648902893	0.2043689	Yes	
row_13	SEMG1	semenogelin 1 [Source:HGNC Symbol;Acc:HGNC:10742]	1080	0.2879018783569336	0.21940106	Yes	
