NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	KLK5	kallikrein related peptidase 5 [Source:HGNC Symbol;Acc:HGNC:6366]	2	0.7800540328025818	0.037902415	Yes	
row_1	KRT37	keratin 37 [Source:HGNC Symbol;Acc:HGNC:6455]	23	0.6147374510765076	0.06675653	Yes	
row_2	KRT5	keratin 5 [Source:HGNC Symbol;Acc:HGNC:6442]	26	0.6006147265434265	0.09591472	Yes	
row_3	KRT31	keratin 31 [Source:HGNC Symbol;Acc:HGNC:6448]	81	0.5176606774330139	0.118163906	Yes	
row_4	KRT32	keratin 32 [Source:HGNC Symbol;Acc:HGNC:6449]	228	0.4340313971042633	0.1312661	Yes	
row_5	KRT19	keratin 19 [Source:HGNC Symbol;Acc:HGNC:6436]	241	0.427530974149704	0.1514385	Yes	
row_6	CASP14	caspase 14 [Source:HGNC Symbol;Acc:HGNC:1502]	381	0.3897383213043213	0.16276814	Yes	
row_7	TMEM79	transmembrane protein 79 [Source:HGNC Symbol;Acc:HGNC:28196]	538	0.35783645510673523	0.17160603	Yes	
row_8	SPRR3	small proline rich protein 3 [Source:HGNC Symbol;Acc:HGNC:11268]	559	0.3554316461086273	0.18782397	Yes	
row_9	KRT72	keratin 72 [Source:HGNC Symbol;Acc:HGNC:28932]	560	0.3549286425113678	0.20511992	Yes	
row_10	KRT85	keratin 85 [Source:HGNC Symbol;Acc:HGNC:6462]	561	0.35476765036582947	0.22240804	Yes	
row_11	KRT9	keratin 9 [Source:HGNC Symbol;Acc:HGNC:6447]	598	0.34826937317848206	0.23739493	Yes	
row_12	KRT25	keratin 25 [Source:HGNC Symbol;Acc:HGNC:30839]	629	0.34487414360046387	0.25254712	Yes	
row_13	FLG	filaggrin [Source:HGNC Symbol;Acc:HGNC:3748]	631	0.344553142786026	0.26928234	Yes	
row_14	LORICRIN	loricrin cornified envelope precursor protein [Source:HGNC Symbol;Acc:HGNC:6663]	645	0.342779278755188	0.28526962	Yes	
row_15	KRT79	keratin 79 [Source:HGNC Symbol;Acc:HGNC:28930]	673	0.33796265721321106	0.30025038	Yes	
row_16	KRT28	keratin 28 [Source:HGNC Symbol;Acc:HGNC:30842]	702	0.3338507413864136	0.31497565	Yes	
row_17	KRT27	keratin 27 [Source:HGNC Symbol;Acc:HGNC:30841]	731	0.3292645215988159	0.32947743	Yes	
row_18	KLK13	kallikrein related peptidase 13 [Source:HGNC Symbol;Acc:HGNC:6361]	753	0.32623791694641113	0.3442176	Yes	
