NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PAX4	paired box 4 [Source:HGNC Symbol;Acc:HGNC:8618]	0	0.8249292373657227	0.038698655	Yes	
row_1	LHX3	LIM homeobox 3 [Source:HGNC Symbol;Acc:HGNC:6595]	56	0.5411492586135864	0.061051626	Yes	
row_2	ISL1	ISL LIM homeobox 1 [Source:HGNC Symbol;Acc:HGNC:6132]	66	0.5327702164649963	0.085548334	Yes	
row_3	ASCL1	achaete-scute family bHLH transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:738]	170	0.453286737203598	0.10113244	Yes	
row_4	MNX1	motor neuron and pancreas homeobox 1 [Source:HGNC Symbol;Acc:HGNC:4979]	188	0.4465564787387848	0.12114355	Yes	
row_5	PROP1	PROP paired-like homeobox 1 [Source:HGNC Symbol;Acc:HGNC:9455]	212	0.4403117597103119	0.14053082	Yes	
row_6	FGF8	fibroblast growth factor 8 [Source:HGNC Symbol;Acc:HGNC:3686]	273	0.4168911874294281	0.15677892	Yes	
row_7	NEUROD1	neuronal differentiation 1 [Source:HGNC Symbol;Acc:HGNC:7762]	292	0.4129776656627655	0.17515965	Yes	
row_8	GIP	gastric inhibitory polypeptide [Source:HGNC Symbol;Acc:HGNC:4270]	358	0.3963383436203003	0.19016784	Yes	
row_9	SOX9	SRY-box transcription factor 9 [Source:HGNC Symbol;Acc:HGNC:11204]	378	0.3900109529495239	0.20741603	Yes	
row_10	BAD	BCL2 associated agonist of cell death [Source:HGNC Symbol;Acc:HGNC:936]	396	0.38673296570777893	0.22462073	Yes	
row_11	PAX1	paired box 1 [Source:HGNC Symbol;Acc:HGNC:8615]	438	0.37603625655174255	0.24000007	Yes	
row_12	PITX2	paired like homeodomain 2 [Source:HGNC Symbol;Acc:HGNC:9005]	460	0.37030676007270813	0.2562136	Yes	
row_13	GSK3A	glycogen synthase kinase 3 alpha [Source:HGNC Symbol;Acc:HGNC:4616]	469	0.3692372441291809	0.27309388	Yes	
row_14	NKX2-5	NK2 homeobox 5 [Source:HGNC Symbol;Acc:HGNC:2488]	500	0.36311283707618713	0.2884736	Yes	
row_15	FOXA2	forkhead box A2 [Source:HGNC Symbol;Acc:HGNC:5022]	506	0.36223211884498596	0.3051907	Yes	
row_16	GHRHR	growth hormone releasing hormone receptor [Source:HGNC Symbol;Acc:HGNC:4266]	663	0.33944016695022583	0.31251127	Yes	
row_17	PDX1	pancreatic and duodenal homeobox 1 [Source:HGNC Symbol;Acc:HGNC:6107]	864	0.3115284740924835	0.3160959	Yes	
row_18	SIX3	SIX homeobox 3 [Source:HGNC Symbol;Acc:HGNC:10889]	879	0.3095286190509796	0.32984427	Yes	
row_19	ADCYAP1	adenylate cyclase activating polypeptide 1 [Source:HGNC Symbol;Acc:HGNC:241]	906	0.3058968484401703	0.3427605	Yes	
row_20	NR5A1	nuclear receptor subfamily 5 group A member 1 [Source:HGNC Symbol;Acc:HGNC:7983]	914	0.30475175380706787	0.35667083	Yes	
row_21	DRD2	dopamine receptor D2 [Source:HGNC Symbol;Acc:HGNC:3023]	929	0.30249178409576416	0.37008908	Yes	
