NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CLN3	CLN3 lysosomal/endosomal transmembrane protein, battenin [Source:HGNC Symbol;Acc:HGNC:2074]	817	0.3169603645801544	0.0014295235	No	
row_1	ARFRP1	ADP ribosylation factor related protein 1 [Source:HGNC Symbol;Acc:HGNC:662]	2900	0.17486096918582916	-0.08743213	No	
row_2	LLGL1	LLGL scribble cell polarity complex component 1 [Source:HGNC Symbol;Acc:HGNC:6628]	3085	0.1662655919790268	-0.07324151	No	
row_3	C16orf70	chromosome 16 open reading frame 70 [Source:HGNC Symbol;Acc:HGNC:29564]	3143	0.16334974765777588	-0.052497543	No	
row_4	VAMP5	vesicle associated membrane protein 5 [Source:HGNC Symbol;Acc:HGNC:12646]	3555	0.14837557077407837	-0.053397145	No	
row_5	CSK	C-terminal Src kinase [Source:HGNC Symbol;Acc:HGNC:2444]	4896	0.10551478713750839	-0.111616805	No	
row_6	VAMP2	vesicle associated membrane protein 2 [Source:HGNC Symbol;Acc:HGNC:12643]	5699	0.08161383122205734	-0.1437631	No	
row_7	CCDC93	coiled-coil domain containing 93 [Source:HGNC Symbol;Acc:HGNC:25611]	6039	0.07248251140117645	-0.15179892	No	
row_8	ANK3	ankyrin 3 [Source:HGNC Symbol;Acc:HGNC:494]	6124	0.07056672126054764	-0.14610071	No	
row_9	KRT18	keratin 18 [Source:HGNC Symbol;Acc:HGNC:6430]	6308	0.06567906588315964	-0.14655769	No	
row_10	RAB34	RAB34, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:16519]	6479	0.06140536069869995	-0.1469249	No	
row_11	DNM2	dynamin 2 [Source:HGNC Symbol;Acc:HGNC:2974]	6547	0.059857651591300964	-0.14185774	No	
row_12	RAB31	RAB31, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9771]	6648	0.05706201121211052	-0.13901281	No	
row_13	GGA2	golgi associated, gamma adaptin ear containing, ARF binding protein 2 [Source:HGNC Symbol;Acc:HGNC:16064]	6651	0.05693339183926582	-0.13080087	No	
row_14	ARFGEF2	ADP ribosylation factor guanine nucleotide exchange factor 2 [Source:HGNC Symbol;Acc:HGNC:15853]	7065	0.04678912088274956	-0.14665909	No	
row_15	GGA3	golgi associated, gamma adaptin ear containing, ARF binding protein 3 [Source:HGNC Symbol;Acc:HGNC:17079]	7827	0.028132673352956772	-0.18436937	No	
row_16	AMN	amnion associated transmembrane protein [Source:HGNC Symbol;Acc:HGNC:14604]	7893	0.026736214756965637	-0.1840336	No	
