NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	LHX5	LIM homeobox 5 [Source:HGNC Symbol;Acc:HGNC:14216]	36	0.5750741958618164	0.03605332	Yes	
row_1	EN1	engrailed homeobox 1 [Source:HGNC Symbol;Acc:HGNC:3342]	50	0.5502865314483643	0.07173375	Yes	
row_2	ASCL1	achaete-scute family bHLH transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:738]	170	0.453286737203598	0.09516123	Yes	
row_3	LHX1	LIM homeobox 1 [Source:HGNC Symbol;Acc:HGNC:6593]	253	0.4239906370639801	0.11868859	Yes	
row_4	FCGR2B	Fc fragment of IgG receptor IIb [Source:HGNC Symbol;Acc:HGNC:3618]	284	0.4137607514858246	0.14440294	Yes	
row_5	NEUROD1	neuronal differentiation 1 [Source:HGNC Symbol;Acc:HGNC:7762]	292	0.4129776656627655	0.17133209	Yes	
row_6	CDK5	cyclin dependent kinase 5 [Source:HGNC Symbol;Acc:HGNC:1774]	322	0.4053416848182678	0.19654466	Yes	
row_7	PTF1A	pancreas associated transcription factor 1a [Source:HGNC Symbol;Acc:HGNC:23734]	390	0.38773560523986816	0.21850014	Yes	
row_8	SCN5A	sodium voltage-gated channel alpha subunit 5 [Source:HGNC Symbol;Acc:HGNC:10593]	544	0.35701173543930054	0.23368756	Yes	
row_9	WNT1	Wnt family member 1 [Source:HGNC Symbol;Acc:HGNC:12774]	546	0.3568645417690277	0.25723577	Yes	
row_10	GBA	glucosylceramidase beta [Source:HGNC Symbol;Acc:HGNC:4177]	628	0.34506383538246155	0.27559793	Yes	
row_11	UQCRQ	ubiquinol-cytochrome c reductase complex III subunit VII [Source:HGNC Symbol;Acc:HGNC:29594]	950	0.30056580901145935	0.27780035	Yes	
row_12	CBLN1	cerebellin 1 precursor [Source:HGNC Symbol;Acc:HGNC:1543]	1264	0.2713202238082886	0.27850905	Yes	
row_13	B4GALT2	beta-1,4-galactosyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:925]	1441	0.2572401762008667	0.28583091	Yes	
