NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SHMT2	serine hydroxymethyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:10852]	244	0.4270882308483124	0.009364242	No	
row_1	ATF4	activating transcription factor 4 [Source:HGNC Symbol;Acc:HGNC:786]	377	0.3905192017555237	0.022960534	No	
row_2	CELF4	CUGBP Elav-like family member 4 [Source:HGNC Symbol;Acc:HGNC:14015]	687	0.336149662733078	0.023868965	No	
row_3	GRB7	growth factor receptor bound protein 7 [Source:HGNC Symbol;Acc:HGNC:4567]	1427	0.2582733929157257	-0.003146552	No	
row_4	PLEKHN1	pleckstrin homology domain containing N1 [Source:HGNC Symbol;Acc:HGNC:25284]	2143	0.21132759749889374	-0.031347238	No	
row_5	SHMT1	serine hydroxymethyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:10850]	2236	0.20664070546627045	-0.02537684	No	
row_6	TYMS	thymidylate synthetase [Source:HGNC Symbol;Acc:HGNC:12441]	2428	0.19724084436893463	-0.025379173	No	
row_7	SPON1	spondin 1 [Source:HGNC Symbol;Acc:HGNC:11252]	2652	0.18461203575134277	-0.027825095	No	
row_8	PIN1	peptidylprolyl cis/trans isomerase, NIMA-interacting 1 [Source:HGNC Symbol;Acc:HGNC:8988]	2993	0.17039892077445984	-0.037495747	No	
row_9	IGF2BP1	insulin like growth factor 2 mRNA binding protein 1 [Source:HGNC Symbol;Acc:HGNC:28866]	3025	0.1694982349872589	-0.030141808	No	
row_10	DHFR	dihydrofolate reductase [Source:HGNC Symbol;Acc:HGNC:2861]	3049	0.16789166629314423	-0.022431796	No	
row_11	PAIP2B	poly(A) binding protein interacting protein 2B [Source:HGNC Symbol;Acc:HGNC:29200]	3409	0.15332528948783875	-0.034065526	No	
row_12	EIF6	eukaryotic translation initiation factor 6 [Source:HGNC Symbol;Acc:HGNC:6159]	3532	0.14890055358409882	-0.032841295	No	
row_13	RTN2	reticulon 2 [Source:HGNC Symbol;Acc:HGNC:10468]	3632	0.14602325856685638	-0.030500187	No	
row_14	GZMB	granzyme B [Source:HGNC Symbol;Acc:HGNC:4709]	3899	0.13625653088092804	-0.037908547	No	
row_15	TRIM71	tripartite motif containing 71 [Source:HGNC Symbol;Acc:HGNC:32669]	3929	0.13540834188461304	-0.03226763	No	
row_16	NTRK2	neurotrophic receptor tyrosine kinase 2 [Source:HGNC Symbol;Acc:HGNC:8032]	4181	0.12739971280097961	-0.03932098	No	
row_17	BIN1	bridging integrator 1 [Source:HGNC Symbol;Acc:HGNC:1052]	4242	0.12506818771362305	-0.035945978	No	
row_18	CIRBP	cold inducible RNA binding protein [Source:HGNC Symbol;Acc:HGNC:1982]	4296	0.12335772812366486	-0.032275707	No	
row_19	ZFP36	ZFP36 ring finger protein [Source:HGNC Symbol;Acc:HGNC:12862]	4435	0.11894334107637405	-0.033537965	No	
row_20	NANOS1	nanos C2HC-type zinc finger 1 [Source:HGNC Symbol;Acc:HGNC:23044]	4467	0.11786390095949173	-0.028946033	No	
row_21	CHRNA7	cholinergic receptor nicotinic alpha 7 subunit [Source:HGNC Symbol;Acc:HGNC:1960]	4559	0.11499578505754471	-0.027822621	No	
row_22	ZNF540	zinc finger protein 540 [Source:HGNC Symbol;Acc:HGNC:25331]	4696	0.11137192696332932	-0.029379383	No	
