NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	INPP5J	inositol polyphosphate-5-phosphatase J [Source:HGNC Symbol;Acc:HGNC:8956]	764	0.32417815923690796	-0.021281106	No	
row_1	CTNNA2	catenin alpha 2 [Source:HGNC Symbol;Acc:HGNC:2510]	875	0.3104188144207001	-0.007344455	No	
row_2	AVIL	advillin [Source:HGNC Symbol;Acc:HGNC:14188]	1125	0.2819072902202606	-0.0029192541	No	
row_3	SHANK1	SH3 and multiple ankyrin repeat domains 1 [Source:HGNC Symbol;Acc:HGNC:15474]	1705	0.23951181769371033	-0.019444777	No	
row_4	CAPZA3	capping actin protein of muscle Z-line subunit alpha 3 [Source:HGNC Symbol;Acc:HGNC:24205]	1793	0.23274274170398712	-0.009245316	No	
row_5	APC2	APC regulator of WNT signaling pathway 2 [Source:HGNC Symbol;Acc:HGNC:24036]	1819	0.23154914379119873	0.004299973	No	
row_6	CAPG	capping actin protein, gelsolin like [Source:HGNC Symbol;Acc:HGNC:1474]	2874	0.17588064074516296	-0.042549964	No	
row_7	SSH3	slingshot protein phosphatase 3 [Source:HGNC Symbol;Acc:HGNC:30581]	3015	0.16981737315654755	-0.039332528	No	
row_8	CLIP3	CAP-Gly domain containing linker protein 3 [Source:HGNC Symbol;Acc:HGNC:24314]	3067	0.1670844554901123	-0.031377923	No	
row_9	PRKCD	protein kinase C delta [Source:HGNC Symbol;Acc:HGNC:9399]	3175	0.16200010478496552	-0.026842585	No	
row_10	LMOD2	leiomodin 2 [Source:HGNC Symbol;Acc:HGNC:6648]	3269	0.15829244256019592	-0.021773355	No	
row_11	CARMIL2	capping protein regulator and myosin 1 linker 2 [Source:HGNC Symbol;Acc:HGNC:27089]	3656	0.14510703086853027	-0.033729378	No	
row_12	CAV3	caveolin 3 [Source:HGNC Symbol;Acc:HGNC:1529]	3662	0.14494478702545166	-0.024662405	No	
row_13	CORO1B	coronin 1B [Source:HGNC Symbol;Acc:HGNC:2253]	3682	0.14422833919525146	-0.016414495	No	
row_14	SPTBN4	spectrin beta, non-erythrocytic 4 [Source:HGNC Symbol;Acc:HGNC:14896]	3721	0.14252345263957977	-0.009325394	No	
row_15	FHOD3	formin homology 2 domain containing 3 [Source:HGNC Symbol;Acc:HGNC:26178]	4037	0.1317606270313263	-0.018222094	No	
row_16	ARAP1	ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 1 [Source:HGNC Symbol;Acc:HGNC:16925]	4045	0.13158740103244781	-0.010126538	No	
row_17	CCNF	cyclin F [Source:HGNC Symbol;Acc:HGNC:1591]	4120	0.12869399785995483	-0.005916283	No	
row_18	SPEF1	sperm flagellar 1 [Source:HGNC Symbol;Acc:HGNC:15874]	4315	0.1227378100156784	-0.008714668	No	
row_19	VIL1	villin 1 [Source:HGNC Symbol;Acc:HGNC:12690]	4392	0.12055934220552444	-0.005139178	No	
row_20	SPTBN2	spectrin beta, non-erythrocytic 2 [Source:HGNC Symbol;Acc:HGNC:11276]	4424	0.11953305453062057	8.544252E-4	No	
row_21	CAMSAP3	calmodulin regulated spectrin associated protein family member 3 [Source:HGNC Symbol;Acc:HGNC:29307]	4984	0.10318442434072495	-0.023354514	No	
row_22	ADD2	adducin 2 [Source:HGNC Symbol;Acc:HGNC:244]	5473	0.08797600865364075	-0.04462415	No	
row_23	PFN1	profilin 1 [Source:HGNC Symbol;Acc:HGNC:8881]	5666	0.08245455473661423	-0.049908746	No	
row_24	TRIM54	tripartite motif containing 54 [Source:HGNC Symbol;Acc:HGNC:16008]	5952	0.0744902566075325	-0.06084086	No	
row_25	CGNL1	cingulin like 1 [Source:HGNC Symbol;Acc:HGNC:25931]	6336	0.0649510845541954	-0.07779804	No	
row_26	PICK1	protein interacting with PRKCA 1 [Source:HGNC Symbol;Acc:HGNC:9394]	6360	0.06427359580993652	-0.07492476	No	
row_27	SPTBN5	spectrin beta, non-erythrocytic 5 [Source:HGNC Symbol;Acc:HGNC:15680]	6407	0.06308239698410034	-0.073398	No	
row_28	KANK4	KN motif and ankyrin repeat domains 4 [Source:HGNC Symbol;Acc:HGNC:27263]	6658	0.056802067905664444	-0.08353808	No	
row_29	KATNB1	katanin regulatory subunit B1 [Source:HGNC Symbol;Acc:HGNC:6217]	6772	0.05407702550292015	-0.08629059	No	
row_30	SPTB	spectrin beta, erythrocytic [Source:HGNC Symbol;Acc:HGNC:11274]	6779	0.05385340377688408	-0.08315049	No	
row_31	KAT2A	lysine acetyltransferase 2A [Source:HGNC Symbol;Acc:HGNC:4201]	6941	0.04976877197623253	-0.08883059	No	
row_32	CDK5RAP2	CDK5 regulatory subunit associated protein 2 [Source:HGNC Symbol;Acc:HGNC:18672]	7123	0.04553554952144623	-0.09588768	No	
row_33	FKBP4	FKBP prolyl isomerase 4 [Source:HGNC Symbol;Acc:HGNC:3720]	7292	0.04125368967652321	-0.102503106	No	
row_34	PFN2	profilin 2 [Source:HGNC Symbol;Acc:HGNC:8882]	7559	0.03405934199690819	-0.11499245	No	
row_35	TRIOBP	TRIO and F-actin binding protein [Source:HGNC Symbol;Acc:HGNC:17009]	7654	0.03206463158130646	-0.11811495	No	
row_36	ARHGEF2	Rho/Rac guanine nucleotide exchange factor 2 [Source:HGNC Symbol;Acc:HGNC:682]	7694	0.031294163316488266	-0.11825079	No	
row_37	MAP6D1	MAP6 domain containing 1 [Source:HGNC Symbol;Acc:HGNC:25753]	7903	0.026595432311296463	-0.1280193	No	
row_38	VILL	villin like [Source:HGNC Symbol;Acc:HGNC:30906]	7989	0.02463293820619583	-0.13112399	No	
row_39	MYOC	myocilin [Source:HGNC Symbol;Acc:HGNC:7610]	8013	0.024016156792640686	-0.13084567	No	
row_40	MYADM	myeloid associated differentiation marker [Source:HGNC Symbol;Acc:HGNC:7544]	8196	0.019356215372681618	-0.13964546	No	
row_41	TACSTD2	tumor associated calcium signal transducer 2 [Source:HGNC Symbol;Acc:HGNC:11530]	8244	0.018024014309048653	-0.14107832	No	
row_42	IQCJ-SCHIP1	IQCJ-SCHIP1 readthrough [Source:HGNC Symbol;Acc:HGNC:38842]	8254	0.0178232379257679	-0.14042631	No	
row_43	EML2	EMAP like 2 [Source:HGNC Symbol;Acc:HGNC:18035]	8285	0.017222663387656212	-0.14097233	No	
row_44	TMOD1	tropomodulin 1 [Source:HGNC Symbol;Acc:HGNC:11871]	8403	0.014675309881567955	-0.14648546	No	
row_45	FLII	FLII actin remodeling protein [Source:HGNC Symbol;Acc:HGNC:3750]	8435	0.01379107404500246	-0.14730789	No	
row_46	CORO1A	coronin 1A [Source:HGNC Symbol;Acc:HGNC:2252]	8441	0.013571630232036114	-0.14670911	No	
row_47	PLEKHH2	pleckstrin homology, MyTH4 and FERM domain containing H2 [Source:HGNC Symbol;Acc:HGNC:30506]	8493	0.012494801543653011	-0.1487192	No	
row_48	BRCA1	BRCA1 DNA repair associated [Source:HGNC Symbol;Acc:HGNC:1100]	8603	0.009614423848688602	-0.15411691	No	
row_49	LMOD1	leiomodin 1 [Source:HGNC Symbol;Acc:HGNC:6647]	8663	0.008377065882086754	-0.15683408	No	
row_50	CORO2B	coronin 2B [Source:HGNC Symbol;Acc:HGNC:2256]	8694	0.007596918847411871	-0.15800057	No	
row_51	DMTN	dematin actin binding protein [Source:HGNC Symbol;Acc:HGNC:3382]	8697	0.007553492207080126	-0.1576241	No	
row_52	TUBB4A	tubulin beta 4A class IVa [Source:HGNC Symbol;Acc:HGNC:20774]	8781	0.005878190044313669	-0.16182728	No	
row_53	KANK3	KN motif and ankyrin repeat domains 3 [Source:HGNC Symbol;Acc:HGNC:24796]	9319	0.0	-0.19147286	No	
