NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SH3GL2	SH3 domain containing GRB2 like 2, endophilin A1 [Source:HGNC Symbol;Acc:HGNC:10831]	1069	0.28866368532180786	-0.015723754	No	
row_1	ERBB2	erb-b2 receptor tyrosine kinase 2 [Source:HGNC Symbol;Acc:HGNC:3430]	1428	0.2582477033138275	0.00308266	No	
row_2	PTPN3	protein tyrosine phosphatase non-receptor type 3 [Source:HGNC Symbol;Acc:HGNC:9655]	3073	0.16692645847797394	-0.062367838	No	
row_3	ACP4	acid phosphatase 4 [Source:HGNC Symbol;Acc:HGNC:14376]	3110	0.16495533287525177	-0.03977006	No	
row_4	HGS	hepatocyte growth factor-regulated tyrosine kinase substrate [Source:HGNC Symbol;Acc:HGNC:4897]	3525	0.14916913211345673	-0.040291112	No	
row_5	ZFYVE28	zinc finger FYVE-type containing 28 [Source:HGNC Symbol;Acc:HGNC:29334]	5345	0.09234393388032913	-0.12646748	No	
row_6	SPRY1	sprouty RTK signaling antagonist 1 [Source:HGNC Symbol;Acc:HGNC:11269]	5775	0.07947958260774612	-0.1381952	No	
row_7	RNF126	ring finger protein 126 [Source:HGNC Symbol;Acc:HGNC:21151]	5972	0.07399538159370422	-0.13793917	No	
row_8	MVP	major vault protein [Source:HGNC Symbol;Acc:HGNC:7531]	6058	0.07201900333166122	-0.13187936	No	
row_9	EPS15L1	epidermal growth factor receptor pathway substrate 15 like 1 [Source:HGNC Symbol;Acc:HGNC:24634]	6143	0.06990745663642883	-0.1260792	No	
row_10	TGFA	transforming growth factor alpha [Source:HGNC Symbol;Acc:HGNC:11765]	6433	0.06252793222665787	-0.13264096	No	
row_11	AREG	amphiregulin [Source:HGNC Symbol;Acc:HGNC:651]	6710	0.05556091293692589	-0.13952649	No	
row_12	SNX6	sorting nexin 6 [Source:HGNC Symbol;Acc:HGNC:14970]	7147	0.044943857938051224	-0.15678401	No	
row_13	PTPRJ	protein tyrosine phosphatase receptor type J [Source:HGNC Symbol;Acc:HGNC:9673]	7551	0.034291718155145645	-0.17381555	No	
row_14	EPN1	epsin 1 [Source:HGNC Symbol;Acc:HGNC:21604]	7712	0.030906394124031067	-0.17800125	No	
row_15	PTPN2	protein tyrosine phosphatase non-receptor type 2 [Source:HGNC Symbol;Acc:HGNC:9650]	8595	0.009678625501692295	-0.2250155	No	
row_16	RNF115	ring finger protein 115 [Source:HGNC Symbol;Acc:HGNC:18154]	8791	0.005370743572711945	-0.23492847	No	
row_17	DAB2IP	DAB2 interacting protein [Source:HGNC Symbol;Acc:HGNC:17294]	8862	0.0035363330971449614	-0.23824735	No	
row_18	NUP62	nucleoporin 62 [Source:HGNC Symbol;Acc:HGNC:8066]	10174	0.0	-0.3102724	No	
row_19	PSEN1	presenilin 1 [Source:HGNC Symbol;Acc:HGNC:9508]	10288	-0.001413277699612081	-0.31626996	No	
row_20	TSG101	tumor susceptibility 101 [Source:HGNC Symbol;Acc:HGNC:15971]	10477	-0.005987103562802076	-0.3257065	No	
row_21	PTPN18	protein tyrosine phosphatase non-receptor type 18 [Source:HGNC Symbol;Acc:HGNC:9649]	10975	-0.017758172005414963	-0.35036552	No	
row_22	CBLC	Cbl proto-oncogene C [Source:HGNC Symbol;Acc:HGNC:15961]	11382	-0.027150209993124008	-0.36862585	No	
row_23	DUSP3	dual specificity phosphatase 3 [Source:HGNC Symbol;Acc:HGNC:3069]	11399	-0.02749289572238922	-0.3654089	No	
row_24	GPRC5A	G protein-coupled receptor class C group 5 member A [Source:HGNC Symbol;Acc:HGNC:9836]	11645	-0.03397528454661369	-0.3738072	No	
row_25	ZGPAT	zinc finger CCCH-type and G-patch domain containing [Source:HGNC Symbol;Acc:HGNC:15948]	11674	-0.034863028675317764	-0.3701515	No	
row_26	EGFR	epidermal growth factor receptor [Source:HGNC Symbol;Acc:HGNC:3236]	12157	-0.04677627608180046	-0.38966322	No	
row_27	VPS25	vacuolar protein sorting 25 homolog [Source:HGNC Symbol;Acc:HGNC:28122]	12954	-0.0677439272403717	-0.42330196	No	
row_28	CHMP6	charged multivesicular body protein 6 [Source:HGNC Symbol;Acc:HGNC:25675]	13599	-0.08530838042497635	-0.44597316	No	
row_29	ERRFI1	ERBB receptor feedback inhibitor 1 [Source:HGNC Symbol;Acc:HGNC:18185]	13610	-0.08579937368631363	-0.43373987	No	
row_30	RAB7A	RAB7A, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9788]	14189	-0.10235355794429779	-0.45024568	No	
row_31	ARHGEF7	Rho guanine nucleotide exchange factor 7 [Source:HGNC Symbol;Acc:HGNC:15607]	14191	-0.10239338129758835	-0.43504572	No	
row_32	HBEGF	heparin binding EGF like growth factor [Source:HGNC Symbol;Acc:HGNC:3059]	14362	-0.10789980739355087	-0.42831007	No	
row_33	SOCS4	suppressor of cytokine signaling 4 [Source:HGNC Symbol;Acc:HGNC:19392]	14538	-0.11358458548784256	-0.4210022	No	
row_34	EGF	epidermal growth factor [Source:HGNC Symbol;Acc:HGNC:3229]	14857	-0.12338152527809143	-0.42009103	No	
row_35	GRB2	growth factor receptor bound protein 2 [Source:HGNC Symbol;Acc:HGNC:4566]	15976	-0.16751670837402344	-0.45655566	Yes	
row_36	STAM2	signal transducing adaptor molecule 2 [Source:HGNC Symbol;Acc:HGNC:11358]	16066	-0.1714663952589035	-0.43589962	Yes	
row_37	CDC42	cell division cycle 42 [Source:HGNC Symbol;Acc:HGNC:1736]	16201	-0.17673757672309875	-0.41693053	Yes	
row_38	LGMN	legumain [Source:HGNC Symbol;Acc:HGNC:9472]	16854	-0.20919905602931976	-0.4215836	Yes	
row_39	EPS15	epidermal growth factor receptor pathway substrate 15 [Source:HGNC Symbol;Acc:HGNC:3419]	16931	-0.21356426179409027	-0.39394146	Yes	
row_40	STAM	signal transducing adaptor molecule [Source:HGNC Symbol;Acc:HGNC:11357]	17207	-0.2317194789648056	-0.37452736	Yes	
row_41	CBL	Cbl proto-oncogene [Source:HGNC Symbol;Acc:HGNC:1541]	17293	-0.23766212165355682	-0.34378952	Yes	
row_42	EREG	epiregulin [Source:HGNC Symbol;Acc:HGNC:3443]	17535	-0.2626582086086273	-0.31789815	Yes	
row_43	PTPN12	protein tyrosine phosphatase non-receptor type 12 [Source:HGNC Symbol;Acc:HGNC:9645]	17550	-0.2652636766433716	-0.27914745	Yes	
row_44	SPRY2	sprouty RTK signaling antagonist 2 [Source:HGNC Symbol;Acc:HGNC:11270]	17578	-0.26766905188560486	-0.2407526	Yes	
row_45	EPGN	epithelial mitogen [Source:HGNC Symbol;Acc:HGNC:17470]	17600	-0.269707590341568	-0.2017244	Yes	
row_46	CBLB	Cbl proto-oncogene B [Source:HGNC Symbol;Acc:HGNC:1542]	17604	-0.2699708342552185	-0.16166808	Yes	
row_47	SOCS5	suppressor of cytokine signaling 5 [Source:HGNC Symbol;Acc:HGNC:16852]	17637	-0.2737862169742584	-0.12263657	Yes	
row_48	ITGA1	integrin subunit alpha 1 [Source:HGNC Symbol;Acc:HGNC:6134]	17731	-0.28574568033218384	-0.085174575	Yes	
row_49	BTC	betacellulin [Source:HGNC Symbol;Acc:HGNC:1121]	17971	-0.3278513550758362	-0.049460646	Yes	
row_50	SNX5	sorting nexin 5 [Source:HGNC Symbol;Acc:HGNC:14969]	18191	-0.4352405369281769	0.0033512614	Yes	
