NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	LHX3	LIM homeobox 3 [Source:HGNC Symbol;Acc:HGNC:6595]	56	0.5411492586135864	0.04339737	Yes	
row_1	ISL1	ISL LIM homeobox 1 [Source:HGNC Symbol;Acc:HGNC:6132]	66	0.5327702164649963	0.0886584	Yes	
row_2	TLX3	T cell leukemia homeobox 3 [Source:HGNC Symbol;Acc:HGNC:13532]	77	0.5225871205329895	0.13298991	Yes	
row_3	FEV	FEV transcription factor, ETS family member [Source:HGNC Symbol;Acc:HGNC:18562]	99	0.5015842318534851	0.17491305	Yes	
row_4	ASCL1	achaete-scute family bHLH transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:738]	170	0.453286737203598	0.20999508	Yes	
row_5	MNX1	motor neuron and pancreas homeobox 1 [Source:HGNC Symbol;Acc:HGNC:4979]	188	0.4465564787387848	0.24741215	Yes	
row_6	DMRTA2	DMRT like family A2 [Source:HGNC Symbol;Acc:HGNC:13908]	276	0.4158540368080139	0.27834496	Yes	
row_7	FEZF2	FEZ family zinc finger 2 [Source:HGNC Symbol;Acc:HGNC:13506]	338	0.40043917298316956	0.30938298	Yes	
row_8	BCL11B	BAF chromatin remodeling complex subunit BCL11B [Source:HGNC Symbol;Acc:HGNC:13222]	385	0.3892190754413605	0.3402818	Yes	
row_9	PTF1A	pancreas associated transcription factor 1a [Source:HGNC Symbol;Acc:HGNC:23734]	390	0.38773560523986816	0.3733617	Yes	
row_10	WNT1	Wnt family member 1 [Source:HGNC Symbol;Acc:HGNC:12774]	546	0.3568645417690277	0.39549088	Yes	
row_11	DBX1	developing brain homeobox 1 [Source:HGNC Symbol;Acc:HGNC:33185]	549	0.35651353001594543	0.42599925	Yes	
row_12	EPOP	elongin BC and polycomb repressive complex 2 associated protein [Source:HGNC Symbol;Acc:HGNC:34493]	565	0.354430615901947	0.45561424	Yes	
row_13	LBX1	ladybird homeobox 1 [Source:HGNC Symbol;Acc:HGNC:16960]	599	0.34806814789772034	0.48369345	Yes	
row_14	SOX1	SRY-box transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:11189]	925	0.3027551770210266	0.49183184	Yes	
row_15	FOXN4	forkhead box N4 [Source:HGNC Symbol;Acc:HGNC:21399]	1058	0.28995585441589355	0.50947887	Yes	
row_16	OLIG2	oligodendrocyte transcription factor 2 [Source:HGNC Symbol;Acc:HGNC:9398]	1576	0.24849887192249298	0.50240463	Yes	
row_17	PAX6	paired box 6 [Source:HGNC Symbol;Acc:HGNC:8620]	1648	0.2440459132194519	0.5194616	Yes	
row_18	IHH	Indian hedgehog signaling molecule [Source:HGNC Symbol;Acc:HGNC:5956]	1904	0.2254146933555603	0.5248051	Yes	
row_19	NKX2-1	NK2 homeobox 1 [Source:HGNC Symbol;Acc:HGNC:11825]	1987	0.2204187661409378	0.5392283	Yes	
row_20	OLIG3	oligodendrocyte transcription factor 3 [Source:HGNC Symbol;Acc:HGNC:18003]	2057	0.2165529578924179	0.554034	Yes	
row_21	HOXC10	homeobox C10 [Source:HGNC Symbol;Acc:HGNC:5122]	2125	0.21268509328365326	0.5686174	Yes	
row_22	FOXG1	forkhead box G1 [Source:HGNC Symbol;Acc:HGNC:3811]	2256	0.205825075507164	0.579149	Yes	
row_23	DLX2	distal-less homeobox 2 [Source:HGNC Symbol;Acc:HGNC:2915]	2412	0.19773799180984497	0.587612	Yes	
row_24	ISL2	ISL LIM homeobox 2 [Source:HGNC Symbol;Acc:HGNC:18524]	2420	0.197529137134552	0.60419154	Yes	
row_25	DLX1	distal-less homeobox 1 [Source:HGNC Symbol;Acc:HGNC:2914]	2463	0.19503480195999146	0.61863315	Yes	
row_26	DMRT3	doublesex and mab-3 related transcription factor 3 [Source:HGNC Symbol;Acc:HGNC:13909]	2927	0.1736040860414505	0.6080948	No	
row_27	POU4F1	POU class 4 homeobox 1 [Source:HGNC Symbol;Acc:HGNC:9218]	3348	0.15597373247146606	0.59840566	No	
row_28	SATB2	SATB homeobox 2 [Source:HGNC Symbol;Acc:HGNC:21637]	3706	0.14331142604351044	0.5910918	No	
row_29	DLL4	delta like canonical Notch ligand 4 [Source:HGNC Symbol;Acc:HGNC:2910]	4165	0.12779970467090607	0.5768944	No	
row_30	GLI2	GLI family zinc finger 2 [Source:HGNC Symbol;Acc:HGNC:4318]	5151	0.09844915568828583	0.5312108	No	
row_31	BMP4	bone morphogenetic protein 4 [Source:HGNC Symbol;Acc:HGNC:1071]	5324	0.09295801818370819	0.5297406	No	
row_32	NKX2-2	NK2 homeobox 2 [Source:HGNC Symbol;Acc:HGNC:7835]	5533	0.08606657385826111	0.52569985	No	
row_33	FOXA1	forkhead box A1 [Source:HGNC Symbol;Acc:HGNC:5021]	6227	0.06779835373163223	0.4934331	No	
row_34	ESRP1	epithelial splicing regulatory protein 1 [Source:HGNC Symbol;Acc:HGNC:25966]	6727	0.05510754510760307	0.47073925	No	
row_35	SIX1	SIX homeobox 1 [Source:HGNC Symbol;Acc:HGNC:10887]	6884	0.05121190473437309	0.4665632	No	
row_36	GSX1	GS homeobox 1 [Source:HGNC Symbol;Acc:HGNC:20374]	6966	0.049086254090070724	0.46632683	No	
row_37	SHH	sonic hedgehog signaling molecule [Source:HGNC Symbol;Acc:HGNC:10848]	7429	0.03780036047101021	0.44418025	No	
row_38	TBR1	T-box brain transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:11590]	7659	0.03197599947452545	0.43433985	No	
row_39	NOTCH1	notch receptor 1 [Source:HGNC Symbol;Acc:HGNC:7881]	8129	0.021394604817032814	0.41039956	No	
row_40	GATA2	GATA binding protein 2 [Source:HGNC Symbol;Acc:HGNC:4171]	8893	0.002824559109285474	0.36870524	No	
row_41	GSX2	GS homeobox 2 [Source:HGNC Symbol;Acc:HGNC:24959]	9168	0.0	0.35364532	No	
row_42	SUFU	SUFU negative regulator of hedgehog signaling [Source:HGNC Symbol;Acc:HGNC:16466]	10375	-0.0032578064128756523	0.28763953	No	
row_43	HOXD10	homeobox D10 [Source:HGNC Symbol;Acc:HGNC:5133]	10465	-0.005712432321161032	0.2832384	No	
row_44	RBPJ	recombination signal binding protein for immunoglobulin kappa J region [Source:HGNC Symbol;Acc:HGNC:5724]	10715	-0.011144726537168026	0.27050972	No	
row_45	POU3F2	POU class 3 homeobox 2 [Source:HGNC Symbol;Acc:HGNC:9215]	10991	-0.018132362514734268	0.2569521	No	
row_46	ATOH1	atonal bHLH transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:797]	12026	-0.04372258111834526	0.20387518	No	
row_47	DLL1	delta like canonical Notch ligand 1 [Source:HGNC Symbol;Acc:HGNC:2908]	12225	-0.04832007735967636	0.19714233	No	
row_48	JAG2	jagged canonical Notch ligand 2 [Source:HGNC Symbol;Acc:HGNC:6189]	13184	-0.07420244067907333	0.15086031	No	
row_49	OLIG1	oligodendrocyte transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:16983]	13281	-0.07676474004983902	0.1521766	No	
row_50	MYT1L	myelin transcription factor 1 like [Source:HGNC Symbol;Acc:HGNC:7623]	13511	-0.08292022347450256	0.14671144	No	
row_51	GLI3	GLI family zinc finger 3 [Source:HGNC Symbol;Acc:HGNC:4319]	13804	-0.09146002680063248	0.13851702	No	
row_52	PRRX1	paired related homeobox 1 [Source:HGNC Symbol;Acc:HGNC:9142]	14722	-0.11869239807128906	0.098309405	No	
row_53	SMAD4	SMAD family member 4 [Source:HGNC Symbol;Acc:HGNC:6770]	15090	-0.1314542442560196	0.08942755	No	
row_54	ID2	inhibitor of DNA binding 2 [Source:HGNC Symbol;Acc:HGNC:5361]	15104	-0.13195186853408813	0.100045405	No	
row_55	GBX1	gastrulation brain homeobox 1 [Source:HGNC Symbol;Acc:HGNC:4185]	15721	-0.15513867139816284	0.07951181	No	
row_56	CDC42	cell division cycle 42 [Source:HGNC Symbol;Acc:HGNC:1736]	16201	-0.17673757672309875	0.06836313	No	
row_57	TGFBR1	transforming growth factor beta receptor 1 [Source:HGNC Symbol;Acc:HGNC:11772]	16919	-0.2130400538444519	0.047250967	No	
row_58	ZNF521	zinc finger protein 521 [Source:HGNC Symbol;Acc:HGNC:24605]	17823	-0.30227023363113403	0.02357898	No	
