NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	HCRT	hypocretin neuropeptide precursor [Source:HGNC Symbol;Acc:HGNC:4847]	1	0.8123461008071899	0.04602511	Yes	
row_1	GPR139	G protein-coupled receptor 139 [Source:HGNC Symbol;Acc:HGNC:19995]	16	0.6375252604484558	0.081417516	Yes	
row_2	PPY	pancreatic polypeptide [Source:HGNC Symbol;Acc:HGNC:9327]	28	0.5965116620063782	0.11464868	Yes	
row_3	GPR83	G protein-coupled receptor 83 [Source:HGNC Symbol;Acc:HGNC:4523]	82	0.5145516991615295	0.14091738	Yes	
row_4	MC2R	melanocortin 2 receptor [Source:HGNC Symbol;Acc:HGNC:6930]	111	0.4946745038032532	0.16743551	Yes	
row_5	SORCS3	sortilin related VPS10 domain containing receptor 3 [Source:HGNC Symbol;Acc:HGNC:16699]	145	0.4654085040092468	0.19201815	Yes	
row_6	PENK	proenkephalin [Source:HGNC Symbol;Acc:HGNC:8831]	197	0.4446684420108795	0.2144329	Yes	
row_7	MCHR2	melanin concentrating hormone receptor 2 [Source:HGNC Symbol;Acc:HGNC:20867]	393	0.38752809166908264	0.2256751	Yes	
row_8	SORCS2	sortilin related VPS10 domain containing receptor 2 [Source:HGNC Symbol;Acc:HGNC:16698]	408	0.3829069435596466	0.24662434	Yes	
row_9	GRP	gastrin releasing peptide [Source:HGNC Symbol;Acc:HGNC:4605]	458	0.3706097900867462	0.26494828	Yes	
row_10	TAC1	tachykinin precursor 1 [Source:HGNC Symbol;Acc:HGNC:11517]	592	0.3497793674468994	0.27746406	Yes	
row_11	PDYN	prodynorphin [Source:HGNC Symbol;Acc:HGNC:8820]	722	0.33036473393440247	0.28909886	Yes	
row_12	NPPA	natriuretic peptide A [Source:HGNC Symbol;Acc:HGNC:7939]	749	0.3266487121582031	0.3061959	Yes	
row_13	NPBWR2	neuropeptides B and W receptor 2 [Source:HGNC Symbol;Acc:HGNC:4530]	837	0.3146260976791382	0.3192512	Yes	
