NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MUC16	mucin 16, cell surface associated [Source:HGNC Symbol;Acc:HGNC:15582]	15	0.6430736184120178	0.08803246	Yes	
row_1	MUC7	mucin 7, secreted [Source:HGNC Symbol;Acc:HGNC:7518]	114	0.4903578460216522	0.15040168	Yes	
row_2	MUC5AC	mucin 5AC, oligomeric mucus/gel-forming [Source:HGNC Symbol;Acc:HGNC:7515]	429	0.37805551290512085	0.18538211	Yes	
row_3	MUC12	mucin 12, cell surface associated [Source:HGNC Symbol;Acc:HGNC:7510]	450	0.37245938181877136	0.23574758	Yes	
row_4	MUC2	mucin 2, oligomeric mucus/gel-forming [Source:HGNC Symbol;Acc:HGNC:7512]	1023	0.29278552532196045	0.24476609	Yes	
row_5	MUC17	mucin 17, cell surface associated [Source:HGNC Symbol;Acc:HGNC:16800]	1164	0.27966436743736267	0.27571437	Yes	
row_6	MUC3A	mucin 3A, cell surface associated [Source:HGNC Symbol;Acc:HGNC:7513]	1247	0.27217525243759155	0.3088155	Yes	
row_7	MUC5B	mucin 5B, oligomeric mucus/gel-forming [Source:HGNC Symbol;Acc:HGNC:7516]	1485	0.25446462631225586	0.33095068	Yes	
row_8	MUC21	mucin 21, cell surface associated [Source:HGNC Symbol;Acc:HGNC:21661]	1753	0.23558630049228668	0.3488285	Yes	
row_9	POMGNT1	protein O-linked mannose N-acetylglucosaminyltransferase 1 (beta 1,2-) [Source:HGNC Symbol;Acc:HGNC:19139]	1757	0.2353930026292801	0.3811891	Yes	
row_10	B3GNT6	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 6 [Source:HGNC Symbol;Acc:HGNC:24141]	2418	0.19758495688438416	0.37221676	Yes	
row_11	MUC20	mucin 20, cell surface associated [Source:HGNC Symbol;Acc:HGNC:23282]	3017	0.1698150932788849	0.36281484	Yes	
row_12	GALNT12	polypeptide N-acetylgalactosaminyltransferase 12 [Source:HGNC Symbol;Acc:HGNC:19877]	3140	0.16350169479846954	0.37870157	Yes	
row_13	GALNT9	polypeptide N-acetylgalactosaminyltransferase 9 [Source:HGNC Symbol;Acc:HGNC:4131]	3290	0.1576516181230545	0.39229608	Yes	
row_14	MUC6	mucin 6, oligomeric mucus/gel-forming [Source:HGNC Symbol;Acc:HGNC:7517]	3973	0.13364779949188232	0.37328008	Yes	
row_15	ST6GALNAC4	ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 4 [Source:HGNC Symbol;Acc:HGNC:17846]	3993	0.1329221874475479	0.39060238	Yes	
row_16	B3GNT7	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 7 [Source:HGNC Symbol;Acc:HGNC:18811]	4041	0.13169974088668823	0.4062169	Yes	
row_17	A4GNT	alpha-1,4-N-acetylglucosaminyltransferase [Source:HGNC Symbol;Acc:HGNC:17968]	4186	0.12720640003681183	0.4158794	Yes	
row_18	ST6GALNAC2	ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:10867]	4425	0.11952822655439377	0.41931474	Yes	
row_19	GXYLT2	glucoside xylosyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:33383]	4473	0.1176362857222557	0.43298602	Yes	
row_20	GALNT14	polypeptide N-acetylgalactosaminyltransferase 14 [Source:HGNC Symbol;Acc:HGNC:22946]	4776	0.10892545431852341	0.43143886	Yes	
row_21	POFUT1	protein O-fucosyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:14988]	4815	0.1076900064945221	0.44423047	Yes	
row_22	B3GNT4	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 4 [Source:HGNC Symbol;Acc:HGNC:15683]	5136	0.09879595786333084	0.44029438	No	
row_23	MUC1	mucin 1, cell surface associated [Source:HGNC Symbol;Acc:HGNC:7508]	6642	0.0573839470744133	0.3655084	No	
row_24	GALNT8	polypeptide N-acetylgalactosaminyltransferase 8 [Source:HGNC Symbol;Acc:HGNC:4130]	7509	0.03574897348880768	0.32285252	No	
row_25	MUC4	mucin 4, cell surface associated [Source:HGNC Symbol;Acc:HGNC:7514]	7869	0.027257435023784637	0.30688813	No	
row_26	B3GNT3	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 3 [Source:HGNC Symbol;Acc:HGNC:13528]	8256	0.01775839924812317	0.28812727	No	
row_27	GALNT11	polypeptide N-acetylgalactosaminyltransferase 11 [Source:HGNC Symbol;Acc:HGNC:19875]	8447	0.013515283353626728	0.27955234	No	
row_28	GALNT3	polypeptide N-acetylgalactosaminyltransferase 3 [Source:HGNC Symbol;Acc:HGNC:4125]	8671	0.00807136669754982	0.2684115	No	
row_29	GALNT10	polypeptide N-acetylgalactosaminyltransferase 10 [Source:HGNC Symbol;Acc:HGNC:19873]	9019	3.59532714355737E-5	0.24934527	No	
row_30	B3GNT8	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 8 [Source:HGNC Symbol;Acc:HGNC:24139]	9217	0.0	0.23851812	No	
row_31	B3GNT5	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 5 [Source:HGNC Symbol;Acc:HGNC:15684]	9218	0.0	0.23851812	No	
row_32	CHST4	carbohydrate sulfotransferase 4 [Source:HGNC Symbol;Acc:HGNC:1972]	9391	0.0	0.22906499	No	
row_33	C1GALT1C1L	C1GALT1 specific chaperone 1 like [Source:HGNC Symbol;Acc:HGNC:51617]	9531	0.0	0.22142552	No	
row_34	MUC15	mucin 15, cell surface associated [Source:HGNC Symbol;Acc:HGNC:14956]	9544	0.0	0.220766	No	
row_35	GALNT4	polypeptide N-acetylgalactosaminyltransferase 4 [Source:HGNC Symbol;Acc:HGNC:4126]	9645	0.0	0.21526998	No	
row_36	ST3GAL3	ST3 beta-galactoside alpha-2,3-sialyltransferase 3 [Source:HGNC Symbol;Acc:HGNC:10866]	10256	-4.902778309769928E-4	0.18181203	No	
row_37	GALNT5	polypeptide N-acetylgalactosaminyltransferase 5 [Source:HGNC Symbol;Acc:HGNC:4127]	10502	-0.006484422367066145	0.16924278	No	
row_38	GALNT15	polypeptide N-acetylgalactosaminyltransferase 15 [Source:HGNC Symbol;Acc:HGNC:21531]	10529	-0.007199435029178858	0.1688086	No	
row_39	B4GALT5	beta-1,4-galactosyltransferase 5 [Source:HGNC Symbol;Acc:HGNC:928]	11266	-0.024484744295477867	0.1317411	No	
row_40	GCNT1	glucosaminyl (N-acetyl) transferase 1 [Source:HGNC Symbol;Acc:HGNC:4203]	11367	-0.026925990357995033	0.1299656	No	
row_41	ST3GAL1	ST3 beta-galactoside alpha-2,3-sialyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:10862]	11496	-0.030118100345134735	0.12709229	No	
row_42	GALNT13	polypeptide N-acetylgalactosaminyltransferase 13 [Source:HGNC Symbol;Acc:HGNC:23242]	11620	-0.03336399421095848	0.12494226	No	
row_43	GALNT2	polypeptide N-acetylgalactosaminyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:4124]	11629	-0.03364521265029907	0.12915151	No	
row_44	B3GNT2	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:15629]	11756	-0.0366678424179554	0.12729312	No	
row_45	GALNT6	polypeptide N-acetylgalactosaminyltransferase 6 [Source:HGNC Symbol;Acc:HGNC:4128]	12193	-0.047586970031261444	0.10990584	No	
row_46	ST3GAL2	ST3 beta-galactoside alpha-2,3-sialyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:10863]	12472	-0.05432035028934479	0.10213264	No	
row_47	GCNT3	glucosaminyl (N-acetyl) transferase 3, mucin type [Source:HGNC Symbol;Acc:HGNC:4205]	12479	-0.05440271273255348	0.10931999	No	
row_48	MUCL1	mucin like 1 [Source:HGNC Symbol;Acc:HGNC:30588]	12713	-0.0609743632376194	0.10493942	No	
row_49	XXYLT1	xyloside xylosyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:26639]	13517	-0.08306962996721268	0.07228459	No	
row_50	ST6GAL1	ST6 beta-galactoside alpha-2,6-sialyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:10860]	13792	-0.09108807146549225	0.06981162	No	
row_51	GALNT1	polypeptide N-acetylgalactosaminyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:4123]	15043	-0.12967529892921448	0.01902935	No	
row_52	MUC13	mucin 13, cell surface associated [Source:HGNC Symbol;Acc:HGNC:7511]	15267	-0.13881808519363403	0.025954459	No	
row_53	C1GALT1	core 1 synthase, glycoprotein-N-acetylgalactosamine 3-beta-galactosyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:24337]	15575	-0.14971327781677246	0.02976836	No	
row_54	GALNT7	polypeptide N-acetylgalactosaminyltransferase 7 [Source:HGNC Symbol;Acc:HGNC:4129]	15613	-0.15112365782260895	0.048616383	No	
row_55	ST3GAL4	ST3 beta-galactoside alpha-2,3-sialyltransferase 4 [Source:HGNC Symbol;Acc:HGNC:10864]	16162	-0.17493058741092682	0.0426693	No	
row_56	GXYLT1	glucoside xylosyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:27482]	17212	-0.2320881187915802	0.017084932	No	
row_57	GCNT4	glucosaminyl (N-acetyl) transferase 4 [Source:HGNC Symbol;Acc:HGNC:17973]	17752	-0.2896224856376648	0.027480068	No	
