NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PLEKHN1	pleckstrin homology domain containing N1 [Source:HGNC Symbol;Acc:HGNC:25284]	2143	0.21132759749889374	-0.08318477	No	
row_1	TRIM71	tripartite motif containing 71 [Source:HGNC Symbol;Acc:HGNC:32669]	3929	0.13540834188461304	-0.15911451	No	
row_2	ZFP36	ZFP36 ring finger protein [Source:HGNC Symbol;Acc:HGNC:12862]	4435	0.11894334107637405	-0.16741078	No	
row_3	NANOS1	nanos C2HC-type zinc finger 1 [Source:HGNC Symbol;Acc:HGNC:23044]	4467	0.11786390095949173	-0.14984103	No	
row_4	ZC3H12A	zinc finger CCCH-type containing 12A [Source:HGNC Symbol;Acc:HGNC:26259]	5328	0.09279686957597733	-0.18191716	No	
row_5	MEX3D	mex-3 RNA binding family member D [Source:HGNC Symbol;Acc:HGNC:16734]	5457	0.08838162571191788	-0.1744977	No	
row_6	ZFP36L1	ZFP36 ring finger protein like 1 [Source:HGNC Symbol;Acc:HGNC:1107]	5787	0.07930713891983032	-0.17960542	No	
row_7	NANOS2	nanos C2HC-type zinc finger 2 [Source:HGNC Symbol;Acc:HGNC:23292]	6259	0.06699743121862411	-0.19452779	No	
row_8	KHSRP	KH-type splicing regulatory protein [Source:HGNC Symbol;Acc:HGNC:6316]	6380	0.06383978575468063	-0.19068183	No	
row_9	RBM24	RNA binding motif protein 24 [Source:HGNC Symbol;Acc:HGNC:21539]	6623	0.05792993679642677	-0.19450518	No	
row_10	YTHDF1	YTH N6-methyladenosine RNA binding protein 1 [Source:HGNC Symbol;Acc:HGNC:15867]	7310	0.04074186086654663	-0.22553337	No	
row_11	GTPBP1	GTP binding protein 1 [Source:HGNC Symbol;Acc:HGNC:4669]	7463	0.03702760860323906	-0.22782984	No	
row_12	ZC3H12D	zinc finger CCCH-type containing 12D [Source:HGNC Symbol;Acc:HGNC:21175]	8370	0.015521964058279991	-0.2750692	No	
row_13	UPF1	UPF1 RNA helicase and ATPase [Source:HGNC Symbol;Acc:HGNC:9962]	8596	0.009674757719039917	-0.28584915	No	
row_14	PNPT1	polyribonucleotide nucleotidyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:23166]	8677	0.007984191179275513	-0.28893894	No	
row_15	DND1	DND microRNA-mediated repression inhibitor 1 [Source:HGNC Symbol;Acc:HGNC:23799]	9283	0.0	-0.32217887	No	
row_16	EIF4ENIF1	eukaryotic translation initiation factor 4E nuclear import factor 1 [Source:HGNC Symbol;Acc:HGNC:16687]	9622	0.0	-0.3407493	No	
row_17	ZFP36L2	ZFP36 ring finger protein like 2 [Source:HGNC Symbol;Acc:HGNC:1108]	11087	-0.020171156153082848	-0.41788608	No	
row_18	TNRC6C	trinucleotide repeat containing adaptor 6C [Source:HGNC Symbol;Acc:HGNC:29318]	11909	-0.04070143401622772	-0.45633805	No	
row_19	CNOT1	CCR4-NOT transcription complex subunit 1 [Source:HGNC Symbol;Acc:HGNC:7877]	12020	-0.043541070073843	-0.4552619	No	
row_20	TOB1	transducer of ERBB2, 1 [Source:HGNC Symbol;Acc:HGNC:11979]	12027	-0.043733179569244385	-0.44844034	No	
row_21	POLR2G	RNA polymerase II subunit G [Source:HGNC Symbol;Acc:HGNC:9194]	12297	-0.04991328343749046	-0.45505798	No	
row_22	METTL16	methyltransferase like 16 [Source:HGNC Symbol;Acc:HGNC:28484]	13171	-0.07383545488119125	-0.49094892	Yes	
row_23	FTO	FTO alpha-ketoglutarate dependent dioxygenase [Source:HGNC Symbol;Acc:HGNC:24678]	13283	-0.07677461951971054	-0.4844934	Yes	
row_24	CNOT8	CCR4-NOT transcription complex subunit 8 [Source:HGNC Symbol;Acc:HGNC:9207]	13388	-0.07946865260601044	-0.47721276	Yes	
row_25	CELF1	CUGBP Elav-like family member 1 [Source:HGNC Symbol;Acc:HGNC:2549]	13469	-0.08178029954433441	-0.46823552	Yes	
row_26	TNRC6A	trinucleotide repeat containing adaptor 6A [Source:HGNC Symbol;Acc:HGNC:11969]	13612	-0.08585987985134125	-0.46199757	Yes	
row_27	YTHDF2	YTH N6-methyladenosine RNA binding protein 2 [Source:HGNC Symbol;Acc:HGNC:31675]	13798	-0.09121935069561005	-0.4572458	Yes	
row_28	TNRC6B	trinucleotide repeat containing adaptor 6B [Source:HGNC Symbol;Acc:HGNC:29190]	13880	-0.09380409866571426	-0.44635737	Yes	
row_29	NANOS3	nanos C2HC-type zinc finger 3 [Source:HGNC Symbol;Acc:HGNC:22048]	14025	-0.09764748066663742	-0.43830183	Yes	
row_30	AGO2	argonaute RISC catalytic component 2 [Source:HGNC Symbol;Acc:HGNC:3263]	14112	-0.10006394237279892	-0.42666453	Yes	
row_31	BTG2	BTG anti-proliferation factor 2 [Source:HGNC Symbol;Acc:HGNC:1131]	14184	-0.10224580019712448	-0.4138463	Yes	
row_32	METTL14	methyltransferase like 14 [Source:HGNC Symbol;Acc:HGNC:29330]	14279	-0.10489156097173691	-0.40185913	Yes	
row_33	CPEB3	cytoplasmic polyadenylation element binding protein 3 [Source:HGNC Symbol;Acc:HGNC:21746]	14340	-0.1072329580783844	-0.38762105	Yes	
