NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	JUN	Jun proto-oncogene, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:6204]	138	0.4699479043483734	0.043327086	Yes	
row_1	TFAP2B	transcription factor AP-2 beta [Source:HGNC Symbol;Acc:HGNC:11743]	169	0.45354998111724854	0.09081091	Yes	
row_2	ASCL1	achaete-scute family bHLH transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:738]	170	0.453286737203598	0.1399143	Yes	
row_3	CDK5	cyclin dependent kinase 5 [Source:HGNC Symbol;Acc:HGNC:1774]	322	0.4053416848182678	0.17552859	Yes	
row_4	PITX3	paired like homeodomain 3 [Source:HGNC Symbol;Acc:HGNC:9006]	361	0.3952470123767853	0.21625711	Yes	
row_5	ATF4	activating transcription factor 4 [Source:HGNC Symbol;Acc:HGNC:786]	377	0.3905192017555237	0.257737	Yes	
row_6	GSK3A	glycogen synthase kinase 3 alpha [Source:HGNC Symbol;Acc:HGNC:4616]	469	0.3692372441291809	0.29273638	Yes	
row_7	TFAP2A	transcription factor AP-2 alpha [Source:HGNC Symbol;Acc:HGNC:11742]	603	0.3478797674179077	0.3231148	Yes	
row_8	UBE2M	ubiquitin conjugating enzyme E2 M [Source:HGNC Symbol;Acc:HGNC:12491]	690	0.33595001697540283	0.3547829	Yes	
row_9	GRIK2	glutamate ionotropic receptor kainate type subunit 2 [Source:HGNC Symbol;Acc:HGNC:4580]	822	0.3165128231048584	0.3818733	Yes	
row_10	PCSK9	proprotein convertase subtilisin/kexin type 9 [Source:HGNC Symbol;Acc:HGNC:20001]	1086	0.28761032223701477	0.39858124	Yes	
row_11	NUPR1	nuclear protein 1, transcriptional regulator [Source:HGNC Symbol;Acc:HGNC:29990]	1581	0.24788090586662292	0.39829516	Yes	
row_12	BACE1	beta-secretase 1 [Source:HGNC Symbol;Acc:HGNC:933]	1785	0.23363830149173737	0.41245258	Yes	
row_13	PIN1	peptidylprolyl cis/trans isomerase, NIMA-interacting 1 [Source:HGNC Symbol;Acc:HGNC:8988]	2993	0.17039892077445984	0.3646037	No	
row_14	TP53	tumor protein p53 [Source:HGNC Symbol;Acc:HGNC:11998]	3345	0.15600477159023285	0.36222076	No	
row_15	MYBL2	MYB proto-oncogene like 2 [Source:HGNC Symbol;Acc:HGNC:7548]	3661	0.14496032893657684	0.36061913	No	
row_16	GRIK5	glutamate ionotropic receptor kainate type subunit 5 [Source:HGNC Symbol;Acc:HGNC:4583]	3701	0.14351624250411987	0.37402335	No	
row_17	RAPSN	receptor associated protein of the synapse [Source:HGNC Symbol;Acc:HGNC:9863]	3871	0.13729654252529144	0.37961215	No	
row_18	CDC34	cell division cycle 34, ubiqiutin conjugating enzyme [Source:HGNC Symbol;Acc:HGNC:1734]	4423	0.1195363774895668	0.36229149	No	
row_19	TYROBP	transmembrane immune signaling adaptor TYROBP [Source:HGNC Symbol;Acc:HGNC:12449]	4479	0.11737386882305145	0.3719848	No	
row_20	GRN	granulin precursor [Source:HGNC Symbol;Acc:HGNC:4601]	4927	0.10455701500177383	0.3587548	No	
row_21	CDK5R1	cyclin dependent kinase 5 regulatory subunit 1 [Source:HGNC Symbol;Acc:HGNC:1775]	5717	0.08118788152933121	0.3242052	No	
row_22	TNF	tumor necrosis factor [Source:HGNC Symbol;Acc:HGNC:11892]	6412	0.06292066723108292	0.29289564	No	
row_23	DDIT3	DNA damage inducible transcript 3 [Source:HGNC Symbol;Acc:HGNC:2726]	6886	0.05111537501215935	0.2724481	No	
row_24	CCL3	C-C motif chemokine ligand 3 [Source:HGNC Symbol;Acc:HGNC:10627]	7490	0.03638683259487152	0.2432634	No	
row_25	NQO1	NAD(P)H quinone dehydrogenase 1 [Source:HGNC Symbol;Acc:HGNC:2874]	8019	0.02378063276410103	0.21683328	No	
row_26	ITGAM	integrin subunit alpha M [Source:HGNC Symbol;Acc:HGNC:6149]	8171	0.020023083314299583	0.210707	No	
row_27	HDAC4	histone deacetylase 4 [Source:HGNC Symbol;Acc:HGNC:14063]	8320	0.01640435680747032	0.2043535	No	
row_28	EPHA7	EPH receptor A7 [Source:HGNC Symbol;Acc:HGNC:3390]	8473	0.012875545769929886	0.197398	No	
row_29	MAP3K11	mitogen-activated protein kinase kinase kinase 11 [Source:HGNC Symbol;Acc:HGNC:6850]	9419	0.0	0.14548348	No	
row_30	BAX	BCL2 associated X, apoptosis regulator [Source:HGNC Symbol;Acc:HGNC:959]	11300	-0.025362752377986908	0.044951286	No	
row_31	PRNP	prion protein [Source:HGNC Symbol;Acc:HGNC:9449]	12391	-0.052040666341781616	-0.009291524	No	
row_32	NQO2	N-ribosyldihydronicotinamide:quinone reductase 2 [Source:HGNC Symbol;Acc:HGNC:7856]	12539	-0.05601494014263153	-0.011299161	No	
row_33	FASLG	Fas ligand [Source:HGNC Symbol;Acc:HGNC:11936]	12553	-0.05650623142719269	-0.005892154	No	
row_34	BCL2L11	BCL2 like 11 [Source:HGNC Symbol;Acc:HGNC:994]	13733	-0.08912993222475052	-0.061006483	No	
row_35	MAP2K4	mitogen-activated protein kinase kinase 4 [Source:HGNC Symbol;Acc:HGNC:6844]	14063	-0.09880843758583069	-0.068376765	No	
row_36	MYB	MYB proto-oncogene, transcription factor [Source:HGNC Symbol;Acc:HGNC:7545]	14127	-0.10070165246725082	-0.060928978	No	
row_37	FOXO3	forkhead box O3 [Source:HGNC Symbol;Acc:HGNC:3821]	14496	-0.11255520582199097	-0.06895261	No	
row_38	NF1	neurofibromin 1 [Source:HGNC Symbol;Acc:HGNC:7765]	15020	-0.12909996509552002	-0.08369907	No	
row_39	SRPK2	SRSF protein kinase 2 [Source:HGNC Symbol;Acc:HGNC:11306]	15434	-0.14476972818374634	-0.090705104	No	
row_40	TGFB2	transforming growth factor beta 2 [Source:HGNC Symbol;Acc:HGNC:11768]	15508	-0.14729537069797516	-0.078759305	No	
row_41	CASP2	caspase 2 [Source:HGNC Symbol;Acc:HGNC:1503]	15581	-0.14989972114562988	-0.06647644	No	
row_42	ATM	ATM serine/threonine kinase [Source:HGNC Symbol;Acc:HGNC:795]	16046	-0.17056280374526978	-0.07349012	No	
row_43	CDC42	cell division cycle 42 [Source:HGNC Symbol;Acc:HGNC:1736]	16201	-0.17673757672309875	-0.062804736	No	
row_44	FBXW7	F-box and WD repeat domain containing 7 [Source:HGNC Symbol;Acc:HGNC:16712]	16867	-0.21012374758720398	-0.07657501	No	
row_45	ATF2	activating transcription factor 2 [Source:HGNC Symbol;Acc:HGNC:784]	17505	-0.25817811489105225	-0.08360147	No	
row_46	CASP3	caspase 3 [Source:HGNC Symbol;Acc:HGNC:1504]	17563	-0.26655006408691406	-0.057858136	No	
row_47	ITGA1	integrin subunit alpha 1 [Source:HGNC Symbol;Acc:HGNC:6134]	17731	-0.28574568033218384	-0.036078352	No	
row_48	MCL1	MCL1 apoptosis regulator, BCL2 family member [Source:HGNC Symbol;Acc:HGNC:6943]	17768	-0.29174932837486267	-0.0064515895	No	
row_49	CTNNB1	catenin beta 1 [Source:HGNC Symbol;Acc:HGNC:2514]	17836	-0.30449965596199036	0.022853367	No	
