NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ZMYND10	zinc finger MYND-type containing 10 [Source:HGNC Symbol;Acc:HGNC:19412]	626	0.3450799584388733	0.008955787	No	
row_1	MAPK9	mitogen-activated protein kinase 9 [Source:HGNC Symbol;Acc:HGNC:6886]	2265	0.20546631515026093	-0.055277944	No	
row_2	MAPK15	mitogen-activated protein kinase 15 [Source:HGNC Symbol;Acc:HGNC:24667]	2631	0.18585704267024994	-0.05198522	No	
row_3	DZIP1	DAZ interacting zinc finger protein 1 [Source:HGNC Symbol;Acc:HGNC:20908]	3198	0.16089218854904175	-0.06288164	No	
row_4	SDC1	syndecan 1 [Source:HGNC Symbol;Acc:HGNC:10658]	3302	0.1572800576686859	-0.048775736	No	
row_5	CROCC	ciliary rootlet coiled-coil, rootletin [Source:HGNC Symbol;Acc:HGNC:21299]	3394	0.1541702002286911	-0.034400944	No	
row_6	PIP4K2C	phosphatidylinositol-5-phosphate 4-kinase type 2 gamma [Source:HGNC Symbol;Acc:HGNC:23786]	3715	0.1427946835756302	-0.03404669	No	
row_7	SAXO1	stabilizer of axonemal microtubules 1 [Source:HGNC Symbol;Acc:HGNC:28566]	4402	0.12026425451040268	-0.05664751	No	
row_8	HAP1	huntingtin associated protein 1 [Source:HGNC Symbol;Acc:HGNC:4812]	4701	0.11111052334308624	-0.05906614	No	
row_9	FUZ	fuzzy planar cell polarity protein [Source:HGNC Symbol;Acc:HGNC:26219]	5241	0.09537503868341446	-0.0767131	No	
row_10	FSCN1	fascin actin-bundling protein 1 [Source:HGNC Symbol;Acc:HGNC:11148]	5412	0.09020069986581802	-0.07472234	No	
row_11	ENTR1	endosome associated trafficking regulator 1 [Source:HGNC Symbol;Acc:HGNC:10667]	5645	0.08291367441415787	-0.07705635	No	
row_12	WRAP73	WD repeat containing, antisense to TP73 [Source:HGNC Symbol;Acc:HGNC:12759]	5786	0.07932786643505096	-0.07478279	No	
row_13	KCTD17	potassium channel tetramerization domain containing 17 [Source:HGNC Symbol;Acc:HGNC:25705]	5984	0.07378355413675308	-0.076340035	No	
row_14	ULK1	unc-51 like autophagy activating kinase 1 [Source:HGNC Symbol;Acc:HGNC:12558]	6157	0.06947402656078339	-0.07706443	No	
row_15	TNF	tumor necrosis factor [Source:HGNC Symbol;Acc:HGNC:11892]	6412	0.06292066723108292	-0.08312101	No	
row_16	ELAPOR1	endosome-lysosome associated apoptosis and autophagy regulator 1 [Source:HGNC Symbol;Acc:HGNC:29618]	6478	0.061424620449543	-0.07897416	No	
row_17	BECN1	beclin 1 [Source:HGNC Symbol;Acc:HGNC:1034]	6496	0.061083272099494934	-0.07223111	No	
row_18	MNS1	meiosis specific nuclear structural 1 [Source:HGNC Symbol;Acc:HGNC:29636]	7573	0.033564455807209015	-0.12717219	No	
row_19	LRSAM1	leucine rich repeat and sterile alpha motif containing 1 [Source:HGNC Symbol;Acc:HGNC:25135]	8133	0.02113298699259758	-0.15525046	No	
row_20	SRC	SRC proto-oncogene, non-receptor tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:11283]	8216	0.01849014312028885	-0.15743485	No	
row_21	PIP4K2B	phosphatidylinositol-5-phosphate 4-kinase type 2 beta [Source:HGNC Symbol;Acc:HGNC:8998]	8459	0.01322036050260067	-0.16907862	No	
row_22	DYNLL1	dynein light chain LC8-type 1 [Source:HGNC Symbol;Acc:HGNC:15476]	8638	0.009037317708134651	-0.17772937	No	
row_23	PAN2	poly(A) specific ribonuclease subunit PAN2 [Source:HGNC Symbol;Acc:HGNC:20074]	8759	0.006214342080056667	-0.18354602	No	
row_24	GPSM2	G protein signaling modulator 2 [Source:HGNC Symbol;Acc:HGNC:29501]	9442	0.0	-0.22104327	No	
row_25	NUP62	nucleoporin 62 [Source:HGNC Symbol;Acc:HGNC:8066]	10174	0.0	-0.2612346	No	
row_26	SPAG5	sperm associated antigen 5 [Source:HGNC Symbol;Acc:HGNC:13452]	10212	0.0	-0.26326892	No	
row_27	MARK4	microtubule affinity regulating kinase 4 [Source:HGNC Symbol;Acc:HGNC:13538]	10824	-0.014039134606719017	-0.2950979	No	
row_28	IL5	interleukin 5 [Source:HGNC Symbol;Acc:HGNC:6016]	10864	-0.014876826666295528	-0.29537225	No	
row_29	HTT	huntingtin [Source:HGNC Symbol;Acc:HGNC:4851]	11464	-0.029383674263954163	-0.3246127	No	
