NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	GSK3A	glycogen synthase kinase 3 alpha [Source:HGNC Symbol;Acc:HGNC:4616]	469	0.3692372441291809	-0.0041401708	No	
row_1	INAVA	innate immunity activator [Source:HGNC Symbol;Acc:HGNC:25599]	1482	0.2545369863510132	-0.044988863	No	
row_2	PHF23	PHD finger protein 23 [Source:HGNC Symbol;Acc:HGNC:28428]	1660	0.24299947917461395	-0.040450264	No	
row_3	GOLGA2	golgin A2 [Source:HGNC Symbol;Acc:HGNC:4425]	1892	0.22630871832370758	-0.03987327	No	
row_4	PLK1	polo like kinase 1 [Source:HGNC Symbol;Acc:HGNC:9077]	1951	0.2224074751138687	-0.02998161	No	
row_5	FAM107A	family with sequence similarity 107 member A [Source:HGNC Symbol;Acc:HGNC:30827]	1961	0.22198203206062317	-0.017411694	No	
row_6	MAPK9	mitogen-activated protein kinase 9 [Source:HGNC Symbol;Acc:HGNC:6886]	2265	0.20546631515026093	-0.02203373	No	
row_7	PIAS3	protein inhibitor of activated STAT 3 [Source:HGNC Symbol;Acc:HGNC:16861]	2575	0.18877054750919342	-0.027969541	No	
row_8	KLHL40	kelch like family member 40 [Source:HGNC Symbol;Acc:HGNC:30372]	2749	0.1811070293188095	-0.026853412	No	
row_9	MUL1	mitochondrial E3 ubiquitin protein ligase 1 [Source:HGNC Symbol;Acc:HGNC:25762]	2773	0.18008743226528168	-0.017521894	No	
row_10	FKBP1A	FKBP prolyl isomerase 1A [Source:HGNC Symbol;Acc:HGNC:3711]	2794	0.1790841519832611	-0.008083922	No	
row_11	PEF1	penta-EF-hand domain containing 1 [Source:HGNC Symbol;Acc:HGNC:30009]	2816	0.1780463308095932	0.0012377913	No	
row_12	PIN1	peptidylprolyl cis/trans isomerase, NIMA-interacting 1 [Source:HGNC Symbol;Acc:HGNC:8988]	2993	0.17039892077445984	0.0015581056	No	
row_13	PDCD6	programmed cell death 6 [Source:HGNC Symbol;Acc:HGNC:8765]	3134	0.16382494568824768	0.0034775564	No	
row_14	SEPTIN4	septin 4 [Source:HGNC Symbol;Acc:HGNC:9165]	3439	0.15215779840946198	-0.0043375287	No	
row_15	RNF20	ring finger protein 20 [Source:HGNC Symbol;Acc:HGNC:10062]	4094	0.12967316806316376	-0.032785397	No	
row_16	TSPYL5	TSPY like 5 [Source:HGNC Symbol;Acc:HGNC:29367]	4160	0.12785941362380981	-0.02884527	No	
row_17	RASSF5	Ras association domain family member 5 [Source:HGNC Symbol;Acc:HGNC:17609]	4224	0.12576167285442352	-0.02491828	No	
row_18	NOP53	NOP53 ribosome biogenesis factor [Source:HGNC Symbol;Acc:HGNC:4333]	4598	0.11423374712467194	-0.03877236	No	
row_19	CDK5RAP3	CDK5 regulatory subunit associated protein 3 [Source:HGNC Symbol;Acc:HGNC:18673]	4655	0.11242541670799255	-0.035244193	No	
row_20	SPSB4	splA/ryanodine receptor domain and SOCS box containing 4 [Source:HGNC Symbol;Acc:HGNC:30630]	4740	0.1100984513759613	-0.033397738	No	
row_21	UBE2S	ubiquitin conjugating enzyme E2 S [Source:HGNC Symbol;Acc:HGNC:17895]	4819	0.10761918127536774	-0.031366203	No	
row_22	RPS2	ribosomal protein S2 [Source:HGNC Symbol;Acc:HGNC:10404]	5053	0.10115015506744385	-0.038266707	No	
row_23	PIAS4	protein inhibitor of activated STAT 4 [Source:HGNC Symbol;Acc:HGNC:17002]	5096	0.1000501736998558	-0.034694605	No	
row_24	TRIB3	tribbles pseudokinase 3 [Source:HGNC Symbol;Acc:HGNC:16228]	5114	0.09941520541906357	-0.029780649	No	
row_25	ZC3H12A	zinc finger CCCH-type containing 12A [Source:HGNC Symbol;Acc:HGNC:26259]	5328	0.09279686957597733	-0.03606946	No	
row_26	BIRC7	baculoviral IAP repeat containing 7 [Source:HGNC Symbol;Acc:HGNC:13702]	5338	0.09252560138702393	-0.031119686	No	
row_27	TNIP1	TNFAIP3 interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:16903]	5453	0.08869371563196182	-0.03218825	No	
row_28	HDAC3	histone deacetylase 3 [Source:HGNC Symbol;Acc:HGNC:4854]	5651	0.0827055275440216	-0.038188353	No	
row_29	RNF40	ring finger protein 40 [Source:HGNC Symbol;Acc:HGNC:16867]	5918	0.07552850246429443	-0.0484176	No	
row_30	PINK1	PTEN induced kinase 1 [Source:HGNC Symbol;Acc:HGNC:14581]	6327	0.06512662023305893	-0.067093186	No	
row_31	ARRB1	arrestin beta 1 [Source:HGNC Symbol;Acc:HGNC:711]	6721	0.05528616905212402	-0.08552046	No	
row_32	FZR1	fizzy and cell division cycle 20 related 1 [Source:HGNC Symbol;Acc:HGNC:24824]	6802	0.05332615599036217	-0.08679509	No	
row_33	RASD2	RASD family member 2 [Source:HGNC Symbol;Acc:HGNC:18229]	7057	0.047032397240400314	-0.098039664	No	
