NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RNF5	ring finger protein 5 [Source:HGNC Symbol;Acc:HGNC:10068]	523	0.36040636897087097	0.019069381	No	
row_1	RNF6	ring finger protein 6 [Source:HGNC Symbol;Acc:HGNC:10069]	2581	0.1883065402507782	-0.06901263	No	
row_2	UBE2D4	ubiquitin conjugating enzyme E2 D4 (putative) [Source:HGNC Symbol;Acc:HGNC:21647]	4070	0.13055819272994995	-0.1334806	No	
row_3	AMFR	autocrine motility factor receptor [Source:HGNC Symbol;Acc:HGNC:463]	4234	0.12536939978599548	-0.12580678	No	
row_4	CDC34	cell division cycle 34, ubiqiutin conjugating enzyme [Source:HGNC Symbol;Acc:HGNC:1734]	4423	0.1195363774895668	-0.120281	No	
row_5	RNF187	ring finger protein 187 [Source:HGNC Symbol;Acc:HGNC:27146]	4844	0.10691515356302261	-0.1291819	No	
row_6	RNF8	ring finger protein 8 [Source:HGNC Symbol;Acc:HGNC:10071]	5356	0.0919075608253479	-0.14507584	No	
row_7	RNF126	ring finger protein 126 [Source:HGNC Symbol;Acc:HGNC:21151]	5972	0.07399538159370422	-0.16906276	No	
row_8	NEDD4L	NEDD4 like E3 ubiquitin protein ligase [Source:HGNC Symbol;Acc:HGNC:7728]	6722	0.05528106912970543	-0.20289806	No	
row_9	SYVN1	synoviolin 1 [Source:HGNC Symbol;Acc:HGNC:20738]	7324	0.04042011871933937	-0.23057003	No	
row_10	RNF115	ring finger protein 115 [Source:HGNC Symbol;Acc:HGNC:18154]	8791	0.005370743572711945	-0.31043792	No	
row_11	TRIM32	tripartite motif containing 32 [Source:HGNC Symbol;Acc:HGNC:16380]	9933	0.0	-0.37315434	No	
row_12	NHLRC4	NHL repeat containing 4 [Source:HGNC Symbol;Acc:HGNC:26700]	10037	0.0	-0.37881586	No	
row_13	PPIA	peptidylprolyl isomerase A [Source:HGNC Symbol;Acc:HGNC:9253]	10514	-0.006689345929771662	-0.40409225	No	
row_14	IFI27	interferon alpha inducible protein 27 [Source:HGNC Symbol;Acc:HGNC:5397]	10596	-0.008593295700848103	-0.40740442	No	
row_15	RNF34	ring finger protein 34 [Source:HGNC Symbol;Acc:HGNC:17297]	10640	-0.009691319428384304	-0.40848216	No	
row_16	RNF4	ring finger protein 4 [Source:HGNC Symbol;Acc:HGNC:10067]	11233	-0.023706326261162758	-0.43787694	No	
row_17	HACE1	HECT domain and ankyrin repeat containing E3 ubiquitin protein ligase 1 [Source:HGNC Symbol;Acc:HGNC:21033]	11560	-0.031622905284166336	-0.45160037	No	
row_18	BFAR	bifunctional apoptosis regulator [Source:HGNC Symbol;Acc:HGNC:17613]	12239	-0.048550091683864594	-0.4824261	No	
