NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TESK1	testis associated actin remodelling kinase 1 [Source:HGNC Symbol;Acc:HGNC:11731]	877	0.30999529361724854	-0.019010527	No	
row_1	RAC3	Rac family small GTPase 3 [Source:HGNC Symbol;Acc:HGNC:9803]	1514	0.25288552045822144	-0.030145973	No	
row_2	CUL7	cullin 7 [Source:HGNC Symbol;Acc:HGNC:21024]	1603	0.24643951654434204	-0.011722132	No	
row_3	ANAPC2	anaphase promoting complex subunit 2 [Source:HGNC Symbol;Acc:HGNC:19989]	1604	0.2463701367378235	0.011539639	No	
row_4	OLFM4	olfactomedin 4 [Source:HGNC Symbol;Acc:HGNC:17190]	1828	0.23077797889709473	0.021052875	No	
row_5	PDPN	podoplanin [Source:HGNC Symbol;Acc:HGNC:29602]	2432	0.19708235561847687	0.0064652893	No	
row_6	CUX2	cut like homeobox 2 [Source:HGNC Symbol;Acc:HGNC:19347]	2693	0.18298813700675964	0.00942942	No	
row_7	APOA1	apolipoprotein A1 [Source:HGNC Symbol;Acc:HGNC:600]	2834	0.17732647061347961	0.018465098	No	
row_8	P4HB	prolyl 4-hydroxylase subunit beta [Source:HGNC Symbol;Acc:HGNC:8548]	2865	0.17616239190101624	0.03344647	No	
row_9	MDK	midkine [Source:HGNC Symbol;Acc:HGNC:6972]	3254	0.15883015096187592	0.027083134	No	
row_10	CAMK2B	calcium/calmodulin dependent protein kinase II beta [Source:HGNC Symbol;Acc:HGNC:1461]	3275	0.1581457406282425	0.040913917	No	
row_11	C1QBP	complement C1q binding protein [Source:HGNC Symbol;Acc:HGNC:1243]	3999	0.1328524798154831	0.013655764	No	
row_12	FGB	fibrinogen beta chain [Source:HGNC Symbol;Acc:HGNC:3662]	4817	0.10768400132656097	-0.021153532	No	
row_13	SS18L1	SS18L1 subunit of BAF chromatin remodeling complex [Source:HGNC Symbol;Acc:HGNC:15592]	4882	0.10576813668012619	-0.014690376	No	
row_14	DBNL	drebrin like [Source:HGNC Symbol;Acc:HGNC:2696]	5000	0.1028335690498352	-0.011421996	No	
row_15	LRP8	LDL receptor related protein 8 [Source:HGNC Symbol;Acc:HGNC:6700]	5272	0.09433265030384064	-0.017434098	No	
row_16	MELTF	melanotransferrin [Source:HGNC Symbol;Acc:HGNC:7037]	5367	0.0916394516825676	-0.013956471	No	
row_17	FBLN1	fibulin 1 [Source:HGNC Symbol;Acc:HGNC:3600]	5371	0.09157182276248932	-0.005475597	No	
row_18	RCC2	regulator of chromosome condensation 2 [Source:HGNC Symbol;Acc:HGNC:30297]	6337	0.06478188931941986	-0.05248316	No	
row_19	DNM2	dynamin 2 [Source:HGNC Symbol;Acc:HGNC:2974]	6547	0.059857651591300964	-0.058337163	No	
row_20	ILK	integrin linked kinase [Source:HGNC Symbol;Acc:HGNC:6040]	6897	0.050775445997714996	-0.07275582	No	
row_21	SPRY4	sprouty RTK signaling antagonist 4 [Source:HGNC Symbol;Acc:HGNC:15533]	6899	0.05072440579533577	-0.06802157	No	
row_22	RELN	reelin [Source:HGNC Symbol;Acc:HGNC:9957]	7597	0.033085521310567856	-0.1032682	No	
row_23	TRIOBP	TRIO and F-actin binding protein [Source:HGNC Symbol;Acc:HGNC:17009]	7654	0.03206463158130646	-0.10332357	No	
row_24	MYOC	myocilin [Source:HGNC Symbol;Acc:HGNC:7610]	8013	0.024016156792640686	-0.12076425	No	
row_25	OBSL1	obscurin like cytoskeletal adaptor 1 [Source:HGNC Symbol;Acc:HGNC:29092]	8115	0.021832136437296867	-0.12426304	No	
row_26	FBXO31	F-box protein 31 [Source:HGNC Symbol;Acc:HGNC:16510]	8134	0.021099157631397247	-0.12326182	No	
row_27	MYADM	myeloid associated differentiation marker [Source:HGNC Symbol;Acc:HGNC:7544]	8196	0.019356215372681618	-0.12479235	No	
row_28	TACSTD2	tumor associated calcium signal transducer 2 [Source:HGNC Symbol;Acc:HGNC:11530]	8244	0.018024014309048653	-0.12567796	No	
row_29	TIAM1	TIAM Rac1 associated GEF 1 [Source:HGNC Symbol;Acc:HGNC:11805]	8549	0.01087096519768238	-0.14138702	No	
row_30	S100A10	S100 calcium binding protein A10 [Source:HGNC Symbol;Acc:HGNC:10487]	8576	0.010200032033026218	-0.14185527	No	
row_31	DMTN	dematin actin binding protein [Source:HGNC Symbol;Acc:HGNC:3382]	8697	0.007553492207080126	-0.1477482	No	
row_32	UNC13D	unc-13 homolog D [Source:HGNC Symbol;Acc:HGNC:23147]	8910	0.002407579217106104	-0.15919168	No	
row_33	CUX1	cut like homeobox 1 [Source:HGNC Symbol;Acc:HGNC:2557]	8917	0.0022580125369131565	-0.15930879	No	
row_34	CSPG5	chondroitin sulfate proteoglycan 5 [Source:HGNC Symbol;Acc:HGNC:2467]	8961	0.001418386586010456	-0.16154206	No	
row_35	SS18L2	SS18 like 2 [Source:HGNC Symbol;Acc:HGNC:15593]	10062	0.0	-0.22209807	No	
row_36	DBN1	drebrin 1 [Source:HGNC Symbol;Acc:HGNC:2695]	10263	-6.387803005054593E-4	-0.23304793	No	
row_37	KANK1	KN motif and ankyrin repeat domains 1 [Source:HGNC Symbol;Acc:HGNC:19309]	10323	-0.002110494999215007	-0.23609668	No	
row_38	CDKL3	cyclin dependent kinase like 3 [Source:HGNC Symbol;Acc:HGNC:15483]	10405	-0.004139191471040249	-0.24016498	No	
row_39	ITPKA	inositol-trisphosphate 3-kinase A [Source:HGNC Symbol;Acc:HGNC:6178]	10443	-0.005165839567780495	-0.24171412	No	
row_40	EEF2K	eukaryotic elongation factor 2 kinase [Source:HGNC Symbol;Acc:HGNC:24615]	10730	-0.011429104954004288	-0.25637957	No	
row_41	NEDD9	neural precursor cell expressed, developmentally down-regulated 9 [Source:HGNC Symbol;Acc:HGNC:7733]	10825	-0.014080994762480259	-0.26022485	No	
row_42	LIMS2	LIM zinc finger domain containing 2 [Source:HGNC Symbol;Acc:HGNC:16084]	10880	-0.015247374773025513	-0.26175797	No	
row_43	PREX1	phosphatidylinositol-3,4,5-trisphosphate dependent Rac exchange factor 1 [Source:HGNC Symbol;Acc:HGNC:32594]	10929	-0.01650853082537651	-0.26284173	No	
row_44	DOCK5	dedicator of cytokinesis 5 [Source:HGNC Symbol;Acc:HGNC:23476]	11028	-0.01884588971734047	-0.26645732	No	
row_45	PRKDC	protein kinase, DNA-activated, catalytic subunit [Source:HGNC Symbol;Acc:HGNC:9413]	11194	-0.022736962884664536	-0.27339396	No	
row_46	CRK	CRK proto-oncogene, adaptor protein [Source:HGNC Symbol;Acc:HGNC:2362]	11613	-0.03315958008170128	-0.29327437	No	
row_47	ACTN4	actinin alpha 4 [Source:HGNC Symbol;Acc:HGNC:166]	11922	-0.040989868342876434	-0.3063599	No	
row_48	MPL	MPL proto-oncogene, thrombopoietin receptor [Source:HGNC Symbol;Acc:HGNC:7217]	11946	-0.04172792285680771	-0.30368617	No	
row_49	PARP6	poly(ADP-ribose) polymerase family member 6 [Source:HGNC Symbol;Acc:HGNC:26921]	11991	-0.04296725615859032	-0.30205154	No	
row_50	CIB1	calcium and integrin binding 1 [Source:HGNC Symbol;Acc:HGNC:16920]	11994	-0.043053142726421356	-0.29809666	No	
row_51	ARPC2	actin related protein 2/3 complex subunit 2 [Source:HGNC Symbol;Acc:HGNC:705]	12118	-0.045761290937662125	-0.3005472	No	
row_52	PTPRD	protein tyrosine phosphatase receptor type D [Source:HGNC Symbol;Acc:HGNC:9668]	12924	-0.0668591633439064	-0.3385505	No	
row_53	KALRN	kalirin RhoGEF kinase [Source:HGNC Symbol;Acc:HGNC:4814]	12992	-0.06888444721698761	-0.335735	No	
row_54	ANKRD27	ankyrin repeat domain 27 [Source:HGNC Symbol;Acc:HGNC:25310]	13087	-0.0715520903468132	-0.33415398	No	
row_55	RREB1	ras responsive element binding protein 1 [Source:HGNC Symbol;Acc:HGNC:10449]	13143	-0.07296855747699738	-0.33029222	No	
row_56	CASS4	Cas scaffold protein family member 4 [Source:HGNC Symbol;Acc:HGNC:15878]	13350	-0.07838268578052521	-0.33423197	No	
row_57	ABL1	ABL proto-oncogene 1, non-receptor tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:76]	13351	-0.07842683792114258	-0.32682708	No	
row_58	DOCK1	dedicator of cytokinesis 1 [Source:HGNC Symbol;Acc:HGNC:2987]	13436	-0.08059962838888168	-0.3238413	No	
row_59	CARMIL1	capping protein regulator and myosin 1 linker 1 [Source:HGNC Symbol;Acc:HGNC:21581]	13761	-0.08993986994028091	-0.33318585	No	
row_60	FBXW8	F-box and WD repeat domain containing 8 [Source:HGNC Symbol;Acc:HGNC:13597]	13789	-0.0910319834947586	-0.3260772	No	
row_61	ARHGEF7	Rho guanine nucleotide exchange factor 7 [Source:HGNC Symbol;Acc:HGNC:15607]	14191	-0.10239338129758835	-0.33848482	No	
row_62	CRKL	CRK like proto-oncogene, adaptor protein [Source:HGNC Symbol;Acc:HGNC:2363]	14625	-0.11572016775608063	-0.35139582	No	
row_63	RAC1	Rac family small GTPase 1 [Source:HGNC Symbol;Acc:HGNC:9801]	14769	-0.12010761350393295	-0.34792778	No	
row_64	CALR	calreticulin [Source:HGNC Symbol;Acc:HGNC:1455]	15099	-0.1317359060049057	-0.35360128	No	
row_65	EFNA5	ephrin A5 [Source:HGNC Symbol;Acc:HGNC:3225]	15977	-0.16758866608142853	-0.38605756	Yes	
row_66	CDC42	cell division cycle 42 [Source:HGNC Symbol;Acc:HGNC:1736]	16201	-0.17673757672309875	-0.38164672	Yes	
row_67	FGA	fibrinogen alpha chain [Source:HGNC Symbol;Acc:HGNC:3661]	16213	-0.17704743146896362	-0.3655358	Yes	
row_68	LIMS1	LIM zinc finger domain containing 1 [Source:HGNC Symbol;Acc:HGNC:6616]	16262	-0.1794966161251068	-0.35123053	Yes	
row_69	FERMT2	fermitin family member 2 [Source:HGNC Symbol;Acc:HGNC:15767]	16292	-0.18097099661827087	-0.3357401	Yes	
row_70	ITGB1BP1	integrin subunit beta 1 binding protein 1 [Source:HGNC Symbol;Acc:HGNC:23927]	16353	-0.18356719613075256	-0.32171112	Yes	
row_71	CAPRIN1	cell cycle associated protein 1 [Source:HGNC Symbol;Acc:HGNC:6743]	16359	-0.18368248641490936	-0.30464345	Yes	
row_72	RAB21	RAB21, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:18263]	16552	-0.1929456740617752	-0.29699567	Yes	
row_73	CAPRIN2	caprin family member 2 [Source:HGNC Symbol;Acc:HGNC:21259]	16621	-0.19675076007843018	-0.28216234	Yes	
row_74	PTK2	protein tyrosine kinase 2 [Source:HGNC Symbol;Acc:HGNC:9611]	16895	-0.2116968184709549	-0.27720323	Yes	
row_75	ACTR2	actin related protein 2 [Source:HGNC Symbol;Acc:HGNC:169]	17016	-0.21866288781166077	-0.26316366	Yes	
row_76	CORO1C	coronin 1C [Source:HGNC Symbol;Acc:HGNC:2254]	17101	-0.2242114096879959	-0.24661833	Yes	
row_77	HAS2	hyaluronan synthase 2 [Source:HGNC Symbol;Acc:HGNC:4819]	17340	-0.24167980253696442	-0.23690152	Yes	
row_78	WASHC2C	WASH complex subunit 2C [Source:HGNC Symbol;Acc:HGNC:23414]	17415	-0.24974025785923004	-0.21739532	Yes	
row_79	FGG	fibrinogen gamma chain [Source:HGNC Symbol;Acc:HGNC:3694]	17486	-0.25610360503196716	-0.19706811	Yes	
row_80	OPA1	OPA1 mitochondrial dynamin like GTPase [Source:HGNC Symbol;Acc:HGNC:8140]	17653	-0.27517032623291016	-0.18022552	Yes	
row_81	AP1AR	adaptor related protein complex 1 associated regulatory protein [Source:HGNC Symbol;Acc:HGNC:28808]	17678	-0.27911177277565	-0.15519358	Yes	
row_82	DNM1L	dynamin 1 like [Source:HGNC Symbol;Acc:HGNC:2973]	17759	-0.29055243730545044	-0.13216428	Yes	
row_83	NRP1	neuropilin 1 [Source:HGNC Symbol;Acc:HGNC:8004]	17769	-0.2918376922607422	-0.10510501	Yes	
row_84	EPHA4	EPH receptor A4 [Source:HGNC Symbol;Acc:HGNC:3388]	17782	-0.2948455214500427	-0.077926904	Yes	
row_85	POSTN	periostin [Source:HGNC Symbol;Acc:HGNC:16953]	17954	-0.3247625529766083	-0.056677185	Yes	
row_86	DHX36	DEAH-box helicase 36 [Source:HGNC Symbol;Acc:HGNC:14410]	18054	-0.35359981656074524	-0.028741043	Yes	
row_87	GBP1	guanylate binding protein 1 [Source:HGNC Symbol;Acc:HGNC:4182]	18180	-0.4192625880241394	0.003963521	Yes	
