NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	HRG	histidine rich glycoprotein [Source:HGNC Symbol;Acc:HGNC:5181]	1545	0.2505604922771454	-0.056480046	No	
row_1	GREM1	gremlin 1, DAN family BMP antagonist [Source:HGNC Symbol;Acc:HGNC:2001]	1598	0.24665892124176025	-0.031307377	No	
row_2	FAM107A	family with sequence similarity 107 member A [Source:HGNC Symbol;Acc:HGNC:30827]	1961	0.22198203206062317	-0.02598524	No	
row_3	COL16A1	collagen type XVI alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2193]	2402	0.1984773427248001	-0.027623348	No	
row_4	LDB1	LIM domain binding 1 [Source:HGNC Symbol;Acc:HGNC:6532]	3445	0.15202026069164276	-0.067643546	No	
row_5	VEGFA	vascular endothelial growth factor A [Source:HGNC Symbol;Acc:HGNC:12680]	3577	0.14777182042598724	-0.058053084	No	
row_6	LRP1	LDL receptor related protein 1 [Source:HGNC Symbol;Acc:HGNC:6692]	3728	0.14219142496585846	-0.05014158	No	
row_7	ACVRL1	activin A receptor like type 1 [Source:HGNC Symbol;Acc:HGNC:175]	3778	0.14062316715717316	-0.03685458	No	
row_8	SFRP1	secreted frizzled related protein 1 [Source:HGNC Symbol;Acc:HGNC:10776]	4621	0.11378844082355499	-0.07022223	No	
row_9	CAMSAP3	calmodulin regulated spectrin associated protein family member 3 [Source:HGNC Symbol;Acc:HGNC:29307]	4984	0.10318442434072495	-0.07840107	No	
row_10	LAMTOR2	late endosomal/lysosomal adaptor, MAPK and MTOR activator 2 [Source:HGNC Symbol;Acc:HGNC:29796]	5223	0.09598829597234726	-0.08057929	No	
row_11	MMP14	matrix metallopeptidase 14 [Source:HGNC Symbol;Acc:HGNC:7160]	5507	0.08696313947439194	-0.08625762	No	
row_12	WNT4	Wnt family member 4 [Source:HGNC Symbol;Acc:HGNC:12783]	6041	0.07244254648685455	-0.10733301	No	
row_13	RCC2	regulator of chromosome condensation 2 [Source:HGNC Symbol;Acc:HGNC:30297]	6337	0.06478188931941986	-0.11619202	No	
row_14	ACTG1	actin gamma 1 [Source:HGNC Symbol;Acc:HGNC:144]	6737	0.05488751456141472	-0.13189419	No	
row_15	FMN1	formin 1 [Source:HGNC Symbol;Acc:HGNC:3768]	6952	0.049550142139196396	-0.13803026	No	
row_16	SLC9A1	solute carrier family 9 member A1 [Source:HGNC Symbol;Acc:HGNC:11071]	7101	0.04601050540804863	-0.14093944	No	
row_17	THY1	Thy-1 cell surface antigen [Source:HGNC Symbol;Acc:HGNC:11801]	7530	0.035193201154470444	-0.16047442	No	
row_18	PTPRJ	protein tyrosine phosphatase receptor type J [Source:HGNC Symbol;Acc:HGNC:9673]	7551	0.034291718155145645	-0.15767702	No	
row_19	MYOC	myocilin [Source:HGNC Symbol;Acc:HGNC:7610]	8013	0.024016156792640686	-0.18029684	No	
row_20	SRC	SRC proto-oncogene, non-receptor tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:11283]	8216	0.01849014312028885	-0.18930294	No	
row_21	TSC1	TSC complex subunit 1 [Source:HGNC Symbol;Acc:HGNC:12362]	8426	0.014155764132738113	-0.19918653	No	
row_22	S100A10	S100 calcium binding protein A10 [Source:HGNC Symbol;Acc:HGNC:10487]	8576	0.010200032033026218	-0.20622045	No	
row_23	DMTN	dematin actin binding protein [Source:HGNC Symbol;Acc:HGNC:3382]	8697	0.007553492207080126	-0.2119605	No	
row_24	WDPCP	WD repeat containing planar cell polarity effector [Source:HGNC Symbol;Acc:HGNC:28027]	8973	0.0010740673169493675	-0.22695996	No	
row_25	APOD	apolipoprotein D [Source:HGNC Symbol;Acc:HGNC:612]	10493	-0.006352875381708145	-0.30976376	No	
row_26	DUSP3	dual specificity phosphatase 3 [Source:HGNC Symbol;Acc:HGNC:3069]	11399	-0.02749289572238922	-0.3564028	No	
row_27	IQSEC1	IQ motif and Sec7 domain ArfGEF 1 [Source:HGNC Symbol;Acc:HGNC:29112]	11642	-0.0338788665831089	-0.36585954	No	
row_28	SMAD3	SMAD family member 3 [Source:HGNC Symbol;Acc:HGNC:6769]	11695	-0.035316482186317444	-0.36470526	No	
row_29	EPB41L5	erythrocyte membrane protein band 4.1 like 5 [Source:HGNC Symbol;Acc:HGNC:19819]	11810	-0.03797755390405655	-0.3666578	No	
row_30	PTPRA	protein tyrosine phosphatase receptor type A [Source:HGNC Symbol;Acc:HGNC:9664]	11820	-0.03815251588821411	-0.36281678	No	
row_31	SDC4	syndecan 4 [Source:HGNC Symbol;Acc:HGNC:10661]	12324	-0.050597015768289566	-0.3847252	No	
row_32	DUSP22	dual specificity phosphatase 22 [Source:HGNC Symbol;Acc:HGNC:16077]	12351	-0.05103044956922531	-0.38035545	No	
row_33	PPM1F	protein phosphatase, Mg2+/Mn2+ dependent 1F [Source:HGNC Symbol;Acc:HGNC:19388]	12484	-0.05457056686282158	-0.381412	No	
row_34	EPHA3	EPH receptor A3 [Source:HGNC Symbol;Acc:HGNC:3387]	12732	-0.06155532971024513	-0.3879983	No	
row_35	CLASP1	cytoplasmic linker associated protein 1 [Source:HGNC Symbol;Acc:HGNC:17088]	13120	-0.07243285328149796	-0.40104663	No	
row_36	ABL1	ABL proto-oncogene 1, non-receptor tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:76]	13351	-0.07842683792114258	-0.40478078	No	
row_37	DAPK3	death associated protein kinase 3 [Source:HGNC Symbol;Acc:HGNC:2676]	13422	-0.08011802285909653	-0.39952472	No	
row_38	MACF1	microtubule actin crosslinking factor 1 [Source:HGNC Symbol;Acc:HGNC:13664]	13704	-0.08836240321397781	-0.40493408	No	
row_39	RHOA	ras homolog family member A [Source:HGNC Symbol;Acc:HGNC:667]	13939	-0.09541390091180801	-0.40695763	No	
row_40	MAP4K4	mitogen-activated protein kinase kinase kinase kinase 4 [Source:HGNC Symbol;Acc:HGNC:6866]	14129	-0.10072065144777298	-0.40590364	No	
row_41	RAC1	Rac family small GTPase 1 [Source:HGNC Symbol;Acc:HGNC:9801]	14769	-0.12010761350393295	-0.4273907	No	
row_42	CLASP2	cytoplasmic linker associated protein 2 [Source:HGNC Symbol;Acc:HGNC:17078]	15096	-0.13159991800785065	-0.43036067	No	
row_43	PEAK1	pseudopodium enriched atypical kinase 1 [Source:HGNC Symbol;Acc:HGNC:29431]	15559	-0.1491398811340332	-0.43881553	Yes	
row_44	IQGAP1	IQ motif containing GTPase activating protein 1 [Source:HGNC Symbol;Acc:HGNC:6110]	15680	-0.15361174941062927	-0.42795652	Yes	
row_45	VCL	vinculin [Source:HGNC Symbol;Acc:HGNC:12665]	15688	-0.1539757400751114	-0.4108426	Yes	
row_46	BCAS3	BCAS3 microtubule associated cell migration factor [Source:HGNC Symbol;Acc:HGNC:14347]	15973	-0.16747966408729553	-0.40742546	Yes	
row_47	EFNA5	ephrin A5 [Source:HGNC Symbol;Acc:HGNC:3225]	15977	-0.16758866608142853	-0.3885445	Yes	
row_48	MAPRE2	microtubule associated protein RP/EB family member 2 [Source:HGNC Symbol;Acc:HGNC:6891]	16073	-0.171621173620224	-0.3742641	Yes	
row_49	PIK3R1	phosphoinositide-3-kinase regulatory subunit 1 [Source:HGNC Symbol;Acc:HGNC:8979]	16215	-0.1771414428949356	-0.36188573	Yes	
row_50	LIMS1	LIM zinc finger domain containing 1 [Source:HGNC Symbol;Acc:HGNC:6616]	16262	-0.1794966161251068	-0.34401593	Yes	
row_51	FERMT2	fermitin family member 2 [Source:HGNC Symbol;Acc:HGNC:15767]	16292	-0.18097099661827087	-0.32504377	Yes	
row_52	ITGB1BP1	integrin subunit beta 1 binding protein 1 [Source:HGNC Symbol;Acc:HGNC:23927]	16353	-0.18356719613075256	-0.30748117	Yes	
row_53	PHLDB2	pleckstrin homology like domain family B member 2 [Source:HGNC Symbol;Acc:HGNC:29573]	16591	-0.1948554813861847	-0.29836848	Yes	
row_54	PTK2	protein tyrosine kinase 2 [Source:HGNC Symbol;Acc:HGNC:9611]	16895	-0.2116968184709549	-0.29097095	Yes	
row_55	ROCK1	Rho associated coiled-coil containing protein kinase 1 [Source:HGNC Symbol;Acc:HGNC:10251]	16899	-0.21180930733680725	-0.26706445	Yes	
row_56	TEK	TEK receptor tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:11724]	16999	-0.2172233909368515	-0.24782145	Yes	
row_57	THBS1	thrombospondin 1 [Source:HGNC Symbol;Acc:HGNC:11785]	17069	-0.22201478481292725	-0.2263843	Yes	
row_58	CORO1C	coronin 1C [Source:HGNC Symbol;Acc:HGNC:2254]	17101	-0.2242114096879959	-0.20260799	Yes	
row_59	ARF6	ADP ribosylation factor 6 [Source:HGNC Symbol;Acc:HGNC:659]	17117	-0.22526463866233826	-0.17783217	Yes	
