NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	HCRT	hypocretin neuropeptide precursor [Source:HGNC Symbol;Acc:HGNC:4847]	1	0.8123461008071899	0.041179195	Yes	
row_1	GABRA5	gamma-aminobutyric acid type A receptor subunit alpha5 [Source:HGNC Symbol;Acc:HGNC:4079]	12	0.6469990611076355	0.07346889	Yes	
row_2	INSYN1	inhibitory synaptic factor 1 [Source:HGNC Symbol;Acc:HGNC:33753]	116	0.4882909059524536	0.09257159	Yes	
row_3	CDK5	cyclin dependent kinase 5 [Source:HGNC Symbol;Acc:HGNC:1774]	322	0.4053416848182678	0.10183622	Yes	
row_4	GSK3A	glycogen synthase kinase 3 alpha [Source:HGNC Symbol;Acc:HGNC:4616]	469	0.3692372441291809	0.112523384	Yes	
row_5	GABRG3	gamma-aminobutyric acid type A receptor subunit gamma3 [Source:HGNC Symbol;Acc:HGNC:4088]	494	0.36418208479881287	0.12968498	Yes	
row_6	GRID1	glutamate ionotropic receptor delta type subunit 1 [Source:HGNC Symbol;Acc:HGNC:4575]	601	0.34792667627334595	0.14149733	Yes	
row_7	CELF4	CUGBP Elav-like family member 4 [Source:HGNC Symbol;Acc:HGNC:14015]	687	0.336149662733078	0.15387051	Yes	
row_8	GRIK2	glutamate ionotropic receptor kainate type subunit 2 [Source:HGNC Symbol;Acc:HGNC:4580]	822	0.3165128231048584	0.16254346	Yes	
row_9	NPAS4	neuronal PAS domain protein 4 [Source:HGNC Symbol;Acc:HGNC:18983]	828	0.3152221143245697	0.17826815	Yes	
row_10	GRIN2A	glutamate ionotropic receptor NMDA type subunit 2A [Source:HGNC Symbol;Acc:HGNC:4585]	891	0.308047890663147	0.19048385	Yes	
row_11	CHRNA4	cholinergic receptor nicotinic alpha 4 subunit [Source:HGNC Symbol;Acc:HGNC:1958]	898	0.3074214458465576	0.20575741	Yes	
row_12	ADCYAP1	adenylate cyclase activating polypeptide 1 [Source:HGNC Symbol;Acc:HGNC:241]	906	0.3058968484401703	0.2208984	Yes	
row_13	DRD2	dopamine receptor D2 [Source:HGNC Symbol;Acc:HGNC:3023]	929	0.30249178409576416	0.23503898	Yes	
row_14	GLRA1	glycine receptor alpha 1 [Source:HGNC Symbol;Acc:HGNC:4326]	978	0.2971705198287964	0.24747497	Yes	
row_15	TMEM25	transmembrane protein 25 [Source:HGNC Symbol;Acc:HGNC:25890]	981	0.297012060880661	0.26244083	Yes	
row_16	GABRA6	gamma-aminobutyric acid type A receptor subunit alpha6 [Source:HGNC Symbol;Acc:HGNC:4080]	1044	0.29106539487838745	0.2737945	Yes	
row_17	NETO1	neuropilin and tolloid like 1 [Source:HGNC Symbol;Acc:HGNC:13823]	1099	0.2862902581691742	0.28534716	Yes	
row_18	RIMS1	regulating synaptic membrane exocytosis 1 [Source:HGNC Symbol;Acc:HGNC:17282]	1210	0.2754593789577484	0.29326043	Yes	
row_19	CBLN1	cerebellin 1 precursor [Source:HGNC Symbol;Acc:HGNC:1543]	1264	0.2713202238082886	0.30410838	Yes	
row_20	GABRG2	gamma-aminobutyric acid type A receptor subunit gamma2 [Source:HGNC Symbol;Acc:HGNC:4087]	1300	0.2680239677429199	0.31578216	Yes	
row_21	RGS4	regulator of G protein signaling 4 [Source:HGNC Symbol;Acc:HGNC:10000]	1586	0.2475012093782425	0.3126211	Yes	
row_22	GABRB1	gamma-aminobutyric acid type A receptor subunit beta1 [Source:HGNC Symbol;Acc:HGNC:4081]	1680	0.24160537123680115	0.31975383	Yes	
row_23	SHANK1	SH3 and multiple ankyrin repeat domains 1 [Source:HGNC Symbol;Acc:HGNC:15474]	1705	0.23951181769371033	0.3305872	Yes	
row_24	CHRNA6	cholinergic receptor nicotinic alpha 6 subunit [Source:HGNC Symbol;Acc:HGNC:15963]	1730	0.2372925877571106	0.34130797	Yes	
row_25	GRIN2B	glutamate ionotropic receptor NMDA type subunit 2B [Source:HGNC Symbol;Acc:HGNC:4586]	1761	0.23524978756904602	0.35159397	Yes	
row_26	GABRA2	gamma-aminobutyric acid type A receptor subunit alpha2 [Source:HGNC Symbol;Acc:HGNC:4076]	1965	0.2216709852218628	0.35164592	Yes	
row_27	P2RX5	purinergic receptor P2X 5 [Source:HGNC Symbol;Acc:HGNC:8536]	2124	0.21286509931087494	0.3537336	Yes	
row_28	GHRL	ghrelin and obestatin prepropeptide [Source:HGNC Symbol;Acc:HGNC:18129]	2152	0.21087969839572906	0.36294812	Yes	
row_29	ADORA1	adenosine A1 receptor [Source:HGNC Symbol;Acc:HGNC:262]	2195	0.20890749990940094	0.37123495	Yes	
row_30	WNT7A	Wnt family member 7A [Source:HGNC Symbol;Acc:HGNC:12786]	2204	0.2081739455461502	0.38136038	Yes	
row_31	GRIN2C	glutamate ionotropic receptor NMDA type subunit 2C [Source:HGNC Symbol;Acc:HGNC:4587]	2230	0.20680740475654602	0.39047855	Yes	
