NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	EN1	engrailed homeobox 1 [Source:HGNC Symbol;Acc:HGNC:3342]	50	0.5502865314483643	0.038513124	Yes	
row_1	UQCRC1	ubiquinol-cytochrome c reductase core protein 1 [Source:HGNC Symbol;Acc:HGNC:12585]	103	0.5002861022949219	0.073166445	Yes	
row_2	PENK	proenkephalin [Source:HGNC Symbol;Acc:HGNC:8831]	197	0.4446684420108795	0.10139055	Yes	
row_3	HTR3A	5-hydroxytryptamine receptor 3A [Source:HGNC Symbol;Acc:HGNC:5297]	254	0.4233185052871704	0.13005158	Yes	
row_4	CDK5	cyclin dependent kinase 5 [Source:HGNC Symbol;Acc:HGNC:1774]	322	0.4053416848182678	0.15675859	Yes	
row_5	ADCY8	adenylate cyclase 8 [Source:HGNC Symbol;Acc:HGNC:239]	335	0.4020389914512634	0.1862474	Yes	
row_6	PITX3	paired like homeodomain 3 [Source:HGNC Symbol;Acc:HGNC:9006]	361	0.3952470123767853	0.2145108	Yes	
row_7	TAC1	tachykinin precursor 1 [Source:HGNC Symbol;Acc:HGNC:11517]	592	0.3497793674468994	0.22807284	Yes	
row_8	HTR1B	5-hydroxytryptamine receptor 1B [Source:HGNC Symbol;Acc:HGNC:5287]	832	0.31492725014686584	0.2385255	Yes	
row_9	PPP1R1B	protein phosphatase 1 regulatory inhibitor subunit 1B [Source:HGNC Symbol;Acc:HGNC:9287]	852	0.31316104531288147	0.2609636	Yes	
row_10	PDX1	pancreatic and duodenal homeobox 1 [Source:HGNC Symbol;Acc:HGNC:6107]	864	0.3115284740924835	0.2837199	Yes	
row_11	CRH	corticotropin releasing hormone [Source:HGNC Symbol;Acc:HGNC:2355]	924	0.30306702852249146	0.30319774	Yes	
row_12	DRD2	dopamine receptor D2 [Source:HGNC Symbol;Acc:HGNC:3023]	929	0.30249178409576416	0.32566196	Yes	
row_13	TMEM38A	transmembrane protein 38A [Source:HGNC Symbol;Acc:HGNC:28462]	961	0.29914042353630066	0.34638762	Yes	
row_14	CCNA2	cyclin A2 [Source:HGNC Symbol;Acc:HGNC:1578]	1013	0.29364946484565735	0.3655999	Yes	
row_15	PRKCG	protein kinase C gamma [Source:HGNC Symbol;Acc:HGNC:9402]	1306	0.26777783036231995	0.3695974	Yes	
row_16	CACNG4	calcium voltage-gated channel auxiliary subunit gamma 4 [Source:HGNC Symbol;Acc:HGNC:1408]	1429	0.2582278549671173	0.38224256	Yes	
row_17	RGS4	regulator of G protein signaling 4 [Source:HGNC Symbol;Acc:HGNC:10000]	1586	0.2475012093782425	0.39221054	Yes	
row_18	SLC6A3	solute carrier family 6 member 3 [Source:HGNC Symbol;Acc:HGNC:11049]	1610	0.2460307776927948	0.4093941	Yes	
row_19	DRD3	dopamine receptor D3 [Source:HGNC Symbol;Acc:HGNC:3024]	1662	0.24291133880615234	0.42480138	Yes	
row_20	RYR1	ryanodine receptor 1 [Source:HGNC Symbol;Acc:HGNC:10483]	1700	0.23997323215007782	0.44075948	Yes	
row_21	ABAT	4-aminobutyrate aminotransferase [Source:HGNC Symbol;Acc:HGNC:23]	2745	0.18132448196411133	0.39685258	No	
row_22	TH	tyrosine hydroxylase [Source:HGNC Symbol;Acc:HGNC:11782]	3614	0.14673461019992828	0.36004603	No	
row_23	TRPV1	transient receptor potential cation channel subfamily V member 1 [Source:HGNC Symbol;Acc:HGNC:12716]	3744	0.14180761575698853	0.363575	No	
row_24	DDC	dopa decarboxylase [Source:HGNC Symbol;Acc:HGNC:2719]	4246	0.12497229874134064	0.34535125	No	
row_25	CASQ2	calsequestrin 2 [Source:HGNC Symbol;Acc:HGNC:1513]	4263	0.12435228377580643	0.35379538	No	
row_26	MTOR	mechanistic target of rapamycin kinase [Source:HGNC Symbol;Acc:HGNC:3942]	4513	0.11650373041629791	0.34881702	No	
row_27	DHODH	dihydroorotate dehydrogenase (quinone) [Source:HGNC Symbol;Acc:HGNC:2867]	4586	0.1143542006611824	0.35342684	No	
