NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	YKT6	YKT6 v-SNARE homolog [Source:HGNC Symbol;Acc:HGNC:16959]	1183	0.2774614691734314	-0.03282488	No	
row_1	CLTCL1	clathrin heavy chain like 1 [Source:HGNC Symbol;Acc:HGNC:2093]	1504	0.2535426616668701	-0.020936826	No	
row_2	ARL1	ADP ribosylation factor like GTPase 1 [Source:HGNC Symbol;Acc:HGNC:692]	1673	0.24223510921001434	-0.0019989577	No	
row_3	TBC1D17	TBC1 domain family member 17 [Source:HGNC Symbol;Acc:HGNC:25699]	2760	0.18055810034275055	-0.040760003	No	
row_4	ARFRP1	ADP ribosylation factor related protein 1 [Source:HGNC Symbol;Acc:HGNC:662]	2900	0.17486096918582916	-0.028065031	No	
row_5	SGSM2	small G protein signaling modulator 2 [Source:HGNC Symbol;Acc:HGNC:29026]	3673	0.1446997970342636	-0.05371693	No	
row_6	PHETA1	PH domain containing endocytic trafficking adaptor 1 [Source:HGNC Symbol;Acc:HGNC:26509]	3769	0.1408613622188568	-0.042556215	No	
row_7	VPS52	VPS52 subunit of GARP complex [Source:HGNC Symbol;Acc:HGNC:10518]	3967	0.13390053808689117	-0.03781903	No	
row_8	STX10	syntaxin 10 [Source:HGNC Symbol;Acc:HGNC:11428]	4220	0.12591704726219177	-0.037037693	No	
row_9	BAIAP3	BAI1 associated protein 3 [Source:HGNC Symbol;Acc:HGNC:948]	4460	0.11803022027015686	-0.03645851	No	
row_10	WASHC1	WASH complex subunit 1 [Source:HGNC Symbol;Acc:HGNC:24361]	5895	0.07611168920993805	-0.106524274	No	
row_11	RNF126	ring finger protein 126 [Source:HGNC Symbol;Acc:HGNC:21151]	5972	0.07399538159370422	-0.10209768	No	
row_12	TBC1D10A	TBC1 domain family member 10A [Source:HGNC Symbol;Acc:HGNC:23609]	6791	0.05363992229104042	-0.14087598	No	
row_13	VPS51	VPS51 subunit of GARP complex [Source:HGNC Symbol;Acc:HGNC:1172]	6862	0.05180029198527336	-0.13870156	No	
row_14	RGP1	RGP1 homolog, RAB6A GEF complex partner 1 [Source:HGNC Symbol;Acc:HGNC:21965]	7069	0.046704038977622986	-0.14460495	No	
row_15	SNX6	sorting nexin 6 [Source:HGNC Symbol;Acc:HGNC:14970]	7147	0.044943857938051224	-0.14361352	No	
row_16	USP7	ubiquitin specific peptidase 7 [Source:HGNC Symbol;Acc:HGNC:12630]	7627	0.03254685923457146	-0.16618885	No	
row_17	TRIM27	tripartite motif containing 27 [Source:HGNC Symbol;Acc:HGNC:9975]	7970	0.025070782750844955	-0.18209411	No	
row_18	GBF1	golgi brefeldin A resistant guanine nucleotide exchange factor 1 [Source:HGNC Symbol;Acc:HGNC:4181]	8051	0.023106828331947327	-0.1838085	No	
row_19	SNX1	sorting nexin 1 [Source:HGNC Symbol;Acc:HGNC:11172]	8090	0.02243954688310623	-0.18328905	No	
row_20	RBSN	rabenosyn, RAB effector [Source:HGNC Symbol;Acc:HGNC:20759]	8270	0.01753390021622181	-0.19110039	No	
row_21	EIPR1	EARP complex and GARP complex interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:12383]	8300	0.01689876802265644	-0.19073027	No	
row_22	PLEKHJ1	pleckstrin homology domain containing J1 [Source:HGNC Symbol;Acc:HGNC:18211]	8333	0.016245579347014427	-0.19060126	No	
row_23	GOSR2	golgi SNAP receptor complex member 2 [Source:HGNC Symbol;Acc:HGNC:4431]	9484	0.0	-0.2538924	No	
row_24	SNX32	sorting nexin 32 [Source:HGNC Symbol;Acc:HGNC:26423]	9921	0.0	-0.277888	No	
row_25	TBC1D10C	TBC1 domain family member 10C [Source:HGNC Symbol;Acc:HGNC:24702]	10116	0.0	-0.28856492	No	
row_26	TBC1D14	TBC1 domain family member 14 [Source:HGNC Symbol;Acc:HGNC:29246]	10351	-0.002647013170644641	-0.30113533	No	
row_27	RAB6B	RAB6B, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:14902]	10472	-0.005849422421306372	-0.30705905	No	
row_28	EHD3	EH domain containing 3 [Source:HGNC Symbol;Acc:HGNC:3244]	10518	-0.006811106577515602	-0.30874318	No	
row_29	BET1L	Bet1 golgi vesicular membrane trafficking protein like [Source:HGNC Symbol;Acc:HGNC:19348]	10639	-0.009652821347117424	-0.31422436	No	
row_30	DCTN1	dynactin subunit 1 [Source:HGNC Symbol;Acc:HGNC:2711]	10653	-0.009840293787419796	-0.31379494	No	
row_31	GGA1	golgi associated, gamma adaptin ear containing, ARF binding protein 1 [Source:HGNC Symbol;Acc:HGNC:17842]	10799	-0.013490901328623295	-0.32020545	No	
row_32	STX16	syntaxin 16 [Source:HGNC Symbol;Acc:HGNC:11431]	11092	-0.02034386247396469	-0.33390892	No	
row_33	RHOBTB3	Rho related BTB domain containing 3 [Source:HGNC Symbol;Acc:HGNC:18757]	11296	-0.025300320237874985	-0.34213752	No	
row_34	DENND2A	DENN domain containing 2A [Source:HGNC Symbol;Acc:HGNC:22212]	11449	-0.02900230512022972	-0.34712854	No	
row_35	UBE2O	ubiquitin conjugating enzyme E2 O [Source:HGNC Symbol;Acc:HGNC:29554]	11489	-0.029973872005939484	-0.3457875	No	
row_36	MAGEL2	MAGE family member L2 [Source:HGNC Symbol;Acc:HGNC:6814]	11497	-0.030133070424199104	-0.34266677	No	
row_37	VPS53	VPS53 subunit of GARP complex [Source:HGNC Symbol;Acc:HGNC:25608]	11585	-0.032412946224212646	-0.3436837	No	
row_38	RAB6C	RAB6C, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:16525]	11824	-0.03832888975739479	-0.35232267	No	
row_39	ANKFY1	ankyrin repeat and FYVE domain containing 1 [Source:HGNC Symbol;Acc:HGNC:20763]	11859	-0.03935640677809715	-0.34961477	No	
row_40	SLC66A2	solute carrier family 66 member 2 [Source:HGNC Symbol;Acc:HGNC:26188]	12046	-0.04420159012079239	-0.3547086	No	
row_41	TRAPPC10	trafficking protein particle complex 10 [Source:HGNC Symbol;Acc:HGNC:11868]	12144	-0.046415913850069046	-0.35464662	No	
row_42	PHETA2	PH domain containing endocytic trafficking adaptor 2 [Source:HGNC Symbol;Acc:HGNC:27161]	12551	-0.056447163224220276	-0.37042356	No	
row_43	ARFIP1	ADP ribosylation factor interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:21496]	12844	-0.0645313635468483	-0.37898582	No	
row_44	GCC2	GRIP and coiled-coil domain containing 2 [Source:HGNC Symbol;Acc:HGNC:23218]	13074	-0.07113879173994064	-0.38331208	No	
row_45	VPS26A	VPS26, retromer complex component A [Source:HGNC Symbol;Acc:HGNC:12711]	13243	-0.0756688192486763	-0.38375407	No	
row_46	GOSR1	golgi SNAP receptor complex member 1 [Source:HGNC Symbol;Acc:HGNC:4430]	13259	-0.07596708834171295	-0.3757409	No	
row_47	SNX8	sorting nexin 8 [Source:HGNC Symbol;Acc:HGNC:14972]	13578	-0.08461503684520721	-0.38339737	No	
row_48	TMEM87A	transmembrane protein 87A [Source:HGNC Symbol;Acc:HGNC:24522]	13878	-0.09373445808887482	-0.38894713	Yes	
row_49	TBC1D10B	TBC1 domain family member 10B [Source:HGNC Symbol;Acc:HGNC:24510]	13889	-0.09402221441268921	-0.37855807	Yes	
row_50	TBC1D5	TBC1 domain family member 5 [Source:HGNC Symbol;Acc:HGNC:19166]	14056	-0.09852679073810577	-0.3762305	Yes	
row_51	SNX3	sorting nexin 3 [Source:HGNC Symbol;Acc:HGNC:11174]	14066	-0.09897636622190475	-0.36521	Yes	
row_52	RAB6A	RAB6A, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9786]	14100	-0.09978415071964264	-0.35541636	Yes	
row_53	CLTC	clathrin heavy chain [Source:HGNC Symbol;Acc:HGNC:2092]	14150	-0.10130023211240768	-0.34632692	Yes	
row_54	RAB7A	RAB7A, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9788]	14189	-0.10235355794429779	-0.3365095	Yes	
row_55	VPS29	VPS29 retromer complex component [Source:HGNC Symbol;Acc:HGNC:14340]	14217	-0.10319845378398895	-0.3259884	Yes	
row_56	EVI5	ecotropic viral integration site 5 [Source:HGNC Symbol;Acc:HGNC:3501]	14242	-0.10382644087076187	-0.31522915	Yes	
row_57	RIC1	RIC1 homolog, RAB6A GEF complex partner 1 [Source:HGNC Symbol;Acc:HGNC:17686]	14385	-0.10868211835622787	-0.31039912	Yes	
row_58	HEATR5A	HEAT repeat containing 5A [Source:HGNC Symbol;Acc:HGNC:20276]	14467	-0.11157067120075226	-0.30187586	Yes	
row_59	STX5	syntaxin 5 [Source:HGNC Symbol;Acc:HGNC:11440]	14531	-0.1133078783750534	-0.29215983	Yes	
row_60	VPS26B	VPS26, retromer complex component B [Source:HGNC Symbol;Acc:HGNC:28119]	14619	-0.11544622480869293	-0.28351584	Yes	
row_61	PRKN	parkin RBR E3 ubiquitin protein ligase [Source:HGNC Symbol;Acc:HGNC:8607]	14632	-0.1159755140542984	-0.2706826	Yes	
