NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	AUP1	AUP1 lipid droplet regulating VLDL assembly factor [Source:HGNC Symbol;Acc:HGNC:891]	399	0.3860844671726227	0.031552266	No	
row_1	PHB2	prohibitin 2 [Source:HGNC Symbol;Acc:HGNC:30306]	1116	0.2835361063480377	0.03147436	No	
row_2	TEX264	testis expressed 264, ER-phagy receptor [Source:HGNC Symbol;Acc:HGNC:30247]	3271	0.15824748575687408	-0.06500101	No	
row_3	TP53	tumor protein p53 [Source:HGNC Symbol;Acc:HGNC:11998]	3345	0.15600477159023285	-0.0474024	No	
row_4	USP30	ubiquitin specific peptidase 30 [Source:HGNC Symbol;Acc:HGNC:20065]	3613	0.14679419994354248	-0.041743163	No	
row_5	HSPB8	heat shock protein family B (small) member 8 [Source:HGNC Symbol;Acc:HGNC:30171]	4250	0.12476101517677307	-0.059418686	No	
row_6	ATG2A	autophagy related 2A [Source:HGNC Symbol;Acc:HGNC:29028]	4482	0.11731310933828354	-0.055864643	No	
row_7	RETREG3	reticulophagy regulator family member 3 [Source:HGNC Symbol;Acc:HGNC:27258]	4637	0.11307469755411148	-0.048665345	No	
row_8	ATG13	autophagy related 13 [Source:HGNC Symbol;Acc:HGNC:29091]	4715	0.11077044159173965	-0.037552856	No	
row_9	ADRB2	adrenoceptor beta 2 [Source:HGNC Symbol;Acc:HGNC:286]	5385	0.09087640047073364	-0.061736252	No	
row_10	DDRGK1	DDRGK domain containing 1 [Source:HGNC Symbol;Acc:HGNC:16110]	6025	0.07274534553289413	-0.086782336	No	
row_11	TSC2	TSC complex subunit 2 [Source:HGNC Symbol;Acc:HGNC:12363]	6054	0.07213552296161652	-0.07832855	No	
row_12	MFN2	mitofusin 2 [Source:HGNC Symbol;Acc:HGNC:16877]	6194	0.06845887750387192	-0.07648533	No	
row_13	PINK1	PTEN induced kinase 1 [Source:HGNC Symbol;Acc:HGNC:14581]	6327	0.06512662023305893	-0.07471896	No	
row_14	BECN1	beclin 1 [Source:HGNC Symbol;Acc:HGNC:1034]	6496	0.061083272099494934	-0.075491495	No	
row_15	NOD2	nucleotide binding oligomerization domain containing 2 [Source:HGNC Symbol;Acc:HGNC:5331]	7202	0.0437154620885849	-0.10818682	No	
row_16	CDC37	cell division cycle 37, HSP90 cochaperone [Source:HGNC Symbol;Acc:HGNC:1735]	7241	0.04271460697054863	-0.10435833	No	
row_17	MAP1LC3C	microtubule associated protein 1 light chain 3 gamma [Source:HGNC Symbol;Acc:HGNC:13353]	7388	0.03881767392158508	-0.107006036	No	
row_18	WIPI2	WD repeat domain, phosphoinositide interacting 2 [Source:HGNC Symbol;Acc:HGNC:32225]	8043	0.023224445059895515	-0.13973668	No	
row_19	LRSAM1	leucine rich repeat and sterile alpha motif containing 1 [Source:HGNC Symbol;Acc:HGNC:25135]	8133	0.02113298699259758	-0.14170115	No	
row_20	RETREG1	reticulophagy regulator 1 [Source:HGNC Symbol;Acc:HGNC:25964]	8319	0.01642030104994774	-0.1495952	No	
row_21	WDR81	WD repeat domain 81 [Source:HGNC Symbol;Acc:HGNC:26600]	8585	0.009861239232122898	-0.16279519	No	
row_22	STING1	stimulator of interferon response cGAMP interactor 1 [Source:HGNC Symbol;Acc:HGNC:27962]	8727	0.007025489583611488	-0.16957219	No	
row_23	RNF41	ring finger protein 41 [Source:HGNC Symbol;Acc:HGNC:18401]	9010	3.057154535781592E-4	-0.1850303	No	
row_24	UBA5	ubiquitin like modifier activating enzyme 5 [Source:HGNC Symbol;Acc:HGNC:23230]	9407	0.0	-0.20679691	No	
row_25	VDAC1	voltage dependent anion channel 1 [Source:HGNC Symbol;Acc:HGNC:12669]	10334	-0.002368111163377762	-0.25736755	No	
row_26	TOMM7	translocase of outer mitochondrial membrane 7 [Source:HGNC Symbol;Acc:HGNC:21648]	10525	-0.007124987430870533	-0.26682413	No	
row_27	NOD1	nucleotide binding oligomerization domain containing 1 [Source:HGNC Symbol;Acc:HGNC:16390]	11000	-0.018285974860191345	-0.29034495	No	
row_28	SQSTM1	sequestosome 1 [Source:HGNC Symbol;Acc:HGNC:11280]	11014	-0.018592147156596184	-0.28848398	No	
row_29	SESN2	sestrin 2 [Source:HGNC Symbol;Acc:HGNC:20746]	11226	-0.02351636067032814	-0.29682416	No	
row_30	MAPK3	mitogen-activated protein kinase 3 [Source:HGNC Symbol;Acc:HGNC:6877]	11325	-0.025825373828411102	-0.29863328	No	
row_31	HTT	huntingtin [Source:HGNC Symbol;Acc:HGNC:4851]	11464	-0.029383674263954163	-0.30214813	No	
row_32	AMBRA1	autophagy and beclin 1 regulator 1 [Source:HGNC Symbol;Acc:HGNC:25990]	11476	-0.029564565047621727	-0.29865724	No	
row_33	SPTLC1	serine palmitoyltransferase long chain base subunit 1 [Source:HGNC Symbol;Acc:HGNC:11277]	11483	-0.029827624559402466	-0.29485506	No	
row_34	LGALS8	galectin 8 [Source:HGNC Symbol;Acc:HGNC:6569]	11500	-0.030172141268849373	-0.2915548	No	
row_35	HTRA2	HtrA serine peptidase 2 [Source:HGNC Symbol;Acc:HGNC:14348]	11657	-0.034263428300619125	-0.29538307	No	
row_36	BAG3	BAG cochaperone 3 [Source:HGNC Symbol;Acc:HGNC:939]	13327	-0.07788988947868347	-0.37633166	No	
row_37	CALCOCO2	calcium binding and coiled-coil domain 2 [Source:HGNC Symbol;Acc:HGNC:29912]	13808	-0.09154989570379257	-0.39003313	No	
row_38	RAB7A	RAB7A, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9788]	14189	-0.10235355794429779	-0.3967414	No	
row_39	TIGAR	TP53 induced glycolysis regulatory phosphatase [Source:HGNC Symbol;Acc:HGNC:1185]	14616	-0.1154087632894516	-0.40416956	Yes	
row_40	PRKN	parkin RBR E3 ubiquitin protein ligase [Source:HGNC Symbol;Acc:HGNC:8607]	14632	-0.1159755140542984	-0.38892812	Yes	
row_41	PJVK	pejvakin [Source:HGNC Symbol;Acc:HGNC:29502]	14741	-0.11930828541517258	-0.37833685	Yes	
row_42	VPS13D	vacuolar protein sorting 13 homolog D [Source:HGNC Symbol;Acc:HGNC:23595]	14932	-0.12582431733608246	-0.37135014	Yes	
row_43	OPTN	optineurin [Source:HGNC Symbol;Acc:HGNC:17142]	15150	-0.13367187976837158	-0.3647604	Yes	
row_44	KLHL3	kelch like family member 3 [Source:HGNC Symbol;Acc:HGNC:6354]	15247	-0.13807353377342224	-0.35091	Yes	
row_45	RB1CC1	RB1 inducible coiled-coil 1 [Source:HGNC Symbol;Acc:HGNC:15574]	15435	-0.14480288326740265	-0.34112933	Yes	
row_46	SPTLC2	serine palmitoyltransferase long chain base subunit 2 [Source:HGNC Symbol;Acc:HGNC:11278]	15827	-0.16018883883953094	-0.34043038	Yes	
row_47	UFC1	ubiquitin-fold modifier conjugating enzyme 1 [Source:HGNC Symbol;Acc:HGNC:26941]	15995	-0.16831515729427338	-0.32629323	Yes	
row_48	MAP1LC3B	microtubule associated protein 1 light chain 3 beta [Source:HGNC Symbol;Acc:HGNC:13352]	16141	-0.17409475147724152	-0.3101462	Yes	
row_49	UFM1	ubiquitin fold modifier 1 [Source:HGNC Symbol;Acc:HGNC:20597]	16595	-0.1950918287038803	-0.30802009	Yes	
row_50	ATG14	autophagy related 14 [Source:HGNC Symbol;Acc:HGNC:19962]	16738	-0.2019602656364441	-0.287848	Yes	
row_51	ATG2B	autophagy related 2B [Source:HGNC Symbol;Acc:HGNC:20187]	16801	-0.20566174387931824	-0.26276585	Yes	
row_52	UFL1	UFM1 specific ligase 1 [Source:HGNC Symbol;Acc:HGNC:23039]	17249	-0.23463676869869232	-0.2548318	Yes	
row_53	WDFY3	WD repeat and FYVE domain containing 3 [Source:HGNC Symbol;Acc:HGNC:20751]	17307	-0.2387779951095581	-0.22488727	Yes	
row_54	TBK1	TANK binding kinase 1 [Source:HGNC Symbol;Acc:HGNC:11584]	17409	-0.24931195378303528	-0.195902	Yes	
row_55	VPS13C	vacuolar protein sorting 13 homolog C [Source:HGNC Symbol;Acc:HGNC:23594]	17473	-0.25483429431915283	-0.164063	Yes	
row_56	UBQLN1	ubiquilin 1 [Source:HGNC Symbol;Acc:HGNC:12508]	17527	-0.26103055477142334	-0.13081598	Yes	
row_57	ATG5	autophagy related 5 [Source:HGNC Symbol;Acc:HGNC:589]	17560	-0.26636114716529846	-0.09567624	Yes	
row_58	RIPK2	receptor interacting serine/threonine kinase 2 [Source:HGNC Symbol;Acc:HGNC:10020]	18212	-0.46656274795532227	-0.0668269	Yes	
row_59	STBD1	starch binding domain 1 [Source:HGNC Symbol;Acc:HGNC:24854]	18228	-0.4978797137737274	0.0013192397	Yes	
