NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	KIF22	kinesin family member 22 [Source:HGNC Symbol;Acc:HGNC:6391]	658	0.3406127691268921	0.013603752	No	
row_1	PHB2	prohibitin 2 [Source:HGNC Symbol;Acc:HGNC:30306]	1116	0.2835361063480377	0.029913	No	
row_2	ESPL1	extra spindle pole bodies like 1, separase [Source:HGNC Symbol;Acc:HGNC:16856]	1349	0.26468291878700256	0.05582963	No	
row_3	PLK1	polo like kinase 1 [Source:HGNC Symbol;Acc:HGNC:9077]	1951	0.2224074751138687	0.055298544	No	
row_4	AXIN2	axin 2 [Source:HGNC Symbol;Acc:HGNC:904]	3332	0.1562538594007492	0.002306847	No	
row_5	CDCA5	cell division cycle associated 5 [Source:HGNC Symbol;Acc:HGNC:14626]	3881	0.13693566620349884	-0.007797414	No	
row_6	DDX11	DEAD/H-box helicase 11 [Source:HGNC Symbol;Acc:HGNC:2736]	4993	0.10289082676172256	-0.053805303	No	
row_7	MACROH2A1	macroH2A.1 histone [Source:HGNC Symbol;Acc:HGNC:4740]	6782	0.053791243582963943	-0.14417893	No	
row_8	MAU2	MAU2 sister chromatid cohesion factor [Source:HGNC Symbol;Acc:HGNC:29140]	7251	0.04234231263399124	-0.16370541	No	
row_9	SMC1B	structural maintenance of chromosomes 1B [Source:HGNC Symbol;Acc:HGNC:11112]	8262	0.017705945298075676	-0.2166075	No	
row_10	CHTF8	chromosome transmission fidelity factor 8 [Source:HGNC Symbol;Acc:HGNC:24353]	8757	0.006300428882241249	-0.24282706	No	
row_11	RAD51C	RAD51 paralog C [Source:HGNC Symbol;Acc:HGNC:9820]	8932	0.0017964586149901152	-0.25212404	No	
row_12	HASPIN	histone H3 associated protein kinase [Source:HGNC Symbol;Acc:HGNC:19682]	9470	0.0	-0.28162628	No	
row_13	CDC20	cell division cycle 20 [Source:HGNC Symbol;Acc:HGNC:1723]	10408	-0.0041760546155273914	-0.33249414	No	
row_14	RAD21L1	RAD21 cohesin complex component like 1 [Source:HGNC Symbol;Acc:HGNC:16271]	10446	-0.005209963768720627	-0.33376586	No	
row_15	DSCC1	DNA replication and sister chromatid cohesion 1 [Source:HGNC Symbol;Acc:HGNC:24453]	10677	-0.010331850498914719	-0.34489265	No	
row_16	SGO1	shugoshin 1 [Source:HGNC Symbol;Acc:HGNC:25088]	10765	-0.012617925181984901	-0.34782925	No	
row_17	HORMAD2	HORMA domain containing 2 [Source:HGNC Symbol;Acc:HGNC:28383]	10783	-0.013052908703684807	-0.34685656	No	
row_18	REC8	REC8 meiotic recombination protein [Source:HGNC Symbol;Acc:HGNC:16879]	10869	-0.014942878857254982	-0.34934366	No	
row_19	MEIKIN	meiotic kinetochore factor [Source:HGNC Symbol;Acc:HGNC:51253]	11164	-0.02207278273999691	-0.36227152	No	
row_20	PDS5A	PDS5 cohesin associated factor A [Source:HGNC Symbol;Acc:HGNC:29088]	12131	-0.04618312790989876	-0.4085966	No	
row_21	TENT4A	terminal nucleotidyltransferase 4A [Source:HGNC Symbol;Acc:HGNC:16705]	12211	-0.047922469675540924	-0.40593672	No	
row_22	CTCF	CCCTC-binding factor [Source:HGNC Symbol;Acc:HGNC:13723]	12315	-0.050300806760787964	-0.40424794	No	
row_23	ESCO1	establishment of sister chromatid cohesion N-acetyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:24645]	12359	-0.05118448659777641	-0.39913374	No	
row_24	STAG3	stromal antigen 3 [Source:HGNC Symbol;Acc:HGNC:11356]	13201	-0.07458838820457458	-0.43444228	No	
row_25	BOD1	biorientation of chromosomes in cell division 1 [Source:HGNC Symbol;Acc:HGNC:25114]	13231	-0.07538779079914093	-0.42502353	No	
row_26	SGO2	shugoshin 2 [Source:HGNC Symbol;Acc:HGNC:30812]	13696	-0.08810752630233765	-0.4376453	No	
row_27	ESCO2	establishment of sister chromatid cohesion N-acetyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:27230]	14045	-0.09824946522712708	-0.44241267	No	
row_28	FEN1	flap structure-specific endonuclease 1 [Source:HGNC Symbol;Acc:HGNC:3650]	14733	-0.11904213577508926	-0.46276718	Yes	
row_29	MRE11	MRE11 homolog, double strand break repair nuclease [Source:HGNC Symbol;Acc:HGNC:7230]	14913	-0.12531131505966187	-0.45429695	Yes	
row_30	BUB1B	BUB1 mitotic checkpoint serine/threonine kinase B [Source:HGNC Symbol;Acc:HGNC:1149]	15085	-0.13135121762752533	-0.44450492	Yes	
row_31	WAPL	WAPL cohesin release factor [Source:HGNC Symbol;Acc:HGNC:23293]	15258	-0.1385018229484558	-0.43372333	Yes	
row_32	STAG1	stromal antigen 1 [Source:HGNC Symbol;Acc:HGNC:11354]	15273	-0.13916976749897003	-0.41416383	Yes	
row_33	HORMAD1	HORMA domain containing 1 [Source:HGNC Symbol;Acc:HGNC:25245]	15560	-0.14915817975997925	-0.4080887	Yes	
row_34	MCMBP	minichromosome maintenance complex binding protein [Source:HGNC Symbol;Acc:HGNC:25782]	15672	-0.15341314673423767	-0.39177772	Yes	
row_35	NSMCE2	NSE2 (MMS21) homolog, SMC5-SMC6 complex SUMO ligase [Source:HGNC Symbol;Acc:HGNC:26513]	15717	-0.15504655241966248	-0.37154725	Yes	
row_36	SMC3	structural maintenance of chromosomes 3 [Source:HGNC Symbol;Acc:HGNC:2468]	15742	-0.15622395277023315	-0.350046	Yes	
row_37	POGZ	pogo transposable element derived with ZNF domain [Source:HGNC Symbol;Acc:HGNC:18801]	15885	-0.1629047393798828	-0.3340517	Yes	
row_38	BUB1	BUB1 mitotic checkpoint serine/threonine kinase [Source:HGNC Symbol;Acc:HGNC:1148]	15934	-0.1654794067144394	-0.31251705	Yes	
row_39	SLF2	SMC5-SMC6 complex localization factor 2 [Source:HGNC Symbol;Acc:HGNC:17814]	16199	-0.17661471664905548	-0.30122268	Yes	
row_40	RB1	RB transcriptional corepressor 1 [Source:HGNC Symbol;Acc:HGNC:9884]	16321	-0.18239304423332214	-0.28122798	Yes	
row_41	FBXW7	F-box and WD repeat domain containing 7 [Source:HGNC Symbol;Acc:HGNC:16712]	16867	-0.21012374758720398	-0.28047678	Yes	
row_42	SFPQ	splicing factor proline and glutamine rich [Source:HGNC Symbol;Acc:HGNC:10774]	17259	-0.23509353399276733	-0.2676176	Yes	
row_43	RAD21	RAD21 cohesin complex component [Source:HGNC Symbol;Acc:HGNC:9811]	17404	-0.24861867725849152	-0.23921286	Yes	
row_44	SMC5	structural maintenance of chromosomes 5 [Source:HGNC Symbol;Acc:HGNC:20465]	17423	-0.25015148520469666	-0.2036619	Yes	
row_45	SLF1	SMC5-SMC6 complex localization factor 1 [Source:HGNC Symbol;Acc:HGNC:25408]	17424	-0.2501888573169708	-0.16711658	Yes	
row_46	PDS5B	PDS5 cohesin associated factor B [Source:HGNC Symbol;Acc:HGNC:20418]	17439	-0.25180283188819885	-0.13110465	Yes	
row_47	TNKS	tankyrase [Source:HGNC Symbol;Acc:HGNC:11941]	17658	-0.27643904089927673	-0.10270165	Yes	
row_48	CTNNB1	catenin beta 1 [Source:HGNC Symbol;Acc:HGNC:2514]	17836	-0.30449965596199036	-0.06794731	Yes	
row_49	NAA50	N-alpha-acetyltransferase 50, NatE catalytic subunit [Source:HGNC Symbol;Acc:HGNC:29533]	17847	-0.30532726645469666	-0.023897266	Yes	
row_50	NIPBL	NIPBL cohesin loading factor [Source:HGNC Symbol;Acc:HGNC:28862]	17902	-0.3155505657196045	0.019228792	Yes	
