NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	LHX5	LIM homeobox 5 [Source:HGNC Symbol;Acc:HGNC:14216]	36	0.5750741958618164	0.036471494	Yes	
row_1	LHX3	LIM homeobox 3 [Source:HGNC Symbol;Acc:HGNC:6595]	56	0.5411492586135864	0.07161081	Yes	
row_2	ISL1	ISL LIM homeobox 1 [Source:HGNC Symbol;Acc:HGNC:6132]	66	0.5327702164649963	0.10674061	Yes	
row_3	UNCX	UNC homeobox [Source:HGNC Symbol;Acc:HGNC:33194]	121	0.48285865783691406	0.13605438	Yes	
row_4	ASCL1	achaete-scute family bHLH transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:738]	170	0.453286737203598	0.1637212	Yes	
row_5	MNX1	motor neuron and pancreas homeobox 1 [Source:HGNC Symbol;Acc:HGNC:4979]	188	0.4465564787387848	0.1926454	Yes	
row_6	LHX1	LIM homeobox 1 [Source:HGNC Symbol;Acc:HGNC:6593]	253	0.4239906370639801	0.21747199	Yes	
row_7	WNT1	Wnt family member 1 [Source:HGNC Symbol;Acc:HGNC:12774]	546	0.3568645417690277	0.22525212	Yes	
row_8	DBX1	developing brain homeobox 1 [Source:HGNC Symbol;Acc:HGNC:33185]	549	0.35651353001594543	0.24898146	Yes	
row_9	LBX1	ladybird homeobox 1 [Source:HGNC Symbol;Acc:HGNC:16960]	599	0.34806814789772034	0.26955742	Yes	
row_10	SOX12	SRY-box transcription factor 12 [Source:HGNC Symbol;Acc:HGNC:11198]	899	0.30740949511528015	0.273645	Yes	
row_11	SOX1	SRY-box transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:11189]	925	0.3027551770210266	0.2925128	Yes	
row_12	FOXN4	forkhead box N4 [Source:HGNC Symbol;Acc:HGNC:21399]	1058	0.28995585441589355	0.30463138	Yes	
row_13	NEUROG3	neurogenin 3 [Source:HGNC Symbol;Acc:HGNC:13806]	1123	0.28274673223495483	0.3200132	Yes	
row_14	WNT3A	Wnt family member 3A [Source:HGNC Symbol;Acc:HGNC:15983]	1159	0.28013554215431213	0.33681768	Yes	
row_15	NEFL	neurofilament light [Source:HGNC Symbol;Acc:HGNC:7739]	1203	0.2759697139263153	0.35290298	Yes	
row_16	LHX4	LIM homeobox 4 [Source:HGNC Symbol;Acc:HGNC:21734]	1304	0.2679857611656189	0.36531496	Yes	
row_17	OLIG2	oligodendrocyte transcription factor 2 [Source:HGNC Symbol;Acc:HGNC:9398]	1576	0.24849887192249298	0.3670055	Yes	
row_18	PAX6	paired box 6 [Source:HGNC Symbol;Acc:HGNC:8620]	1648	0.2440459132194519	0.3794139	Yes	
row_19	NOG	noggin [Source:HGNC Symbol;Acc:HGNC:7866]	1896	0.22598133981227875	0.38092062	Yes	
row_20	DCC	DCC netrin 1 receptor [Source:HGNC Symbol;Acc:HGNC:2701]	1941	0.22289784252643585	0.39340198	Yes	
row_21	ZPR1	ZPR1 zinc finger [Source:HGNC Symbol;Acc:HGNC:13051]	1944	0.2228110283613205	0.40819088	Yes	
row_22	OLIG3	oligodendrocyte transcription factor 3 [Source:HGNC Symbol;Acc:HGNC:18003]	2057	0.2165529578924179	0.41650265	Yes	
row_23	PHOX2A	paired like homeobox 2A [Source:HGNC Symbol;Acc:HGNC:691]	2065	0.2162313610315323	0.43057618	Yes	
row_24	HOXC10	homeobox C10 [Source:HGNC Symbol;Acc:HGNC:5122]	2125	0.21268509328365326	0.44154847	Yes	
row_25	SOX4	SRY-box transcription factor 4 [Source:HGNC Symbol;Acc:HGNC:11200]	2197	0.2087344527244568	0.45159566	Yes	
row_26	GDF11	growth differentiation factor 11 [Source:HGNC Symbol;Acc:HGNC:4216]	2201	0.2085338532924652	0.46537477	Yes	
row_27	SOX11	SRY-box transcription factor 11 [Source:HGNC Symbol;Acc:HGNC:11191]	2276	0.20498374104499817	0.4750059	Yes	
row_28	ISL2	ISL LIM homeobox 2 [Source:HGNC Symbol;Acc:HGNC:18524]	2420	0.197529137134552	0.4803382	Yes	
row_29	RFX4	regulatory factor X4 [Source:HGNC Symbol;Acc:HGNC:9985]	2664	0.1842246651649475	0.479273	Yes	
row_30	DMRT3	doublesex and mab-3 related transcription factor 3 [Source:HGNC Symbol;Acc:HGNC:13909]	2927	0.1736040860414505	0.47645113	Yes	
row_31	TBX20	T-box transcription factor 20 [Source:HGNC Symbol;Acc:HGNC:11598]	3011	0.16991470754146576	0.4832416	Yes	
row_32	FOXB1	forkhead box B1 [Source:HGNC Symbol;Acc:HGNC:3799]	3022	0.1696448028087616	0.49403468	Yes	
row_33	ACTL6B	actin like 6B [Source:HGNC Symbol;Acc:HGNC:160]	3156	0.16273373365402222	0.49759102	Yes	
row_34	IFT172	intraflagellar transport 172 [Source:HGNC Symbol;Acc:HGNC:30391]	3742	0.14189408719539642	0.4748585	No	
row_35	DAB1	DAB adaptor protein 1 [Source:HGNC Symbol;Acc:HGNC:2661]	3816	0.13938701152801514	0.4801584	No	
row_36	SRD5A1	steroid 5 alpha-reductase 1 [Source:HGNC Symbol;Acc:HGNC:11284]	3984	0.13335148990154266	0.47987732	No	
row_37	DLL4	delta like canonical Notch ligand 4 [Source:HGNC Symbol;Acc:HGNC:2910]	4165	0.12779970467090607	0.478509	No	
row_38	DAAM2	dishevelled associated activator of morphogenesis 2 [Source:HGNC Symbol;Acc:HGNC:18143]	4474	0.11758719384670258	0.4694078	No	
row_39	MTOR	mechanistic target of rapamycin kinase [Source:HGNC Symbol;Acc:HGNC:3942]	4513	0.11650373041629791	0.47510526	No	
row_40	VSTM5	V-set and transmembrane domain containing 5 [Source:HGNC Symbol;Acc:HGNC:34443]	4608	0.11406726390123367	0.4775554	No	
