NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CLN3	CLN3 lysosomal/endosomal transmembrane protein, battenin [Source:HGNC Symbol;Acc:HGNC:2074]	817	0.3169603645801544	-0.014092536	No	
row_1	TAMALIN	trafficking regulator and scaffold protein tamalin [Source:HGNC Symbol;Acc:HGNC:18707]	1431	0.25798943638801575	-0.022700395	No	
row_2	ARFRP1	ADP ribosylation factor related protein 1 [Source:HGNC Symbol;Acc:HGNC:662]	2900	0.17486096918582916	-0.086483166	No	
row_3	LLGL1	LLGL scribble cell polarity complex component 1 [Source:HGNC Symbol;Acc:HGNC:6628]	3085	0.1662655919790268	-0.08041042	No	
row_4	C16orf70	chromosome 16 open reading frame 70 [Source:HGNC Symbol;Acc:HGNC:29564]	3143	0.16334974765777588	-0.067629606	No	
row_5	VAMP5	vesicle associated membrane protein 5 [Source:HGNC Symbol;Acc:HGNC:12646]	3555	0.14837557077407837	-0.07579825	No	
row_6	CPLX1	complexin 1 [Source:HGNC Symbol;Acc:HGNC:2309]	3630	0.14611656963825226	-0.065632835	No	
row_7	NSG1	neuronal vesicle trafficking associated 1 [Source:HGNC Symbol;Acc:HGNC:18790]	3640	0.14572151005268097	-0.051927224	No	
row_8	ARHGAP44	Rho GTPase activating protein 44 [Source:HGNC Symbol;Acc:HGNC:29096]	4191	0.12688075006008148	-0.06984354	No	
row_9	RAB8A	RAB8A, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:7007]	4549	0.11536940932273865	-0.07825569	No	
row_10	SCRIB	scribble planar cell polarity protein [Source:HGNC Symbol;Acc:HGNC:30377]	4583	0.11441965401172638	-0.06892193	No	
row_11	SNX31	sorting nexin 31 [Source:HGNC Symbol;Acc:HGNC:28605]	4623	0.11367302387952805	-0.05999127	No	
row_12	CSK	C-terminal Src kinase [Source:HGNC Symbol;Acc:HGNC:2444]	4896	0.10551478713750839	-0.064683944	No	
row_13	ENTR1	endosome associated trafficking regulator 1 [Source:HGNC Symbol;Acc:HGNC:10667]	5645	0.08291367441415787	-0.09778631	No	
row_14	GRIP2	glutamate receptor interacting protein 2 [Source:HGNC Symbol;Acc:HGNC:23841]	5680	0.08206275850534439	-0.09166092	No	
row_15	VAMP2	vesicle associated membrane protein 2 [Source:HGNC Symbol;Acc:HGNC:12643]	5699	0.08161383122205734	-0.08469836	No	
row_16	WASHC1	WASH complex subunit 1 [Source:HGNC Symbol;Acc:HGNC:24361]	5895	0.07611168920993805	-0.08801708	No	
row_17	CCDC93	coiled-coil domain containing 93 [Source:HGNC Symbol;Acc:HGNC:25611]	6039	0.07248251140117645	-0.08882653	No	
row_18	ANK3	ankyrin 3 [Source:HGNC Symbol;Acc:HGNC:494]	6124	0.07056672126054764	-0.086574316	No	
row_19	KRT18	keratin 18 [Source:HGNC Symbol;Acc:HGNC:6430]	6308	0.06567906588315964	-0.09024907	No	
row_20	RAB34	RAB34, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:16519]	6479	0.06140536069869995	-0.09362456	No	
row_21	DNM2	dynamin 2 [Source:HGNC Symbol;Acc:HGNC:2974]	6547	0.059857651591300964	-0.09148002	No	
row_22	SNX17	sorting nexin 17 [Source:HGNC Symbol;Acc:HGNC:14979]	6583	0.05913495272397995	-0.087644085	No	
row_23	RAB31	RAB31, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9771]	6648	0.05706201121211052	-0.08560681	No	
row_24	GGA2	golgi associated, gamma adaptin ear containing, ARF binding protein 2 [Source:HGNC Symbol;Acc:HGNC:16064]	6651	0.05693339183926582	-0.080168545	No	
row_25	STX1B	syntaxin 1B [Source:HGNC Symbol;Acc:HGNC:18539]	6906	0.050600986927747726	-0.08922176	No	
row_26	ARFGEF2	ADP ribosylation factor guanine nucleotide exchange factor 2 [Source:HGNC Symbol;Acc:HGNC:15853]	7065	0.04678912088274956	-0.09336098	No	
row_27	STX3	syntaxin 3 [Source:HGNC Symbol;Acc:HGNC:11438]	7333	0.04022441431879997	-0.10414117	No	
row_28	MICALL1	MICAL like 1 [Source:HGNC Symbol;Acc:HGNC:29804]	7404	0.03839128836989403	-0.10425378	No	
row_29	GGA3	golgi associated, gamma adaptin ear containing, ARF binding protein 3 [Source:HGNC Symbol;Acc:HGNC:17079]	7827	0.028132673352956772	-0.12474619	No	
row_30	AMN	amnion associated transmembrane protein [Source:HGNC Symbol;Acc:HGNC:14604]	7893	0.026736214756965637	-0.12571934	No	
row_31	EXOC8	exocyst complex component 8 [Source:HGNC Symbol;Acc:HGNC:24659]	7939	0.02582673728466034	-0.12567998	No	
row_32	VPS39	VPS39 subunit of HOPS complex [Source:HGNC Symbol;Acc:HGNC:20593]	8702	0.007413045968860388	-0.16691099	No	
row_33	SEC16A	SEC16 homolog A, endoplasmic reticulum export factor [Source:HGNC Symbol;Acc:HGNC:29006]	8772	0.005973623134195805	-0.17012776	No	
row_34	TRARG1	trafficking regulator of GLUT4 (SLC2A4) 1 [Source:HGNC Symbol;Acc:HGNC:29592]	8836	0.004110546316951513	-0.17319576	No	
row_35	BBS1	Bardet-Biedl syndrome 1 [Source:HGNC Symbol;Acc:HGNC:966]	9119	0.0	-0.18872184	No	
row_36	AKAP5	A-kinase anchoring protein 5 [Source:HGNC Symbol;Acc:HGNC:375]	9221	0.0	-0.19428259	No	
row_37	RAB11B	RAB11B, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9761]	9291	0.0	-0.19808152	No	
row_38	RSC1A1	regulator of solute carriers 1 [Source:HGNC Symbol;Acc:HGNC:10458]	9423	0.0	-0.20529398	No	
row_39	RACK1	receptor for activated C kinase 1 [Source:HGNC Symbol;Acc:HGNC:4399]	10316	-0.001933473045937717	-0.2542164	No	
