NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GOBP_POST_GOLGI_VESICLE_MEDIATED_TRANSPORT	GOBP_POST_GOLGI_VESICLE_MEDIATED_TRANSPORT	Details ...	101	-0.46688393	-1.9131988	0.0021097045	0.042565126	0.034	3104	tags=38%, list=17%, signal=45%	
GOBP_POSITIVE_REGULATION_OF_MRNA_CATABOLIC_PROCESS	GOBP_POSITIVE_REGULATION_OF_MRNA_CATABOLIC_PROCESS	Details ...	52	-0.5030224	-1.893302	0.0	0.03191868	0.046	5083	tags=58%, list=28%, signal=80%	
GOBP_GOLGI_TO_PLASMA_MEMBRANE_TRANSPORT	GOBP_GOLGI_TO_PLASMA_MEMBRANE_TRANSPORT	Details ...	57	-0.45036325	-1.7655746	0.010183299	0.14924607	0.222	3686	tags=40%, list=20%, signal=50%	
GOBP_POSITIVE_REGULATION_OF_PROTEIN_MODIFICATION_BY_SMALL_PROTEIN_CONJUGATION_OR_REMOVAL	GOBP_POSITIVE_REGULATION_OF_PROTEIN_MODIFICATION_BY_SMALL_PROTEIN_CONJUGATION_OR_REMOVAL	Details ...	127	-0.40511864	-1.72279	0.0	0.21484858	0.337	3749	tags=38%, list=21%, signal=47%	
GOBP_PROTEIN_AUTOUBIQUITINATION	GOBP_PROTEIN_AUTOUBIQUITINATION	Details ...	70	-0.41743872	-1.7209227	0.0041237115	0.17438	0.339	3831	tags=39%, list=21%, signal=49%	
GOBP_SELECTIVE_AUTOPHAGY	GOBP_SELECTIVE_AUTOPHAGY	Details ...	60	-0.420157	-1.7162628	0.0021321962	0.15499535	0.35	3638	tags=35%, list=20%, signal=44%	
GOBP_NEGATIVE_REGULATION_OF_PROTEIN_CONTAINING_COMPLEX_DISASSEMBLY	GOBP_NEGATIVE_REGULATION_OF_PROTEIN_CONTAINING_COMPLEX_DISASSEMBLY	Details ...	76	-0.3940252	-1.7097795	0.004016064	0.14598341	0.37	3389	tags=37%, list=19%, signal=45%	
GOBP_NEGATIVE_REGULATION_OF_SUPRAMOLECULAR_FIBER_ORGANIZATION	GOBP_NEGATIVE_REGULATION_OF_SUPRAMOLECULAR_FIBER_ORGANIZATION	Details ...	140	-0.3762207	-1.6973333	0.004158004	0.15151455	0.423	4067	tags=36%, list=22%, signal=46%	
GOBP_REGULATION_OF_CELL_MORPHOGENESIS_INVOLVED_IN_DIFFERENTIATION	GOBP_REGULATION_OF_CELL_MORPHOGENESIS_INVOLVED_IN_DIFFERENTIATION	Details ...	88	-0.40188095	-1.6900393	0.0040816325	0.14845471	0.444	2277	tags=26%, list=12%, signal=30%	
GOBP_PROTEIN_K48_LINKED_UBIQUITINATION	GOBP_PROTEIN_K48_LINKED_UBIQUITINATION	Details ...	60	-0.49399123	-1.670984	0.027027028	0.16920492	0.506	5680	tags=67%, list=31%, signal=96%	
GOBP_REGULATION_OF_CELL_SUBSTRATE_JUNCTION_ORGANIZATION	GOBP_REGULATION_OF_CELL_SUBSTRATE_JUNCTION_ORGANIZATION	Details ...	67	-0.45576483	-1.6672907	0.004192872	0.1614436	0.524	2695	tags=36%, list=15%, signal=42%	
GOBP_NEGATIVE_REGULATION_OF_CYTOSKELETON_ORGANIZATION	GOBP_NEGATIVE_REGULATION_OF_CYTOSKELETON_ORGANIZATION	Details ...	139	-0.34569713	-1.6638889	0.002020202	0.15519817	0.539	5399	tags=43%, list=30%, signal=61%	
GOBP_RETROGRADE_TRANSPORT_ENDOSOME_TO_GOLGI	GOBP_RETROGRADE_TRANSPORT_ENDOSOME_TO_GOLGI	Details ...	83	-0.39985308	-1.6628106	0.020920502	0.14531042	0.544	4376	tags=42%, list=24%, signal=55%	
GOBP_VESICLE_MEDIATED_TRANSPORT_TO_THE_PLASMA_MEMBRANE	GOBP_VESICLE_MEDIATED_TRANSPORT_TO_THE_PLASMA_MEMBRANE	Details ...	90	-0.3756348	-1.6607195	0.0061728396	0.13802463	0.551	5229	tags=47%, list=29%, signal=65%	
GOBP_NEGATIVE_REGULATION_OF_ERBB_SIGNALING_PATHWAY	GOBP_NEGATIVE_REGULATION_OF_ERBB_SIGNALING_PATHWAY	Details ...	51	-0.48151284	-1.639441	0.023060797	0.16973889	0.622	2278	tags=31%, list=12%, signal=36%	
GOBP_NEGATIVE_REGULATION_OF_CELLULAR_AMIDE_METABOLIC_PROCESS	GOBP_NEGATIVE_REGULATION_OF_CELLULAR_AMIDE_METABOLIC_PROCESS	Details ...	154	-0.34441108	-1.636922	0.0	0.16382745	0.632	4979	tags=43%, list=27%, signal=58%	
GOBP_SISTER_CHROMATID_COHESION	GOBP_SISTER_CHROMATID_COHESION	Details ...	51	-0.4801558	-1.6355966	0.028	0.15593408	0.636	3521	tags=45%, list=19%, signal=56%	
GOBP_CYTOSOLIC_TRANSPORT	GOBP_CYTOSOLIC_TRANSPORT	Details ...	156	-0.3887284	-1.631793	0.008438818	0.15365908	0.645	5180	tags=47%, list=28%, signal=65%	
GOBP_REGULATION_OF_RNA_SPLICING	GOBP_REGULATION_OF_RNA_SPLICING	Details ...	133	-0.40421182	-1.6300675	0.016460905	0.14854893	0.652	3929	tags=38%, list=22%, signal=48%	
GOBP_POSITIVE_REGULATION_OF_ORGANELLE_ASSEMBLY	GOBP_POSITIVE_REGULATION_OF_ORGANELLE_ASSEMBLY	Details ...	65	-0.41145504	-1.6210364	0.0041237115	0.15745744	0.674	4168	tags=38%, list=23%, signal=50%	
GOBP_PHOSPHATIDYLINOSITOL_PHOSPHORYLATION	GOBP_PHOSPHATIDYLINOSITOL_PHOSPHORYLATION		53	-0.4252277	-1.6028531	0.008403362	0.18825482	0.745	5459	tags=47%, list=30%, signal=67%	
GOBP_REGULATION_OF_CELLULAR_RESPONSE_TO_HEAT	GOBP_REGULATION_OF_CELLULAR_RESPONSE_TO_HEAT		79	-0.39325398	-1.6003394	0.018218623	0.18578292	0.758	5007	tags=44%, list=27%, signal=61%	
GOBP_CELLULAR_RESPONSE_TO_HEAT	GOBP_CELLULAR_RESPONSE_TO_HEAT		114	-0.36157858	-1.598214	0.006535948	0.1813748	0.765	5484	tags=46%, list=30%, signal=66%	
GOBP_POSITIVE_REGULATION_OF_MRNA_METABOLIC_PROCESS	GOBP_POSITIVE_REGULATION_OF_MRNA_METABOLIC_PROCESS		81	-0.3892934	-1.5949144	0.02079002	0.18042898	0.776	5083	tags=49%, list=28%, signal=68%	
GOBP_RHO_PROTEIN_SIGNAL_TRANSDUCTION	GOBP_RHO_PROTEIN_SIGNAL_TRANSDUCTION		123	-0.38328078	-1.5859287	0.002118644	0.19212477	0.802	3485	tags=31%, list=19%, signal=38%	
GOBP_TRANSPORT_ALONG_MICROTUBULE	GOBP_TRANSPORT_ALONG_MICROTUBULE		147	-0.3538723	-1.585083	0.0042918455	0.18616822	0.803	2349	tags=27%, list=13%, signal=30%	
GOBP_POSITIVE_REGULATION_OF_BLOOD_VESSEL_ENDOTHELIAL_CELL_MIGRATION	GOBP_POSITIVE_REGULATION_OF_BLOOD_VESSEL_ENDOTHELIAL_CELL_MIGRATION		51	-0.48388058	-1.5843656	0.024	0.18095538	0.805	2590	tags=31%, list=14%, signal=36%	
GOBP_CELLULAR_RESPONSE_TO_IONIZING_RADIATION	GOBP_CELLULAR_RESPONSE_TO_IONIZING_RADIATION		63	-0.4356047	-1.5823637	0.01898734	0.17898208	0.815	4805	tags=49%, list=26%, signal=67%	
GOBP_POSITIVE_REGULATION_OF_I_KAPPAB_KINASE_NF_KAPPAB_SIGNALING	GOBP_POSITIVE_REGULATION_OF_I_KAPPAB_KINASE_NF_KAPPAB_SIGNALING		172	-0.3953305	-1.5779124	0.013157895	0.18254463	0.828	3667	tags=29%, list=20%, signal=36%	
GOBP_RECOMBINATIONAL_REPAIR	GOBP_RECOMBINATIONAL_REPAIR		134	-0.38107368	-1.5720303	0.017964073	0.18974021	0.844	4192	tags=40%, list=23%, signal=52%	
GOBP_MICROTUBULE_POLYMERIZATION	GOBP_MICROTUBULE_POLYMERIZATION		73	-0.36134243	-1.5706861	0.014553014	0.18615793	0.848	1762	tags=21%, list=10%, signal=23%	
GOBP_DENDRITIC_SPINE_DEVELOPMENT	GOBP_DENDRITIC_SPINE_DEVELOPMENT		88	-0.36342493	-1.5676281	0.0	0.18583915	0.857	2707	tags=30%, list=15%, signal=35%	
