NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GOBP_RESPONSE_TO_ALKALOID	GOBP_RESPONSE_TO_ALKALOID	Details ...	98	0.44075948	1.6677763	0.0	1.0	0.54	1700	tags=21%, list=9%, signal=24%	
GOBP_NEURON_FATE_COMMITMENT	GOBP_NEURON_FATE_COMMITMENT	Details ...	59	0.61863315	1.6281302	0.0	1.0	0.706	2463	tags=44%, list=13%, signal=51%	
GOBP_CORNIFICATION	GOBP_CORNIFICATION	Details ...	113	0.5659699	1.6149092	0.005859375	0.9494239	0.747	4531	tags=54%, list=25%, signal=71%	
GOBP_AXONEME_ASSEMBLY	GOBP_AXONEME_ASSEMBLY	Details ...	71	0.455921	1.5628213	0.026052104	1.0	0.89	3524	tags=31%, list=19%, signal=38%	
GOBP_ANTIBACTERIAL_HUMORAL_RESPONSE	GOBP_ANTIBACTERIAL_HUMORAL_RESPONSE	Details ...	56	0.5746326	1.5473285	0.01734104	1.0	0.92	2306	tags=38%, list=13%, signal=43%	
GOBP_SPINAL_CORD_DEVELOPMENT	GOBP_SPINAL_CORD_DEVELOPMENT	Details ...	97	0.49759102	1.5410423	0.018939395	1.0	0.929	3156	tags=35%, list=17%, signal=42%	
GOBP_CHEMICAL_SYNAPTIC_TRANSMISSION_POSTSYNAPTIC	GOBP_CHEMICAL_SYNAPTIC_TRANSMISSION_POSTSYNAPTIC	Details ...	100	0.44800627	1.5370256	0.01183432	1.0	0.937	4694	tags=46%, list=26%, signal=62%	
GOBP_NEUROPEPTIDE_SIGNALING_PATHWAY	GOBP_NEUROPEPTIDE_SIGNALING_PATHWAY	Details ...	97	0.532805	1.5302573	0.011952192	0.9406977	0.945	5203	tags=59%, list=29%, signal=82%	
GOBP_REGULATION_OF_POSTSYNAPTIC_MEMBRANE_POTENTIAL	GOBP_REGULATION_OF_POSTSYNAPTIC_MEMBRANE_POTENTIAL	Details ...	128	0.46852773	1.4970586	0.038854804	1.0	0.981	4924	tags=49%, list=27%, signal=67%	
GOBP_ANTIMICROBIAL_HUMORAL_RESPONSE	GOBP_ANTIMICROBIAL_HUMORAL_RESPONSE	Details ...	132	0.49390364	1.488209	0.02636535	1.0	0.982	2306	tags=34%, list=13%, signal=39%	
GOBP_DORSAL_VENTRAL_PATTERN_FORMATION	GOBP_DORSAL_VENTRAL_PATTERN_FORMATION	Details ...	77	0.4669974	1.484294	0.031620555	1.0	0.985	4170	tags=42%, list=23%, signal=54%	
GOBP_ENDOCRINE_SYSTEM_DEVELOPMENT	GOBP_ENDOCRINE_SYSTEM_DEVELOPMENT	Details ...	120	0.45681196	1.4829897	0.015238095	1.0	0.985	2834	tags=33%, list=16%, signal=39%	
GOBP_DIGESTION	GOBP_DIGESTION	Details ...	133	0.42678866	1.4783735	0.013084112	0.97985315	0.986	3973	tags=38%, list=22%, signal=48%	
GOBP_METENCEPHALON_DEVELOPMENT	GOBP_METENCEPHALON_DEVELOPMENT	Details ...	94	0.42948964	1.459262	0.01532567	1.0	0.992	3461	tags=35%, list=19%, signal=43%	
