NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	IL12A	interleukin 12A [Source:HGNC Symbol;Acc:HGNC:5969]	478	0.368160605430603	0.049110815	Yes	
row_1	HLA-DPB1	major histocompatibility complex, class II, DP beta 1 [Source:HGNC Symbol;Acc:HGNC:4940]	670	0.33844491839408875	0.10789285	Yes	
row_2	HLA-B	major histocompatibility complex, class I, B [Source:HGNC Symbol;Acc:HGNC:4932]	947	0.30068475008010864	0.1542815	Yes	
row_3	HLA-A	major histocompatibility complex, class I, A [Source:HGNC Symbol;Acc:HGNC:4931]	1054	0.29018279910087585	0.20785174	Yes	
row_4	IL10	interleukin 10 [Source:HGNC Symbol;Acc:HGNC:5962]	1347	0.26471617817878723	0.2460009	Yes	
row_5	HLA-DMB	major histocompatibility complex, class II, DM beta [Source:HGNC Symbol;Acc:HGNC:4935]	1538	0.25093770027160645	0.28692874	Yes	
row_6	IL4	interleukin 4 [Source:HGNC Symbol;Acc:HGNC:6014]	1561	0.24936293065547943	0.33675542	Yes	
row_7	HLA-C	major histocompatibility complex, class I, C [Source:HGNC Symbol;Acc:HGNC:4933]	1585	0.2477068305015564	0.3861883	Yes	
row_8	IL2	interleukin 2 [Source:HGNC Symbol;Acc:HGNC:6001]	1703	0.2395877093076706	0.42880008	Yes	
row_9	HLA-DOA	major histocompatibility complex, class II, DO alpha [Source:HGNC Symbol;Acc:HGNC:4936]	2103	0.21391208469867706	0.45067877	Yes	
row_10	PRF1	perforin 1 [Source:HGNC Symbol;Acc:HGNC:9360]	2532	0.19113613665103912	0.46630442	Yes	
row_11	HLA-DOB	major histocompatibility complex, class II, DO beta [Source:HGNC Symbol;Acc:HGNC:4937]	2786	0.1795138120651245	0.4891568	Yes	
row_12	HLA-DQB1	major histocompatibility complex, class II, DQ beta 1 [Source:HGNC Symbol;Acc:HGNC:4944]	3438	0.15216098725795746	0.4845659	No	
row_13	GZMB	granzyme B [Source:HGNC Symbol;Acc:HGNC:4709]	3899	0.13625653088092804	0.4872036	No	
row_14	IL12B	interleukin 12B [Source:HGNC Symbol;Acc:HGNC:5970]	4848	0.10676122456789017	0.45701957	No	
row_15	HLA-F	major histocompatibility complex, class I, F [Source:HGNC Symbol;Acc:HGNC:4963]	5902	0.07595919072628021	0.41476846	No	
row_16	TNF	tumor necrosis factor [Source:HGNC Symbol;Acc:HGNC:11892]	6412	0.06292066723108292	0.39970785	No	
row_17	CD40	CD40 molecule [Source:HGNC Symbol;Acc:HGNC:11919]	7927	0.026170864701271057	0.32196388	No	
row_18	CD28	CD28 molecule [Source:HGNC Symbol;Acc:HGNC:1653]	8048	0.023129209876060486	0.32011092	No	
row_19	HLA-DRA	major histocompatibility complex, class II, DR alpha [Source:HGNC Symbol;Acc:HGNC:4947]	8589	0.009745071642100811	0.29246596	No	
row_20	IL5	interleukin 5 [Source:HGNC Symbol;Acc:HGNC:6016]	10864	-0.014876826666295528	0.17069586	No	
row_21	IFNG	interferon gamma [Source:HGNC Symbol;Acc:HGNC:5438]	11034	-0.01894327439367771	0.16529673	No	
row_22	HLA-G	major histocompatibility complex, class I, G [Source:HGNC Symbol;Acc:HGNC:4964]	11260	-0.024391548708081245	0.15793893	No	
row_23	CD80	CD80 molecule [Source:HGNC Symbol;Acc:HGNC:1700]	11899	-0.0404515415430069	0.13119929	No	
row_24	CD86	CD86 molecule [Source:HGNC Symbol;Acc:HGNC:1705]	12013	-0.04333706572651863	0.13386627	No	
row_25	FASLG	Fas ligand [Source:HGNC Symbol;Acc:HGNC:11936]	12553	-0.05650623142719269	0.11584623	No	
row_26	HLA-DMA	major histocompatibility complex, class II, DM alpha [Source:HGNC Symbol;Acc:HGNC:4934]	12617	-0.058205682784318924	0.124300584	No	
row_27	HLA-E	major histocompatibility complex, class I, E [Source:HGNC Symbol;Acc:HGNC:4962]	12632	-0.05864708125591278	0.13553478	No	
row_28	HLA-DRB1	major histocompatibility complex, class II, DR beta 1 [Source:HGNC Symbol;Acc:HGNC:4948]	12796	-0.06304524838924408	0.13949081	No	
row_29	HLA-DRB5	major histocompatibility complex, class II, DR beta 5 [Source:HGNC Symbol;Acc:HGNC:4953]	13408	-0.07988511025905609	0.12230355	No	
row_30	HLA-DQA1	major histocompatibility complex, class II, DQ alpha 1 [Source:HGNC Symbol;Acc:HGNC:4942]	15212	-0.13621114194393158	0.051217686	No	
row_31	FAS	Fas cell surface death receptor [Source:HGNC Symbol;Acc:HGNC:11920]	15749	-0.15655219554901123	0.05383757	No	
row_32	HLA-DQA2	major histocompatibility complex, class II, DQ alpha 2 [Source:HGNC Symbol;Acc:HGNC:4943]	16572	-0.19415205717086792	0.048454683	No	
row_33	HLA-DPA1	major histocompatibility complex, class II, DP alpha 1 [Source:HGNC Symbol;Acc:HGNC:4938]	16929	-0.21353527903556824	0.07261643	No	
