NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PLA2G3	phospholipase A2 group III [Source:HGNC Symbol;Acc:HGNC:17934]	76	0.5238346457481384	0.050940707	Yes	
row_1	CYP2C19	cytochrome P450 family 2 subfamily C member 19 [Source:HGNC Symbol;Acc:HGNC:2621]	262	0.4212767779827118	0.08509965	Yes	
row_2	PLA2G2A	phospholipase A2 group IIA [Source:HGNC Symbol;Acc:HGNC:9031]	343	0.40005961060523987	0.12279696	Yes	
row_3	GPX6	glutathione peroxidase 6 [Source:HGNC Symbol;Acc:HGNC:4558]	419	0.38030609488487244	0.1586906	Yes	
row_4	PLA2G2D	phospholipase A2 group IID [Source:HGNC Symbol;Acc:HGNC:9033]	536	0.3580135405063629	0.18998528	Yes	
row_5	JMJD7-PLA2G4B	JMJD7-PLA2G4B readthrough [Source:HGNC Symbol;Acc:HGNC:34449]	662	0.3397529125213623	0.21886392	Yes	
row_6	CYP2C18	cytochrome P450 family 2 subfamily C member 18 [Source:HGNC Symbol;Acc:HGNC:2620]	807	0.31877294182777405	0.24449082	Yes	
row_7	CYP4A22	cytochrome P450 family 4 subfamily A member 22 [Source:HGNC Symbol;Acc:HGNC:20575]	957	0.29963386058807373	0.26782912	Yes	
row_8	PLA2G2C	phospholipase A2 group IIC [Source:HGNC Symbol;Acc:HGNC:9032]	1059	0.28992488980293274	0.29278392	Yes	
row_9	GGT1	gamma-glutamyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:4250]	1212	0.27516379952430725	0.31338263	Yes	
row_10	PLA2G2F	phospholipase A2 group IIF [Source:HGNC Symbol;Acc:HGNC:30040]	1229	0.2734568417072296	0.34127626	Yes	
row_11	GPX3	glutathione peroxidase 3 [Source:HGNC Symbol;Acc:HGNC:4555]	1414	0.2589433491230011	0.35840952	Yes	
row_12	GPX4	glutathione peroxidase 4 [Source:HGNC Symbol;Acc:HGNC:4556]	1616	0.2456117868423462	0.3732057	Yes	
row_13	CYP2C8	cytochrome P450 family 2 subfamily C member 8 [Source:HGNC Symbol;Acc:HGNC:2622]	1933	0.22326256334781647	0.3793299	Yes	
row_14	CYP4F3	cytochrome P450 family 4 subfamily F member 3 [Source:HGNC Symbol;Acc:HGNC:2646]	2191	0.20914970338344574	0.38721177	Yes	
row_15	CYP2E1	cytochrome P450 family 2 subfamily E member 1 [Source:HGNC Symbol;Acc:HGNC:2631]	2247	0.2061566859483719	0.4058807	Yes	
row_16	GGT7	gamma-glutamyltransferase 7 [Source:HGNC Symbol;Acc:HGNC:4259]	2271	0.20528775453567505	0.4262169	Yes	
row_17	GPX1	glutathione peroxidase 1 [Source:HGNC Symbol;Acc:HGNC:4553]	2646	0.18482144176959991	0.42510867	Yes	
row_18	CYP2B6	cytochrome P450 family 2 subfamily B member 6 [Source:HGNC Symbol;Acc:HGNC:2615]	2656	0.18456317484378815	0.44403368	Yes	
row_19	ALOX15	arachidonate 15-lipoxygenase [Source:HGNC Symbol;Acc:HGNC:433]	2774	0.1800636351108551	0.45654956	Yes	
row_20	PTGES	prostaglandin E synthase [Source:HGNC Symbol;Acc:HGNC:9599]	3055	0.16768361628055573	0.45880434	Yes	
row_21	CYP4A11	cytochrome P450 family 4 subfamily A member 11 [Source:HGNC Symbol;Acc:HGNC:2642]	3164	0.16246537864208221	0.46996316	Yes	
row_22	CBR3	carbonyl reductase 3 [Source:HGNC Symbol;Acc:HGNC:1549]	3366	0.15501073002815247	0.47522634	Yes	
row_23	ALOX15B	arachidonate 15-lipoxygenase type B [Source:HGNC Symbol;Acc:HGNC:434]	3421	0.15283681452274323	0.48833993	Yes	
