NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	GADD45G	growth arrest and DNA damage inducible gamma [Source:HGNC Symbol;Acc:HGNC:4097]	483	0.3668406307697296	-0.0044666664	No	
row_1	CCNA1	cyclin A1 [Source:HGNC Symbol;Acc:HGNC:1577]	775	0.3226063549518585	-0.0010177748	No	
row_2	E2F4	E2F transcription factor 4 [Source:HGNC Symbol;Acc:HGNC:3118]	792	0.32102805376052856	0.017502284	No	
row_3	E2F1	E2F transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:3113]	927	0.302657812833786	0.028404238	No	
row_4	CCNA2	cyclin A2 [Source:HGNC Symbol;Acc:HGNC:1578]	1013	0.29364946484565735	0.041464146	No	
row_5	ORC6	origin recognition complex subunit 6 [Source:HGNC Symbol;Acc:HGNC:17151]	1027	0.292524129152298	0.05842692	No	
row_6	MCM7	minichromosome maintenance complex component 7 [Source:HGNC Symbol;Acc:HGNC:6950]	1287	0.26875394582748413	0.060385887	No	
row_7	ESPL1	extra spindle pole bodies like 1, separase [Source:HGNC Symbol;Acc:HGNC:16856]	1349	0.26468291878700256	0.07301872	No	
row_8	ANAPC2	anaphase promoting complex subunit 2 [Source:HGNC Symbol;Acc:HGNC:19989]	1604	0.2463701367378235	0.073900595	No	
row_9	PLK1	polo like kinase 1 [Source:HGNC Symbol;Acc:HGNC:9077]	1951	0.2224074751138687	0.068260305	No	
row_10	MAD2L2	mitotic arrest deficient 2 like 2 [Source:HGNC Symbol;Acc:HGNC:6764]	2128	0.21239930391311646	0.071390815	No	
row_11	CDC26	cell division cycle 26 [Source:HGNC Symbol;Acc:HGNC:17839]	2932	0.17338502407073975	0.037583612	No	
row_12	CDK4	cyclin dependent kinase 4 [Source:HGNC Symbol;Acc:HGNC:1773]	3028	0.1693098396062851	0.0425771	No	
row_13	CDK7	cyclin dependent kinase 7 [Source:HGNC Symbol;Acc:HGNC:1778]	3056	0.16761387884616852	0.05121836	No	
row_14	CDKN1A	cyclin dependent kinase inhibitor 1A [Source:HGNC Symbol;Acc:HGNC:1784]	3195	0.16103364527225494	0.05334015	No	
row_15	MCM2	minichromosome maintenance complex component 2 [Source:HGNC Symbol;Acc:HGNC:6944]	3235	0.15959571301937103	0.060834993	No	
row_16	TP53	tumor protein p53 [Source:HGNC Symbol;Acc:HGNC:11998]	3345	0.15600477159023285	0.06425223	No	
row_17	WEE2	WEE2 oocyte meiosis inhibiting kinase [Source:HGNC Symbol;Acc:HGNC:19684]	3447	0.15198630094528198	0.0678678	No	
row_18	PKMYT1	protein kinase, membrane associated tyrosine/threonine 1 [Source:HGNC Symbol;Acc:HGNC:29650]	3485	0.15059994161128998	0.07492925	No	
row_19	CDC23	cell division cycle 23 [Source:HGNC Symbol;Acc:HGNC:1724]	4101	0.12925304472446442	0.04882318	No	
