NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PSD	pleckstrin and Sec7 domain containing [Source:HGNC Symbol;Acc:HGNC:9507]	640	0.3433414399623871	-0.019146886	No	
row_1	HLA-B	major histocompatibility complex, class I, B [Source:HGNC Symbol;Acc:HGNC:4932]	947	0.30068475008010864	-0.02183549	No	
row_2	HLA-A	major histocompatibility complex, class I, A [Source:HGNC Symbol;Acc:HGNC:4931]	1054	0.29018279910087585	-0.013956475	No	
row_3	SH3GL2	SH3 domain containing GRB2 like 2, endophilin A1 [Source:HGNC Symbol;Acc:HGNC:10831]	1069	0.28866368532180786	-0.001059504	No	
row_4	ADRB3	adrenoceptor beta 3 [Source:HGNC Symbol;Acc:HGNC:288]	1397	0.2601097524166107	-0.0068316245	No	
row_5	CXCR1	C-X-C motif chemokine receptor 1 [Source:HGNC Symbol;Acc:HGNC:6026]	1469	0.2553069293498993	0.0013319962	No	
row_6	CLTCL1	clathrin heavy chain like 1 [Source:HGNC Symbol;Acc:HGNC:2093]	1504	0.2535426616668701	0.011459085	No	
row_7	HLA-C	major histocompatibility complex, class I, C [Source:HGNC Symbol;Acc:HGNC:4933]	1585	0.2477068305015564	0.01876483	No	
row_8	PARD6A	par-6 family cell polarity regulator alpha [Source:HGNC Symbol;Acc:HGNC:15943]	1656	0.24335190653800964	0.026417566	No	
row_9	VPS37D	VPS37D subunit of ESCRT-I [Source:HGNC Symbol;Acc:HGNC:18287]	1795	0.23257967829704285	0.029798016	No	
row_10	PSD2	pleckstrin and Sec7 domain containing 2 [Source:HGNC Symbol;Acc:HGNC:19092]	1797	0.23251724243164062	0.040755037	No	
row_11	CLTB	clathrin light chain B [Source:HGNC Symbol;Acc:HGNC:2091]	1808	0.23203931748867035	0.051191498	No	
row_12	ARFGAP2	ADP ribosylation factor GTPase activating protein 2 [Source:HGNC Symbol;Acc:HGNC:13504]	2752	0.18077650666236877	0.0075818207	No	
row_13	ERBB4	erb-b2 receptor tyrosine kinase 4 [Source:HGNC Symbol;Acc:HGNC:3432]	2771	0.18022871017456055	0.015121858	No	
row_14	SH3GLB2	SH3 domain containing GRB2 like, endophilin B2 [Source:HGNC Symbol;Acc:HGNC:10834]	3321	0.15657271444797516	-0.007836082	No	
row_15	PRKCZ	protein kinase C zeta [Source:HGNC Symbol;Acc:HGNC:9412]	3468	0.15108521282672882	-0.008757927	No	
row_16	HGS	hepatocyte growth factor-regulated tyrosine kinase substrate [Source:HGNC Symbol;Acc:HGNC:4897]	3525	0.14916913211345673	-0.004791267	No	
