NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	JUN	Jun proto-oncogene, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:6204]	138	0.4699479043483734	0.03356509	No	
row_1	BAD	BCL2 associated agonist of cell death [Source:HGNC Symbol;Acc:HGNC:936]	396	0.38673296570777893	0.05329217	No	
row_2	PRKCG	protein kinase C gamma [Source:HGNC Symbol;Acc:HGNC:9402]	1306	0.26777783036231995	0.026715254	No	
row_3	ERBB2	erb-b2 receptor tyrosine kinase 2 [Source:HGNC Symbol;Acc:HGNC:3430]	1428	0.2582477033138275	0.042674217	No	
row_4	NRG3	neuregulin 3 [Source:HGNC Symbol;Acc:HGNC:7999]	1489	0.2542235255241394	0.061638087	No	
row_5	SHC3	SHC adaptor protein 3 [Source:HGNC Symbol;Acc:HGNC:18181]	1822	0.23118826746940613	0.063613854	No	
row_6	NRG1	neuregulin 1 [Source:HGNC Symbol;Acc:HGNC:7997]	2024	0.21851332485675812	0.071689576	No	
row_7	MAPK9	mitogen-activated protein kinase 9 [Source:HGNC Symbol;Acc:HGNC:6886]	2265	0.20546631515026093	0.07647605	No	
row_8	ERBB4	erb-b2 receptor tyrosine kinase 4 [Source:HGNC Symbol;Acc:HGNC:3432]	2771	0.18022871017456055	0.06446681	No	
row_9	CDKN1A	cyclin dependent kinase inhibitor 1A [Source:HGNC Symbol;Acc:HGNC:1784]	3195	0.16103364527225494	0.055289548	No	
row_10	NRG4	neuregulin 4 [Source:HGNC Symbol;Acc:HGNC:29862]	3232	0.1598394215106964	0.0673077	No	
row_11	RPS6KB2	ribosomal protein S6 kinase B2 [Source:HGNC Symbol;Acc:HGNC:10437]	3241	0.1592564880847931	0.0808159	No	
row_12	CAMK2B	calcium/calmodulin dependent protein kinase II beta [Source:HGNC Symbol;Acc:HGNC:1461]	3275	0.1581457406282425	0.09285083	No	
row_13	PAK5	p21 (RAC1) activated kinase 5 [Source:HGNC Symbol;Acc:HGNC:15916]	3633	0.1460196077823639	0.08599112	No	
row_14	MTOR	mechanistic target of rapamycin kinase [Source:HGNC Symbol;Acc:HGNC:3942]	4513	0.11650373041629791	0.04781601	No	
row_15	PIK3R2	phosphoinositide-3-kinase regulatory subunit 2 [Source:HGNC Symbol;Acc:HGNC:8980]	4723	0.11058281362056732	0.045998305	No	
row_16	EIF4EBP1	eukaryotic translation initiation factor 4E binding protein 1 [Source:HGNC Symbol;Acc:HGNC:3288]	4864	0.10624217987060547	0.04759811	No	
row_17	STAT5A	signal transducer and activator of transcription 5A [Source:HGNC Symbol;Acc:HGNC:11366]	5034	0.1019054651260376	0.04722195	No	
row_18	SHC1	SHC adaptor protein 1 [Source:HGNC Symbol;Acc:HGNC:10840]	5154	0.09831541031599045	0.049283303	No	
row_19	HRAS	HRas proto-oncogene, GTPase [Source:HGNC Symbol;Acc:HGNC:5173]	5899	0.07602531462907791	0.01499312	No	
row_20	CAMK2A	calcium/calmodulin dependent protein kinase II alpha [Source:HGNC Symbol;Acc:HGNC:1460]	5942	0.07479993999004364	0.019232852	No	
row_21	PAK1	p21 (RAC1) activated kinase 1 [Source:HGNC Symbol;Acc:HGNC:8590]	6037	0.07253506034612656	0.020412195	No	
row_22	PIK3R5	phosphoinositide-3-kinase regulatory subunit 5 [Source:HGNC Symbol;Acc:HGNC:30035]	6219	0.06785272806882858	0.016393062	No	
row_23	TGFA	transforming growth factor alpha [Source:HGNC Symbol;Acc:HGNC:11765]	6433	0.06252793222665787	0.010146314	No	
row_24	SHC2	SHC adaptor protein 2 [Source:HGNC Symbol;Acc:HGNC:29869]	6447	0.06229018419981003	0.014886503	No	
row_25	NRG2	neuregulin 2 [Source:HGNC Symbol;Acc:HGNC:7998]	6469	0.06169537827372551	0.019134285	No	
row_26	PAK4	p21 (RAC1) activated kinase 4 [Source:HGNC Symbol;Acc:HGNC:16059]	6611	0.058425117284059525	0.016490985	No	
row_27	AREG	amphiregulin [Source:HGNC Symbol;Acc:HGNC:651]	6710	0.05556091293692589	0.015963491	No	
row_28	ERBB3	erb-b2 receptor tyrosine kinase 3 [Source:HGNC Symbol;Acc:HGNC:3431]	7004	0.04836259037256241	0.004072966	No	
row_29	MAP2K1	mitogen-activated protein kinase kinase 1 [Source:HGNC Symbol;Acc:HGNC:6840]	7017	0.048018768429756165	0.00761823	No	
row_30	MAP2K2	mitogen-activated protein kinase kinase 2 [Source:HGNC Symbol;Acc:HGNC:6842]	7256	0.04226643964648247	-0.0017790939	No	
row_31	CAMK2G	calcium/calmodulin dependent protein kinase II gamma [Source:HGNC Symbol;Acc:HGNC:1463]	7729	0.030429424718022346	-0.025092244	No	
row_32	MAP2K7	mitogen-activated protein kinase kinase 7 [Source:HGNC Symbol;Acc:HGNC:6847]	7990	0.024625511839985847	-0.037245505	No	
row_33	SRC	SRC proto-oncogene, non-receptor tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:11283]	8216	0.01849014312028885	-0.04800977	No	
row_34	PIK3CD	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta [Source:HGNC Symbol;Acc:HGNC:8977]	8311	0.016639474779367447	-0.05172605	No	
row_35	PRKCB	protein kinase C beta [Source:HGNC Symbol;Acc:HGNC:9395]	8615	0.009436645545065403	-0.0675763	No	
row_36	PRKCA	protein kinase C alpha [Source:HGNC Symbol;Acc:HGNC:9393]	10401	-0.004050932824611664	-0.16546576	No	
row_37	AKT1	AKT serine/threonine kinase 1 [Source:HGNC Symbol;Acc:HGNC:391]	10435	-0.004881765227764845	-0.16685447	No	
row_38	AKT2	AKT serine/threonine kinase 2 [Source:HGNC Symbol;Acc:HGNC:392]	10643	-0.009761721827089787	-0.17739253	No	
row_39	MAPK3	mitogen-activated protein kinase 3 [Source:HGNC Symbol;Acc:HGNC:6877]	11325	-0.025825373828411102	-0.21261203	No	
row_40	CBLC	Cbl proto-oncogene C [Source:HGNC Symbol;Acc:HGNC:15961]	11382	-0.027150209993124008	-0.21331625	No	
row_41	RPS6KB1	ribosomal protein S6 kinase B1 [Source:HGNC Symbol;Acc:HGNC:10436]	11494	-0.030099287629127502	-0.2167893	No	
row_42	CRK	CRK proto-oncogene, adaptor protein [Source:HGNC Symbol;Acc:HGNC:2362]	11613	-0.03315958008170128	-0.22037959	No	
row_43	PAK6	p21 (RAC1) activated kinase 6 [Source:HGNC Symbol;Acc:HGNC:16061]	11930	-0.04128115624189377	-0.23415624	No	
row_44	PLCG2	phospholipase C gamma 2 [Source:HGNC Symbol;Acc:HGNC:9066]	11982	-0.04268665239214897	-0.23322451	No	
row_45	RAF1	Raf-1 proto-oncogene, serine/threonine kinase [Source:HGNC Symbol;Acc:HGNC:9829]	11989	-0.04290446639060974	-0.22979695	No	
row_46	SHC4	SHC adaptor protein 4 [Source:HGNC Symbol;Acc:HGNC:16743]	12032	-0.04383275657892227	-0.22826947	No	
row_47	EGFR	epidermal growth factor receptor [Source:HGNC Symbol;Acc:HGNC:3236]	12157	-0.04677627608180046	-0.23099738	No	
row_48	ABL2	ABL proto-oncogene 2, non-receptor tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:77]	12411	-0.05246487259864807	-0.24032706	No	
row_49	PAK2	p21 (RAC1) activated kinase 2 [Source:HGNC Symbol;Acc:HGNC:8591]	13203	-0.0746145099401474	-0.27732763	No	
