NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SHMT2	serine hydroxymethyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:10852]	244	0.4270882308483124	0.09952484	Yes	
row_1	GAMT	guanidinoacetate N-methyltransferase [Source:HGNC Symbol;Acc:HGNC:4136]	1139	0.28130191564559937	0.124841586	Yes	
row_2	PSAT1	phosphoserine aminotransferase 1 [Source:HGNC Symbol;Acc:HGNC:19129]	1386	0.26099148392677307	0.18034424	Yes	
row_3	AOC2	amine oxidase copper containing 2 [Source:HGNC Symbol;Acc:HGNC:549]	1433	0.25773221254348755	0.24595915	Yes	
row_4	GCAT	glycine C-acetyltransferase [Source:HGNC Symbol;Acc:HGNC:4188]	1938	0.22309228777885437	0.27728567	Yes	
row_5	SHMT1	serine hydroxymethyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:10850]	2236	0.20664070546627045	0.31562078	Yes	
row_6	CHDH	choline dehydrogenase [Source:HGNC Symbol;Acc:HGNC:24288]	2491	0.19322825968265533	0.35276935	Yes	
row_7	SDS	serine dehydratase [Source:HGNC Symbol;Acc:HGNC:10691]	2512	0.19222334027290344	0.4024917	Yes	
row_8	CBS	cystathionine beta-synthase [Source:HGNC Symbol;Acc:HGNC:1550]	2551	0.19001935422420502	0.45064372	Yes	
row_9	GLYCTK	glycerate kinase [Source:HGNC Symbol;Acc:HGNC:24247]	2905	0.17457810044288635	0.47742948	Yes	
row_10	SARDH	sarcosine dehydrogenase [Source:HGNC Symbol;Acc:HGNC:10536]	3088	0.16616035997867584	0.51137245	Yes	
row_11	GNMT	glycine N-methyltransferase [Source:HGNC Symbol;Acc:HGNC:4415]	4404	0.12019218504428864	0.47099507	Yes	
row_12	GLDC	glycine decarboxylase [Source:HGNC Symbol;Acc:HGNC:4313]	4412	0.11994602531194687	0.50232214	Yes	
row_13	DAO	D-amino acid oxidase [Source:HGNC Symbol;Acc:HGNC:2671]	5075	0.10061880201101303	0.4925999	Yes	
row_14	PHGDH	phosphoglycerate dehydrogenase [Source:HGNC Symbol;Acc:HGNC:8923]	5210	0.09631896018981934	0.510712	Yes	
row_15	PSPH	phosphoserine phosphatase [Source:HGNC Symbol;Acc:HGNC:9577]	5229	0.09582847356796265	0.5350594	Yes	
row_16	AMT	aminomethyltransferase [Source:HGNC Symbol;Acc:HGNC:473]	5358	0.09189021587371826	0.5523299	Yes	
row_17	AGXT	alanine--glyoxylate and serine--pyruvate aminotransferase [Source:HGNC Symbol;Acc:HGNC:341]	6891	0.0510447658598423	0.4817647	No	
row_18	DMGDH	dimethylglycine dehydrogenase [Source:HGNC Symbol;Acc:HGNC:24475]	6904	0.05061877891421318	0.49448878	No	
row_19	AGXT2	alanine--glyoxylate aminotransferase 2 [Source:HGNC Symbol;Acc:HGNC:14412]	6931	0.04989081248641014	0.5062522	No	
row_20	AOC3	amine oxidase copper containing 3 [Source:HGNC Symbol;Acc:HGNC:550]	7303	0.04088228940963745	0.49670398	No	
row_21	BHMT	betaine--homocysteine S-methyltransferase [Source:HGNC Symbol;Acc:HGNC:1047]	9303	0.0	0.3870195	No	
row_22	ALAS1	5'-aminolevulinate synthase 1 [Source:HGNC Symbol;Acc:HGNC:396]	11124	-0.02101343870162964	0.29271218	No	
row_23	SRR	serine racemase [Source:HGNC Symbol;Acc:HGNC:14398]	11786	-0.03732902556657791	0.2663123	No	
row_24	GATM	glycine amidinotransferase [Source:HGNC Symbol;Acc:HGNC:4175]	11906	-0.04066326841711998	0.27053332	No	
row_25	PIPOX	pipecolic acid and sarcosine oxidase [Source:HGNC Symbol;Acc:HGNC:17804]	13094	-0.07167525589466095	0.22435242	No	
row_26	CTH	cystathionine gamma-lyase [Source:HGNC Symbol;Acc:HGNC:2501]	13764	-0.09004389494657516	0.2114503	No	
row_27	DLD	dihydrolipoamide dehydrogenase [Source:HGNC Symbol;Acc:HGNC:2898]	15088	-0.13143981993198395	0.1736076	No	
