NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PCK1	phosphoenolpyruvate carboxykinase 1 [Source:HGNC Symbol;Acc:HGNC:8724]	352	0.3976183533668518	0.045317758	Yes	
row_1	LDHAL6A	lactate dehydrogenase A like 6A [Source:HGNC Symbol;Acc:HGNC:28335]	529	0.35863590240478516	0.09396931	Yes	
row_2	PDHA2	pyruvate dehydrogenase E1 subunit alpha 2 [Source:HGNC Symbol;Acc:HGNC:8807]	880	0.3094816207885742	0.12506329	Yes	
row_3	PDHB	pyruvate dehydrogenase E1 subunit beta [Source:HGNC Symbol;Acc:HGNC:8808]	1002	0.2947644293308258	0.16635038	Yes	
row_4	ALDH1B1	aldehyde dehydrogenase 1 family member B1 [Source:HGNC Symbol;Acc:HGNC:407]	1376	0.2621385157108307	0.18848078	Yes	
row_5	HK3	hexokinase 3 [Source:HGNC Symbol;Acc:HGNC:4925]	1458	0.2558384835720062	0.22563586	Yes	
row_6	ALDH3A1	aldehyde dehydrogenase 3 family member A1 [Source:HGNC Symbol;Acc:HGNC:405]	1522	0.252185583114624	0.2631862	Yes	
row_7	G6PC	glucose-6-phosphatase catalytic subunit [Source:HGNC Symbol;Acc:HGNC:4056]	1630	0.24493564665317535	0.2971391	Yes	
row_8	FBP2	fructose-bisphosphatase 2 [Source:HGNC Symbol;Acc:HGNC:3607]	1645	0.24413740634918213	0.33607376	Yes	
row_9	ADH1B	alcohol dehydrogenase 1B (class I), beta polypeptide [Source:HGNC Symbol;Acc:HGNC:250]	1667	0.2426777482032776	0.37438628	Yes	
row_10	GPI	glucose-6-phosphate isomerase [Source:HGNC Symbol;Acc:HGNC:4458]	2155	0.21076716482639313	0.38189635	Yes	
row_11	ADH4	alcohol dehydrogenase 4 (class II), pi polypeptide [Source:HGNC Symbol;Acc:HGNC:252]	2940	0.1731186807155609	0.36695957	Yes	
row_12	GCK	glucokinase [Source:HGNC Symbol;Acc:HGNC:4195]	2989	0.17054101824760437	0.39205647	Yes	
row_13	FBP1	fructose-bisphosphatase 1 [Source:HGNC Symbol;Acc:HGNC:3606]	3847	0.13808248937129974	0.36740944	Yes	
row_14	ALDH3B1	aldehyde dehydrogenase 3 family member B1 [Source:HGNC Symbol;Acc:HGNC:410]	3861	0.1375902146100998	0.38907126	Yes	
row_15	ALDOB	aldolase, fructose-bisphosphate B [Source:HGNC Symbol;Acc:HGNC:417]	4235	0.1253092736005783	0.38894907	Yes	
row_16	PGAM1	phosphoglycerate mutase 1 [Source:HGNC Symbol;Acc:HGNC:8888]	4328	0.12234868854284286	0.40379006	Yes	
row_17	ALDH3B2	aldehyde dehydrogenase 3 family member B2 [Source:HGNC Symbol;Acc:HGNC:411]	5377	0.09126431494951248	0.361031	No	
row_18	ALDH2	aldehyde dehydrogenase 2 family member [Source:HGNC Symbol;Acc:HGNC:404]	5532	0.08607444167137146	0.366565	No	
row_19	ADH6	alcohol dehydrogenase 6 (class V) [Source:HGNC Symbol;Acc:HGNC:255]	5549	0.08572573214769363	0.37962717	No	
row_20	PGM1	phosphoglucomutase 1 [Source:HGNC Symbol;Acc:HGNC:8905]	5573	0.08503970503807068	0.39219305	No	
row_21	ALDH7A1	aldehyde dehydrogenase 7 family member A1 [Source:HGNC Symbol;Acc:HGNC:877]	5854	0.07713523507118225	0.3893479	No	
row_22	AKR1A1	aldo-keto reductase family 1 member A1 [Source:HGNC Symbol;Acc:HGNC:380]	6731	0.05505549907684326	0.35015386	No	
row_23	ADH7	alcohol dehydrogenase 7 (class IV), mu or sigma polypeptide [Source:HGNC Symbol;Acc:HGNC:256]	6929	0.049930427223443985	0.3474463	No	
row_24	LDHC	lactate dehydrogenase C [Source:HGNC Symbol;Acc:HGNC:6544]	7375	0.03909049555659294	0.329345	No	
row_25	ALDH3A2	aldehyde dehydrogenase 3 family member A2 [Source:HGNC Symbol;Acc:HGNC:403]	7454	0.037192534655332565	0.3311065	No	
row_26	PFKM	phosphofructokinase, muscle [Source:HGNC Symbol;Acc:HGNC:8877]	7592	0.03316269814968109	0.3289698	No	
row_27	HK2	hexokinase 2 [Source:HGNC Symbol;Acc:HGNC:4923]	7909	0.026451557874679565	0.31590328	No	
row_28	GAPDH	glyceraldehyde-3-phosphate dehydrogenase [Source:HGNC Symbol;Acc:HGNC:4141]	7958	0.025308752432465553	0.317381	No	
row_29	ACSS1	acyl-CoA synthetase short chain family member 1 [Source:HGNC Symbol;Acc:HGNC:16091]	8037	0.02337607927620411	0.31689554	No	
row_30	ENO3	enolase 3 [Source:HGNC Symbol;Acc:HGNC:3354]	8165	0.02024077996611595	0.31320697	No	
row_31	PFKL	phosphofructokinase, liver type [Source:HGNC Symbol;Acc:HGNC:8876]	8409	0.014456106349825859	0.30220193	No	
row_32	ENO2	enolase 2 [Source:HGNC Symbol;Acc:HGNC:3353]	8488	0.012612991966307163	0.29996607	No	
row_33	HK1	hexokinase 1 [Source:HGNC Symbol;Acc:HGNC:4922]	8733	0.006841347087174654	0.28766766	No	
row_34	PKM	pyruvate kinase M1/2 [Source:HGNC Symbol;Acc:HGNC:9021]	8922	0.002108731772750616	0.2776775	No	
row_35	G6PC2	glucose-6-phosphatase catalytic subunit 2 [Source:HGNC Symbol;Acc:HGNC:28906]	9055	0.0	0.27042237	No	
row_36	LDHAL6B	lactate dehydrogenase A like 6B [Source:HGNC Symbol;Acc:HGNC:21481]	9070	0.0	0.2696529	No	
row_37	ALDOC	aldolase, fructose-bisphosphate C [Source:HGNC Symbol;Acc:HGNC:418]	9220	0.0	0.26146337	No	
row_38	PGAM2	phosphoglycerate mutase 2 [Source:HGNC Symbol;Acc:HGNC:8889]	9307	0.0	0.25673655	No	
row_39	PCK2	phosphoenolpyruvate carboxykinase 2, mitochondrial [Source:HGNC Symbol;Acc:HGNC:8725]	9939	0.0	0.2220548	No	
row_40	DLAT	dihydrolipoamide S-acetyltransferase [Source:HGNC Symbol;Acc:HGNC:2896]	10540	-0.007449600379914045	0.19028841	No	
row_41	ALDOA	aldolase, fructose-bisphosphate A [Source:HGNC Symbol;Acc:HGNC:414]	10732	-0.011461605317890644	0.18165445	No	
row_42	GALM	galactose mutarotase [Source:HGNC Symbol;Acc:HGNC:24063]	10850	-0.014648857526481152	0.1776061	No	
row_43	ADH1A	alcohol dehydrogenase 1A (class I), alpha polypeptide [Source:HGNC Symbol;Acc:HGNC:249]	10902	-0.01590384915471077	0.17738944	No	
row_44	ALDH1A3	aldehyde dehydrogenase 1 family member A3 [Source:HGNC Symbol;Acc:HGNC:409]	11113	-0.02066110074520111	0.16920729	No	
row_45	ADH1C	alcohol dehydrogenase 1C (class I), gamma polypeptide [Source:HGNC Symbol;Acc:HGNC:251]	11154	-0.021788250654935837	0.1705522	No	
row_46	PKLR	pyruvate kinase L/R [Source:HGNC Symbol;Acc:HGNC:9020]	11488	-0.029972471296787262	0.1571239	No	
row_47	ACSS2	acyl-CoA synthetase short chain family member 2 [Source:HGNC Symbol;Acc:HGNC:15814]	11944	-0.04170442372560501	0.13889804	No	
row_48	LDHA	lactate dehydrogenase A [Source:HGNC Symbol;Acc:HGNC:6535]	12185	-0.04742414876818657	0.1334195	No	
row_49	ENO1	enolase 1 [Source:HGNC Symbol;Acc:HGNC:3350]	12460	-0.05398242175579071	0.12713876	No	
row_50	PGK2	phosphoglycerate kinase 2 [Source:HGNC Symbol;Acc:HGNC:8898]	12681	-0.05998916178941727	0.12480292	No	
row_51	ADH5	alcohol dehydrogenase 5 (class III), chi polypeptide [Source:HGNC Symbol;Acc:HGNC:253]	14008	-0.09700575470924377	0.06769782	No	
row_52	PFKP	phosphofructokinase, platelet [Source:HGNC Symbol;Acc:HGNC:8878]	14441	-0.11081918329000473	0.06197629	No	
row_53	DLD	dihydrolipoamide dehydrogenase [Source:HGNC Symbol;Acc:HGNC:2898]	15088	-0.13143981993198395	0.047846183	No	
row_54	ALDH9A1	aldehyde dehydrogenase 9 family member A1 [Source:HGNC Symbol;Acc:HGNC:412]	15089	-0.13144318759441376	0.06922283	No	
row_55	BPGM	bisphosphoglycerate mutase [Source:HGNC Symbol;Acc:HGNC:1093]	15181	-0.13481588661670685	0.08614633	No	
row_56	PGM2	phosphoglucomutase 2 [Source:HGNC Symbol;Acc:HGNC:8906]	15476	-0.14646759629249573	0.09380723	No	
row_57	TPI1	triosephosphate isomerase 1 [Source:HGNC Symbol;Acc:HGNC:12009]	15783	-0.1579960286617279	0.10268344	No	
row_58	LDHB	lactate dehydrogenase B [Source:HGNC Symbol;Acc:HGNC:6541]	16749	-0.20270314812660217	0.08260965	No	
