NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	FUT9	fucosyltransferase 9 [Source:HGNC Symbol;Acc:HGNC:4020]	481	0.3673847019672394	0.0850099	Yes	
row_1	B3GALT1	beta-1,3-galactosyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:916]	951	0.3005058169364929	0.15039898	Yes	
row_2	FUT2	fucosyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:4013]	954	0.2998042702674866	0.24119666	Yes	
row_3	FUT6	fucosyltransferase 6 [Source:HGNC Symbol;Acc:HGNC:4017]	990	0.2960672974586487	0.32905072	Yes	
row_4	B4GALT2	beta-1,4-galactosyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:925]	1441	0.2572401762008667	0.38236308	Yes	
row_5	FUT5	fucosyltransferase 5 [Source:HGNC Symbol;Acc:HGNC:4016]	1945	0.2228056639432907	0.42232636	Yes	
row_6	FUT7	fucosyltransferase 7 [Source:HGNC Symbol;Acc:HGNC:4018]	2038	0.2175026834011078	0.48323062	Yes	
row_7	B3GALT5	beta-1,3-galactosyltransferase 5 [Source:HGNC Symbol;Acc:HGNC:920]	2269	0.2053215205669403	0.5328701	Yes	
row_8	FUT3	fucosyltransferase 3 (Lewis blood group) [Source:HGNC Symbol;Acc:HGNC:4014]	2857	0.17655415832996368	0.55420035	Yes	
row_9	B3GNT4	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 4 [Source:HGNC Symbol;Acc:HGNC:15683]	5136	0.09879595786333084	0.45917806	No	
row_10	ST8SIA1	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:10869]	5445	0.08903771638870239	0.4692783	No	
row_11	B4GAT1	beta-1,4-glucuronyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:15685]	6930	0.04991491883993149	0.40299594	No	
row_12	B3GNT3	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 3 [Source:HGNC Symbol;Acc:HGNC:13528]	8256	0.01775839924812317	0.33568636	No	
row_13	B4GALT4	beta-1,4-galactosyltransferase 4 [Source:HGNC Symbol;Acc:HGNC:927]	8266	0.017655937001109123	0.34054625	No	
row_14	GCNT2	glucosaminyl (N-acetyl) transferase 2 (I blood group) [Source:HGNC Symbol;Acc:HGNC:4204]	8752	0.006488139275461435	0.3159047	No	
row_15	B3GNT5	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 5 [Source:HGNC Symbol;Acc:HGNC:15684]	9218	0.0	0.2903931	No	
row_16	FUT4	fucosyltransferase 4 [Source:HGNC Symbol;Acc:HGNC:4015]	9342	0.0	0.28364488	No	
row_17	B3GALT2	beta-1,3-galactosyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:917]	9841	0.0	0.25632277	No	
row_18	B4GALT3	beta-1,4-galactosyltransferase 3 [Source:HGNC Symbol;Acc:HGNC:926]	10226	0.0	0.23525514	No	
row_19	ST3GAL3	ST3 beta-galactoside alpha-2,3-sialyltransferase 3 [Source:HGNC Symbol;Acc:HGNC:10866]	10256	-4.902778309769928E-4	0.23381275	No	
row_20	B4GALT1	beta-1,4-galactosyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:924]	11007	-0.01837950013577938	0.19823809	No	
row_21	B3GNT2	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:15629]	11756	-0.0366678424179554	0.16831858	No	
row_22	ABO	ABO, alpha 1-3-N-acetylgalactosaminyltransferase and alpha 1-3-galactosyltransferase [Source:HGNC Symbol;Acc:HGNC:79]	12298	-0.04991923272609711	0.15377398	No	
row_23	FUT1	fucosyltransferase 1 (H blood group) [Source:HGNC Symbol;Acc:HGNC:4012]	14947	-0.12646062672138214	0.046840705	No	
row_24	ST3GAL4	ST3 beta-galactoside alpha-2,3-sialyltransferase 4 [Source:HGNC Symbol;Acc:HGNC:10864]	16162	-0.17493058741092682	0.033279113	No	
row_25	ST3GAL6	ST3 beta-galactoside alpha-2,3-sialyltransferase 6 [Source:HGNC Symbol;Acc:HGNC:18080]	17585	-0.26822295784950256	0.03659423	No	
