NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	INPP5J	inositol polyphosphate-5-phosphatase J [Source:HGNC Symbol;Acc:HGNC:8956]	764	0.32417815923690796	0.015717072	No	
row_1	PLCE1	phospholipase C epsilon 1 [Source:HGNC Symbol;Acc:HGNC:17175]	3430	0.15246020257472992	-0.10357764	No	
row_2	PIP4K2C	phosphatidylinositol-5-phosphate 4-kinase type 2 gamma [Source:HGNC Symbol;Acc:HGNC:23786]	3715	0.1427946835756302	-0.09376838	No	
row_3	PLCB2	phospholipase C beta 2 [Source:HGNC Symbol;Acc:HGNC:9055]	4710	0.11086040735244751	-0.12865356	No	
row_4	MIOX	myo-inositol oxygenase [Source:HGNC Symbol;Acc:HGNC:14522]	5021	0.1022777184844017	-0.12748381	No	
row_5	PLCZ1	phospholipase C zeta 1 [Source:HGNC Symbol;Acc:HGNC:19218]	5310	0.09319209307432175	-0.12672228	No	
row_6	PIP5K1A	phosphatidylinositol-4-phosphate 5-kinase type 1 alpha [Source:HGNC Symbol;Acc:HGNC:8994]	5815	0.07828108221292496	-0.14048263	No	
row_7	IMPA2	inositol monophosphatase 2 [Source:HGNC Symbol;Acc:HGNC:6051]	5929	0.07522622495889664	-0.13330315	No	
row_8	ITPK1	inositol-tetrakisphosphate 1-kinase [Source:HGNC Symbol;Acc:HGNC:6177]	5970	0.07404495775699615	-0.122322924	No	
row_9	INPP5E	inositol polyphosphate-5-phosphatase E [Source:HGNC Symbol;Acc:HGNC:21474]	6188	0.0687481164932251	-0.12201066	No	
row_10	SYNJ2	synaptojanin 2 [Source:HGNC Symbol;Acc:HGNC:11504]	6413	0.06287472695112228	-0.123128325	No	
row_11	IPPK	inositol-pentakisphosphate 2-kinase [Source:HGNC Symbol;Acc:HGNC:14645]	6503	0.060816824436187744	-0.11719466	No	
row_12	ALDH6A1	aldehyde dehydrogenase 6 family member A1 [Source:HGNC Symbol;Acc:HGNC:7179]	6828	0.0527215301990509	-0.12561382	No	
row_13	INPPL1	inositol polyphosphate phosphatase like 1 [Source:HGNC Symbol;Acc:HGNC:6080]	7042	0.04741911217570305	-0.12887779	No	
row_14	CDIPT	CDP-diacylglycerol--inositol 3-phosphatidyltransferase [Source:HGNC Symbol;Acc:HGNC:1769]	7710	0.030948886647820473	-0.16001806	No	
row_15	IPMK	inositol polyphosphate multikinase [Source:HGNC Symbol;Acc:HGNC:20739]	8076	0.022649746388196945	-0.17604195	No	
row_16	PLCD1	phospholipase C delta 1 [Source:HGNC Symbol;Acc:HGNC:9060]	8083	0.0225396566092968	-0.17236015	No	
row_17	PIK3CD	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta [Source:HGNC Symbol;Acc:HGNC:8977]	8311	0.016639474779367447	-0.18187131	No	
row_18	PLCD3	phospholipase C delta 3 [Source:HGNC Symbol;Acc:HGNC:9061]	8398	0.014754698611795902	-0.18397063	No	
row_19	PIP4K2B	phosphatidylinositol-5-phosphate 4-kinase type 2 beta [Source:HGNC Symbol;Acc:HGNC:8998]	8459	0.01322036050260067	-0.18491447	No	
row_20	PIK3C2B	phosphatidylinositol-4-phosphate 3-kinase catalytic subunit type 2 beta [Source:HGNC Symbol;Acc:HGNC:8972]	8612	0.00947729405015707	-0.1915794	No	
row_21	PLCB3	phospholipase C beta 3 [Source:HGNC Symbol;Acc:HGNC:9056]	8723	0.007077841553837061	-0.1963637	No	
row_22	PI4KA	phosphatidylinositol 4-kinase alpha [Source:HGNC Symbol;Acc:HGNC:8983]	8783	0.005872905254364014	-0.19856024	No	
row_23	ISYNA1	inositol-3-phosphate synthase 1 [Source:HGNC Symbol;Acc:HGNC:29821]	8897	0.0027340943925082684	-0.20428243	No	
row_24	PI4KB	phosphatidylinositol 4-kinase beta [Source:HGNC Symbol;Acc:HGNC:8984]	10333	-0.0023453212343156338	-0.28271118	No	
row_25	ITPKA	inositol-trisphosphate 3-kinase A [Source:HGNC Symbol;Acc:HGNC:6178]	10443	-0.005165839567780495	-0.28778082	No	
row_26	PLCD4	phospholipase C delta 4 [Source:HGNC Symbol;Acc:HGNC:9062]	10524	-0.007093590684235096	-0.29091394	No	
row_27	PIP5K1C	phosphatidylinositol-4-phosphate 5-kinase type 1 gamma [Source:HGNC Symbol;Acc:HGNC:8996]	10983	-0.017956677824258804	-0.31288296	No	
row_28	INPP4A	inositol polyphosphate-4-phosphatase type I A [Source:HGNC Symbol;Acc:HGNC:6074]	11150	-0.02161211520433426	-0.31815746	No	
row_29	INPP5B	inositol polyphosphate-5-phosphatase B [Source:HGNC Symbol;Acc:HGNC:6077]	11207	-0.022956833243370056	-0.3171487	No	
row_30	INPP5K	inositol polyphosphate-5-phosphatase K [Source:HGNC Symbol;Acc:HGNC:33882]	11932	-0.04132593423128128	-0.34957397	No	
row_31	PLCG2	phospholipase C gamma 2 [Source:HGNC Symbol;Acc:HGNC:9066]	11982	-0.04268665239214897	-0.3446692	No	
row_32	INPP5A	inositol polyphosphate-5-phosphatase A [Source:HGNC Symbol;Acc:HGNC:6076]	13051	-0.07051607966423035	-0.39080054	No	
row_33	PIK3C2G	phosphatidylinositol-4-phosphate 3-kinase catalytic subunit type 2 gamma [Source:HGNC Symbol;Acc:HGNC:8973]	13064	-0.0708887130022049	-0.37884358	No	
row_34	PIK3CB	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit beta [Source:HGNC Symbol;Acc:HGNC:8976]	13364	-0.07878924906253815	-0.38124976	No	
row_35	PLCG1	phospholipase C gamma 1 [Source:HGNC Symbol;Acc:HGNC:9065]	13617	-0.08598484843969345	-0.3797929	No	
row_36	SYNJ1	synaptojanin 1 [Source:HGNC Symbol;Acc:HGNC:11503]	14059	-0.09875767678022385	-0.38644743	No	
row_37	PIP5K1B	phosphatidylinositol-4-phosphate 5-kinase type 1 beta [Source:HGNC Symbol;Acc:HGNC:8995]	15239	-0.13777370750904083	-0.4267076	Yes	
row_38	PIKFYVE	phosphoinositide kinase, FYVE-type zinc finger containing [Source:HGNC Symbol;Acc:HGNC:23785]	15414	-0.1440274864435196	-0.41063496	Yes	
row_39	PIK3C2A	phosphatidylinositol-4-phosphate 3-kinase catalytic subunit type 2 alpha [Source:HGNC Symbol;Acc:HGNC:8971]	15664	-0.15308387577533722	-0.39707142	Yes	
row_40	ITPKB	inositol-trisphosphate 3-kinase B [Source:HGNC Symbol;Acc:HGNC:6179]	15753	-0.1567036658525467	-0.3740175	Yes	
row_41	TPI1	triosephosphate isomerase 1 [Source:HGNC Symbol;Acc:HGNC:12009]	15783	-0.1579960286617279	-0.3474918	Yes	
row_42	PIP4K2A	phosphatidylinositol-5-phosphate 4-kinase type 2 alpha [Source:HGNC Symbol;Acc:HGNC:8997]	15908	-0.16397090256214142	-0.32512254	Yes	
row_43	PLCB1	phospholipase C beta 1 [Source:HGNC Symbol;Acc:HGNC:15917]	16818	-0.20686356723308563	-0.33825138	Yes	
row_44	PIK3CG	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit gamma [Source:HGNC Symbol;Acc:HGNC:8978]	17114	-0.2250880002975464	-0.3144005	Yes	
row_45	IMPA1	inositol monophosphatase 1 [Source:HGNC Symbol;Acc:HGNC:6050]	17139	-0.226359024643898	-0.27543327	Yes	
row_46	MINPP1	multiple inositol-polyphosphate phosphatase 1 [Source:HGNC Symbol;Acc:HGNC:7102]	17200	-0.23119112849235535	-0.23758411	Yes	
row_47	INPP4B	inositol polyphosphate-4-phosphatase type II B [Source:HGNC Symbol;Acc:HGNC:6075]	17306	-0.2387717068195343	-0.20085832	Yes	
row_48	PLCB4	phospholipase C beta 4 [Source:HGNC Symbol;Acc:HGNC:9059]	17430	-0.25100383162498474	-0.16294457	Yes	
row_49	INPP1	inositol polyphosphate-1-phosphatase [Source:HGNC Symbol;Acc:HGNC:6071]	17521	-0.260464072227478	-0.12153394	Yes	
row_50	PTEN	phosphatase and tensin homolog [Source:HGNC Symbol;Acc:HGNC:9588]	17613	-0.2710222005844116	-0.078299195	Yes	
row_51	PIK3CA	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha [Source:HGNC Symbol;Acc:HGNC:8975]	17873	-0.31129536032676697	-0.037127666	Yes	
row_52	PIK3C3	phosphatidylinositol 3-kinase catalytic subunit type 3 [Source:HGNC Symbol;Acc:HGNC:8974]	17959	-0.325312077999115	0.016098905	Yes	
